iOS.htm+html.head.title:55-3,iOS
iOS.htm+html.body.ul.li:118-5,"<strong>Interpolate colours between pixels</strong>: Turns on <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a>, which basically ""smooths"" pixels. For crisp pixel graphics, it should be off, but if you have nice alpha blends and smoothed edged graphics it is better left on. This is off by default."
iOS.htm+html.body.ul.li:120-5,<strong>Half iPad 1 Textures:</strong> The iPad 1 has much less texture memory than more recent devices so you can enable this option to reduce the size of textures by half if you want to target this device or get maximum compatibility.
iOS.htm+html.body.ul.li:121-5,"<strong>Scaling</strong>: Here you can select to scale the draw canvas maintaining the aspect ratio within the device screen - adding ""padding"" around the edges to fit the screen - or you can select to have the draw canvas stretched to fit the device screen."
iOS.htm+html.body.p:124-3,"Finally there is the option to set the size of the <a class=""tooltip"" title=""TITLE_KEY::texture_page"">texture page</a>. The default (and most compatible) size is 2048x2048, but you can choose from anywhere between 256x256 up to 8192x8192. There is also a button marked <strong>Preview </strong>which will generate the texture pages for this platform and then open a window so that you can see how they look. This can be very useful if you wish to see how the texture pages are structured and to prevent having texture pages larger (or smaller) than necessary. For more information on texture pages, please see <a href=""../Texture_Information/Texture_Pages.htm"">here</a>."
iOS.htm+html.body.p:127-3,"<strong>NOTE</strong>: Be aware that the larger the size of the texture page, the less compatible your game will be with different browsers and devices."
iOS.htm+html.body.h2:129-3,Icons
iOS.htm+html.body.p.img[alt]:130-6,{IMG_TXT} iOS Images Icons Options
iOS.htm+html.body.p:130-3,"This section permits you to add the various different icons required by the various iPhone and iPad devices and the different parts of the iOS App Store. These icons should be authored as 24bit <span class=""inline"">*.png</span> images at the size specified for each one."
iOS.htm+html.body.p:132-3,"It is worth noting that GameMaker Studio 2 has a <a href=""../../IDE_Tools/Project_Image_Generator.htm"">Project Image Generator</a> tool which can be used to automatically create all the images required for all the different target platforms your game is being compiled to. If you use this tool, you should revise the images created to ensure that they are what you require. The tool will generate Icons as well as Images (see the section below)."
iOS.htm+html.body.p:134-3,"NOTE: On importing an older project you may be presented with the following warning:<img_tag=iOS_Icon_Warning:0>This comes up because the current iOS target version has changed the format of the required icons since the project was previously loaded. You will be required to re-create all the icons, as they will have been replaced with the generic GameMaker Studio 2 icons (you can use the above mentioned Project Image Generator tool to do this quickly)."
iOS.htm+html.body.h2:138-3,Images
iOS.htm+html.body.p.img[alt]:139-6,{IMG_TXT} iOS Images Splash Screens Options
iOS.htm+html.body.p:139-3,"This section permits you to add separate graphics as <strong>Launch Screens</strong> (the image that will be shown briefly while your app loads) for each of the device orientations, as well as the <strong>Border Colour</strong> that will be used as the background for launch screens that are not set to fill the full screen. These images must be authored as individual 24bit <span class=""inline"">*.png</span> images with no transparencies and at an appropriate size. Note that this is <em>not</em> considered a splash screen and Apple have some fairly strict guidlines on how this should be set up and used. See the developer page on <a href=""https://developer{-dot-}apple{-dot-}com/design/human-interface-guidelines/ios/visual-design/launch-screen/"">Human Interface Guidelines</a> for more information."
iOS.htm+html.body.p:142-3,You can also set how the launch screen should be displayed from the following options:
iOS.htm+html.body.ul.li:144-5,"<strong>Keep Aspect Ratio</strong>: This will maintain the aspect ratio of the image compared to the device screen, adding ""padding"" around the edges where required."
iOS.htm+html.body.ul.li:145-5,<strong>Crop To Fit</strong>: This will keep the image 1:1 with the device screen and crop (or pad) the edges as required.
iOS.htm+html.body.ul.li:146-5,<strong>Stretch</strong>: This will stretch the image to fill the device screen (and may distort the image shown).
iOS.htm+html.body.h2:149-3,Social
iOS.htm+html.body.p.img[alt]:150-6,{IMG_TXT} iOS Social Options
iOS.htm+html.body.p:150-3,This section is for enabling different <strong>Social </strong>features in your iOS game. The following options can be chosen:
iOS.htm+html.body.ul.li:152-5,"<strong>Facebook</strong>: If you require the Facebook functions, you need to select this checkbox and then supply the <strong>Facebook App ID</strong> and <strong>Facebook App Name</strong>. Note that all Facebook functionality is accessed via an extension, and when you first check the Use Facebook box you will be prompted to download and install the Facebook extension from the <a href=""../../Introduction/The_Marketplace.htm"">Marketplace</a>."
iOS.htm+html.body.ul.li:154-5,<strong>Enable Push Notifications</strong>: In order for your game to use Push Notifications they must be enabled here first otherwise they will not work.
iOS.htm+html.body.ul.li:155-5,"<strong>Enable Sign In With Apple</strong>: This option is for using the <strong>Apple Sign In Extension</strong> on iOS. You can get this extension from the <a href=""https://marketplace{-dot-}yoyogames{-dot-}com/publishers/23/yoyo-games"">YoYo Games Marketplace</a>, and the extension itself contains full instructions for use. If you are not using this extension then you should not tick this option."
iOS.htm+html.body.div.div.div.div:164-9,"Back: <a href=""../Game_Options.htm"">Game Options</a>"
iOS.htm+html.body.div.div.div.div:165-9,"Next: <a href=""tvOS.htm"">tvOS</a>"
iOS.htm+html.body.p:177-1,{SEARCH_RESULT} Page that details the iOS Game Options
iOS.htm+html.body.p:177-62,{INDEX_KEYWORD} Game Options - iOS
iOS.htm.img_tag+iOS_Icon_Warning:0,{IMG_TXT} iOS Icon Warning
