The_Room_Manager.htm+html.head.title:55-3,The Room Manager,ルームマネージャー
The_Room_Manager.htm+html.body.p.img[alt]:97-6,{IMG_TXT} Moving Rooms Within The Room Manager,{IMG_TXT} ルームマネージャーのルームを移動
The_Room_Manager.htm+html.body.p:97-3,"The <strong>Room Inheritance</strong> tab is for setting up ""child"" rooms. A child room is one that has been copied from a ""parent"" room and set to inherit all it's properties. If you do nothing to this room, then this room will indeed be a copy of the original room, but you can then go into the <a href=""../The_Asset_Editors/Rooms.htm"">Room Editor</a> and toggle inheritance on or off for specific things like layer, or instances, as well as add new layers, instances and properties to the room.","<strong>ルーム継承関係</strong>のタブからは、「子」ルームの設定を行えます。子ルームとは「親」ルームをコピーしたもので、すべてのプロパティを引き継いでいます。何も手を加えなければ元のルームの単なるコピーですが、子ルームでは<a href=""../The_Asset_Editors/Rooms.htm"">ルームエディタ</a>からレイヤー、インスタンスといった各要素の継承をそれぞれ切り替えたり、さらには新しいレイヤー、インスタンス、プロパティを追加するといったこともできます。"
The_Room_Manager.htm+html.body.p.img[alt]:99-6,{IMG_TXT} The Room Inheritance Tab,{IMG_TXT} ルーム継承関係タブ
The_Room_Manager.htm+html.body.p:99-3,"As with the Room Order tab, you can click <img_tag=LMB_Icon:0> and drag to reorder the rooms, but note that selecting a child room and moving it to a different parent will break the room inheritance with the original parent and it will instead inherit the properties of the new room. Note too that you can convert a child into a ""full"" room with no inheritance by dragging it to the left of the list (the list border will become highlighted), at which point it will simply become a room in its own right.",ルーム順序タブと同じようにドラッグ<img_tag=LMB_Icon:0>してルームの順番を変更できますが、子ルームを別の親ルームに移した場合は、元のルームの継承関係が破棄され、新しいルームのプロパティが引き継がれることになります。また、子ルームはリストの左側にドラッグすることで何も継承しないすべてを完備したルームに変換でき（リストの端が強調表示されます）、ドラッグした時点で独立したルームとなります。
The_Room_Manager.htm+html.body.p:101-3,"Rooms can have multiple children, and each child can also be a parent and have their own children, for example:",ルームには子を複数追加したり、次のように子を親にして新しい子を追加することも可能です。
The_Room_Manager.htm+html.body.p.img[alt]:102-6,{IMG_TXT} Example Of Room Inheritance With Multiple Children,{IMG_TXT} 子を複数継承させたルームの継承例
The_Room_Manager.htm+html.body.p:102-3,"Here we have a parent room, ""<span class=""inline"">rm_Level_1_Day</span>"", which has two children ""<span class=""inline"">rm_Level_1_Day_AfterBattle</span>"" and ""<span class=""inline"">rm_Level_1_Night</span>"". We have also assigned another child room to ""<span class=""inline"">rm_Level_1_Night</span>"" called "" <span class=""inline"">rm_Level_1_Night_AfterBattle</span>"". In this way you can re-use resources and level design from one parent room, and then only change what is required to make it slightly different in the child room or rooms.","この例では親ルームとなる""<span class=""inline"">rm_Level_1_Day</span>""、その子ルームとなる""<span class=""inline"">rm_Level_1_Day_AfterBattle</span>""、""<span class=""inline"">rm_Level_1_Night</span>""があり、さらに""<span class=""inline"">rm_Level_1_Night</span>""には""<span class=""inline"">rm_Level_1_Night_AfterBattle</span>""という別の子ルームが割り当てられています。このように設定すると1つの親ルームのリソース、レベルデザインを再利用し、子ルームには必要最小限の変更を加えることができます。"
The_Room_Manager.htm+html.body.p:105-3,"<strong>NOTE</strong>: For more information on room inheritance, please see <a href=""../The_Asset_Editors/Room_Properties/Room_Inheritance.htm"">here</a>.","<strong>メモ</strong>: ルームの継承についての詳細は<a href=""../The_Asset_Editors/Room_Properties/Room_Inheritance.htm"">こちら</a>を参照してください。"
The_Room_Manager.htm+html.body.p:106-3,"Finally, the room manager has some extra tools to help you navigate and organise your rooms. At the top you have a <strong>Search Bar</strong> which enables you to add a search term and then quickly go to the rooms that have the search term in their names. Rooms that have the search term in them will be highlighted, and then you can navigate to them instantly using the up/down buttons on the side:",最後に、ルームマネージャーには操作やルームの整理がしやすくなるツールがいくつかあります。上部にあるのは<strong>検索バー</strong>で、検索したい文字を入力すれば、その文字が含まれているルームに手早く移動することができます。一致したルームは強調表示され、検索バーに表示されている矢印ボタンをクリックすると別のルームに切り替わります。
The_Room_Manager.htm+html.body.p.img[alt]:108-6,{IMG_TXT} Searching rooms in the Room Manager,{IMG_TXT} ルームマネージャーのルーム検索
The_Room_Manager.htm+html.body.p:108-3,There are also some helpful buttons at the bottom of the Room Manager that permit you to move rooms up or down the room order list:,ルーム順序のタブでは、下側に表示されているボタンをクリックしてルームの順番を上下に移動させることができます。
The_Room_Manager.htm+html.body.p.img[alt]:109-6,{IMG_TXT} Moving rooms up or down in the Room Manager,{IMG_TXT} ルームマネージャーのルームを上下に移動
The_Room_Manager.htm+html.body.p:109-3,"Beside these buttons you also have a <strong>Create Group</strong> button which can be used to create a group folder. These folders can be used to better organise the rooms in your game (room order will still be respected), and you can click and drag rooms onto the folder to add them. You can also select multiple rooms by clicking while holding down <img_tag=Shift_Icon:0> and/or <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>, then click the Create Group button and all the selected rooms will be added to the group. Note that this <em>will</em> change the order of the rooms in your game, and also note that if you choose to delete the group folder later, <strong>any rooms within the folder will be deleted too</strong> (by default GameMaker will warn you of this).",これらのボタンの横には<strong>グループ作成</strong>ボタンがあり、クリックするとグループフォルダを作成できます。このフォルダはルームを整理しやすくするためのもので（ルームの順番は保たれます）、ルームを中にドラッグして追加します。<img_tag=Shift_Icon:0>または<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリックすればルームを複数選択でき、そのままグループ作成ボタンをクリックすれば選択中のルームがすべてグループに追加されます。なお、グループに追加するとルームの順番は<em>変更され</em>、グループフォルダを削除した場合、<strong>中にあるルームはすべて削除</strong>されます（デフォルトでは警告が表示されます）。
The_Room_Manager.htm+html.body.p:112-3,You should also note that you can right click on any room in the Room Manager to bring up the following menu:,また、ルームマネージャーではルームを右クリックすると以下のメニューが表示されます。
The_Room_Manager.htm+html.body.p.img[alt]:113-6,{IMG_TXT} Room Manager RMB menu,{IMG_TXT} ルームマネージャーの右クリックメニュー
The_Room_Manager.htm+html.body.p:113-3,This menu gives you the following options:,メニューには次の項目があります。
The_Room_Manager.htm+html.body.ul.li:115-5,"<strong>Create Child Room</strong>: This will create a new room as a child of the room that was clicked on, with the new room inheriting the parent room properties.",<strong>子ルームを作成</strong>: クリックしたルームの子となり、親ルームのプロパティを引き継ぐ新しいルームを作成します。
The_Room_Manager.htm+html.body.ul.li:116-5,"<strong>Edit</strong>: This will open the <a href=""../The_Asset_Editors/Rooms.htm"">Room Editor</a> for the room.","<strong>編集</strong>: ルームを<a href=""../The_Asset_Editors/Rooms.htm"">ルームエディタ</a>で開きます。"
The_Room_Manager.htm+html.body.ul.li:117-5,"<strong>Edit Tags</strong>: This will open the <a href=""../Introduction/The_Asset_Browser.htm"">Tag Editor</a> so you can add tags to the room.","<strong>タグを編集</strong>: <a href=""../Introduction/The_Asset_Browser.htm"">タグエディタ</a>を開き、ルームにタグを追加します。"
The_Room_Manager.htm+html.body.ul.li:118-5,<strong>Rename</strong>: This permits you to rename the room asset (you can also do a slow double click <img_tag=LMB_Icon:0> on the room to rename it).,<strong>名前変更</strong>: ルームアセットの名前を変更します（ルームをゆっくりダブルクリック<img_tag=LMB_Icon:0>しても名前を変更できます）
The_Room_Manager.htm+html.body.ul.li:119-5,"<strong>Duplicate</strong>: This will duplicate the selected room, placing the new room under the selected room.",<strong>複製</strong>: 選択中のルームを複製し、現在のルームの下に追加します。
The_Room_Manager.htm+html.body.ul.li:120-5,"<strong>Favourite</strong>: This will add the selected room to the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> Favourites section.","<strong>お気に入りに追加</strong>: 選択中のルームを<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>のお気に入り項目に追加します。"
The_Room_Manager.htm+html.body.ul.li:121-5,"<strong>Delete</strong>: Clicking this will delete the room (or rooms) that have been selected. If used on a group folder, all rooms within the folder will be deleted along with the folder. If used on a parent room, only the parent will be deleted, and all child rooms will remain, although they will now be independent and no longer child rooms.",<strong>削除</strong>: クリックすると選択中のルームが削除されます。グループフォルダを削除した場合、そのフォルダの中にあるルームもすべて削除されます。親ルームを削除した場合、削除されるのは親ルームだけとなり、子ルームは残ります。ただしすべて独立したルームとなり、子ルームではなくなります。
The_Room_Manager.htm+html.body.ul.li:123-5,"<strong>Expand Children</strong>: If a group folder is selected, this option will expand the contents of the folder.",<strong>子を展開</strong>: グループフォルダを選んでから実行すると、そのフォルダの中身を開くことができます。
The_Room_Manager.htm+html.body.ul.li:124-5,<strong>Expand All</strong>: This option will expand all folder groups.,<strong>すべて展開</strong>: すべてのフォルダグループを開きます。
The_Room_Manager.htm+html.body.ul.li:125-5,<strong>Collapse All</strong>: This option will collapse all folder groups.,<strong>すべて折りたたむ</strong>: すべてのフォルダグループを閉じます。
The_Room_Manager.htm+html.body.ul.li:126-5,"<strong>Arrange</strong>: The arrange sub.menu can be used to move rooms up or down in the room manager, much the same as the buttons at the bottom of the manager window.",<strong>整列</strong>: サブメニューが開き、ルームマネージャーのルームを上下に移動できます。ウィンドウ下部に表示されている各ボタンと同じものです。
The_Room_Manager.htm+html.body.ul.li:127-5,<strong>Open In Explorer</strong>: This will open a OS file explorer on the asset in the game project.,<strong>エクスプローラーで開く</strong>: OSのファイルエクスプローラーから現在のプロジェクトのアセットを開きます。
The_Room_Manager.htm+html.body.ul.li:128-5,<strong>Asset Colour</strong>: Here you can select a colour for the room (or rooms) to help identify them in the Room Manager. Note that this colour will also be used in the Asset Browser and override any colour that has been set previously.
The_Room_Manager.htm+html.body.div.div.div.div:136-9,"Back: <a href=""Game_Settings.htm"">Game Settings</a>"
The_Room_Manager.htm+html.body.div.div.div.div:137-9,"Next: <a href=""Included_Files.htm"">Included Files</a>"
The_Room_Manager.htm+html.body.p:151-1,{SEARCH_RESULT} Page that explains how to use the Room Manager
The_Room_Manager.htm+html.body.p:151-70,{INDEX_KEYWORD} Room Manager
The_Room_Manager.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Room_Manager.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
The_Room_Manager.htm.img_tag+Extras_Menu_Icon:0,{IMG_TXT} Extras Menu Icon,{IMG_TXT} 追加メニューアイコン
The_Room_Manager.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Room_Manager.htm.img_tag+Room_Manager_Home_Room_Icon:0,{IMG_TXT} Room Manager Home Room Icon,{IMG_TXT} ルームマネージャーのホームルームアイコン
The_Room_Manager.htm.img_tag+Shift_Icon:0,{IMG_TXT} Shift Icon,{IMG_TXT} Shiftアイコン
