Submission_Guidelines.htm+html.head.title:55-3,Submission Guidelines
Submission_Guidelines.htm+html.body.ul.li:114-5,"<strong>Organisation</strong>: How you organise the asset with the GMEZ project file is up to you but we strongly recommend that you create a folder structure that clearly shows your assets as separate so that when the user imports them into their game, they are clearly distinguishable from their own assets. For example, if your asset is called ""TOP DOWN AI"", then you would make a folder called ""Top Down AI"" for all the assets that the project has, and place everything within these, using further sub-folders as required. It is also a good idea to clearly label any resources that are not essential and supplied as part of a Demo or Tutorial so that the end user can simply delete these."
Submission_Guidelines.htm+html.body.ul.li:117-5,"<strong>Documentation</strong>: All asset submissions must include documentation describing what your asset does, how to setup or install your asset and how to use your asset. The inclusion of an example scene or project which uses your asset is also beneficial, as are any videos or links to tutorials, etc... try to make your documentation as extensive as possible, especially if you are creating extensions or projects."
Submission_Guidelines.htm+html.body.ul.li:119-5,<strong>Maximum Asset Size</strong>: Marketplace assets cannot be any larger than 50Mb. This is done so that users are able to add multiple Marketplace assets to their project without the size of their project increasing by too much and to ensure that all assets on the Marketplace remain small enough to be usable.
Submission_Guidelines.htm+html.body.p:122-3,"These are general guidelines for <em>all</em> assets that you upload to the Marketplace, but below are some additional guidelines based on the type of asset that you upload."
Submission_Guidelines.htm+html.body.p:123-3,"<span data-open-text=""true"">Graphic Assets</span><span data-close-text=""true"">Graphic Assets</span>"
Submission_Guidelines.htm+html.body.div.p:125-5,"All graphics assets (sprites, backgrounds and animations) must be of the highest possible quality and be of real use to the end user. All <a class=""tooltip"" title=""TITLE_KEY::bitmap"">bitmap</a> graphics such as tiles and textures must use a lossless <a class=""tooltip"" title=""TITLE_KEY::compression"">compression</a> format such as <span class=""inline"">PSD</span>, <span class=""inline"">PNG </span>or <span class=""inline"">TIFF</span>, and lossy images such as <span class=""inline"">JPEG</span> should not be used, and other users may flag such products for removal."
Submission_Guidelines.htm+html.body.div.p:127-5,"If the graphic assets being uploaded are <strong>fonts</strong>, then these must be your own work and of the highest quality. They should cover at least the minimum standard <a href=""http://en{-dot-}wikipedia{-dot-}org/wiki/ASCII"">ASCII</a> range of characters, and be of use to people who are making games. We do not permit re-packaging of free fonts or any other font resource that is licensed from another entity."
Submission_Guidelines.htm+html.body.p:131-3,"<span data-open-text=""true"">Coded Assets</span><span data-close-text=""true"">Coded Assets</span>"
Submission_Guidelines.htm+html.body.div.p:133-5,All scripts and coded assets must be well documented. You should use comments throughout the code to explain and identify areas to the user as well as have error handling and debug functions built in. Your code should also be formatted as closely as possible to that stipulated below:
Submission_Guidelines.htm+html.body.div.ul.li:136-7,"<strong>All Code Should Be Commented</strong> - A well placed comment can greatly help users to understand your code and get the best use from it, so add these where necessary. It is better to give too much information than too little."
Submission_Guidelines.htm+html.body.div.ul.li:137-7,"<strong>Consistent Indentation</strong> - There are a great variety of indentation techniques for code blocks, and we do not require that one be used over any other. However, we do require that your code be consistent, so if you take a new line for an open bracket once, you should do so for all, ie: keep the style consistent."
Submission_Guidelines.htm+html.body.div.ul.li:139-7,"<strong>Code Grouping</strong> - try to avoid ""walls"" of code, and add line breaks between relevant sections. For example, if you have a lot of variable declarations and then a for loop, add an empty line between them to ""group"" the code into obvious sections. this improves readability."
Submission_Guidelines.htm+html.body.div.ul.li:141-7,"<strong>Consistent Naming</strong> - keep your variable and script naming consistent. Please do not use, for example, camelCase for some things then under_bar for others as, again, this affects readability."
Submission_Guidelines.htm+html.body.div.ul.li:142-7,"<strong>Consistent Local Var Names</strong> - Normally, the variables should be descriptive and contain one or more words. But, this doesn't necessarily apply to local (temporary) variables. They can be as short as a single character, and it is a good practice to use consistent names for your local variables that have the same kind of role."
Submission_Guidelines.htm+html.body.div.p:145-5,"If you are uploading a <strong>shader </strong>asset to the Marketplace, think carefully about how you present it and ensure that it works as stated. You can upload individual shaders, or ""packs"" containing more than one, but whatever the case the shader should be clearly documented and the actual code should be commented to provide easy access to all users."
Submission_Guidelines.htm+html.body.p:149-3,"<span data-open-text=""true"">Extension Assets</span><span data-close-text=""true"">Extension Assets</span>"
Submission_Guidelines.htm+html.body.div.p:151-5,"Extension assets must come with complete documentation that outlines how to use them as well as any caveats or known issues. Your extensions should be as easy to use as possible, and if they have any UI components, these should be intuitive and clear. If you are basing the extension on any third party SDKs or files, then you should have the correct licencing and provide links to the source documentation."
Submission_Guidelines.htm+html.body.p:155-3,"<span data-open-text=""true"">Audio Assets</span><span data-close-text=""true"">Audio Assets</span>"
Submission_Guidelines.htm+html.body.div.p:157-5,"Before uploading any audio assets, ensure that they are of the highest quality possible and that they are <em>normalized</em> such that all sounds maintain the same base min/max range in dB, and make sure that the balance (bass, stereo field, etc...) is correct. Test all sounds in GameMaker Studio 2 before uploading to ensure that the encoding format is compatible and that they can be heard. Sound effects should be in <span class=""inline"">WAV</span> format and can be mono or stereo, and music should be either <span class=""inline"">OGG</span> or <span class=""inline"">MP3</span> and stereo."
Submission_Guidelines.htm+html.body.p:163-3,"You can find details on how to create a Marketplace listing for your assets, as well as on how to upload them to the store, from the following pages:"
Submission_Guidelines.htm+html.body.ul.li:165-5,Listing An Asset
Submission_Guidelines.htm+html.body.p:167-3,And there is also a guide to how to style your asset and services pages on the following page:
Submission_Guidelines.htm+html.body.ul.li:169-5,Marketplace Style Guide
Submission_Guidelines.htm+html.body.div.div.div.div:176-9,"Back: <a href=""../The_Marketplace.htm"">The Marketplace</a>"
Submission_Guidelines.htm+html.body.div.div.div.div:177-9,"Next: <a href=""Marketplace_Style_Guide.htm"">Marketplace Style Guide</a>"
Submission_Guidelines.htm+html.body.p:190-1,{SEARCH_RESULT} Page outlining the Marketplace Submission Guidelines
Submission_Guidelines.htm+html.body.p:190-76,{INDEX_KEYWORD} Marketplace - Submission Guidlines
