Creating_A_Publisher_Account.htm+html.head.title:55-3,Creating A Publisher Account
Creating_A_Publisher_Account.htm+html.body.ul.li:105-5,"Currently the Marketplace only offers payment through <strong>PayPal</strong>, so when creating a publisher account you will be required to give a valid email for a PayPal account, otherwise you cannot be paid."
Creating_A_Publisher_Account.htm+html.body.ul.li:106-5,"For users from the UK/EU, a valid VAT number should be set if this applies to your organisation (for users outside of the UK, you should precede your VAT number with the two-digit country code for your country)."
Creating_A_Publisher_Account.htm+html.body.p:108-3,"If you are planning on only uploading free assets to the Marketplace, then you can ignore the PayPal and VAT fields. You can then click the <strong>Submit</strong> button to continue."
Creating_A_Publisher_Account.htm+html.body.p:109-3,"Once your registration has been verified, you can then use the rest of the options from the <strong>Publisher Console</strong>. This is the ""home"" of all your asset publishing operations, and you can see a menu of items along the left of the page. Each one will show you different details about your publishing activities:"
Creating_A_Publisher_Account.htm+html.body.ul.li:112-5,"<strong>Assets</strong>: This page gives you a quick overview of your assets (sprites, audio, projects, etc.), and lets you view and edit their details, review your sales, download statistics, and also publish a new version of your asset. You can also add new assets that you have created for publishing. For more information on publishing assets, please see the page: <a href=""Listing_An_Asset.htm"">Listing An Asset</a>."
Creating_A_Publisher_Account.htm+html.body.ul.li:114-5,"<strong>Services</strong>: Here you can see the services that you offer to other Marketplace users, as well as edit their details and update or add new ones. For more information on Services, see the page: <a href=""Listing_A_Service.htm"">Listing A Service</a>."
Creating_A_Publisher_Account.htm+html.body.ul.li:115-5,<strong>Account Details</strong>: Update your Publisher’s public profile on the store and add payment details through Account Details (see above for further information on setting up a payment account).
Creating_A_Publisher_Account.htm+html.body.ul.li:116-5,"<strong>User Access</strong>: If you are working within a team you can add multiple users to your Publisher Account and set which parts of the Publisher Console they can access. The account that registers the Publisher account is the owner, with full access to all parts of the Developer Console. The owner can then add user accounts and manage which parts of the Developer Console they have access to. Simply give the email address of the person you wish to add, then check the parts of the publisher identity that you require them to have access to."
Creating_A_Publisher_Account.htm+html.body.ul.li.img[alt]:119-7,{IMG_TXT} Publisher User Access
Creating_A_Publisher_Account.htm+html.body.ul.li:120-5,"<strong>Analytics</strong>: The developer console gives you access to daily sales and download reports and graphs allowing you to track your assets performance. You can filter your reports by several dimensions including <em>Paid </em>or <em>Free</em>, <em>Category</em>, <em>Country </em>and <em>Date</em>."
Creating_A_Publisher_Account.htm+html.body.ul.li:122-5,"<strong>Purchases</strong>: Here you can see a list of all the purchases that have been made of your assets (free purchases will be shown, but with a price of $0.00)"
Creating_A_Publisher_Account.htm+html.body.ul.li:123-5,"<strong>Author Terms</strong>: Here are the current <strong>Author Terms and Conditions</strong> for publishing to the Marketplace. <em>You must accept these before you can publish anything</em>, even free assets."
Creating_A_Publisher_Account.htm+html.body.p:125-3,"Note that once you have set up and verified one publisher account, you can then go back to your YoYo Account dashboard and create further accounts if required. In this way you could create two separate accounts with one selling art assets and the other selling code assets (for example)."
Creating_A_Publisher_Account.htm+html.body.p:127-3,"Before going any further and submitting an asset or a service to the Marketplace, please read the guidelines outlined on the following page:"
Creating_A_Publisher_Account.htm+html.body.ul.li:129-5,Marketplace Submission Guidelines
Creating_A_Publisher_Account.htm+html.body.div.div.div.div:137-9,"Back: <a href=""../The_Marketplace.htm"">The Marketplace</a>"
Creating_A_Publisher_Account.htm+html.body.div.div.div.div:138-9,"Next: <a href=""Listing_An_Asset.htm"">Listing An Asset</a>"
Creating_A_Publisher_Account.htm+html.body.p:163-1,{SEARCH_RESULT} Page outlining how to create a Marketplace Publisher Account.
Creating_A_Publisher_Account.htm+html.body.p:163-85,{INDEX_KEYWORD} Marketplace - Creating A Publisher Account
