Steam.htm+html.head.title:55-3,Steam,Steam
Steam.htm+html.body.ul.li:106-5,"""<span class=""inline"">post_id</span>"" - This key should match the ID value returned by the upload calling function","""<span class=""inline"">post_id</span>"" - アップロード関数の呼び出しによって返される ID 値と同一になります。"
Steam.htm+html.body.ul.li:107-5,"""<span class=""inline"">lb_name</span>"" - This key holds the name of the leaderboard which was posted to","""<span class=""inline"">lb_name</span>"" - 投稿されたリーダーボードの名前を保持するキーです。"
Steam.htm+html.body.ul.li:108-5,"""<span class=""inline"">success</span>"" - Will be 1 if the post succeeded, 0 failed","""<span class=""inline"">success</span>"" - 投稿に成功すれば1に、失敗すれば0になります。"
Steam.htm+html.body.ul.li:109-5,"""<span class=""inline"">updated</span>"" - Will be 1 if the leaderboard score was actually updated (ie: the new score was better) or 0 otherwise","""<span class=""inline"">updated</span>"" - リーダーボードのスコアが更新されていると（新しいスコアのほうが高いと）1に、更新されていないと0になります。"
Steam.htm+html.body.ul.li:110-5,"""<span class=""inline"">score</span>"" - This key holds the score which was posted","""<span class=""inline"">score</span>"" - 投稿されたスコアを保持するキーです。"
Steam.htm+html.body.p:112-3,You can see examples of this on the pages for the score upload functions.,キーの利用法については、スコアをアップロードする各関数のページから確認できます。
Steam.htm+html.body.h2:114-3,Downloading Leaderboards,リーダーボードのダウンロード
Steam.htm+html.body.p:115-3,"When using the Steam functions for downloading a leaderboard (<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_download_scores.htm""><span class=""inline"">steam_download_scores()</span></a>, <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_download_scores_around_user.htm""><span class=""inline"">steam_download_scores_around_user()</span></a> or <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_download_friends_scores.htm""><span class=""inline"">steam_download_friends_scores()</span></a>) the returned DS map will have the following key/value pairs:","Steam関数によってリーダーボードをダウンロードすると、DSマップには以下のキー/値ペアが含まれます（<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_download_scores.htm""><span class=""inline"">steam_download_scores()</span></a>、<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_download_scores_around_user.htm""><span class=""inline"">steam_download_scores_around_user()</span></a>、<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_download_friends_scores.htm""><span class=""inline"">steam_download_friends_scores()</span></a>のどれでも同様です）。"
Steam.htm+html.body.ul.li:118-5,"""<span class=""inline"">event_type</span>"" - This key will hold the value ""<span class=""inline"">leaderboard_download</span>""","""<span class=""inline"">event_type</span>"" - ""<span class=""inline"">leaderboard_download</span>""という値を保持するキーです。"
Steam.htm+html.body.ul.li:119-5,"""<span class=""inline"">id</span>"" - This key should match the ID value returned by the download calling function","""<span class=""inline"">id</span>"" - ダウンロード関数の呼び出しによって返されるID値と同一になります。"
Steam.htm+html.body.ul.li:120-5,"""<span class=""inline"">status</span>"" - The status of the callback, where -1 equals a failure or that no results were returned, and 0 equals a success.","""<span class=""inline"">status</span>"" - コールバックの状態です。失敗または結果が返されないと-1になり、成功すると0になります。"
Steam.htm+html.body.ul.li:121-5,"""<span class=""inline"">lb_name</span>"" - This key holds the name of the leaderboard which was posted to","""<span class=""inline"">lb_name</span>"" - 投稿されたリーダーボードの名前を保持するキーです。"
Steam.htm+html.body.ul.li:122-5,"""<span class=""inline"">numEntries</span>"" - The number of ""rows"" of leaderboard data that is being returned.","""<span class=""inline"">numEntries</span>"" - 返されたリーダーボードデータの行数が入ります。"
Steam.htm+html.body.ul.li:123-5,"""<span class=""inline"">entries</span>"" - A JSON object string that contains another DS map, which will either contain the key ""<span class=""inline"">default</span>"" (signifying that no results are contained within) or the key "" <span class=""inline"">entries</span>"", which you can then get the value of. This returned value for ""<span class=""inline"">entries</span>"" will be a <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Lists/DS_Lists.htm"">DS list</a> containing each of the ranks from the leaderboard, where each entry in the list will itself reference another DS Map which will contain the keys ""<span class=""inline"">name</span>"", ""<span class=""inline"">score</span>"" and "" <span class=""inline"">rank</span>"", and it may also contain a ""<span class=""inline"">data</span>"" key depending on the function used to upload.","""<span class=""inline"">entries</span>"" - このJSONオブジェクト文字列には別のDSマップが存在し、""<span class=""inline"">default</span>""キー（結果がない場合）、または値を取得できる""<span class=""inline"">entries</span>""キーのどちらかが含まれており、""<span class=""inline"">entries</span>""に返される値はリーダーボードの順位を入れた<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Lists/DS_Lists.htm"">DSリスト</a>となります。リスト内のエントリはそれぞれ別のDSマップを参照しており、このマップには""<span class=""inline"">name</span>""、""<span class=""inline"">score</span>""、""<span class=""inline"">rank</span>""キーに加え、アップロードした関数によっては追加で""<span class=""inline"">data</span>""キーが含まれます。"
Steam.htm+html.body.p:127-3,"We will show an example of how downloading score data works by requesting the top ten ranking for the given leaderboard and parsing its results in the Steam Async Event (for uploading examples, please see the appropriate function pages). To start with we need to request the scores with the following code:",スコアデータのダウンロード方法について例を紹介しましょう。ここでは指定したリーダーボードのランキングを上から10位までリクエストし、Steam Asyncイベントで結果を解析するという仕組みを取ります（アップロードの例については各関数のページを参照してください）。まずは以下のコードによって、スコアをリクエストしなくてはなりません。
Steam.htm+html.body.p:129-3,"{ANY_CODE} score_get = steam_download_scores(""Game Scores"", 1, 10);","{ANY_CODE} score_get = steam_download_scores(""Game Scores"", 1, 10);"
Steam.htm+html.body.p:130-3,"This will send off a request to the Steam Server for the scores from the leaderboard ""Game Scores"", storing the async ID of the request in the variable ""<span class=""inline"">score_get</span>"". This will then be handled in the <strong>Steam Async Event</strong> in the following way:","これによってSteamのサーバーに""Game Scores""リーダーボードのスコアを求めるリクエストが送られ、リクエストのIDが""<span class=""inline"">score_get</span>""変数に格納されます。この変数は、<strong>Steam Asyncイベント</strong>から次のように扱います。"
Steam.htm+html.body.p:131-3,"{ANY_CODE} var async_id = ds_map_find_value(async_load, ""id"");<br /> if async_id == score_get<br /> {nbsp_x1} {nbsp_x1}{<br /> {nbsp_x1} {nbsp_x1}var entries = ds_map_find_value(async_load, ""entries"");<br /> {nbsp_x1} {nbsp_x1}var map = json_decode(entries);<br /> {nbsp_x1} {nbsp_x1}if ds_map_exists(map, ""default"")<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} ds_map_destroy(map);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} exit;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1}else<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} var list = ds_map_find_value(map, ""entries"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} var len = ds_list_size(list);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} var entry;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} for(var i = 0; i &lt; len; i++;)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}{<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}entry = ds_list_find_value(list, i );<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}steam_name[i] = ds_map_find_value(entry, ""name"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}steam_score[i] = ds_map_find_value(entry, ""score"");<br /> {nbsp_x1} {nbsp_x1}steam_rank[i] = ds_map_find_value(entry, ""rank"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}if (ds_map_exists(entry, ""data""))<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var data = ds_map_find_value(entry, ""data"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var buffId = buffer_base64_decode(data);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var message = buffer_read(buffId, buffer_string);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} show_debug_message( "" -- attached message: "" + string(message));<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} buffer_delete(buffId);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}ds_map_destroy(entry);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}}<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} ds_list_destroy(list)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1}ds_map_destroy(map)<br /> {nbsp_x1} {nbsp_x1}}","{ANY_CODE} var async_id = ds_map_find_value(async_load, ""id"");<br /> if async_id == score_get<br /> {nbsp_x1} {nbsp_x1}{<br /> {nbsp_x1} {nbsp_x1}var entries = ds_map_find_value(async_load, ""entries"");<br /> {nbsp_x1} {nbsp_x1}var map = json_decode(entries);<br /> {nbsp_x1} {nbsp_x1}if ds_map_exists(map, ""default"")<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} ds_map_destroy(map);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} exit;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1}else<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} var list = ds_map_find_value(map, ""entries"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} var len = ds_list_size(list);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} var entry;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} for(var i = 0; i &lt; len; i++;)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}{<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}entry = ds_list_find_value(list, i );<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}steam_name[i] = ds_map_find_value(entry, ""name"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}steam_score[i] = ds_map_find_value(entry, ""score"");<br /> {nbsp_x1} {nbsp_x1}steam_rank[i] = ds_map_find_value(entry, ""rank"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}if (ds_map_exists(entry, ""data""))<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var data = ds_map_find_value(entry, ""data"");<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var buffId = buffer_base64_decode(data);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var message = buffer_read(buffId, buffer_string);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} show_debug_message( "" -- attached message: "" + string(message));<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} buffer_delete(buffId);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}ds_map_destroy(entry);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}}<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} ds_list_destroy(list)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1}ds_map_destroy(map)<br /> {nbsp_x1} {nbsp_x1}}"
Steam.htm+html.body.p:134-3,"What we do here is first check the ""<span class=""inline"">id</span>"" key of the special async_load map. If this value is the same as the value of the original callback function (stored in the ""<span class=""inline"">score_get</span>"" variable) we then continue to process the data. The first thing we do is parse the <span class=""inline"">async_load</span> DS Map for the key ""<span class=""inline"">entries</span>"" which will contain a JSON object containing the leaderboard data. This JSON object is then decoded (see <a href=""../../../GameMaker_Language/GML_Reference/File_Handling/Encoding_And_Hashing/json_decode.htm""><span class=""inline"">json_decode()</span></a>) as another DS Map, and this new map ID is stored in the variable ""<span class=""inline"">map</span>"".","まずは専用のasync_loadマップにある""<span class=""inline"">id</span>""キーをチェックしましょう。元のコールバック変数の値（""<span class=""inline"">score_get</span>""変数に格納されています）と同じ値であればデータの処理を続行します。最初に行うことは<span class=""inline"">async_load</span> DPマップを解析し、""<span class=""inline"">entries</span>""キーに含まれるJSONオブジェクトからリーダーボードのデータを取り出すことです。解析後、JSONオブジェクトは別のDPマップにデコードされ（<a href=""../../../GameMaker_Language/GML_Reference/File_Handling/Encoding_And_Hashing/json_decode.htm""><span class=""inline"">json_decode()</span></a>を参照）、""<span class=""inline"">map</span>""変数に新しいマップとして格納されます。"
Steam.htm+html.body.p:138-3,"This map is checked for the key ""<span class=""inline"">default</span>"" and if that is found then the map is destroyed and the event is exited. If no ""<span class=""inline"">default</span>"" key is found, the code will then parse the map to extract the necessary information about the leaderboard, by first extracting a DS List from the ""<span class=""inline"">entries</span>"" key of the DS Map, and then looping through each entry of the list to get another DS Map with the <span class=""inline"">name</span>, <span class=""inline"">score</span> and <span class=""inline"">rank</span> of each entry. These values are then stored in arrays and then we check to see if there is an additional ""<span class=""inline"">data</span>"" key. If there is (ie: the score was uploaded with an additional data package) then we also parse that and send it to the compiler console for debugging, before destroying the buffer and then continuing on to destroy the map. Note that if the "" <span class=""inline"">data</span>"" key is included, it needs to be decoded using the <a href=""../../../GameMaker_Language/GML_Reference/Buffers/buffer_base64_decode.htm""><span class=""inline"">buffer_base64_decode()</span></a> function before it can be correctly read.","このマップでは""<span class=""inline"">default</span>""キーの有無がチェックされ、見つかった場合はマップを破棄してイベントを終了します。""<span class=""inline"">default</span>""キーが見つからなかった場合はコードからマップを解析し、リーダーボードの必要情報を取り出します。まずは""<span class=""inline"">entries</span>""キーからDSリストを取り出し、リストの各エントリをループに通して<span class=""inline"">name</span>、<span class=""inline"">score</span>、<span class=""inline"">rank</span>がある別のDSマップを取得します。これらの値は配列に格納されますので、""<span class=""inline"">data</span>""キーが追加されているかどうかをチェックします。キーが存在する場合（スコアが追加データパッケージ付きでアップロードされた）は解析を行い、バッファの破棄に続いてマップが破棄される前にコンパイラのデバッグ用コンソールに送信します。なお、""<span class=""inline"">data</span>""キーが含まれている場合は正しく読み込まれる前に、<a href=""../../../GameMaker_Language/GML_Reference/Buffers/buffer_base64_decode.htm""><span class=""inline"">buffer_base64_decode()</span></a>によってデコードしなくてはなりません。"
Steam.htm+html.body.p:144-3,"Once the loop has finished, the entries list is destroyed as is the map that it was taken from. There is no need to destroy the <span class=""inline"">async_load</span> DS Map as this is handled for you by GameMaker Studio 2.","ループが終了すると、取得元のマップと同じように各エントリのリストは破棄されます。<span class=""inline"">async_load</span> DSマップについてはGameMaker Studio 2側で処理されるため、破棄する必要はありません。"
Steam.htm+html.body.h2:146-3,Downloading UGC (user Generated Content),UGCのダウンロード（ユーザー生成コンテンツ）
Steam.htm+html.body.p:147-3,"When using the Steam functions for downloading <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_UGC/Steam_UGC.htm"">User Generated Content (UGC)</a>, a number of them will trigger this event. However, each function will generate an <span class=""inline"">async_load</span> DS Map with differing key/value pairs (although they will always contain the general ""<span class=""inline"">id</span>"", ""<span class=""inline"">result</span>"" and ""<span class=""inline"">event_type</span>"" keys), so please see the page specific to the function being used for details and examples.","Steam関数によって<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_UGC/Steam_UGC.htm"">ユーザー生成コンテンツ（UGC）</a>をダウンロードすると、いくつかの関数はイベントを作動させます。ただしそれぞれの関数では、別々のキー/値ペアの<span class=""inline"">async_load</span> DSマップが生成されます（ ""<span class=""inline"">id</span>""、""<span class=""inline"">result</span>""、""<span class=""inline"">event_type</span>""キーは共通して含まれます）。詳細やサンプルについては、呼び出した関数のページを参照してください。"
Steam.htm+html.body.h2:151-3,Unique UGC Events,固有UGCイベント
Steam.htm+html.body.p:152-3,"The Steam Async Event can also be triggered when a user subscribes to an item outside of the game - for example, they tab away to a browser and subscribe to a new item then tab back to the game. In these cases the <span class=""inline"">async_load</span> map will only contain the following details (and none of the default values listed at the top of this page):","Steam Asyncイベントは、ゲーム外のアイテムがサブスクライブされた場合にも作動します。たとえばブラウザのタブに移動し、新しいアイテムをサブスクライブしてからゲームに戻るといった場合です。このような場合、<span class=""inline"">async_load</span>マップには以下の情報のみが含まれます（ページ上部の一覧にあるデフォルト値は含まれません）。"
Steam.htm+html.body.ul.li:154-5,"""<span class=""inline"">event_type</span>"" - This key will hold the constant <span class=""inline"">ugc_item_installed</span>.","""<span class=""inline"">event_type</span>"" - <span class=""inline"">ugc_item_installed</span>定数を保持するキーです。"
Steam.htm+html.body.ul.li:155-5,"""<span class=""inline"">published_file_id</span>"" - the ID of the newly installed UGC item (you can use the function <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_UGC/steam_ugc_get_item_update_info.htm""><span class=""inline"">steam_ugc_get_item_install_info()</span></a> to get the path to the installed item)","""<span class=""inline"">published_file_id</span>"" - 新しくインストールされたUGCアイテムのIDです（<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_UGC/steam_ugc_get_item_update_info.htm""><span class=""inline"">steam_ugc_get_item_install_info()</span></a>関数によってインストール先のパスを取得できます）。"
Steam.htm+html.body.p:158-3,"The Steam Async event can also be triggered when a workshop item is subscribed to - either from within the app, or externally from a workshop browser - and in these cases the <span class=""inline"">async_load</span> map will contain the following key/value pairs:","Steam Asyncイベントは、アプリ内、外部のワークショップブラウザ内かどうかを問わず、ワークショップのアイテムがサブスクライブされたときにも作動することとなり、この場合は<span class=""inline"">async_load</span>マップに以下のキー/値ペアが含まれます。"
Steam.htm+html.body.ul.li:161-5,"""<span class=""inline"">event_type</span>"" - This key will hold the constant <span class=""inline"">ugc_item_subscribed</span>.","""<span class=""inline"">event_type</span>"" - <span class=""inline"">ugc_item_subscribed</span>定数を保持するキーです。"
Steam.htm+html.body.ul.li:162-5,"""<span class=""inline"">published_file_id</span>"" : This key has the published file ID of the newly subscribed item","""<span class=""inline"">published_file_id</span>"" : 新しくサブスクライブしたアイテムの公開ファイルIDが含まれます。"
Steam.htm+html.body.p:164-3,"The event will be triggered should any item be un-subscribed too, with the DS map holding the following:",アイテムのサブスクライブを解除したときにもイベントは作動し、以下のキーをもつDSマップが生成されます。
Steam.htm+html.body.ul.li:166-5,"""<span class=""inline"">event_type</span>"" - This key will hold the constant <span class=""inline"">ugc_item_unsubscribed</span>.","""<span class=""inline"">event_type</span>"" - <span class=""inline"">ugc_item_unsubscribed</span>定数を保持するキーです。"
Steam.htm+html.body.ul.li:167-5,"""<span class=""inline"">published_file_id</span>"" : This key has the published file ID of the un-subscribed item","""<span class=""inline"">published_file_id</span>"" : サブスクライブを解除したアイテムの公開ファイルIDが含まれます。"
Steam.htm+html.body.div.div.div.div:175-9,"Back: <a href=""../Async_Events.htm"">Async Events</a>","戻る: <a href=""../Async_Events.htm"">Async Events</a>"
Steam.htm+html.body.div.div.div.div:176-9,"Next: <a href=""System.htm"">System</a>","次へ: <a href=""System.htm"">System</a>"
Steam.htm+html.body.p:194-1,{SEARCH_RESULT} Page detailing the Steam async event.,{SEARCH_RESULT} Async Steamイベントの詳細ページ
Steam.htm+html.body.p:194-61,{INDEX_KEYWORD} Objects - Async Steam Event,{INDEX_KEYWORD} オブジェクト - Async Steamイベント
