Extensions.htm+html.head.title:55-3,Extensions,拡張機能
Extensions.htm+html.body.ul.li:99-5,"<strong>Windows (Standard, UWP, XBoxOne)</strong>: You can use windows <span class=""inline"">DLL</span> files (Dynamic Link Libraries). Please note that if you have checked the ""Use x64 Windows Runtime"" in the <a href=""../Settings/Game_Options/Windows.htm"">Windows Game Options</a>, then all DLLs for the project <strong>must be 64bit compatible</strong>. 32bit DLLs will not work with the 64bit executable.","<strong>Windows (通常, UWP, XBoxOne)</strong>: Windowsの<span class=""inline"">DLL</span>ファイル（ダイナミックリンクライブラリ）を利用できるようになります。<a href=""../Settings/Game_Options/Windows.htm"">Windowsゲーム設定</a>で「x64 Windows ランタイムを使用」にチェックした場合、<strong>必ず64bit互換のDLLだけを利用</strong>してください。32bitのDLLは64bitの実行ファイルでは動作しません。"
Extensions.htm+html.body.ul.li:101-5,"<strong>macOS</strong>: The macOS target can use the standard <span class=""inline"">DyLib</span> files for extensions.","<strong>macOS</strong>: macOSが対象にされていると標準的な<span class=""inline"">DyLib</span>ファイルを拡張機能に利用できます。"
Extensions.htm+html.body.ul.li:102-5,"<strong>Ubuntu (Linux)</strong>: For the Ubuntu target you need to make sure that your extension uses <span class=""inline"">SO</span> files.","<strong>Ubuntu (Linux)</strong>: Ubuntuが対象にされている場合、拡張機能では<span class=""inline"">SO</span>ファイルを利用しなくてはなりません。"
Extensions.htm+html.body.ul.li:103-5,"<strong>HTML5</strong>: These platforms can use <span class=""inline"">JavaScript</span> extensions.","<strong>HTML5</strong>: これらのプラットフォームでは<span class=""inline"">JavaScript</span>の拡張機能を利用できます。"
Extensions.htm+html.body.ul.li:104-5,"<strong>Android</strong>: This platform requires an extension to be written in <span class=""inline"">Java</span> or an <span class=""inline"">Android Framework SDK</span>.","<strong>Android</strong>: このプラットフォームでは<span class=""inline"">Java</span>または<span class=""inline"">Android Framework SDK</span>で書かれた拡張機能を必要とします。"
Extensions.htm+html.body.ul.li:105-5,"<strong>iOS</strong> / <strong> tvOS</strong>: Extensions for this platform are written in Objective C and require a <span class=""inline"">*.mm</span> and a <span class=""inline"">*.h</span> file, or if using any Frameworks, a pre-compiled <span class=""inline"">*.a</span> native file.","<strong>iOS</strong> / <strong> tvOS</strong>: このプラットフォーム用の拡張機能にはObjective Cで書かれた<span class=""inline"">*.mm</span>および<span class=""inline"">*.h</span>ファイル、またフレームワークを使用している場合は、コンパイル済みの<span class=""inline"">*.a</span>ネイティブファイルが必要です。"
Extensions.htm+html.body.ul.li:106-5,"<strong>PlayStation</strong>: For PlayStation 3 or 4 your extensions should be <span class=""inline"">PRX</span> files, with each target requiring a different <span class=""inline"">PRX</span> to conform to specification of the target (either PS3 or PS4). If working on a PSVita, the extension should be <span class=""inline"">SUPRX</span> instead.","<strong>PlayStation</strong>: PlayStation 3および4では<span class=""inline"">PRX</span>ファイルの拡張機能にする必要があり、この<span class=""inline"">PRX</span>ファイルはそれぞれの仕様（PS3およびPS4）に合わせなければなりません。PSVita用のプロジェクトであれば<span class=""inline"">SUPRX</span>の拡張機能にしてください。"
Extensions.htm+html.body.p:109-3,"<strong>NOTE</strong>: Some extensions are required to follow specific naming conventions for GameMaker to correctly identify the platform and CPU architecture they are designed for. Please see the section on <a href=""Extension_Creation/Creating_An_Extension.htm"">Creating Extensions</a> for more information.","<strong>注意</strong>: 一部の拡張機能ではGameMaker側でプラットフォーム、設計されたCPUアーキテクチャを正しく識別させるために特定の命名規則を守らなくてはなりません。詳しくは<a href=""Extension_Creation/Creating_An_Extension.htm"">拡張機能の作り方</a>のセクションを参照してください。"
Extensions.htm+html.body.p:110-3,"Since a single extension can have various associated files, it's possible to create a single extension for multiple platforms, in which case you want to specify <em>all </em>the compatible platforms in the main extension editor (ie: tick the checkbox beside them) and then in the individual file properties for each part of the extension, set the platform that those files should be exported to.",1つの拡張機能にはさまざまなファイルを割り当てられるため、複数のプラットフォーム用の拡張機能を作ることも可能です。このような場合、メイン拡張機能エディタで互換性のあるプラットフォームを<em>すべて</em>指定（横のチェックボックスにチェック）し、拡張機能の各ファイルのプロパティから出力させるプラットフォームを設定しましょう。
Extensions.htm+html.body.p:112-3,"To change the target platform for a specific extension file or placeholder you must first open the extension properties (double click <img_tag=LMB_Icon:0> the extension in the Asset Browser or use <img_tag=RMB_Icon:0> and select <em>Open Properties</em>), and then once in the extension properties select the resource file from the right that you want to edit:",拡張機能のファイルまたはPlaceholderのターゲットプラットフォームを変更するには、まず拡張機能のプロパティを開き（アセットブラウザの拡張機能をダブルクリック<img_tag=LMB_Icon:0>するか右クリック<img_tag=RMB_Icon:0>して「<em>プロパティを開く</em>」を選ぶ）、右側のリソースファイルから編集したいファイルを選んでください。
Extensions.htm+html.body.p.img[alt]:114-23,{IMG_TXT} Extension Target Platforms,{IMG_TXT} 拡張機能のターゲットプラットフォーム
Extensions.htm+html.body.p:115-3,"<strong>NOTE</strong>: If you are exporting to the macOS or Ubuntu target, then you can set the ""Uncompress as zip file"" option to preserve file permissions for the extension.",<strong>メモ</strong>: macOSまたはUbuntuで出力する場合、「zipファイルとして展開」オプションを設定すると拡張機能のファイル権限が保たれるようになります。
Extensions.htm+html.body.p:116-3,"Once you have installed your extension, you can use the functions and constants for it just as you would the built in functions and constants used in the GameMaker Language. If your game is cross-platform (for example, it is designed to run on both Windows and Android targets), then you should use the <a href=""../GameMaker_Language/GML_Reference/OS_And_Compiler/OS_And_Compiler.htm"">OS constants and functions</a> to check the platform before calling extension specific functions to prevent issues, for example:","拡張機能をインストールした後は、GameMaker Languageに組み込まれている関数や定数とまったく同じように拡張機能の関数を使用できます。クロスプラットフォームのゲーム（たとえばWindowsとAndroidの両方で動作させるなど）であれば拡張機能の関数を呼び出す前に、不具合が起きないよう<a href=""../GameMaker_Language/GML_Reference/OS_And_Compiler/OS_And_Compiler.htm"">OS定数・関数</a>を使用してプラットフォームを認識しなければなりません。以下はその例です。"
Extensions.htm+html.body.p:119-3,"{ANY_CODE} switch(os_type)<br /> {nbsp_x4}{ <br /> {nbsp_x4}case os_android:<br /> {nbsp_x8}call_android_extension_function(x, y, z);<br /> {nbsp_x8}break; <br /> {nbsp_x4}case os_windows:<br /> {nbsp_x8}call_windows_extension_function(x, y, z);<br /> {nbsp_x8}break; <br /> {nbsp_x4}}","{ANY_CODE} switch(os_type)<br /> {nbsp_x4}{ <br /> {nbsp_x4}case os_android:<br /> {nbsp_x8}call_android_extension_function(x, y, z);<br /> {nbsp_x8}break; <br /> {nbsp_x4}case os_windows:<br /> {nbsp_x8}call_windows_extension_function(x, y, z);<br /> {nbsp_x8}break; <br /> {nbsp_x4}}"
Extensions.htm+html.body.p:124-3,"Note that for different platforms your extensions can share function names, so if you have an extension with distinct files to (for example) pop up a message for Windows and for Android, both extension files can share the same function name as long as they are both set to export only to their respective platforms.",なお、プラットフォームが異なっていても関数名を共有することが可能です。たとえばメッセージを表示させるファイルがWindowsとAndroidでまったく別の場合でも、それぞれのプラットフォームに出力されるよう設定しておけば同じ関数名にすることができます。
Extensions.htm+html.body.p:126-3,"If you want to create your won extensions, then you can find the basic required information from the following pages:",拡張機能を自分で作成するのであれば、以下のページから基本的な情報を確認できます。
Extensions.htm+html.body.ul.li:128-5,Creating An Extension,拡張機能の作り方
Extensions.htm+html.body.ul.li:129-5,Android Extensions,Androidの拡張機能
Extensions.htm+html.body.ul.li:130-5,iOS / tvOS Extensions,iOS / tvOSの拡張機能
Extensions.htm+html.body.h1:134-3,YoYo Games 3rd Party Extensions,YoYo Gamesのサードパーティ拡張機能
Extensions.htm+html.body.p:135-3,"Legacy versions of GameMaker had a lot of 3rd party functionality built in, but this was inefficient and difficult to maintain, since if any specific functionality was changed by the third party, then the whole GameMaker <a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a> and <a class=""tooltip"" title=""TITLE_KEY::Runtime"">Runtime</a> would have to be updated. So, current versions have adopted the use of extensions packages to add third party support to your games. This means that you can add only those extra functions that you require and that you can even adapt and edit them to suit your specific needs.","旧バージョンのGameMakerには多くのサードパーティー機能が組み込まれていたものの、サードパーティーによって機能が変更されるたびにGameMakerの<a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a>と<a class=""tooltip"" title=""TITLE_KEY::Runtime"">ランタイム</a>全体を更新しなくてはならなかったため、効率が悪く、維持するのが難しいという問題がありました。そのため現在のバージョンでは拡張機能パッケージの形でサードパーティーの機能に対応しています。よって必要な機能だけを追加したり、目的に合わせて編集するといったことも可能となっています。"
Extensions.htm+html.body.p:137-3,"Most of these extensions will be downloaded and installed for you when you select a specific <a href=""../Settings/Game_Options.htm"">Game Options</a> (like Facebook or Google Mobile Ads, for example), but you can find further information about them from the appropriate section for each platform on the YoYo Games Knowledge Base:","こうした拡張機能のほとんどは、特定の<a href=""../Settings/Game_Options.htm"">ゲームオプション</a>（FacebookやGoogle Mobile Adsなど）を選択している場合にのみダウンロード/インストールされます。詳しくは、YoYo Games Knowledge Baseの各プラットフォーム説明にて確認できます。"
Extensions.htm+html.body.ul.li:140-5,GameMaker Studio 2 Platforms And Setup,GameMaker Studio 2のプラットフォームとセットアップ
Extensions.htm+html.body.p:142-3,You can find the extensions themselves from the following Marketplace page:,拡張機能を探したいなら、マーケットプレイスのページを開いてみましょう。
Extensions.htm+html.body.ul.li:144-5,YoYo Games Marketplace Assets
Extensions.htm+html.body.p:146-3,"Note that these extensions come with a demo and a help file (in <span class=""inline"">*.pdf</span> format) that explains how to use them, and as such their functions are not covered in the manual."
Extensions.htm+html.body.div.div.div.div:153-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>"
Extensions.htm+html.body.div.div.div.div:154-9,"Next: <a href=""Fonts.htm"">Fonts</a>"
Extensions.htm+html.body.p:169-1,{SEARCH_RESULT} Page detailing how the extension editor works
Extensions.htm+html.body.p:169-69,{INDEX_KEYWORD} Extension Editor
Extensions.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon
Extensions.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon
