Sprites.htm+html.head.title:55-3,Sprites,スプライト
Sprites.htm+html.body.div.p:100-5,In this section you can set the image size by clicking the <strong>Sprite Size</strong> button <img_tag=Sprite_Size_Icon:0>. This will open the following window:,同じ場所にある「<strong>スプライトサイズ</strong>」ボタン<img_tag=Sprite_Size_Icon:0>をクリックすると次のウィンドウが開き、イメージ（画像）のサイズを設定することができます。
Sprites.htm+html.body.div.p.img[alt]:101-25,{IMG_TXT} Sprite Editor Resize Properties,{IMG_TXT} スプライトエディタのサイズ変更プロパティ
Sprites.htm+html.body.div.p:101-5,"Here you can see a preview of the sprite before and after applying the chosen transforms, and the section below is for setting the new sprite properties and is split into two parts:",ウィンドウには変形適用後のプレビューが表示されます。下側の2つに分かれた箇所では、次のようにスプライトの新しいプロパティを設定できます。
Sprites.htm+html.body.div.ul.li:104-7,"<strong>Scale Image</strong>: With this option you can resize the sprite draw canvas and any images contained on the sprite will be stretched and scaled to fit the new size. You can choose to scale and maintain the aspect ratio of the base image, and you can also choose whether to scale in Pixels or in Percentage. Depending on the type of image you are working with you may also want to enable linear interpolation or not (in general, linear interpolation will ""smooth"" pixels over an area and so is best left off for pixel art).",<strong>イメージのスケーリング</strong>: スプライトの描画キャンバスをリサイズするとともに、それぞれのイメージを指定したサイズに合わせて伸縮させます。イメージのアスペクト比を維持させるか、ピクセル単位とパーセント単位のどちらで拡大縮小させるかを指定可能です。イメージの形式によっては、リニア補間を有効 / 無効にすることもできます（リニア補間とはピクセル全体を「滑らかに」する機能であるため、ドット絵であれば無効にしておくべきでしょう）
Sprites.htm+html.body.div.ul.li:107-7,"<strong>Resize Canvas</strong>: This option will resize the draw canvas to the new size without scaling the contents. You can set the ""anchor"" point for the resize using the directional arrows then set the size value. There is an option to maintain aspect ratio when resizing the canvas and at the bottom you can choose to set the resize values in either pixels or as a percentage.",<strong>キャンバスのリサイズ</strong>: 描画キャンバスのリサイズのみでイメージは拡大縮小しません。矢印をクリックすると「基準点」を設定してからサイズを変更できます。アスペクト比の維持を切り替えたり、ピクセルかパーセンテージからリサイズ単位を選択できるオプションもあります。
Sprites.htm+html.body.div.p:110-5,"When you are happy with the new size, you can click <em>Apply </em>to apply the changes and close the Resize properties window. Note that when applying a change in scale or size to a sprite, you can choose to have the change applied to the origin of the sprite too, by checking the <strong>Apply to Origin </strong>checkbox beside the <em>Apply </em>button. When checked - if the origin is not one of the default settings and is not locked in the sprite - then its position will be scaled to match the change to the size of the sprite. When un-checked, no scaling will be applied to the origin. If the origin is not a custom value or is locked, then it will be grayed out and unavailable. You can set this option for all sprites from the <a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Sprite_Editor_Preferences.htm"">Sprite Editor Preferences</a>.","納得できるサイズに設定したら「<em>適用</em>」をクリックしましょう。変更を適用し、サイズ変更プロパティのウィンドウを閉じることができます。なおスケーリングまたはリサイズを適用する前に、<em>適用</em>ボタンの横にある<strong>原点へ適用</strong>をクリックすると、変更をスプライトの原点に適用するかを選択できます。チェックを入れた場合、原点がカスタム値かつロックされていなければ、新しいサイズに合わせて原点の位置が調整されます。外した場合、原点にスケーリングは適用されません。原点がカスタム値ではなくロック中の場合、オプションはグレーアウトして利用できなくなります。<a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Sprite_Editor_Preferences.htm"">スプライトエディタ設定</a>を開けば、すべてのスプライトの設定値を変更することも可能です。"
Sprites.htm+html.body.div.div:114-5,"NOTE: This option is only available for <a class=""tooltip"" title=""TITLE_KEY::bitmap"">bitmap</a> sprites and will be greyed out for SWF or skeleton animation sprites.","注: このオプションは<a class=""tooltip"" title=""TITLE_KEY::bitmap"">ビットマップ</a>スプライトでのみ利用でき、SWFまたはスケルトンアニメーションスプライトではグレーアウトします。"
Sprites.htm+html.body.div.p:115-5,"In this section you can also either open the <a href=""Image_Editor.htm"">Image Editor</a> to draw your sprite, or you can click on the ""<em>Import</em>"" button to import a previously created sprite. Sprites can be imported from most common bitmap formats ( <span class=""inline"">PNG</span>, <span class=""inline"">JPG</span>, <span class=""inline"">GIF</span>, etc...) but GameMaker Studio 2 also supports vector sprites (<span class=""inline"">SWF</span>) and skeletal animation sprites ( <span class=""inline"">Spine</span>). For more information on these formats, please see the section on <a href=""../Settings/Texture_Information/Non-Bitmap_Sprites.htm"">Non-Bitmap Sprites</a>. Note that when importing bitmap sprites you can select multiple image files in the file explorer and each one will be added to the same sprite as separate sub-images (frames).","また、この領域では<a href=""Image_Editor.htm"">イメージエディタ</a>を開いてスプライトを描いたり、「<em>インポート</em>」ボタンをクリックして作成済みのスプライトをインポートすることができます。一般的なビットマップ形式（<span class=""inline"">PNG</span>、<span class=""inline"">JPG</span>、<span class=""inline"">GIF</span>など）のスプライトをインポート可能で、GameMaker Studio 2はそれ以外にもベクタースプライト（<span class=""inline"">SWF</span>）、スケルタルアニメーションスプライト（<span class=""inline"">Spine</span>）に対応しています。これらの形式についての詳細は、<a href=""../Settings/Texture_Information/Non-Bitmap_Sprites.htm"">非ビットマップスプライト</a>のセクションを参照してください。なお、ビットマップスプライトをインポートする際にファイルエクスプローラーで複数の画像ファイルを選択すると、それぞれスプライトのサブイメージ（フレーム）として別々に追加することができます。"
Sprites.htm+html.body.p:121-3,"<span data-open-text=""true"">Texture Settings</span><span data-close-text=""true"">Texture Settings</span>","<span data-open-text=""true"">テクスチャ設定</span><span data-close-text=""true"">テクスチャ設定</span>"
Sprites.htm+html.body.div.p:123-5,"This section of the sprite properties window deals with how GameMaker Studio 2 stores the images that make up your sprite on <a class=""tooltip"" title=""TITLE_KEY::texture_page"">texture page</a><span class=""glossextra""></span> for use with devices and browsers. For desktop platforms this may not be too important, but when you start to develop for mobile or web the proper management of your image assets (textures) becomes very important as poorly managed textures can have detrimental effect on your game, causing performance issues.","ここではGameMaker Studio 2側でどのようにしてスプライトのイメージを、各デバイス・ブラウザの<a class=""tooltip"" title=""TITLE_KEY::texture_page"">テクスチャページ</a><span class=""glossextra""></span>に保存させるかを設定できます。デスクトップ・プラットフォームではあまり重要なオプションではありませんが、モバイルまたはウェブ向けに開発している場合、イメージアセット（テクスチャ）を適切に管理することはとても重要です。テクスチャの管理が甘いと、パフォーマンスの悪影響に繋がるためです。"
Sprites.htm+html.body.div.p:126-5,"The <strong>Tile Horizontally</strong> and <strong>Tile Vertically</strong> check boxes are, by default, not normally checked as most times you do not want to tile sprites. However, in certain circumstances you may wish them to tile, meaning that you should check these options, especially if you are going to be scaling the view or room as scaling can introduce artefacts into the graphics of a game if the texture page is not generated properly.",<strong>水平に並べて表示</strong>、<strong>垂直に並べて表示</strong>のチェックボックスは、タイルスプライトが必要となる場面が少ないためデフォルトではチェックされていません。もっとも、タイル化しておきたい場合はチェックを入れるべきでしょう。ルームまたはビューのスケールを変更させるなら尚更で、テクスチャページが適切に生成されていないのにスケールを変更してしまうと、ゲーム内のグラフィックに乱れが生じてしまいます。
Sprites.htm+html.body.div.p:128-5,"If your sprite is going to be used as a texture map in a 3D game, then you should check the <strong>Separate Texture Page</strong> box and the sprite will be given a texture page all of its own (note that each sub-image will also get its own texture page, so if your sprite has 10 images you will generate 10 texture pages). This will increase the texture memory needs of your game and so great care must be taken when using this option. Also note that in general if your sprite is using this option for 3D, then the textures should be a power of 2 (ie: 128x128, 256x256, 512x512 etc...).",スプライトを3Dゲームのテクスチャマップとして扱うなら、<strong>テクスチャページの分割</strong>にチェックを入れ、専用のテクスチャページが与えられるようにする必要があります（各サブイメージにも専用のテクスチャページが与えられ、イメージが10ある場合、テクスチャページが10生成されます）。このオプションはゲームに必要なテクスチャメモリを増加させるため、十分に注意して扱ってください。また、このオプションを3Dにおいて有効にしている場合、テクスチャは2の累乗（128x128、256x256、512x512など）になります。
Sprites.htm+html.body.div.p:131-5,"The next option is to enable <strong>Pre-Multiplied Alpha</strong> for the sprite images. When enabled, this will pre-multiply the alpha of all sub-images of the sprite. This is normally only necessary drawing sprites to surfaces, or for some specific special effects. For normal sprite use you should not see any noticeable difference between the normal sprite and the pre-multiplied one.",次のオプションはイメージの<strong>事前乗算アルファ</strong>です。有効にした場合、スプライトの各サブイメージのアルファが事前乗算されるようになります。通常はサーフェスにスプライトを描画する、または特殊なエフェクトを使用する場合にのみ必要となり、普通の使い方をするスプライトで事前乗算を有効にしたとしても目立った変化は現れません。
Sprites.htm+html.body.div.p:133-5,"We also have an<strong> Edge Filtering</strong> option. This option is specifically for when you have <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a> enabled for your game and you are seeing ""halos"" of colour around your sprites. This is caused by the hardware interpolating from multiple source <a class=""tooltip"" title=""TITLE_KEY::texel"">texel</a><span class=""glossextra""></span> on the texture page all at once, and can be particularly obvious when you scale games up in resolution. Enabling this will filter the edge pixels to take on the colour of the nearest full alpha sprite pixel and so blend the interpolated pixels without the halo that was present previously.","もう1つのオプションは<strong>輪郭フィルタリング</strong>です。このオプションはゲーム内で<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>が有効にされている際、スプライトの周りに表示される色の「輪」を消すためのオプションです。この問題は、テクスチャページのソース<a class=""tooltip"" title=""TITLE_KEY::texel"">テクセル</a><span class=""glossextra""></span>がハードウェア側で同時に複数補間された場合に発生します。ゲームの解像度を上げるとよりはっきり認識できるでしょう。オプションを有効にしておくと、周辺ピクセルの色がその近くの最大アルファ値ピクセルの色になるようフィルタリングされるため、輪を表示させることなく補間済みピクセルのブレンドが行われるようになります。"
Sprites.htm+html.body.div.p:136-5,"Finally, you can chose the <strong>texture group</strong> that you wish the sprite resource to belong to. Basically, a texture group (previously defined in the <a href=""../Settings/Texture_Groups.htm"">Texture Group Manager</a>) is something that you can set up so that all the image resources that you need for specific rooms or levels of your game can be stored together. So, for example, you can have all your level 1 images in one texture group, all your level 2 images in another etc... and GameMaker Studio 2 will try to place all those grouped resources on the same texture page to reduce texture page swapping while your game is running on the chosen target platform.","最後はスプライトリソースが含まれる<strong>テクスチャグループ</strong>の指定です。テクスチャグループ（<a href=""../Settings/Texture_Groups.htm"">テクスチャグループマネージャー</a>であらかじめ定義します）とは、ルームないしレベル用のイメージリソースをまとめて記憶させるために設定するグループです。たとえば、レベル1用のイメージを特定のテクスチャグループに含め、レベル2用のイメージをそれとは別のテクスチャグループに含めるといったような設定をします。グループに入れられたリソースは同じテクスチャページへの配置が試みられるため、現在のターゲットプラットフォームでゲームが実行されている際に起きる、テクスチャページのスワップ（切り替わり）を減らすことができます。"
Sprites.htm+html.body.div.div:139-5,<strong>NOTE</strong>: This may not always be necessary and the performance increase from this method will depend on whether the target device is CPU bound or GPU bound.,<strong>注</strong>: テクスチャグループの指定は必須ではなく、利用することでパフォーマンスを向上できるかはターゲットデバイスがCPU依存かGPU依存かによって異なります。
Sprites.htm+html.body.div.p:140-5,"You can find out more about texture pages <a href=""../Settings/Texture_Information/Texture_Pages.htm"">here</a>.","テクスチャページについては<a href=""../Settings/Texture_Information/Texture_Pages.htm"">こちら</a>で詳しく説明されています。"
Sprites.htm+html.body.div.p:141-5,"Texture groups are only relevant to <a class=""tooltip"" title=""TITLE_KEY::bitmap"">bitmap</a> images, and non-bitmap sprites will not be assigned to texture groups and some of the above options will not be available for them. Some non-bitmap sprites will already have their own unique texture page (skeleton animation sprites) while others just don't require textures as they are comprised of <a class=""tooltip"" title=""TITLE_KEY::vector"">vector</a> <span class=""glossextra""></span> (SWF sprites). For more information please see the following section:","テクスチャグループが関わってくるのは<a class=""tooltip"" title=""TITLE_KEY::bitmap"">ビットマップ</a>イメージのみで、非ビットマップイメージはテクスチャグループに割り当てられず、上記の各オプションも無効となります。専用のテクスチャページ（スケルトンアニメーションスプライト）をもつ非ビットマップスプライトも存在しますが、それ以外は<a class=""tooltip"" title=""TITLE_KEY::vector"">ベクター</a><span class=""glossextra""></span>で構成されたスプライト（SWFスプライト）のためテクスチャを必要としません。詳しくは以下のセクションを参照してください。"
Sprites.htm+html.body.div.ul.li:144-7,Non-Bitmap Sprites,非ビットマップスプライト
Sprites.htm+html.body.p:148-3,"<span data-open-text=""true"">Collision Mask</span><span data-close-text=""true"">Collision Mask</span>","<span data-open-text=""true"">コリジョンマスク</span><span data-close-text=""true"">コリジョンマスク</span>"
Sprites.htm+html.body.div.p:150-5,"All sprites have a <strong>collision mask</strong> which corresponds to the area of the sprite that will be used to detect collisions when the sprite is assigned to an instance. You can first set the <strong>Mode </strong>for the collision mask, which can be one of the following:",スプライトには、スプライトを割り当てたインスタンスが衝突を検出するための範囲となる<strong>コリジョンマスク</strong>があります。まずはコリジョンマスクの<strong>モード</strong>を設定しましょう。
Sprites.htm+html.body.div.ul.li:153-7,<strong>Automatic</strong>: GameMaker Studio 2 will calculate the collision mask automatically based on the sprite alpha values (this will depend on the Tolerance setting explained below).,<strong>自動</strong>: スプライトのアルファ値をもとにGameMaker Studio 2側でコリジョンマスクが自動計算されます（下にある許容値の設定を基準とします）
Sprites.htm+html.body.div.ul.li:154-7,"<strong>Full Image</strong>: The mask will be calculated with it's bounds being the same as the left, right, top and bottom bounds of the sprite.",<strong>イメージ全体</strong>: スプライトの上下左右の境界線と同じ範囲になるようマスクが計算されます。
Sprites.htm+html.body.div.ul.li:155-7,"<strong>Manual</strong>: Selecting this means that you wish to set the bounds of the collision mask using the input values for left, right, top and bottom.",<strong>マニュアル</strong>: 上下左右の入力値からコリジョンマスクの境界線を設定したい場合に選択します。
Sprites.htm+html.body.div.p:157-5,"Apart from the collision mask Mode, there are also various <strong>types </strong>of collision mask which you can choose from the drop down menu:",コリジョンマスクのモードの他に、ドロップダウンメニューからコリジョンマスクの<strong>形</strong>を指定することができます。
Sprites.htm+html.body.div.ul.li:159-7,<strong>Rectangle</strong>: A simple rectangular collision mask. This is the fastest to resolve when used in your project.,<strong>長方形</strong>: シンプルな長方形のコリジョンマスクで、もっとも素早く計算されます。
Sprites.htm+html.body.div.ul.li:160-7,"<strong>Rotated Rectangle</strong>: This is a simple rectangular collision mask which will rotate along with the <span class=""inline"">image_angle</span> value of the instance with the sprite assigned. This is slower to resolve than the regular rectangular collision mask, but faster than a precise collision mask.","<strong>回転あり長方形</strong>: 同じく長方形のコリジョンマスクですが、スプライトを割り当てたインスタンスの<span class=""inline"">image_angle</span>値によって回転します。通常のコリジョンマスクより計算が遅いものの、精密コリジョンマスクよりは高速です。"
Sprites.htm+html.body.div.ul.li:162-7,<strong>Ellipse</strong>: Creates an elliptical collision mask. This is slower to resolve than the rectangular mask.,<strong>楕円形</strong>: 楕円形のコリジョンマスクが作られます。長方形マスクより計算が遅いです。
Sprites.htm+html.body.div.ul.li:163-7,"<strong>Diamond</strong>: Creates a ""diamond"" collision mask. This is slower to resolve and generates more CPU overhead than both the rectangular and ellipitical masks.",<strong>ひし形</strong>: ひし形のコリジョンマスクが作られます。長方形、楕円形のマスクより計算が遅く、CPUオーバーヘッドも増しています。
Sprites.htm+html.body.div.ul.li:164-7,"<strong>Precise</strong>: This creates a precise collision mask based on the outline of the sprite. If the sprite has multiple sub-images, then this will be a <em>composite </em>of the edges of <em>all </em>the sub-images placed over each other. Note that the precise mask will be clipped to the <a class=""tooltip"" title=""TITLE_KEY::bounding_box"">bounding box</a> if the Mode is set to Manual and you change the default values. This is very slow and generates a lot of CPU overhead.","<strong>精密</strong>: スプライトの輪郭線をもとに精密なコリジョンマスクが作られます。サブイメージが複数ある場合、<em>すべて</em>のサブイメージの周辺部分を<em>重ね合わせた</em>マスクが作られます。モードがマニュアルかつ入力値を変更した場合、精密マスクは<a class=""tooltip"" title=""TITLE_KEY::bounding_box"">バウンディンボックス</a>の範囲内に収まるよう切り抜かれます。このモードは非常に低速で、CPUオーバーヘッドが大いに生じます。"
Sprites.htm+html.body.div.ul.li:166-7,"<strong>Precise (per frame)</strong>: This creates a precise collision mask on a per-frame basis (ie: the mask will change to conform to the outline of each different frame). Note that the precise mask will be clipped to the <a class=""tooltip"" title=""TITLE_KEY::bounding_box"">bounding box</a> if the Mode is set to Manual and you change the default values. This is by far the slowest type of collision mask to resolve and should be avoided except in very, very specific and infrequent cases.","<strong>フレーム毎に精密</strong>: 1フレームごとに新しく精密コリジョンマスクを生成します（それぞれのフレームの輪郭線と同じ形になるよう変化）。モードがマニュアルかつ入力値を変更した場合、精密マスクは<a class=""tooltip"" title=""TITLE_KEY::bounding_box"">バウンディンボックス</a>の範囲内に収まるよう切り抜かれます。もっとも低速なコリジョンマスクのため、非常に例外的なケース以外では使わないようにするべきです。"
Sprites.htm+html.body.div.p:170-5,The following image illustrates the different mask options:,以下の画像はそれぞれのマスクの例です。
Sprites.htm+html.body.div.p.img[alt]:171-25,{IMG_TXT} Collisions,{IMG_TXT} コリジョン
Sprites.htm+html.body.div.p:171-5,"The collision checking options are very important ones for your game, as they will directly influence how your objects interact and how your game runs, with the wrong settings even having a negative impact on the over all performance. Why is that? Well, whenever two instances meet, and both instances have a valid mask, a collision event is generated by checking the overlap of the bounding box <em>and </em>the mask, which can either be precise or not, and adapted to the image index or not. Below is an image to illustrate this:",これらのコリジョン判定オプションはとても重要なものです。オブジェクト同士のインタラクトに直接影響し、設定を間違えればゲーム全体のパフォーマンスに悪影響を与えます。なぜかというと、有効なマスクのある2つのインスタンスが接触するたびに、バウンディングボックス<em>と</em>マスクの重なりをチェックする衝突イベントが発生するからです。これはマスクが精密かどうか、イメージのインデックスに合わされるかどうかは関係しません。下の画像はその説明となります。
Sprites.htm+html.body.div.p.img[alt]:174-25,{IMG_TXT} Different collisions and how they are resolved,{IMG_TXT} コリジョンがどのように計算されるか
Sprites.htm+html.body.div.p:175-5,"Beneath the collision mask setting, you have the <strong>alpha tolerance </strong>slider, which indicates the tolerance for creating the mask with respect to the transparency of the sprites pixels - with a higher tolerance pixels that are partially transparent are left outside the mask, while with a lower tolerance the mask will take into account those pixels. This influences both the bounding box (when not set to manual) and the mask for precise collision checking.",コリジョンマスク設定の下にあるのは<strong>アルファ許容値</strong>のスライダーで、ピクセルの透明度を反映させたマスクを生成する際の許容範囲を示しています。許容値を上げると完全に透明でないピクセルはマスクの外側に残り、許容値を下げるとそのようなピクセルもマスクに含まれるようになります。このオプションはバウンディングボックス（マニュアルでない場合のみ）およびマスクの精密コリジョン判定に影響します。
Sprites.htm+html.body.div.p:177-5,"Finally you can set the <strong>Bounding Box</strong> limits for the mask. The bounding box is the name given to the rectangular area that the sprite mask fits in. Only pixels inside this bounding box are used for the mask and will be involved in collision checking, and by default this is automatically computed, taking the alpha tolerance into account. If you have ""precise (per frame)"" checked then this will be separate for each sub-image too. When setting it yourself, you can input the values in the boxes for left, right top and bottom, or you can click <img_tag=LMB_Icon:1> in the sprite preview window and drag to ""draw"" it over the sprite. Note that when ""drawing"" the bounding box, the mask is automatically generated to fit within the end values, and the bounding box can ""clip"" the mask.",あとはマスクの<strong>バウンディングボックス</strong>の境界線を設定するだけです。バウンディングボックスとはスプライトのマスクが収まる長方形の領域のことで、このバウンディングボックスの内側にあるピクセルだけがマスクの対象となり、コリジョンの判定に影響します。デフォルトではアルファ許容値を参照しながら自動計算され、さらに「フレーム毎に精密」がチェックされている場合は、サブイメージごとに分けて計算されます。自分で設定する場合は、入力欄に上下左右の値を入力するか、プレビューウィンドウのバウンディングボックスをスプライトの上にドラッグ<img_tag=LMB_Icon:1>して引っぱってきてください。バウンディングボックスをドラッグすると、端の数値に収まるようマスクが自動生成され、バウンディングボックスの中で切り抜かれます。
Sprites.htm+html.body.div.p:181-5,"It is worth noting that if you go to the Preview window, you can adjust the collision mask using the ""handles"" found in each corner. Clicking and dragging these will adjust the collision mask just the same as inputing values for the bounding box would.",覚えておきたい点として、プレビューウィンドウでは四隅にある「ハンドル」をドラッグしてコリジョンマスクを調整できます。ハンドルを操作すると、コリジョンマスクと同時にバウンディングボックスの入力値も変化します。
Sprites.htm+html.body.p:185-3,"<span data-open-text=""true"">Broadcast Messages</span><span data-close-text=""true"">Broadcast Messages</span>","<span data-open-text=""true"">ブロードキャストメッセージ</span><span data-close-text=""true"">ブロードキャストメッセージ</span>"
Sprites.htm+html.body.div.p:187-5,"This button will add a <strong>broadcast message</strong> to the sprite timeline, opening a dialog where you can add the message to be broadcast. The message will be added wherever the <a class=""tooltip"" title=""TITLE_KEY::playhead"">playhead</a> is in the frame view and consists of a simple string that can be picked up in the <a href=""Sequence_Properties/Broadcast_Messages.htm"">Broadcast Message Event</a> when it is triggered and then acted on.","このボタンを押すと、スプライトのタイムラインに<strong>ブロードキャストメッセージ</strong>を追加できます。送信するメッセージはダイアログから設定し、フレームビューの<a class=""tooltip"" title=""TITLE_KEY::playhead"">再生ヘッド</a>位置に追加されます。このメッセージは単純な文字列であり、<a href=""Sequence_Properties/Broadcast_Messages.htm"">Broadcast Messageイベント</a>の作動時に取得されます。"
Sprites.htm+html.body.div.p.img[alt]:188-25,{IMG_TXT} Add broadcast messages to a sprite,{IMG_TXT} スプライトにブロードキャストメッセージを追加
Sprites.htm+html.body.div.p:188-5,"Once added, the message will be shown in the Frame View, and you can click the right mouse button <img_tag=RMB_Icon:2> on it to open a menu where you can delete the message or edit it. For more information on Broadcast Messages please see <a href=""Sequence_Properties/Broadcast_Messages.htm"">here</a>.","追加したメッセージはフレームビューに表示され、右クリック<img_tag=RMB_Icon:2>メニューから削除または編集できます。ブロードキャストメッセージの詳細については<a href=""Sequence_Properties/Broadcast_Messages.htm"">こちら</a>で説明されています。"
Sprites.htm+html.body.p:191-3,"<span data-open-text=""true"">Frame Speed</span><span data-close-text=""true"">Frame Speed</span>","<span data-open-text=""true"">フレーム速度</span><span data-close-text=""true"">フレーム速度</span>"
Sprites.htm+html.body.div.p:193-5,"In this section you can set the <strong>speed </strong>at which the animation frames should be played back from the input box on the left. The frame speed setting can either be based on ""<strong>Frames per second</strong>"", or ""<strong>Frames per game frame</strong>"", where a setting of 30 ""Frames per second"" will show 30 frames of the animation in one second, while a setting of 30 ""Frames per game frame"" will try to show all 30 frames in a single game step, so ""Frames per game frame"" values are usually set to 1 or lower (eg: a frames per game frame speed of 0.5 will show a new frame every two game steps).",ここでは左側の入力欄から、アニメーションフレームが再生される<strong>速度</strong>を設定できます。この速度は「<strong>フレーム/秒</strong>」または「<strong>フレーム/ゲームフレーム</strong>」のいずれかに基づいて設定され、たとえば「フレーム/秒」にして30を入力すると、1秒につき30フレーム表示されます。「フレーム / ゲームフレーム」にして30を入力した場合、ゲーム内の1ステップごとに30フレーム表示するよう処理されるため、基本的にこちらでは速度を1以下に設定します（フレーム / ゲームフレームで速度を0.5にすると、2ステップごとに次のフレームが表示されます）
Sprites.htm+html.body.div.p:196-5,"It's important to note that the Frame Speed settings will not only affect the playback of the animation in the preview window, but <strong>will also govern how the sprite is animated in your games</strong>. The speed you set here will show the sprite preview as it will run in the game with an image speed multiplier of 1, but this can be set in code using the <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_speed.htm""><span class=""inline"">image_speed</span></a> variable meaning the sprite can run faster or slower depending on what is programmed. So, for example, if you set the sprite to use 10 ""frames per second"" and then set the <span class=""inline"">image_speed</span> to 0.5, the game will draw the sprite at half speed - 5 frames per second. Conversely, if we set the <span class=""inline"">image_speed</span> for the same sprite to 2, in the game it will be drawn animated twice as fast - 20 frames per second. Note that the frame speed can also be set in the <a href=""Image_Editor.htm"">Image Editor</a>.","注意点として、ここで設定したフレーム速度はプレビューウィンドウでの再生時だけでなく、<strong>ゲーム内でのアニメーションにも影響</strong>するということです。プレビューでの再生速度は、ゲーム内でイメージの速度倍率を1にした場合と同一です。ただし、この倍率はコードから<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_speed.htm""><span class=""inline"">image_speed</span></a>変数を参照して変更可能なため、実際にはプログラムの内容によって再生速度が早くなったり遅くなったりします。たとえば「フレーム / 秒」にして10を入力し、<span class=""inline"">image_speed</span>を0.5にした場合、ゲーム内では1秒につき5フレームという半分の速度で描画されます。それとは逆に<span class=""inline"">image_speed</span>を2にすれば、ゲーム内では1秒につき20フレームという倍の速度で描画されます。なお、フレーム速度は<a href=""Image_Editor.htm"">イメージエディタ</a>からでも設定可能です。"
Sprites.htm+html.body.p:203-3,"<span data-open-text=""true"">Sprite Origin</span><span data-close-text=""true"">Sprite Origin</span>","<span data-open-text=""true"">スプライトの原点</span><span data-close-text=""true"">スプライトの原点</span>"
Sprites.htm+html.body.div.p:205-5,"The top bar of the sprite editor contains the <strong>sprite origin</strong> properties. This is the point on the sprite that corresponds to its position within the room, ie: when you create an instance at a particular x/y position, the origin of the sprite is placed there.",スプライトエディタの上部バーからは<strong>スプライトの原点</strong>を設定できます。原点とは、ルームに置かれたスプライトの位置にあたる地点のことです。たとえば任意のx/y座標にインスタンスを生成した場合、スプライトの原点がちょうどその位置に重なります。
