Scripts.htm+html.head.title:55-3,Scripts,スクリプト
Scripts.htm+html.body.div.p:113-5,"For information on the rest of the right-click <img_tag=RMB_Icon:0> menu options, see the section on <strong>Editing</strong>, below.",他の右クリックメニュー項目については、以下にリンクされている<strong>編集</strong><img_tag=RMB_Icon:0>のページを参照してください。
Scripts.htm+html.body.p:116-3,"<span data-open-text=""true"">Gutter</span><span data-close-text=""true"">Gutter</span>","<span data-open-text=""true"">余白</span><span data-close-text=""true"">余白</span>"
Scripts.htm+html.body.div.p:118-5,"The <strong>Gutter </strong>is used to show the line numbers for your code and also to convey some specific pieces of information about the state of the code. Most importantly, if you make a <a class=""tooltip"" title=""TITLE_KEY::typo"">typo</a> or construct the code incorrectly, then the GameMaker Studio 2 <a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a> will inform you of the issue by flagging the line of code with a red exclamation mark <img_tag=Code_Error_Icon:0> showing a <a class=""tooltip"" title=""TITLE_KEY::syntax"">syntax</a> error. You can then mouse over the symbol to get a brief description of what the issue is:","<strong>余白</strong>の部分にはコードの行番号や、コードの状態をあらわす特定の情報が表示されます。特に重要なものとして、<a class=""tooltip"" title=""TITLE_KEY::typo"">タイポ</a>やコードの構造に誤りがある場合、<a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a>によってコード行に<a class=""tooltip"" title=""TITLE_KEY::syntax"">構文</a>エラーを示す赤い！マーク<img_tag=Code_Error_Icon:0>が表示され、問題を知らせてくれます。このマークの上にマウスを置くと、どのような問題があるのか簡単に説明してくれます。"
Scripts.htm+html.body.div.p.img[alt]:119-25,{IMG_TXT} Script Editor Syntax Error,{IMG_TXT} スクリプトエディタの構文エラー
Scripts.htm+html.body.div.p:119-5,You can find more information on Syntax errors (and general errors when testing or compiling your code) from the following section:,構文エラー、およびコードのテスト、コンパイル時に起こる一般的なエラーについては以下のページに詳細があります。
Scripts.htm+html.body.div.ul.li:121-7,Error Reporting,エラー報告
Scripts.htm+html.body.div.p:123-5,"The gutter will also mark any line of the script that has had a <strong>breakpoint </strong>added. A breakpoint is simply a place in the script where you want the <a href=""../IDE_Tools/The_Debugger.htm"">debugger</a> to pause the execution of your game when it is reached. You can toggle a breakpoint from any line of any script or object event by pressing ""<span class=""inline"">f9</span>"" or using the right-click <img_tag=RMB_Icon:0> menu. When you add a breakpoint, it will show up like this in the gutter:","また、余白部分には<strong>ブレークポイント</strong>が追加されている行に目印がつけられます。ブレークポイントとは、スクリプト内の追加位置に達したとき、<a href=""../IDE_Tools/The_Debugger.htm"">デバッガ</a>にゲームの実行を一時停止させるための地点です。ブレークポイントはスクリプト、オブジェクトイベントの各行に追加でき、""<span class=""inline"">F9</span>""を押すか右クリック<img_tag=RMB_Icon:0>メニューから切り替えることができます。ブレークポイントを追加すると、余白部分にはこのように表示されます。"
Scripts.htm+html.body.div.p.img[alt]:125-25,{IMG_TXT} Script Editor Breakpoint Marker,{IMG_TXT} スクリプトエディタのブレークポイントマーカー
Scripts.htm+html.body.div.p:125-5,"Finally, the gutter will also show any bookmarked items too. To bookmark a line of code simply hold down <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Shift_Icon:0> + <span class=""inline"">Number</span> (from 0 to 9), and this will permit you to skip back to this line of code from anywhere in the IDE simply by using <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <span class=""inline"">Number</span> (from 0 to 9). To delete the bookmark, simply perform the same action as you used to add it on the line of code again. When a bookmark has been added, it will show like this:","最後に、余白にはブックマークされた項目も表示されます。コード行をブックマークするには<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Shift_Icon:0> + <span class=""inline"">数字キー</span>（0から9）を同時に押しましょう。行をブックマークすると、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <span class=""inline"">数字キー</span>（0から9）を押すことでIDEのどこからでもその行まで移動できるようになります。ブックマークを削除したくなったら、同じ操作を追加した行で行ってください。ブックマークを追加するとこのように表示されます。"
Scripts.htm+html.body.div.p.img[alt]:127-25,{IMG_TXT} Script Editor Bookmark Marker,{IMG_TXT} スクリプトエディタのブックマークマーカー
Scripts.htm+html.body.p:130-3,"<span data-open-text=""true"">Search / Replace</span><span data-close-text=""true"">Search / Replace</span>","<span data-open-text=""true"">検索 / 置換</span><span data-close-text=""true"">検索 / 置換</span>"
Scripts.htm+html.body.div.p:132-5,"While working in the script editor, you can press <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">F</span>"" to open up the Search box or <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">H</span>"" to open up Search and Replace:","スクリプトエディタでの作業時は、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">F</span>""で検索ボックス、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">H</span>""で検索と置換ボックスを開くことができます。"
Scripts.htm+html.body.div.p.img[alt]:133-25,{IMG_TXT} Script Editor Search Box,{IMG_TXT} スクリプトエディタの検索ボックス
Scripts.htm+html.body.div.p:133-5,"Here you can perform a <em>local </em>search for the keyword you input and once you have entered your search term, you can then use the arrows at the top right of the search window to skip from one found term to the next in the script. You can change how the search operation is carried out by toggling the following buttons:",ここでは入力したキーワードで<em>ローカル</em>検索を行うことができます。検索語を入力し、検索ウィンドウの右上にある矢印をクリックすると同じスクリプト内の該当する語句まで順番に移動できます。また、以下のボタンから検索方法を変更することも可能です。
Scripts.htm+html.body.div.table.tbody.tr.td.img[alt]:138-29,{IMG_TXT} Exact Word Icon,{IMG_TXT} 単語一致アイコン
Scripts.htm+html.body.div.table.tbody.tr.td:139-11,"When you toggle this, the search function will only highlight those strings that match the whole input string. For example, with it off a search for ""<em>random</em>"" will show up all words that contain this string - like <span class=""inline"">irandom()</span>, or <span class=""inline"">randomise()</span> - while toggling it to on would only show the function <span class=""inline"">random()</span>.","有効にすると、入力した文字列全体とマッチする文字列だけが強調表示されるようになります。たとえば無効のまま""<em>random</em>""で検索すると、<span class=""inline"">irandom()</span>、<span class=""inline"">randomise()</span>といった同じ文字列を含むすべての単語が候補となりますが、有効にしてから検索すると、<span class=""inline"">random()</span>関数だけが候補となります。"
Scripts.htm+html.body.div.table.tbody.tr.td.img[alt]:143-29,{IMG_TXT} Case Sensitive Icon,{IMG_TXT} 大文字と小文字を区別アイコン
Scripts.htm+html.body.div.table.tbody.tr.td:144-11,"When this option is toggled, you are telling GameMaker Studio 2 to check not only the contents of the search string, but the case too. For example, if you have a sprite called ""<span class=""inline"">spr_Dog</span>"" and do a search for "" <em>dog</em>"" with this toggle <em>off</em>, then the sprite string will be highlighted, however if the toggle is <em>on </em>then it won't since ""<em>Dog</em>"" is no longer considered the same as ""<em>dog</em>""."
Scripts.htm+html.body.div.p:149-5,"If you have opened the search window using <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">F</span>"", then the replace functionality will not be visible, so you need to click the Replace button <img_tag=Replace_Toggle_Icon:0> to open it. Once open, you can then enter a string that will be used to replace any given search string, using the following buttons to perform the action:"
Scripts.htm+html.body.div.table.tbody.tr.td.img[alt]:154-29,{IMG_TXT} Replace Next Icon
Scripts.htm+html.body.div.table.tbody.tr.td:155-11,"Clicking this will replace the next search string found in the script with the given replace string. Note that the ""next"" term is considered the next one after the current cursor position, and you can skip to different ones using arrow buttons at the top right of the search window."
Scripts.htm+html.body.div.table.tbody.tr.td.img[alt]:159-29,{IMG_TXT} Replace All Icon
Scripts.htm+html.body.div.table.tbody.tr.td:160-11,Clicking this will replace <em>all </em>examples of the search string within the script using the given replace string.
Scripts.htm+html.body.div.p:164-5,"Note that if you want to do a <em>global </em>search (ie: search the whole project rather than the current script or event), then you can press <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Shift_Icon:0> + ""F""."
Scripts.htm+html.body.p:168-3,"<span data-open-text=""true"">Main Code Editor</span><span data-close-text=""true"">Main Code Editor</span>"
Scripts.htm+html.body.div.p:170-5,The main code editor is where you'll write all your code to create the script asset or fill an object event. The actual edition of your code is covered in the section on <strong>Editing</strong> further down this page.
Scripts.htm+html.body.p:173-3,"<span data-open-text=""true"">Information</span><span data-close-text=""true"">Information</span>"
Scripts.htm+html.body.div.p:175-5,"The information bar at the bottom of the IDE shows you the current line number you are on and the position along the line. It is also where you can see the code helper, which is a line of text that shows the function you are currently editing along with the arguments it requires. As you fill in the function in the editor, the arguments will highlight to show you which one you are currently editing. If you have used the <a href=""Code_Editor_Properties/JSDoc_Script_Comments.htm"">JSDoc Script Comments</a> within a script asset then the information you have supplied will also show here."
Scripts.htm+html.body.p:180-3,You can get further information about using the script and code editors from the following pages:
Scripts.htm+html.body.ul.li:182-5,Editing Code
Scripts.htm+html.body.ul.li:183-5,JSDoc Comments
Scripts.htm+html.body.ul.li:184-5,Code Snippets
Scripts.htm+html.body.div.div.div.div:192-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>"
Scripts.htm+html.body.div.div.div.div:193-9,"Next: <a href=""Sequences.htm"">Sequences</a>"
Scripts.htm+html.body.p:205-1,{SEARCH_RESULT} Page detailing how the script editor works
Scripts.htm+html.body.p:205-66,{INDEX_KEYWORD} Script Editor
Scripts.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Scripts.htm.img_tag+Code_Error_Icon:0,{IMG_TXT} Code Error Icon,{IMG_TXT} コードエラーアイコン
Scripts.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Scripts.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Scripts.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Scripts.htm.img_tag+Replace_Toggle_Icon:0,{IMG_TXT} Replace Toggle Icon,{IMG_TXT} 置換切り替えアイコン
Scripts.htm.img_tag+Shift_Icon:0,{IMG_TXT} Shift Icon,{IMG_TXT} Shiftアイコン
