Sequences.htm+html.head.title:55-3,Sequences,シーケンス
Sequences.htm+html.body.p:112-3,"Below you can find an overview of each of the features of the sequence editor, and at the bottom of this page are links to pages that explain the three main features mentioned above in more depth:",以下はシーケンスエディタの各機能の概要です。ページの一番下からは、前述した 3 つのメイン機能についての詳しい解説ページに移動できます。
Sequences.htm+html.body.p:114-3,"<span data-open-text=""true"">Rulers / Guides</span><span data-close-text=""true"">Rulers / Guides</span>","<span data-open-text=""true"">定規 / ガイド</span><span data-close-text=""true"">定規 / ガイド</span>"
Sequences.htm+html.body.div.p:116-5,"The rulers along the edge of the canvas show you the position of the things that are placed within it, and are marked from (0, 0) which is the center of the canvas and the default origin for the sequence. You can click and drag on the rulers to pull a horizontal or vertical <strong>guide </strong>into the sequence, and this guide can then be used to accurately position the different assets that are being used, as moving an asset close to one will ""snap"" it to the guide. While positioning assets within the sequence, <strong>smart guides</strong> will also be temporarily shown indicating the distance between assets, as well as the distance from the sequence boundary or center point.","キャンバスの縁にある定規は配置されたアセットの位置を示しており、キャンバスの中心ないしシーケンスのデフォルト原点である (0, 0) を起点としています。この定規をドラッグして引っぱると、縦・横方向の<strong>ガイド</strong>がシーケンスに追加されます。アセットを動かしているときにガイドへ近づけると""スナップ""するため、これを利用して複数のアセットの位置を揃えることができます。アセットの配置中はさらに<strong>スマートガイド</strong>が表示され、アセット同士の距離や、シーケンスの境界線、中心点からの距離を示してくれます。"
Sequences.htm+html.body.div.p.img[alt]:119-25,{IMG_TXT} Guides and Smart Guides in the Sequences Editor,{IMG_TXT} シーケンスエディタのガイドとスマートガイド
Sequences.htm+html.body.div.p:119-5,"Note that the boundary of the sequence and the center point marker lines for the sequence are also considered guides and will behave the same way as guides added from the rulers, with the exception that they cannot be edited.",シーケンスの境界線、中心点のマーカー線もガイド扱いであり、定規から追加したガイドと同じ機能を持ちます。ただしこちらは編集できません。
Sequences.htm+html.body.div.p:121-5,"The distance that assets ""snap"" to guides, as well as other properties, can be set in the <a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Sequences_Preferences.htm"">Sequences Preferences</a>.","他の設定に加えて、<a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Sequences_Preferences.htm"">シーケンス環境設定</a>からアセットがガイドにスナップするまでの距離を設定できます。"
Sequences.htm+html.body.p:124-3,"<span data-open-text=""true"">Canvas View</span><span data-close-text=""true"">Canvas View</span>","<span data-open-text=""true"">キャンバスビュー</span><span data-close-text=""true"">キャンバスビュー</span>"
Sequences.htm+html.body.div.p:126-5,"The canvas view is where you can see a preview of the sequence canvas, and is where you can edit and position the different assets that make up your sequence. You can add an asset to the sequence by simply dragging it from the asset browser and then dropping it into the canvas, and this will create a new track in the Track Panel, and also add an asset key for the asset at the current timeline playhead position. The following assets can be dropped onto the canvas in this way:",キャンバスビューではシーケンスキャンバスのプレビューを確認でき、シーケンスを構成するアセットを編集・配置できます。シーケンスにアセットを追加するには、アセットブラウザからキャンバスにアセットをドラッグしてください。するとトラックパネルに新しいトラックが作成され、タイムラインの再生ヘッド位置にアセットキーが追加されます。キャンバスにドラッグして追加できるのは次のアセットです。
Sequences.htm+html.body.div.ul.li:129-7,Sprites,スプライト
Sequences.htm+html.body.div.ul.li:130-7,Objects,オブジェクト
Sequences.htm+html.body.div.ul.li:131-7,Sounds,サウンド
Sequences.htm+html.body.div.ul.li:132-7,Sequences,シーケンス
Sequences.htm+html.body.div.p:134-5,"Each asset added to the canvas can be manipulated in multiple ways - rotated, transformed, or translated - based on how you interact with it, as each asset will have a <strong>bounding box</strong> and <strong>transform <a class=""tooltip"" title=""TITLE_KEY::gizmos"">gizmos</a></strong> as well as <strong>bounding box controls</strong>. All this is explained in more detail on the page about the <a href=""Sequence_Properties/The_Sequence_Canvas.htm"">Sequence Editor Canvas</a>.","キャンバスに追加されたアセットは回転、変形、移動など複数の方法で操作でき、アセットに表示される<strong>バウンディングボックス</strong>、<strong>変形<a class=""tooltip"" title=""TITLE_KEY::gizmos"">ギズモ</a></strong>、<strong>バウンディングボックスコントロール</strong>をどう扱うかで操作が変わります。詳しい説明は<a href=""Sequence_Properties/The_Sequence_Canvas.htm"">シーケンスキャンバス</a>のページを参照してください。"
Sequences.htm+html.body.div.p:135-5,<strong>NOTE</strong>: Sound assets when added to a sequence are essentially sound <strong>emitters </strong>that play only the given sound resource.,<strong>メモ</strong>: シーケンスに追加されたサウンドアセットは、指定したサウンドリソースを再生するだけのサウンド<strong>エミッタ</strong>となります。
Sequences.htm+html.body.div.p:136-5,"To navigate around the canvas view, you can use the same basic controls as for general Workspaces, ie: Use the middle mouse button <img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" /> and drag to pan the canvas (or alternatively use the <img alt=""{IMG_TXT} Space Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Space.png"" style=""width: 100%; max-width: 55px;"" /> + <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> combination), and you can scroll horizontally with the mouse wheel <img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" /> or zoom in and out using the <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> key and the mouse wheel <img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" />. You can also cut, copy and paste assets using the <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + ""<span class=""inline"">X</span>"", <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + ""<span class=""inline"">C</span>"" and <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + ""<span class=""inline"">V</span>"" key combinations.","キャンバスビューは普通のワークスペースと同じように操作できます。中央クリック<img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" />しながらドラッグで（<img alt=""{IMG_TXT} Space Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Space.png"" style=""width: 100%; max-width: 55px;"" /> + <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" />の組み合わせでも可）キャンバスの移動、マウスホイール<img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" />で垂直スクロール、<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" />キーを押しながらマウスホイール<img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" />でズームができます。<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + ""<span class=""inline"">X</span>""キーでアセットの切り取り、<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + ""<span class=""inline"">C</span>""でコピー、<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + ""<span class=""inline"">V</span>""で貼り付けも可能です。"
Sequences.htm+html.body.p:141-3,"<span data-open-text=""true"">Keyframe Controls</span><span data-close-text=""true"">Keyframe Controls</span>","<span data-open-text=""true"">キーフレーム制御</span><span data-close-text=""true"">キーフレーム制御</span>"
Sequences.htm+html.body.div.p:143-5,"The keyframe control buttons are one of the ways that you can add, remove or edit specific keys in the dope sheet. The buttons are as follows:",キーフレーム制御ボタンはドープシートの特定キーを追加/削除/編集するためのボタン群です。
Sequences.htm+html.body.div.ul.li.img[alt]:145-28,{IMG_TXT} Split Keys Icon,{IMG_TXT} 分割キーのアイコン
Sequences.htm+html.body.div.ul.li:145-7,"- This is the ""Split selected keys"" button. When you have selected one or more parameter keys in the dope sheet, you can then click this button and they will be split into two separate keys at the timeline playhead position (note that the keys must have been stretched to occupy multiple frames first):",このボタンは「選択キー分割」ボタンです。ドープシートのパラメーターキーを1つ以上選択している状態でこのボタンをクリックすると、タイムラインの再生ヘッド位置でキーを2つに分割します（あらかじめ複数のフレームにまたがるようキーを引き伸ばしておく必要があります）。
Sequences.htm+html.body.div.ul.li.img[alt]:147-9,{IMG_TXT} Split Asset and Parameter Keys,{IMG_TXT} アセットとパラメーターキーの分割
Sequences.htm+html.body.div.ul.li.img[alt]:148-28,{IMG_TXT} Delete Keys Icon,{IMG_TXT} 削除キーのアイコン
Sequences.htm+html.body.div.ul.li:148-7,"- This is the ""Delete selected keys"" button. When you have selected one or more parameter keys in the dope sheet, you can then click this button and they will be deleted:",- このボタンは「選択キー削除」ボタンです。ドープシートのキーを 1 つ以上選択した状態でこのボタンをクリックすると、選択中のキーを削除します。
Sequences.htm+html.body.div.ul.li.img[alt]:150-9,{IMG_TXT} Delete Parameter Keys,{IMG_TXT} パラメーターキーを削除
Sequences.htm+html.body.div.ul.li.img[alt]:151-28,{IMG_TXT} Add Keys Icon,{IMG_TXT} 追加キーのアイコン
Sequences.htm+html.body.div.ul.li:151-7,"- This is the ""Record a new key"" button. When you have selected an asset key in the dope sheet and press this button, new parameter keys will be added to the asset track as parameter tracks, and the parameter keys will be added as points in the dope sheet timeline at the playhead position:",- このボタンは「キーの新規記録」ボタンです。ドープシートのアセットキーを選択した状態でこのボタンをクリックすると、アセットトラックのパラメータートラックに新しいパラメーターキーを作成し、タイムラインの再生ヘッド位置にパラメーターキーのポイントが追加されます。
Sequences.htm+html.body.div.ul.li.img[alt]:153-9,{IMG_TXT} Add Parameter Keys At Playhead Position,{IMG_TXT} 再生ヘッド位置にパラメーターキーを追加
Sequences.htm+html.body.div.ul.li.img[alt]:154-28,{IMG_TXT} Record Keys Icon,{IMG_TXT} 記録キーのアイコン
Sequences.htm+html.body.div.ul.li:154-7,"- This is the ""Automatically Record Changes"" button. When this is enabled, any changes made to the asset within the canvas will be automatically recorded and the appropriate parameter tracks and parameter keys added at the playhead position in the dope sheet. For example, if you move the playhead from frame 0 to frame 10 and then in the canvas move the asset 100 pixels to the right, a parameter track will be added for position, and the parameter keys will be added at frame 0 (the initial position) and at frame 10 (the playhead position) and when you press ""Play"" on the sequence, the asset will move 100px to the right over ten frames.",- このボタンは「変更の自動記録」ボタンです。このボタンが押されているとキャンバス上のアセットに加えた変更が自動記録されるようになり、ドープシートの再生ヘッド位置に適切なパラメータートラックおよびパラメーターキーを追加します。たとえば、再生ヘッドを 0 フレーム目から 10 フレーム目に動かしてからキャンバス上のアセットを 100 ピクセル右に移動させると、パラメーターキーが 0 フレーム目（初期位置）と 10 フレーム目（再生ヘッド位置）に追加されます。この状態でシーケンスの「再生」ボタンを押すと、10 フレームかけてアセットが 100 ピクセル右に移動します。
Sequences.htm+html.body.div.ul.li.img[alt]:157-9,{IMG_TXT} Automatically Record Parameter Keys,{IMG_TXT} パラメーターキーの自動記録
Sequences.htm+html.body.p:160-3,"<span data-open-text=""true"">Sequence Events</span><span data-close-text=""true"">Sequence Events</span>","<span data-open-text=""true"">シーケンスイベント</span><span data-close-text=""true"">シーケンスイベント</span>"
Sequences.htm+html.body.div.p:162-5,"In a similar way to regular objects, sequences can have events that can run some code assigned to them. The code is assigned in the form of a <a href=""../GameMaker_Language/GML_Overview/Script_Functions.htm"">scripted function</a> which can take no arguments and will be called when the event is triggered.","通常のオブジェクトと同じくシーケンスにはイベントを追加でき、実行させるコードを割り当てることができます。コードは引数を受け付けない<a href=""../GameMaker_Language/GML_Overview/Script_Functions.htm"">スクリプト関数</a>として割り当てられ、イベントが発生したタイミングで呼び出されます。"
Sequences.htm+html.body.div.p:164-5,"Events are added by clicking the <strong>Add Event</strong> button <img alt=""{IMG_TXT} Add Event Icon"" src=""../assets/Images/Icons/Icon_AddEvent.png"" style=""width: 100%; max-width: 18px;"" /> which will open the following window:","<strong>イベントの追加</strong>ボタン<img alt=""{IMG_TXT} Add Event Icon"" src=""../assets/Images/Icons/Icon_AddEvent.png"" style=""width: 100%; max-width: 18px;"" />をクリックすると、次のウィンドウからイベントを追加できます。"
Sequences.htm+html.body.div.p.img[alt]:165-25,{IMG_TXT} Sequence Editor Add Event Window,{IMG_TXT} シーケンスエディタのイベント追加ウィンドウ
Sequences.htm+html.body.div.p:166-5,The events listed here are as follows:,以下は追加できるイベントの一覧です。
Sequences.htm+html.body.div.ul.li:168-7,"<strong>Create </strong>- This event happens when an instance of the sequence is first created, and is the very first thing that happens within a sequence placed in the room through the room editor when a room is entered.",<strong>Create</strong> - シーケンスのインスタンスが最初に生成されたときに起きるイベントです。ルームエディタによって配置されたシーケンス内で最初に起きるイベントであり、ルームに入ったタイミングで発生します。
Sequences.htm+html.body.div.ul.li:169-7,"<strong>Destroy </strong>- This event is executed when an instance of the sequence is destroyed, and will be run before the Clean Up event (see below).",<strong>Destroy </strong>- シーケンスのインスタンスが破棄されたときに実行されるイベントです。以下のClean Upイベントより先に実行されます。
Sequences.htm+html.body.div.ul.li:170-7,"<strong>Clean Up</strong> - This event will be called after any event that removes an instance of the sequence from the room. So, it will be triggered if the sequence is destroyed, if the room ends, or if the game ends, and is designed to perform any task that you need performed once when the sequence instance is removed from the game for any reason. If you have destroyed the sequence instance using, for example, layer_sequence_destroy(), then this event will be called after the Destroy Event (see above).",<strong>Clean Up</strong> - シーケンスのインスタンスをルームから除去する全イベントの後に呼び出されるイベントです。つまりシーケンスの破棄、ルームの終了、ゲームの終了によって作動するイベントとなり、インスタンスがゲームから除去されたときに任意の処理を実行させる役割を持っています。シーケンスのインスタンスがlayer_sequence_destroy()などで破棄された場合、このイベントは上記のDestroyイベントより後に呼び出されます。
Sequences.htm+html.body.div.ul.li:173-7,"<strong>Begin Step</strong> / <strong>Step </strong>/ <strong>End Step</strong> - The Step Event is an event that is checked every single step (frame) of the game while the sequence instance exists, and is split into three parts: begin, step and end. For most things the standard step event will be fine to use, but sometimes you want a bit more control over what code runs and at what time, so for that you are provided with the Begin and End step events, and these events will always be triggered in the same order every step (frame) of the game. <strong>Important!</strong> If the sequence is paused then these events will <em>not </em>be triggered, and when play resumes they will be triggered the <em>next frame after the sequence starts playing again</em>. Also note that the order of events is not influenced by the playhead direction, and even if the sequence is playing backwards, the events will still be run as Begin, Step and End.",<strong>Begin Step</strong> / <strong>Step </strong>/ <strong>End Step</strong> - シーケンスが存在している間、ゲーム内での1ステップ（フレーム）ごとにチェックされるイベントがStepイベントであり、Begin、Step、Endという3つの段階に分けられています。ほとんどの場合は普通のStepイベントで問題ありませんが、どのコードをどのタイミングで実行させるかをもう少しコントロールしたい場合もあるでしょう。そのために用意されているイベントがBeginとEndイベントです。この二つのイベントはゲーム内での1ステップ（フレーム）ごとに、必ず決められた順番で作動します。<strong>注意！</strong>シーケンスが一時停止されている間、Stepイベントは<em>作動しません</em>。シーケンスが再開された場合、<em>再生を再び始めた直後のフレーム</em>で作動します。また、再生ヘッドの方向によってイベントの順番が変わることはありません。シーケンスが逆再生されている場合でも、StepイベントはBegin、Step、Endの順に実行されます。
Sequences.htm+html.body.div.ul.li:177-7,"<strong>Async Event</strong>: This is the equivalent of the object <a href=""Object_Properties/Async_Events.htm"">Asynchronous System Event</a>. <strong>Important!</strong> If the sequence is paused then this event will <em>not </em>be triggered.","<strong>Async Event</strong>: オブジェクトの<a href=""Object_Properties/Async_Events.htm"">Asynchronous System Event</a>に相当するイベントです。<strong>注意！</strong>シーケンスが一時停止されている間、このイベントは<em>作動しません</em>。"
Sequences.htm+html.body.div.p:179-5,"Each event can be assigned a single function which will be called when the event is triggered. You can assign the function using the input box for the event, and clicking the arrow button will open the script editor for the function to be edited. You can also click the Create New button at the bottom to create a new script resource with ""boilerplate"" functions already defined and ready to be filled in. Note that you can change the function names to anything you require and do not have to use the predefined names, and you can also remove any function definitions that you don't need. It is important note that functions used for sequence events cannot take any arguments.",各イベントには、イベントの作動時に呼び出す関数を1つ割り当てることができます。関数の割り当てはイベントの入力ボックスから行ない、矢印ボタンをクリックするとスクリプトエディタを開いて関数を編集することもできます。また、一番下にある新規作成ボタンをクリックすると「定型」関数入りのスクリプトリソースが作成され、すべてのイベントに割り当てられます。関数の名前は自由に変更できますが、すでに定義されている名前は使用しないようにしてください。不要となった関数は定義を削除するといいでしょう。なお、シーケンスイベントで使用される関数は引数を受け取らないため注意してください。
Sequences.htm+html.body.div.p:182-5,"Sequence events can also be added and edited using code. For more information please see <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequence_Events_Moments_Broadcast.htm"">here</a>.","シーケンスイベントはコードから追加・編集することも可能です。詳しくは<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequence_Events_Moments_Broadcast.htm"">こちら</a>を参照してください。"
Sequences.htm+html.body.p:185-3,"<span data-open-text=""true"">Track Panel</span><span data-close-text=""true"">Track Panel</span>","<span data-open-text=""true"">トラックパネル</span><span data-close-text=""true"">トラックパネル</span>"
Sequences.htm+html.body.div.p:187-5,"The <strong>Track Panel</strong> is where each of the assets in your sequence is listed as a track, with each track having sub-tracks for any parameters that are being changed for the asset. You can click <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> and drag on any asset track to change it's position above or below the other tracks (any assigned parameter tracks will move along with it), and you can use <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> to select multiple tracks.","<strong>トラックパネル</strong>にはシーケンスに追加したアセットがトラックとして一覧表示されており、各トラックにはアセットの変更パラメーターを記録するサブトラックが付いています。アセットトラックはドラッグ<img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" />することで他のトラックの上や下に移動でき（割り当て中のパラメーターもまとめて移動します）、<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + クリック<img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" />で複数選択ができます。"
