Fonts.htm+html.head.title:55-3,Fonts,フォント
Fonts.htm+html.body.div.p.img[alt]:117-25,{IMG_TXT} Font Range Editor,{IMG_TXT} フォント範囲エディタ
Fonts.htm+html.body.div.p:117-5,This window has some buttons to help you establish a standard range for your font:,このウィンドウには次のボタンがあり、クリックするとフォントを標準範囲に設定できます。
Fonts.htm+html.body.div.p:118-5,- The <em>Normal </em>range from 32 till 127<br /> <br /> - The <em>ASCII </em>range from 0 till 255<br /> <br /> - The <em>Digits </em>range that only contains the 10 digits<br /> <br /> - The <em>Letters </em>range that contains all upper-case and lower-case letters only,- <em>通常</em>範囲: 32から127<br /> <br /> - <em>ASCII</em>範囲: 0から255<br /> <br /> - <em>数値</em>範囲: 数値10文字のみ<br /> <br /> - <em>文字列: </em>大文字および小文字の文字列のみ
Fonts.htm+html.body.div.p:123-5,"Other ranges can be used by typing in the first and last character index of the range you wish to set in the character range input boxes (if a character does not lie in the range it is replaced by a space). Apart from these buttons and input boxes, you also have two further options which are especially useful:",異なる範囲にするには、文字列範囲のボックスに最初と最後の文字番号を入力してください（範囲内にない文字はスペースに置き換えられます）。上記のボタンと入力ボックス以外にも、次のように便利なボタンが2つあります。
Fonts.htm+html.body.div.ul.li:127-7,"<strong>From Code</strong>: if you click on this button and then click OK, GameMaker Studio 2 will automatically parse your game code for strings and then create different character ranges to cover all the text in your game. Note that it looks for all strings (either within """" or '') and so may also include file names in the character ranges.","<strong>コードから検索</strong>: クリックしてOKを押すと、GameMaker Studio 2側でゲームコードの文字列を自動解析し、ゲームの全テキストをカバーできる文字範囲を新しく作成します。なお、すべての文字列（""""または''の中身）を調べるため、文字範囲にファイルの名前が混ざってしまう場合があります。"
Fonts.htm+html.body.div.ul.li:130-7,"<strong>From File</strong>: this works similarly to the ""from code"" option explained above. If you click on it, you will be asked to supply a file, and then once that is done you should click on OK. GameMaker Studio 2 will then parse the file and create character ranges for the text found within it.",<strong>ファイルから検索</strong>: 上にある「コードから検索」と同じような機能です。クリックすると参照先のファイルを指定できますので、決まったらOKを押してください。GameMaker Studio 2 によってファイルが解析され、含まれているテキストから文字範囲が作成されます。
Fonts.htm+html.body.div.p:133-5,Note that you can manually edit the text range by adding or deleting text glyphs into the preview window directly.,なお、テキストの範囲はプレビューウィンドウに直接テキストグリフを追加・削除することで手動編集も可能です。
Fonts.htm+html.body.p:136-3,"<span data-open-text=""true"">Texture Controls</span><span data-close-text=""true"">Texture Controls</span>","<span data-open-text=""true"">テクスチャ操作部</span><span data-close-text=""true"">テクスチャ操作部</span>"
Fonts.htm+html.body.div.p:138-5,"As mentioned above (in the section on <strong>Font Details</strong>) by default all font glyphs will be <a class=""tooltip"" title=""TITLE_KEY::rendered"">rendered</a> to a texture page as part of a texture group to convert them into graphical resources, and when the game is compiled the font will be added to a temporary texture to create a single image with all the required font glyphs and then this will be added to the main texture group for exporting. The buttons here are for tweaking how the font texture is generated or for regenerating a new font texture.","上記（フォント<strong>詳細</strong>のセクション）で言及したように、デフォルトではすべてのフォントグリフはグラフィックリソースに変換され、テクスチャグループ内のテクスチャページとして<a class=""tooltip"" title=""TITLE_KEY::rendered"">レンダリング</a>されます。ゲームのコンパイル時、一時テクスチャに追加されたフォントから必要なフォントグリフをすべて含めた 1 枚のイメージが作成され、メインテクスチャグループに追加した上でエクスポートされます。並んでいるボタンをクリックすると、フォントテクスチャの生成方法を調整したり、新しいフォントテクスチャを再生成することができます。"
Fonts.htm+html.body.div.p:141-5,The <strong>Options </strong>button will open up the advanced font texture options:,<strong>オプション</strong>ボタンをクリックした場合は、フォントテクスチャの詳細設定が開きます。
Fonts.htm+html.body.div.p.img[alt]:142-25,{IMG_TXT} Font Options Editor,{IMG_TXT} フォント設定エディタ
Fonts.htm+html.body.div.p:142-5,"These options can, sometimes radically, alter how a font will be displayed in the game, and not all fonts will require the same settings. The following options are designed to give you the greatest customisation possible for your font:",これらのオプションを設定すると、ゲーム内でのフォントの見栄えを根本的に変えられる場合もありますが、すべてのフォントが同様の設定を必要とするわけではありません。以下のオプションは、フォントを最大限カスタマイズするために用意されたものです。
Fonts.htm+html.body.div.ul.li:145-7,"<strong>Hinting</strong>: Font hinting (also known as instructing) is the use of mathematical instructions to adjust the display of an outline font so that it lines up with a rasterized grid. At low screen resolutions, hinting is critical for producing clear, legible text, and here you can select from different hinting algorithms to get the best result possible. Default is ""normal"".",<strong>ヒンティング</strong>: フォントヒンティング（またはインストラクション）とは数学的な命令を通して、ラスタライズされたグリッドに並ぶようアウトラインフォントの表示を調整することです。低い解像度では、テキストをはっきりと読みやすくするためヒンティングを利用することが重要になってきます。ヒンティングのアルゴリズムを変更して、なるべく見栄えを良くすることも可能です。デフォルトでは「通常」のアルゴリズムとなっています。
Fonts.htm+html.body.div.ul.li:147-7,<strong>Glyph Options</strong>: These options can be used to change how the glyphs are loaded by enabling/disabling different operations. These are:,<strong>グリフ設定</strong>: 以下にある操作を有効/無効にすることで、グリフの読み込み方法を変更するオプションです。
Fonts.htm+html.body.div.ul.li.ol.li:149-11,<em>Disable Hinting</em>: This will disable the fonts native hinting and the auto-hinter.,<em>ヒンティングを無効</em>: フォントのネイティブヒンティング、自動ヒンティングを無効にします。
Fonts.htm+html.body.div.ul.li.ol.li:150-11,"<em>Disable Auto-Hinter</em>: This will disable the auto-hinter and instead use the fonts native hinter (if it has one). Note that this overrides the ""Prefer Auto-hinter"" option.",<em>自動ヒンティングを無効</em>: 自動ヒンティングを無効にし、フォントのネイティブヒンティングが利用できる場合はそちらを利用します。このオプションは「自動ヒンティングを優先」を打ち消すためご注意ください。
Fonts.htm+html.body.div.ul.li.ol.li:151-11,"<em>Prefer Auto-Hinter</em>: This will tell GameMaker Studio 2 to prefer using the auto-hinter over any native hinting that the font may have. Note that this is overriden by the ""Disable Auto-hinter"" and ""Disable Hinting"" options.",<em>自動ヒンティングを優先</em>: フォントのネイティブヒンティングよりも GameMaker Studio 2 の自動ヒンティングを優先させます。このオプションは「自動ヒンティングを無効」、および「ヒンティングを無効」を打ち消すためご注意ください。
Fonts.htm+html.body.div.ul.li.ol.li:154-11,"<em>Warping</em>: Enabling this will slightly warp glyphs to improve grid alignment. Note that this requires the auto-hinter and a ""Normal"" hinting mode.",<em>ゆがみ</em>: グリフをわずかに歪ませることでグリッド配置を改善します。有効とするには、自動ヒンティングおよび「通常」ヒンティングモードにする必要があります。
Fonts.htm+html.body.div.ul.li.ol.li:155-11,<em>No Scale</em>: When this option is checked it will keep glyphs in font units and ignore the requested size. This implies hinting is disabled.,<em>スケーリングなし</em>: チェックした場合、グリフはフォント単位のままとなり、指定されたサイズを無視します。よってヒンティングは無効となります。
Fonts.htm+html.body.div.ul.li.ol:156-11,The default state for all the above options is <strong>disabled</strong>.,上記のオプションは、デフォルトの状態ではすべて<strong>無効</strong>にされています。
Fonts.htm+html.body.div.ul.li:159-7,<strong>Interpreter</strong>: Here you can select the <em>TrueType</em> version that GameMaker Studio 2 should use for font rendering. Default is <em>TrueType v40</em>.,<strong>インタープリター</strong>: GameMaker Studio 2によるフォントレンダリングで利用される <em>TrueType</em> のバージョンを指定します。デフォルトでは <em>TrueType v40</em> となります。
Fonts.htm+html.body.div.ul.li:160-7,"<strong>Rounding</strong>: This option is for setting the rounding method when converting from a fixed point decimal size to an integer. Default is ""floor"".",<strong>丸め処理</strong>: サイズを固定小数点から整数へ変換するときの丸め処理を定めるオプションです。デフォルトでは「切り捨て」となります。
Fonts.htm+html.body.div.p:162-5,"The <strong>Regenerate </strong>button can be used to regenerate the font texture. This is required if you want to update any changes you've made to an existing font, or if you have created a new font and you want to see how it looks in the Preview Window. Note that you can also regenerate fonts from the right button <img_tag=RMB_Icon:1> menu for the font (or fonts) in the Asset Browser.",<strong>再生成</strong>ボタンをクリックすると、フォントテクスチャが再生成されます。既存のフォントに変更を反映させる場合や、新しく作成したフォントの見栄えをプレビューウィンドウで確認するときに実行する必要があります。なお、次のようにアセットブラウザからフォントを選択し、右クリック<img_tag=RMB_Icon:1>メニューを開いて複数のフォントを再生成することも可能です。
Fonts.htm+html.body.div.p.img[alt]:165-25,{IMG_TXT} Regenerate Fonts RMB Menu Option,{IMG_TXT} 右クリックメニューのフォント再生成項目
Fonts.htm+html.body.div.p:165-5,"It is important to note that when you first create a new font, if you don't regenerate the texture in the editor, then the texture will be created the first time you run or test your game, but that is the only time that it will be automatically generated. This means that once a font has a generated texture, any changes made to the font resource will require that the font is regenerated for the changes to be visible in the game, otherwise the ""old"" font texture will still be used.",注意事項として、新しく作成したフォントのテクスチャをエディタで再生成していない場合、ゲームの実行またはテスト時にテクスチャが自動生成されますが、最初の一度しか生成されません。つまりテクスチャを一度生成してからは、フォントリソースに変更を加えるたびに再生成してゲーム内に表示を反映しなくてはならず、再生成するまでは「古い」フォントテクスチャが使用されることになります。
Fonts.htm+html.body.div.p:168-5,"GameMaker Studio 2 will render the generated font texture as a <span class=""inline"">PNG </span>file along with the rest of the project files, and should you load the project and the base font is not found, then the game will still display text correctly using the stored texture. A missing font will mean, however, that you can no longer change any of its properties, other than its name, font family and texture group (from the <a href=""../Settings/Texture_Groups.htm"">Texture Group Editor</a>).","GameMaker Studio 2 において、生成されたフォントテクスチャは他のプロジェクトファイルとともに <span class=""inline"">PNG</span> ファイルとしてレンダリングされます。そのためプロジェクトが読み込まれたときに元のフォントが見つからない場合も、保存されているテクスチャを使用してゲーム内にテキストを正常に表示することができます。ただしフォントが見つからない場合、名前、フォントファミリー、テクスチャグループ（<a href=""../Settings/Texture_Groups.htm"">テクスチャグループエディタ</a>から変更）以外は変更できなくなります。"
Fonts.htm+html.body.p:173-3,"<span data-open-text=""true"">Preview Mode</span><span data-close-text=""true"">Preview Mode</span>","<span data-open-text=""true"">プレビューモード</span><span data-close-text=""true"">プレビューモード</span>"
Fonts.htm+html.body.div.p:175-5,"In this section you can choose to have the Preview Window show either some sample text of the font selected, or the rendered texture image that has been generated for the font.",プレビューウィンドウに選択中のフォントによるサンプルテキスト、あるいはフォントの生成済みレンダリングテクスチャイメージを表示するかを選ぶことができます。
Fonts.htm+html.body.p:178-3,"<span data-open-text=""true"">Preview</span><span data-close-text=""true"">Preview</span>","<span data-open-text=""true"">プレビュー</span><span data-close-text=""true"">プレビュー</span>"
Fonts.htm+html.body.div.p:180-5,"The <strong>Preview Window</strong> is where you can see a preview of the font, either as a sample of text, or as a texture. When the <strong>Preview Mode </strong>is set to <em>Sample</em>, you can type in any text that you want to test directly into the preview window to see how it looks, while selecting <em>Game Preview </em>will show the rendered texture image that was generated for the font. If no image is present, then you should click the <strong>Regenerate </strong>button to generate the texture.",<strong>プレビューウィンドウ</strong>では、サンプルテキストまたはテクスチャとして、フォントのプレビューを行うことができます。<strong>プレビューモード</strong>が<em>サンプル</em>に設定されている場合、テキストをプレビューウィンドウに入力することで表示をテストできます。<em>ゲームプレビュー</em>に設定されている場合、フォントの生成済みレンダリングテクスチャイメージが表示されます。表示されない場合は、<strong>再生成</strong>ボタンをクリックしてテクスチャを生成しましょう。
Fonts.htm+html.body.div.p:186-5,"Note that the texture image can be different to the sample, since the texture will <em>not</em> be regenerated unless explicitly told to. This means that after you have initially generated a font texture, changes made to the font resource will not be carried over to the game unless the texture is regenerated.",テクスチャは自発的に操作しないと<em>再生成されない</em>ため、テクスチャイメージにはサンプルとの差異が生じる場合があります。そのためフォントテクスチャが最初に生成されてから加えた変更も、テクスチャを再生成しなければゲーム内に引き継がれません。
Fonts.htm+html.body.p:190-3,"<span data-open-text=""true"">Range Preview</span><span data-close-text=""true"">Range Preview</span>","<span data-open-text=""true"">範囲プレビュー</span><span data-close-text=""true"">範囲プレビュー</span>"
Fonts.htm+html.body.div.p:192-5,Here the different character ranges that you have added for the font will be listed. The range values are shown on the left and the range glyphs that correspond to those values are shown on the right.,フォントに追加されている文字列範囲をリスト表示します。左側には範囲の値が表示され、右側にはその値に含まれているグリフが表示されます。
Fonts.htm+html.body.div.div.div.div:200-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Fonts.htm+html.body.div.div.div.div:201-9,"Next: <a href=""Notes.htm"">Notes</a>","次へ: <a href=""Notes.htm"">ノート</a>"
Fonts.htm+html.body.p:214-1,{SEARCH_RESULT} Page detailing how the font editor works,{SEARCH_RESULT} フォントエディタの詳しい仕組みについてのページ
Fonts.htm+html.body.p:214-64,{INDEX_KEYWORD} Font Editor,{INDEX_KEYWORD} フォントエディタ
Fonts.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Fonts.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Fonts.htm.img_tag+RMB_Icon:1,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
