The_Track_Panel.htm+html.head.title:55-3,The Track Panel,トラックパネル
The_Track_Panel.htm+html.body.p:111-3,"Once you add a parameter track to your main asset track, the dope sheet will have a coloured bar to show the length of the asset track in frames, and there will be <strong>parameter keys </strong>(keyframes) added at the points where you want a change in the parameter to occur. These keys can be seen in the above image as simple ""dots"" on a frame. When a track has parameter keys like this, the parameter they refer to will be interpolated (using <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a>) by default between each of the points shown. For example, if you have a rotation parameter and at frame 0 it is set to 90° then at frame 30 it is 180°, then at frame 15 it will be 135°. You can actually see the change in values over time by selecting the parameter track and then ""scrubbing"" the playhead in the dope sheet:","メインアセットトラックにパラメータートラックを追加すると、アセットトラックのフレーム長をあらわすカラーバーがドープシートに追加されます。また、パラメーターを変化させるポイントには<strong>パラメーターキー</strong>（キーフレーム）が追加されます。上記の画像において、フレーム上にある「点」のマークがパラメーターキーです。トラックにパラメーターキーが与えられている場合、デフォルトでは参照されているパラメーターの値が他のポイントとの間で補間（<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>）されます。たとえば回転のパラメーターが0フレーム目で90°、30フレーム目で180°に設定されている場合、15フレーム目では135°になります。パラメータートラックを選択したまま再生ヘッドを左右に動かすと、値がどう変化するのかよく分かるでしょう。"
The_Track_Panel.htm+html.body.p.img[alt]:116-6,{IMG_TXT} Interpolating Between Parameter Keys,{IMG_TXT} パラメーターキー間の補間
The_Track_Panel.htm+html.body.p:117-3,"Note that for all parameter tracks you can disable the default linear interpolation between different keys from the right mouse button <img_tag=RMB_Icon:0> menu on the parameter track, which means that transitions between parameter values will occur <em>instantly </em>on the given frame rather than gradually over time:",パラメータートラックはデフォルトで他のキーとリニア補間されますが、以下のように右クリック<img_tag=RMB_Icon:0>メニューから補間を無効にすることができます。無効にするとパラメーターの値は時間をかけて推移しなくなり、指定したフレームに達した<em>瞬間</em>に変化します。
The_Track_Panel.htm+html.body.p.img[alt]:119-6,{IMG_TXT} Disable Linear Interpolation On Parameter Track,{IMG_TXT} パラメータートラックのリニア補間を無効化
The_Track_Panel.htm+html.body.p:119-3,"Apart from being able to choose the transition type for parameter tracks, the RMB menu also offers you the following options:",右クリックメニューにはパラメータートラックの推移方式を変更する以外にも、以下のような選択項目があります。
The_Track_Panel.htm+html.body.ul.li:122-5,"<strong>Cut</strong>, <strong>Copy</strong>, and <strong>Paste</strong>: These options permit you to cut/copy/paste asset or parameter tracks.","<strong>切り取り</strong>, <strong>コピー</strong>, <strong>貼り付け</strong>: アセットやパラメータートラックを切り取り/コピー/貼り付けします。"
The_Track_Panel.htm+html.body.ul.li:123-5,<strong>Duplicate Track(s)</strong>: This will create a duplicate of the currently selected track(s). If this is an asset track it will also duplicate the paramter tracks associated with it.,<strong>トラックの複製</strong>: 選択中のトラックを複製します。アセットトラックが選択されている場合、関連するパラメータートラックも複製されます。
The_Track_Panel.htm+html.body.ul.li:124-5,"<strong>Delete Track(s)</strong>: This will delete the selected track or tracks. If you delete an asset track, then the parameter tracks associated with it will also be removed, however you can delete parameter tracks individually.",<strong>トラックを削除</strong>: 選択中のトラックを削除します。アセットトラックを削除した場合、関連するパラメータートラックも削除されます。なお、パラメータートラックは個別に削除することができます。
The_Track_Panel.htm+html.body.ul.li:125-5,"<strong>Group</strong>: Using this option on an empty space in the Track Panel will create a group folder which you can then use to help keep your assets in a more orderly format. You can add an asset to a group by simply clicking on it and dragging it onto the folder. If you have already selected a track or tracks, then using this option will not only create a group folder, but it will add the track(s) to it.",<strong>グループ</strong>: トラックパネルの余白で実行すると、グループフォルダが作成されます。このフォルダはアセットを整理するためのものです。グループに入れたいアセットはこのフォルダにドラッグしてください。トラックを選択したまま選択項目を実行すると、グループフォルダを作成してから選択中のアセットをそのフォルダに入れます。
The_Track_Panel.htm+html.body.ul.li:127-5,<strong>Rename</strong>: You can use this option to rename any asset track or group folder.,<strong>名前変更</strong>: アセットトラックまたはグループフォルダの名前を変更します。
The_Track_Panel.htm+html.body.p:129-3,"An important feature of asset and parameter tracks is the ability to <strong>parent </strong>tracks and groups. If you drag an asset track onto another one in the track panel, the first asset becomes a <strong>child </strong>of the asset it was dropped on, which in turn becomes the <strong>parent</strong>. All parameter tracks assigned to the parent asset track will then automatically be applied to the child asset tracks, so you can have multiple sprites (for example) all using a single position asset track to move:<img_tag=Parent_And_Child_Sprites_Share_Parameters:0>The same can be done using groups. You can create a group folder by clicking the button at the bottom of the track panel and then drag and drop the asset tracks you want to be grouped together on the group folder. These assets will still retain their own parameter tracks, but you can then give additional parameter tracks to the group and all the assets in the group will be affected by these parameter tracks as well as their own individual parameter tracks.",アセットとパラメータートラックには、トラックとグループの<strong>親</strong>になれるという重要な機能があります。トラックパネルのアセットトラックを別のトラックにドラッグすると、そのアセットは<strong>子</strong>となり、ドラッグ先のアセットは<strong>親</strong>となります。親アセットトラックに割り当てられているパラメータートラックは子アセットトラックに自動適用されるため、たとえば以下のように複数のスプライトを1つの位置アセットトラックで移動させることも可能です。<img_tag=Parent_And_Child_Sprites_Share_Parameters:0>トラックパネルの下部にあるボタンをクリックするとグループフォルダを作成できます。グループ化するアセットは作成したグループフォルダにドラッグしましょう。グループ化したアセットは元のパラメータートラックを保持していますが、グループそのものにもパラメータートラックを追加でき、グループ内のアセット、パラメータートラックはそれらのパラメータートラックによる影響を受けます。
The_Track_Panel.htm+html.body.p:134-3,"When working with the track panel the usual keyboard shortcuts can be used too, ie: <img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> and the left mouse button <img_tag=LMB_Icon:0> to select one or more tracks in any order, <img_tag=Shift_Icon:0> and the left mouse button <img_tag=LMB_Icon:0> to select consecutive tracks, and you can also cut, copy and paste them using the <img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> +""<span class=""inline"">X</span>"", <img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">C</span>"" and <img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">V</span>"" key combinations.","トラックパネルではキーボードショートカットを利用できます。<img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0>を押しながら左クリック<img_tag=LMB_Icon:0>で複数トラックの任意選択、<img_tag=Shift_Icon:0>を押しながら左クリック<img_tag=LMB_Icon:0>で連続選択ができ、<img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">X</span>""で切り取り、<img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">C</span>""でコピー、<img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">V</span>""で貼り付けができます。"
The_Track_Panel.htm+html.body.p:135-3,"That's the basics of using the track editor, but below we go into a bit more detail on what each of the different sections are for and how to use them:",ここまでがトラックエディタの基本的な使い方となります。以下のセクションでそれぞれの個所の役割、使い方についてより詳しく説明していきます。
The_Track_Panel.htm+html.body.p:137-3,"<span data-open-text=""true"">Change Orientation</span><span data-close-text=""true"">Change Orientation</span>","<span data-open-text=""true"">向きを変更</span><span data-close-text=""true"">向きを変更</span>"
The_Track_Panel.htm+html.body.div.p:139-5,"The change orientation button <img_tag=Change_Orientation_Icon:0> can be used to change the way the Sequence Editor displays the different sections. By default you will have the Cnavas View at the top and the Track Editor and Dopesheet at the bottom, but this can be changed by clicking the button to cycle through the different layouts, or by clicking the Options button <img_tag=Icon_Grid_Menu:0> to open a menu and select the layout that you want. The following layouts are available:",向きを変更ボタン<img_tag=Change_Orientation_Icon:0>を使うと、シーケンスエディタの各部分の表示方法を変更できます。デフォルトではキャンバスビューが上部に、トラックエディタとドープシートが下部に表示されていますが、このボタンをクリックすると異なるレイアウトに順番で切り替わります。また、設定ボタン<img_tag=Icon_Grid_Menu:0>をクリックするとメニューから好きなレイアウトを選ぶこともできます。使用できるレイアウトは次の通りです。
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.img[alt]:146-29,{IMG_TXT} Split Window Sequence Editor Button,{IMG_TXT} シーケンスエディタのウィンドウ分割ボタン
The_Track_Panel.htm+html.body.div.table.tbody.tr.td:147-11,Split Window,ウィンドウを分割
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.p:149-13,"With this option the Sequence Editor will be split into two seperate windows, where the main IDE window will show the Canvas view in the full desktop and the new window will show the Dope Sheet and Track Editor. Clicking the button again will change the layout again and remove the extra window.",シーケンスエディタが2つのウィンドウに分かれます。IDEのメインウィンドウにはキャンバスビューが全体表示され、新しいウィンドウにはドープシートとトラックエディタが表示されます。ボタンをもう一度クリックするとレイアウトが切り替わり、新しいウィンドウが消えます。
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.img[alt]:154-29,{IMG_TXT} Snap Top Sequence Editor Button,{IMG_TXT} シーケンスエディタを上にスナップボタン
The_Track_Panel.htm+html.body.div.table.tbody.tr.td:155-11,Snap Top,上にスナップ
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.p:157-13,This option snaps the Track Editor and Dopesheet to the top of the IDE.,トラックエディタとドープシートがIDEの上側にスナップします。
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.img[alt]:161-29,{IMG_TXT} Snap Right Sequence Editor Button,{IMG_TXT} シーケンスエディタを右にスナップボタン
The_Track_Panel.htm+html.body.div.table.tbody.tr.td:162-11,Snap Right,右にスナップ
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.p:164-13,This option snaps the Track Editor and Dopesheet to the right of the IDE.,トラックエディタとドープシートがIDEの右側にスナップします。
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.img[alt]:168-29,{IMG_TXT} Snap Bottom Sequence Editor Button,{IMG_TXT} シーケンスエディタを下にスナップボタン
The_Track_Panel.htm+html.body.div.table.tbody.tr.td:169-11,Snap Bottom,下にスナップ
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.p:171-13,This option snaps the Track Editor and Dopesheet to the bottom of the IDE (this is the default view.,トラックエディタとドープシートがIDEの下側にスナップします（デフォルトのビュー表示）。
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.img[alt]:175-29,{IMG_TXT} Snap Left Sequence Editor Button,{IMG_TXT} シーケンスエディタを左にスナップボタン
The_Track_Panel.htm+html.body.div.table.tbody.tr.td:176-11,Snap Left,左にスナップ
The_Track_Panel.htm+html.body.div.table.tbody.tr.td.p:178-13,This option snaps the Track Editor and Dopesheet to the left of the IDE.,トラックエディタとドープシートがIDEの左側にスナップします。
The_Track_Panel.htm+html.body.div.p:183-5,You can also reset the Sequence Editor layout at any time by clicking the Reset option <img_tag=Reset_Editor_Layout_Button:0>. This will restore the editor to it's default state and re-open any sections that had been closed.,シーケンスエディタのレイアウトは、リセットオプション<img_tag=Reset_Editor_Layout_Button:0>をクリックすることでいつでも元に戻せます。レイアウトをリセットするとエディタがデフォルトの状態に戻り、閉じられていた部分も開き直されます。
The_Track_Panel.htm+html.body.p:186-3,"<span data-open-text=""true"">Track Search</span><span data-close-text=""true"">Track Search</span>","<span data-open-text=""true"">トラック検索</span><span data-close-text=""true"">トラック検索</span>"
The_Track_Panel.htm+html.body.div.p:188-5,"This search box permits you to quickly search through the various tracks of the sequence to find the one you wish to edit. Typing any text here will tell you how many asset tracks have been found with that string in them, and also highlight the arrows to the side of the search box. Clicking these arrows will skip to the first and consecutive assets that fulfill the search criteria.",検索ボックスを使うことでシーケンス内のトラックを検索し、編集したいトラックをすぐに見つけることができます。検索ボックスに文字を入力すると、入力された文字列を含むトラックの件数が表示されるほか、検索ボックスの横にある矢印の色が変化します。この矢印をクリックすると、検索条件と合致するアセットを順番に選択することができます。
The_Track_Panel.htm+html.body.p:192-3,"<span data-open-text=""true"">Asset Tracks</span><span data-close-text=""true"">Asset Tracks</span>","<span data-open-text=""true"">アセットトラック</span><span data-close-text=""true"">アセットトラック</span>"
The_Track_Panel.htm+html.body.div.p:194-5,"Each asset that is added to a sequence will be given its own track, and these are listed here. If the asset track has any parameters set for it, then these will also be shown underneath as parameter tracks. You can expand or contract the parameter tracks by clicking <img_tag=LMB_Icon:0> on the arrow icon to the left of the track name, and you can edit the track name by using a slow double click <img_tag=LMB_Icon:0> on the track and then giving it the name of your choice. Note that there are no restrictions on the name you give and you can use spaces, non alpha-numeric characters and start them with a number if you wish.",シーケンスに追加されたアセットにはトラックが与えられ、トラックパネルのリストに加わります。パラメーター付きのアセットトラックの場合、パラメータートラックが下に連なって表示されます。トラック名の左にある矢印アイコンをクリック<img_tag=LMB_Icon:0>すると、パラメータートラックを展開・収納できます。また、トラックをゆっくりダブルクリック<img_tag=LMB_Icon:0>すると好きなトラック名に変更できます。トラック名には命名制限がないため、半角スペースやアルファベット以外の文字列を使ったり、あるいは数字から始まる名前にすることも可能です。
The_Track_Panel.htm+html.body.div.p:197-5,"The different types of parameter tracks available are explained in more detail in the section on ""<strong>Adding Parameter Tracks</strong>"" further down this page.",使用可能なパラメータートラックの種類については、このページの「<strong>パラメータートラックを追加</strong>」セクションにおいて詳しく説明されています。
The_Track_Panel.htm+html.body.p:200-3,"<span data-open-text=""true"">Key Controls</span><span data-close-text=""true"">Key Controls</span>","<span data-open-text=""true"">キー操作部</span><span data-close-text=""true"">キー操作部</span>"
The_Track_Panel.htm+html.body.div.p:202-5,"Once you have added a parameter track, you can add and remove parameter keys to specific frames to set the value for that parameter. This can be done using the ""<strong>Record Key</strong>"" <img_tag=Add_Keys_Icon:0> or ""<strong>Delete key</strong>"" <strong><img_tag=Delete_Keys_Icon:0> </strong>button (see the section on ""<strong>Track Key Controls</strong>"" for more information), or you can do it using the <strong>Key Controls</strong> on the parameter itself. To use these controls, you need to position the playhead in the Dope Sheet to the frame you want to edit, and then you can click the circular ""key"" icon on the left of the parameter track. If the frame has no key assigned to it the circle will be ""empty"" and clicking it will add a new key and allow you to edit the parameter value. If the frame has a key already, then the circle will be ""filled"" and clicking it will instead remove the key from the frame:",パラメータートラックが追加されていると、特定のフレームにパラメーターキーを追加・削除してパラメーターの値を設定できます。「<strong>キーを記録</strong>」<img_tag=Add_Keys_Icon:0>または「<strong>キーを削除</strong>」<strong><img_tag=Delete_Keys_Icon:0></strong>ボタン（「<strong>トラックのキー操作部</strong>」セクションに詳細あり）をクリックするか、パラメーターの<strong>キー操作部</strong>によって設定できます。これらの操作を行なうには、ドープシートの再生ヘッド位置を編集したいフレームに合わせ、パラメータートラックの左にある丸い「キー」アイコンをクリックしてください。フレームにキーが割り当てられていないとアイコンの丸い部分が「空白」となり、クリックすると新しいキーが追加されてパラメーターの値を編集できます。フレームにキーが割り当てられているとアイコンの丸い部分が「色つき」になり、クリックするとフレームからキーが削除されます。
The_Track_Panel.htm+html.body.div.p.img[alt]:206-25,{IMG_TXT} Adding And Removing Parameter Keys Using The Track Panel,{IMG_TXT} トラックパネルによるパラメーターキーの追加と削除
The_Track_Panel.htm+html.body.div.p:206-5,"You'll notice too that in the image above you can use the arrow buttons on either side of the parameter key marker to quickly skip between key frames in the dope sheet too, without having to position the playhead manually.",上記の画像を見てお気付きかもしれませんが、パラメーターキーの横にある矢印ボタンをクリックすると、再生ヘッドを動かさなくてもドープシートのキーフレーム間をすばやく移動することができます。
The_Track_Panel.htm+html.body.p:210-3,"<span data-open-text=""true"">Parameter Values</span><span data-close-text=""true"">Parameter Values</span>","<span data-open-text=""true"">パラメーター値</span><span data-close-text=""true"">パラメーター値</span>"
The_Track_Panel.htm+html.body.div.p:212-5,"When a parameter track has been added, you can edit the values for some of them by simply setting the playhead in the Dope Sheet to the frame with the key you want to change and then use the different canvas widgets to edit the position, rotation, scale or origin of the asset. These changes will be reflected in the key value for that frame. However not all parameters can be edited this way, or it may not be precise enough for your needs, and in those cases you can edit the parameter value directly by clicking on it in the track and setting it to the required value for the parameter type.",パラメータートラックが追加されている場合は、ドープシートの再生ヘッドを変更したいキーのあるフレームに置き、各キャンバスウィジェットから編集することでアセットの位置、回転、スケール、原点といった値を変更できます。変更はそのフレームのキーにのみ反映されます。すべてのパラメーターをこの方法で編集できるわけではなく、より正確に調整しなくてはならない場合もあるはずですので、そういったときはトラックを直接クリックしてパラメーターキーを編集し、タイプごとに必要な値を設定しましょう。
The_Track_Panel.htm+html.body.div.p:215-5,"Note that some parameter tracks may have a ""link"" icon <img_tag=Track_Link_Icon:0> next to their values, which means they can be linked together. This is done by clicking the icon to enable/disable linking, and when enabled, editing one value will also set the other.",一部のパラメータートラックは、値の横に「リンク」アイコン<img_tag=Track_Link_Icon:0>が表示されます。このアイコンをクリックすると値のリンクが有効/無効となり、1つの値を編集するだけですべての値を同時に変更できます。
The_Track_Panel.htm+html.body.p:219-3,"<span data-open-text=""true"">Events</span><span data-close-text=""true"">Events</span>","<span data-open-text=""true"">イベント</span><span data-close-text=""true"">イベント</span>"
The_Track_Panel.htm+html.body.div.p:221-5,"In a similar way to regular objects, sequences can have events that can run some code assigned to them. The code is assigned in the form of a <a href=""../../GameMaker_Language/GML_Overview/Script_Functions.htm"">scripted function</a> which can take no arguments and will be called when the event is triggered.","通常のオブジェクトと同じくシーケンスにはイベントを追加でき、実行させるコードを割り当てることができます。コードは引数を受け付けない<a href=""../../GameMaker_Language/GML_Overview/Script_Functions.htm"">スクリプト関数</a>として割り当てられ、イベントが発生したタイミングで呼び出されます。"
The_Track_Panel.htm+html.body.div.p:223-5,Events are added by clicking the <strong>Add Event</strong> button <img_tag=Add_Event_Icon:0> which will open the following window:,<strong>イベントの追加</strong>ボタン<img_tag=Add_Event_Icon:0>をクリックすると、次のウィンドウからイベントを追加できます。
The_Track_Panel.htm+html.body.div.p.img[alt]:224-25,{IMG_TXT} Sequence Editor Add Event Window,{IMG_TXT} シーケンスエディタのイベント追加ウィンドウ
The_Track_Panel.htm+html.body.div.p:225-5,The events listed here are as follows:,以下は追加できるイベントの一覧です。
The_Track_Panel.htm+html.body.div.ul.li:227-7,"<strong>Create </strong>- This event happens when an instance of the sequence is first created, and is the very first thing that happens within a sequence placed in the room through the room editor when a room is entered.",<strong>Create</strong> - シーケンスのインスタンスが最初に生成されたときに起きるイベントです。ルームエディタによって配置されたシーケンス内で最初に起きるイベントであり、ルームに入ったタイミングで発生します。
The_Track_Panel.htm+html.body.div.ul.li:228-7,"<strong>Destroy </strong>- This event is executed when an instance of the sequence is destroyed, and will be run before the Clean Up event (see below).",<strong>Destroy </strong>- シーケンスのインスタンスが破棄されたときに実行されるイベントです。以下のClean Upイベントより先に実行されます。
The_Track_Panel.htm+html.body.div.ul.li:229-7,"<strong>Clean Up</strong> - This event will be called after any event that removes an instance of the sequence from the room. So, it will be triggered if the sequence is destroyed, if the room ends, or if the game ends, and is designed to perform any task that you need performed once when the sequence instance is removed from the game for any reason. If you have destroyed the sequence instance using, for example, layer_sequence_destroy(), then this event will be called after the Destroy Event (see above).",<strong>Clean Up</strong> - シーケンスのインスタンスをルームから除去する全イベントの後に呼び出されるイベントです。つまりシーケンスの破棄、ルームの終了、ゲームの終了によって作動するイベントとなり、インスタンスがゲームから除去されたときに任意の処理を実行させる役割を持っています。シーケンスのインスタンスがlayer_sequence_destroy()などで破棄された場合、このイベントは上記のDestroyイベントより後に呼び出されます。
The_Track_Panel.htm+html.body.div.ul.li:232-7,"<strong>Begin Step</strong> / <strong>Step </strong>/ <strong>End Step</strong> - The Step Event is an event that is checked every single step (frame) of the game while the sequence instance exists, and is split into three parts: begin, step and end. For most things the standard step event will be fine to use, but sometimes you want a bit more control over what code runs and at what time, so for that you are provided with the Begin and End step events, and these events will always be triggered in the same order every step (frame) of the game. <strong>Important!</strong> If the sequence is paused then these events will <em>not </em>be triggered, and when play resumes they will be triggered the <em>next frame after the sequence starts playing again</em>. Also note that the order of events is not influenced by the playhead direction, and even if the sequence is playing backwards, the events will still be run as Begin, Step and End.",<strong>Begin Step</strong> / <strong>Step </strong>/ <strong>End Step</strong> - シーケンスが存在している間、ゲーム内での1ステップ（フレーム）ごとにチェックされるイベントがStepイベントであり、Begin、Step、Endという3つの段階に分けられています。ほとんどの場合は普通のStepイベントで問題ありませんが、どのコードをどのタイミングで実行させるかをもう少しコントロールしたい場合もあるでしょう。そのために用意されているイベントがBeginとEndイベントです。この二つのイベントはゲーム内での1ステップ（フレーム）ごとに、必ず決められた順番で作動します。<strong>注意！</strong>シーケンスが一時停止されている間、Stepイベントは<em>作動しません</em>。シーケンスが再開された場合、<em>再生を再び始めた直後のフレーム</em>で作動します。また、再生ヘッドの方向によってイベントの順番が変わることはありません。シーケンスが逆再生されている場合でも、StepイベントはBegin、Step、Endの順に実行されます。
The_Track_Panel.htm+html.body.div.ul.li:236-7,"<strong>Async Event</strong>: This is the equivalent of the object <a href=""../Object_Properties/Async_Events.htm"">Asynchronous System Event</a>. <strong>Important!</strong> If the sequence is paused then this event will <em>not </em>be triggered.","<strong>Async Event</strong>: オブジェクトの<a href=""../Object_Properties/Async_Events.htm"">Asynchronous System Event</a>に相当するイベントです。<strong>注意！</strong>シーケンスが一時停止されている間、このイベントは<em>作動しません</em>。"
