Layer_Properties.htm+html.head.title:55-3,Layer Properties,レイヤープロパティ
Layer_Properties.htm+html.body.p.img[alt]:99-6,{IMG_TXT} Room Layer Menu,{IMG_TXT}ルームのレイヤーメニュー
Layer_Properties.htm+html.body.p:99-3,"Here you can open the layer properties window for the selected layer, delete the layer, rename the layer, or add a <strong>sub layer</strong>. If you choose to add a sub layer, then the current layer will receive a ""folder"" icon to show that there are sub-layers attached, and the new layer will be created below it, tabbed to the right. You can then choose to have the sub-layer inherit its properties from the parent layer, and also set whether it should inherit the visibility from the parent layer.",このメニューからはレイヤープロパティウィンドウを開いたり、レイヤーの削除、名前変更、さらには<strong>サブレイヤー</strong>を追加できます。サブレイヤーを追加した場合、現在のレイヤーにはサブレイヤーが付属していることを示す「フォルダ」アイコンが与えられ、新しいレイヤーは現在のレイヤーの下、右にタブを空けて作成されます。あとはサブレイヤーに親レイヤーのプロパティを継承させるか選択したり、親レイヤーの表示を継承させるかを設定することができます。
Layer_Properties.htm+html.body.p:102-3,"Note that you can drag layers up or down in the window to re-order them, and you can select and move multiple layers too using either <img_tag=Shift_Icon:0> + <img_tag=LMB_Icon:0> to select from one layer to another (including all those in between) or <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> to select layers one at a time. If you place the layers on top of a layer folder, they will be moved and set as sub-layers of the folder you dropped them on to. You can also lock layers so that they cannot be edited by mistake using the lock button <img_tag=Padlock_Icon:0>.",なお、ウィンドウ内のレイヤーは上下にドラッグすると順番を変更できるほか、<img_tag=Shift_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>するとあるレイヤーから別のレイヤーまで複数選択、移動できたり（間にあるすべてのレイヤーごと）、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>で個別選択もできます。レイヤーをレイヤーフォルダの上にドラッグするとフォルダの中に移動し、そのフォルダのサブレイヤーとなります。また、ロックボタン<img_tag=Padlock_Icon:0>をクリックするとレイヤーをロックし、間違って編集できないようになります。
Layer_Properties.htm+html.body.p:104-3,"<strong>NOTE</strong>: In the actual editor window where you place the different assets on their layers, you can hold down ""<span class=""inline"">P</span>"" + anywhere to instantly select the asset and skip to the layer that it has been placed on.","<strong>メモ</strong>: エディタのウィンドウではそれぞれ異なるアセットをレイヤーに配置することになりますが、""<span class=""inline"">P</span>""を押している間はアセットをすぐに選択でき、そのアセットが配置されているレイヤーに切り替えることができます。"
Layer_Properties.htm+html.body.p:106-3,Below you can find an overview of each of the available layer types as well as the editable properties for that layer:,レイヤーの種類、およびレイヤーの編集可能プロパティについては以下でそれぞれ説明されています。
Layer_Properties.htm+html.body.p.img[alt]:108-6,{IMG_TXT} Background Layer Icon,{IMG_TXT} 背景レイヤーのアイコン
Layer_Properties.htm+html.body.p:108-3,"<span data-open-text=""true"">Backgrounds</span><span data-close-text=""true"">Backgrounds</span>","<span data-open-text=""true"">背景</span><span data-close-text=""true"">背景</span>"
Layer_Properties.htm+html.body.div.p:110-5,"You can add a new background layer by clicking on the <img_tag=Background_Layer_Icon:0> button. This will add the new layer, and then open up the background properties window:",このボタン<img_tag=Background_Layer_Icon:0>をクリックすると背景レイヤーが追加され、背景のプロパティウィンドウが開きます。
Layer_Properties.htm+html.body.div.p.img[alt]:112-25,{IMG_TXT} Room Layer Background properties,{IMG_TXT} ルームレイヤーの背景プロパティ
Layer_Properties.htm+html.body.div.p:113-5,"When you create a new background layer it is empty by default and so draws the defined background colour. If you do not assign a sprite for the background layer image, this is what will be drawn instead, and you can click the colour box to open the colour picker and change the colour used. If you do choose a sprite, then you can tick the tiling options to tile it horizontally or vertically, or to make it stretch the image to fill the whole room.",背景レイヤーを作成すると最初は空となっており、背景色が描画されます。これは背景レイヤーの画像となるスプライトが割り当てられていないためです。なお、色をクリックするとカラーピッカーを開いて背景色を変更できます。スプライトが指定されている場合、水平タイル、垂直タイル、画像をルーム全体にストレッチさせるかの切り替えが可能となります。
Layer_Properties.htm+html.body.div.p:115-5,"If you want to have the background scroll in a direction, you can set the horizontal and/or vertical speed too (each game step it will move along the given access by the number of pixels that you set here), and you can also re-position the background image by setting the x and y offset values. You can also set the animation speed for the background if the sprite resource that you have selected has multiple sub-images, although this is locked by default to the value that you set in the Sprite Editor for the image used. Finally you can set the depth for the layer explicitly, although again by default this is locked and you can simply drag and reorder the layer order in the Layer Editor to change this value.",背景を決められた方向にスクロールさせたいなら、水平・垂直速度を設定しましょう（ゲームステップごとに一定ピクセル動くようになります）。また、X / Yのオフセット値を設定すれば背景画像の位置を変えることができます。指定したスプライトリソースに複数のサブ画像がある場合、背景のアニメーション速度を設定できますが、デフォルトではスプライトエディタの設定値にロックされます。レイヤーの深度も指定できますが、同じくデフォルトではロックされています。値を変更するだけなら、レイヤーエディタからレイヤーをドラッグして順番を変えるだけで可能です。
Layer_Properties.htm+html.body.div.p:118-5,Note that you can toggle the inheritance for a background from this window too by clicking the button at the very top.,ウィンドウの一番上のボタンをクリックした場合、背景の継承が切り替わります。
Layer_Properties.htm+html.body.p.img[alt]:121-6,{IMG_TXT} Instance Layer Icon,{IMG_TXT} インスタンスレイヤーのアイコン
Layer_Properties.htm+html.body.p:121-3,"<span data-open-text=""true"">Instances</span><span data-close-text=""true"">Instances</span>","<span data-open-text=""true"">インスタンス</span><span data-close-text=""true"">インスタンス</span>"
Layer_Properties.htm+html.body.div.p:123-5,"You can add a new instance layer by clicking on the <img_tag=Instance_Layer_Icon:0> button. This will add the new layer, and then open up the instance properties window:",このボタン<img_tag=Instance_Layer_Icon:0>をクリックするとインスタンスレイヤーが追加され、インスタンスのプロパティウィンドウが開きます。
Layer_Properties.htm+html.body.div.p.img[alt]:125-25,{IMG_TXT} Room Layer Instance properties,{IMG_TXT} ルームレイヤーのインスタンスプロパティ
Layer_Properties.htm+html.body.div.p:125-5,"This window simply shows a list of all the instances that are currently on the layer. You can add more instances to a layer by opening up the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and then dragging objects from there into the room, or alternatively you can select an instance from the Asset Browser and then press and hold <img_tag=Alt_Icon:0> to preview the resource ""in-situ"", and if you additionally click the left mouse button <img_tag=LMB_Icon:0> you can add the instance and even ""paint"" it into the room layer by maintaining the button pressed and moving the mouse.","このウィンドウには、レイヤーに追加されているインスタンスのリストが表示されます。<a href=""../../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>を開いてオブジェクトをルームまでドラッグすると、レイヤーに新しいインスタンスを追加できます。またはアセットブラウザからインスタンスを選択後、<img_tag=Alt_Icon:0>を押している間はリソースがその場にプレビュー表示され、そのまま左クリック<img_tag=LMB_Icon:0>するとインスタンスを追加、ドラッグすると「描く」ように連続して追加できます。"
Layer_Properties.htm+html.body.div.p:127-5,"The layer list can be ordered by clicking <img_tag=LMB_Icon:0> and dragging an instance in the list to the position required, but it is worth noting that this is purely for organisational purposes within the room editor and if you want to set a specific creation order, please use the <strong>Creation Order Window</strong>, which can be opened from the <a href=""Room_Properties.htm"">Room Properties</a> window, or from the <a href=""../Rooms.htm"">Room context menu</a>.","リストに並んでいるインスタンスはドラッグ<img_tag=LMB_Icon:0>して自由に並び替えできますが、あくまでルームエディタのリスト表示を整理できるだけであり、インスタンスが生成される順番を変更したい場合は、<a href=""Room_Properties.htm"">ルームプロパティ</a>のウィンドウ、または<a href=""../Rooms.htm"">ルームのIDEメニュー</a>から<strong>生成順序ウィンドウ</strong>を開かなくてはなりません。"
Layer_Properties.htm+html.body.div.p:129-5,Double-clicking <img_tag=LMB_Icon:0> on any instance - either in the room editor itself or in the properties list - will open a new window to let you modify aspects of that single unique instance:,ルームエディタまたはプロパティに表示されているインスタンスをダブルクリック<img_tag=LMB_Icon:0>すると、新しいウィンドウを開いて個々のインスタンスの性質を変更できます。
Layer_Properties.htm+html.body.div.p.img[alt]:131-25,{IMG_TXT} Room Instance properties,{IMG_TXT} ルームのインスタンスプロパティ
Layer_Properties.htm+html.body.div.p:131-5,"By default the instance will have a name like ""<span class=""inline"">inst_38B0BFF</span>"", but this can be changed to anything you want as long as the name uses only alpha-numeric characters and the under-bar ""_"" (and no spaces). However it's worth noting that the name given here (whether it's one you give, or the default one that the IDE gives) is considered a <a class=""tooltip"" title=""TITLE_KEY::constant"">constant</a> and so <strong>must be <em>unique </em>to the instance</strong>. This also means that it can be used in code n your game to identify the instance, but only if you are in the same room as the instance.","インスタンスには""<span class=""inline"">inst_38B0BFF</span>""のようなデフォルト名が与えられますが、この名前は自由に変更できます（英数字および""_""記号のみ使用でき、スペースは受け付けません）。注意点として、ここで指定した名前は<a class=""tooltip"" title=""TITLE_KEY::constant"">定数</a>として扱われるため（自分でつけた名前かIDEによるデフォルト名かを問わず）、インスタンスごとに<strong><em>固有の名前</em></strong>にしなくてはなりません。この名前はコードからインスタンスを識別するための名前となりますが、識別できるのはインスタンスが同じルームに存在する場合のみです。"
Layer_Properties.htm+html.body.div.p:135-5,"Below the instance name you have buttons to set whether the instance is to inherit from the parent room, change the object that you want it to be an instance of or even open up the <a href=""../Objects.htm"">Object Editor</a>, should you wish to change anything there. There is a button to check and edit variables through the <a href=""../Object_Properties/Object_Variables.htm"">Object Variable</a> window and you can change the initial characteristics of this instance too, setting a colour to blend it with (white by default), or rotating and flipping it. You can also scale the instance along either or both the axis, and set its position within the room, as well as the image speed and initial frame for the sprite to use.","インスタンス名の下にある各ボタンからは、インスタンスを親ルームから継承させるかの設定、オブジェクトの変更、<a href=""../Objects.htm"">オブジェクトエディタ</a>を開いて元のオブジェクトを呼び出せるほか、<a href=""../Object_Properties/Object_Variables.htm"">オブジェクト変数</a>の編集と確認ができます。インスタンスが最初からもつ特徴を変えることも可能で、ブレンドされる色（デフォルトでは白色）、回転および反転、縦横のスケール変更、ルーム内の位置、スプライトの画像速度、初期フレームといったものを設定できます。"
Layer_Properties.htm+html.body.div.p:138-5,"Finally you can give the instance some creation code which will run directly after the object creation event code, and is unique to this instance (so you can, say, set a variable in the object which all instance will have then modify it in the creation code so that it's a unique value for one instance). Clicking this will chain a <a href=""../Scripts.htm"">script window</a> to the instance where you can add any functions or modify any variables and this code will be run directly after the instance has been created and the instance <a href=""../Object_Properties/Event_Order.htm"">Create Event</a> has been run. Note that you can toggle inheritance of creation code on or off <em>independently </em>of the instance inheritance.","他に設定できるものは、インスタンスの生成コードです。このコードはオブジェクトのCreateイベントの直後に実行され、そのインスタンスだけのものとなります（たとえば元のオブジェクトで設定した変数を、インスタンスの生成コードから独自の値に変更するといったことが可能です）。ボタンをクリックすると<a href=""../Scripts.htm"">スクリプトウィンドウ</a>がインスタンスの横に開き、関数を追加したり、変数を変更できるようになります。コードが実行されるタイミングはインスタンスが生成され、<a href=""../Object_Properties/Event_Order.htm"">Createイベント</a>が実行された直後です。なおインスタンスの継承とは<em>別に</em>、生成コードの継承を切り替えることも可能です。"
Layer_Properties.htm+html.body.div.p:141-5,"It is worth noting that each instance on a layer is automatically flagged for exporting when the game is made. However, especially when working with inheritance, it may be that you don't <em>want </em>specific instances to be added to the room in the final game (or you may have a debug instance in every room and simply want to exclude it from the final game). If that is the case, then simply un-checking the ""<strong>Export</strong>"" checkbox to the left of the instance in the list will prevent it from being exported as part of the executable. It is important to note, however, that if you have any code that references the instance, <strong>then the game will not run correctly</strong>, so use this feature with care.","レイヤー上のインスタンスは、ゲーム作成時に自動でエクスポートするようフラグ付けされます。とはいえ継承を利用していたり、常に存在し続けるデバッグ用オブジェクトがある場合など、最終的にはゲームから<em>除外したい</em>インスタンスがルームに含まれているかもしれません。このような場合、リストに表示されている各インスタンスの""<strong>エクスポート</strong>""のチェックを外すと、それらが実行ファイルの一部として出力されなくなります。ただし大きな注意点があり、チェックを外したインスタンスをコードから参照している場合、<strong>ゲームが正常に実行されなくなる恐れがあります</strong>。そのため注意して扱ってください。"
Layer_Properties.htm+html.body.p.img[alt]:146-6,{IMG_TXT} Tile map Layer Icon,{IMG_TXT} タイルマップレイヤーのアイコン
Layer_Properties.htm+html.body.p:146-3,"<span data-open-text=""true"">Tile Maps</span><span data-close-text=""true"">Tile Maps</span>","<span data-open-text=""true"">タイルマップ</span><span data-close-text=""true"">タイルマップ</span>"
Layer_Properties.htm+html.body.div.p:148-5,"You can add a new <a class=""tooltip"" title=""TITLE_KEY::tile_map"">tile map</a> layer by clicking on the <img_tag=Tile_map_Layer_Icon:0> button. This will add the new layer, and then open up the <strong>Tile Map Layer Properties</strong> window and the <strong>Tile Editing </strong>window:","このボタン<img_tag=Tile_map_Layer_Icon:0>をクリックすると<a class=""tooltip"" title=""TITLE_KEY::tile_map"">タイルマップ</a>レイヤーが追加され、<strong>タイルマップレイヤーのプロパティ</strong>ウィンドウと<strong>タイル編集</strong>ウィンドウが開きます。"
Layer_Properties.htm+html.body.div.p.img[alt]:149-25,{IMG_TXT} Room Layer Tile properties,{IMG_TXT} ルームレイヤーのタイルプロパティ
Layer_Properties.htm+html.body.div.p:149-5,"In the <strong>Tile Map Layer Properties</strong> you can toggle the inheritance fo the layer, change the tile set that is being used and set the x or y offset for the layer if you want the layer grid to not align exactly with the (0, 0) position of the room. You can also set the depth that the layer should be <a class=""tooltip"" title=""TITLE_KEY::rendered"">rendered</a> at (which has it's own unique inheritance button) and you can ""lock"" this depth too, which will prevent any further editing after it has been created.","<strong>タイルマップレイヤーのプロパティ</strong>では、レイヤーの継承切り替え、使用するタイルセットの変更ができ、レイヤーのグリッドをルームの (0, 0) に揃えたくない場合はX / Yのオフセットを設定できます。レイヤーが<a class=""tooltip"" title=""TITLE_KEY::rendered"">レンダリング</a>される深度を設定することもでき（専用の継承ボタンもあります）、ロックをすれば不要な編集を防ぐことが可能です。"
Layer_Properties.htm+html.body.div.p:151-5,"When the layer properties window opens it will also open the <strong>Tile Editing</strong> window, which shows the tile set being used (if you close this window by mistake, you can open it again from the <strong>Room </strong>&gt; <a href=""../Rooms.htm"">Tile Editing</a> menu at the top of the IDE). You can click <img_tag=LMB_Icon:0> on any tile to select it as the current <strong>brush </strong>and then draw them to the layer in the room editor by clicking <img_tag=LMB_Icon:0> on the room canvas, or, if you want to draw multiple tiles together you can select them as a group by clicking the left mouse <img_tag=LMB_Icon:0> and dragging to select them from the tileset before drawing. If the range of tiles that you want to draw together is not in a block, then you can hold down <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and then select individual tiles using the left mouse button <img_tag=LMB_Icon:0> and create a custom brush that way (you can also remove tiles from a custom brush using <img_tag=Alt_Icon:0> + <img_tag=LMB_Icon:0>). Note that creating custom brushes this way is temporary and designed for one-off uses, but you can use the <a href=""../Tile_Set_Editors/Brush_Builder.htm"">Brushes</a> tab to create permanent brushes that will be stored with the tile map layer.","レイヤープロパティのウィンドウを開くとさらに<strong>タイル編集</strong>ウィンドウも開き、現在のタイルセットが表示されます（ウィンドウを間違って閉じてしまった場合、IDE上部のメニューから<strong>ルーム</strong> &gt; <a href=""../Rooms.htm"">タイル編集</a>というように選択すれば開き直せます）。クリック<img_tag=LMB_Icon:0>で選択したタイルは<strong>ブラシ</strong>になり、ルームエディタのキャンバス上をクリック<img_tag=LMB_Icon:0>すれば現在のレイヤーに描くことができます。複数のタイルで描きたくなったら、タイルセットのタイルをドラッグ<img_tag=LMB_Icon:0>するとまとめて選択できます。選択したいタイルが離れている場合、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながら左クリック<img_tag=LMB_Icon:0>でタイルを個別に選択し、カスタムブラシにできます（<img_tag=Alt_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>でタイルの除外もできます）。こうして作られたカスタムブラシは一時的にしか使えませんが、<a href=""../Tile_Set_Editors/Brush_Builder.htm"">ブラシ</a>タブで作られたものはタイルマップレイヤーに保存されるため無くなりません。"
Layer_Properties.htm+html.body.div.p:153-5,"Note that the Tile Editing window permits you to zoom in and out on the tile with the mouse wheel or the buttons at the top, and you can pan using the <img_tag=MMB_Icon:0> middle mouse button or <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:0>. Note that there is a grid option too which can be toggled on or off to delimit the tiles in the window, and you can set the colour of the grid as well, although tiles will <em>always</em> be snapped to the grid whether it is visible or not.",タイル編集ウィンドウではマウスホイール、上部の各ボタンによってタイルのズーム倍率を変更できるほか、中央ボタンによるドラッグ<img_tag=MMB_Icon:0>または<img_tag=Space_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:0>でスクロールできます。このウィンドウにはグリッドオプションもあり、有効にしてタイルを区切ったり、グリッドそのものの色を変更できます。なお、グリッドを非表示にしてもタイルは<em>必ず</em>スナップします。
Layer_Properties.htm+html.body.div.p:156-5,"The Tile Editing window also permits you to select <strong>Brushes</strong>, <strong>Animated Tiles</strong> and <strong>Auto Tiles</strong> from the Libraries tab, all of which are covered in the section on the <a href=""../Tile_Sets.htm"">Tile Set Editor</a>.","このウィンドウにはライブラリタブもあり、<strong>ブラシ</strong>、<strong>アニメーションタイル</strong>、<strong>オートタイル</strong>を選択できます。これらに関しては<a href=""../Tile_Sets.htm"">タイルセットエディタ</a>のページで取り上げられています。"
Layer_Properties.htm+html.body.div.p:157-5,"At the top of the room editor, when you have a tile layer selected, you will see a set of tools that are specific to tiles:",タイルレイヤーの選択時は、ルームエディタの上部にタイル用のツールが表示されます。以下はその一覧です。
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:161-29,{IMG_TXT} Pencil Tool Icon,{IMG_TXT} 鉛筆ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:162-11,Pencil,鉛筆
Layer_Properties.htm+html.body.div.table.tbody.tr.td:163-11,"This is the pencil tool. It uses the selected tile to paint in the Room Editor with the left mouse button <img_tag=LMB_Icon:0> and you can erase with the right mouse button <img_tag=RMB_Icon:0>. Note that the index value for the tile is shown at the bottom in the Room Status Bar in the Room Editor, and if you have multiple tiles selected for painting (ie: a <a href=""../Tile_Set_Editors/Brush_Builder.htm"">brush</a>) then a list of all the tile indices used will be shown.","鉛筆ツールを使うと、選択中のタイルを<a href=""../Tile_Set_Editors/Brush_Builder.htm"">ブラシ</a>として左クリック<img_tag=LMB_Icon:0>でキャンバスに描くことができます（右クリック<img_tag=RMB_Icon:0>でタイルを消せます）。ルームエディタのステータスバーにはタイルのインデックス値が表示され、複数のタイルをブラシとして選択している場合、すべてのタイルのインデックスが一覧となって表示されます。"
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:167-29,{IMG_TXT} Eraser Tool Icon,{IMG_TXT} 消しゴムツール
Layer_Properties.htm+html.body.div.table.tbody.tr.td:168-11,Eraser,消しゴム
Layer_Properties.htm+html.body.div.table.tbody.tr.td:169-11,"With the eraser tool you can use the left mouse button <img_tag=LMB_Icon:0> to erase a given tile in the room editor. Essentially, all this does is set the tile index to 0, which is the reserved ""empty"" tile.",消しゴムツールを使うと、ルームエディタで置かれたタイルを左クリック<img_tag=LMB_Icon:0>で消すことができます。実際にはタイルのインデックス値を、「空のタイル」のインデックス値として予約されている0に置き換えています。
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:173-29,{IMG_TXT} Fill Tool Icon,{IMG_TXT} 塗りつぶしツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:174-11,Fill,塗つぶし
Layer_Properties.htm+html.body.div.table.tbody.tr.td:175-11,"The fill tool permits you to fill an entire tilemap layer or a selection of tiles with the current tile brush. The brush you use can be a single tile or a composite brush made up of multiple tiles, or even a tile from the animation library and clicking <img_tag=LMB_Icon:0> on a layer will then fill in the tiles using the chosen brush. If you have not used the Selection Tool then the fill will work on all consecutive <em>empty </em>tiles, or all consecutive tiles <em>of the same index</em>. If you have a selection within the layer, then fill will be constrained to within that selection.",塗りつぶしツールでは、タイルマップレイヤー全体、あるいは選択しているタイルすべてを現在のタイルブラシで塗りつぶすことができます。単一のタイル、複数のタイルからなるブラシ、さらにアニメーションライブラリ内のタイルをブラシとして指定でき、レイヤー上をクリック<img_tag=LMB_Icon:0>すると塗りつぶしされます。タイルマップレイヤーに選択範囲がなければ「<em>空</em>のタイル」、または<em>同じインデックス</em>のタイルが続いている部分が塗りつぶされ、選択範囲があればその範囲全体が塗りつぶされます。
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:180-29,{IMG_TXT} Line Tool Icon,{IMG_TXT} 直線ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:181-11,Line,直線
Layer_Properties.htm+html.body.div.table.tbody.tr.td:182-11,"When you select the Line Tool, clicking <img_tag=LMB_Icon:0> then dragging and releasing will create a line of tiles between where you clicked and where you released. If you have an area of the tile map layer selected using the Selection Tool, then the line will only be added within the selection bounds. Lines can be drawn using a single tile brush, a composite brush of various tiles, or an animated tile from the library.",直線ツールを選択すると、ドラッグ<img_tag=LMB_Icon:0>してタイルの直線を描くことができます。タイルマップレイヤーに選択範囲がある場合はその範囲内にだけ描けます。このツールでは1つのタイル、複数のタイル、ライブラリのアニメーションタイルのいずれもブラシとして利用できます。
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:186-29,{IMG_TXT} Rctangle Tool Icon,{IMG_TXT} 長方形ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:187-11,Rectangle,長方形
Layer_Properties.htm+html.body.div.table.tbody.tr.td:188-11,"When you select the Rectangle Tool, clicking <img_tag=LMB_Icon:0> then dragging and releasing will create a filled rectangle of tiles with the top left corner being where you click and the bottom right corner being where you release. If you have an area of the tilemap layer selected using the Section Tool, then the rectangle will only be added within the selection bounds. Rectangles can be drawn using a single tile brush, a composite brush of various tiles, or an animated tile from the library.",長方形ツールを選択すると、ドラッグ<img_tag=LMB_Icon:0>してタイルで塗りつぶした長方形を描くことができます。タイルマップレイヤーに選択範囲がある場合はその範囲内にだけ描けます。このツールでは1つのタイル、複数のタイル、ライブラリのアニメーションタイルのいずれもブラシとして利用できます。
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:193-29,{IMG_TXT} Selection Tool Icon,{IMG_TXT} 選択ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:194-11,Selection,選択
