HTTP.htm+html.head.title:55-3,HTTP,HTTP
HTTP.htm+html.body.ul.li:97-5,"""<span class=""inline"">http_status</span>"": The raw http status code (if available). This returns the standard web status code for most browsers, eg: 304 for ""Not Modified"" or 204 for ""No Content"", etc...","""<span class=""inline"">http_status</span>"": HTTPの元ステータスコードです（利用可能な場合）。大半のブラウザでは、304 Not Modified（未更新）、204 No Content（内容なし）といった、標準的なWebステータスコードが返されます。"
HTTP.htm+html.body.p:99-3,"The above shows what you get when you use the <a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/http_post_string.htm""><span class=""inline"">http_post_string()</span></a> function, but each of the <span class=""inline"">http_</span> functions may return a slightly different map, so please refer to the manual entry for each function to find out the precise data that is returned for it.","上記は<a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/http_post_string.htm""><span class=""inline"">http_post_string()</span></a>関数で取得できる内容ですが、<span class=""inline"">http_</span>系列の各関数では少し異なるマップが返される場合があります。そのためマニュアルから各関数の記事を確認し、返される正確なデータを調べるようにしてください。"
HTTP.htm+html.body.p:100-3,"<strong>NOTE</strong>: As <span style=""font-size:14px;""><span class=""inline"" style=""font-size: 14px"">async_load </span></span>creates a DS map, these functions are particularly useful when coupled with the <a href=""../../../GameMaker_Language/GML_Reference/File_Handling/Encoding_And_Hashing/json_encode.htm""><span class=""inline"" style=""font-size: 14px"">json_encode()</span></a> and <a href=""../../../GameMaker_Language/GML_Reference/File_Handling/Encoding_And_Hashing/json_decode.htm""><span class=""inline"" style=""font-size: 14px"">json_decode()</span></a> functions.","<strong>メモ</strong>: <span style=""font-size:14px;""><span class=""inline"" style=""font-size: 14px"">async_load</span></span>ではDSマップが作られるため、http_系列の関数は<a href=""../../../GameMaker_Language/GML_Reference/File_Handling/Encoding_And_Hashing/json_encode.htm""><span class=""inline"" style=""font-size: 14px"">json_encode()</span></a>および<a href=""../../../GameMaker_Language/GML_Reference/File_Handling/Encoding_And_Hashing/json_decode.htm""><span class=""inline"" style=""font-size: 14px"">json_decode()</span></a>関数と組み合わせると特に便利です。"
HTTP.htm+html.body.p:102-3,"There could also be additional data supplied by this map if you have requested files for downloading. In this case, the ""status"" will have a value of 1 and the DS map will hold these extra keys:","また、ダウンロードするファイルを要求した場合はDS マップにデータが追加されることがあります。その場合は""status""の値が 1 となり、以下のキーが新たに保持されます。"
HTTP.htm+html.body.ul.li:104-5,"""<span class=""inline"">contentLength</span>"": This is the size of file that the web server has said you should expect to receive (may be -1 if the server does not return this data).","""<span class=""inline"">contentLength</span>"": Webサーバーから受信することになるファイルのサイズです（サーバーからデータが返されなかった場合は-1になります）。"
HTTP.htm+html.body.ul.li:105-5,"""<span class=""inline"">sizeDownloaded</span>"": The size of the data that has already been downloaded.","""<span class=""inline"">sizeDownloaded</span>"": ダウンロード済みデータのサイズです。"
HTTP.htm+html.body.p:107-3,"Note that the event will not be triggered for every single data packet that is received, but will rather update at any time during the download within the main game loop. Also note that currently this functionality is only available for regular Windows target platforms.",このイベントは1つのデータパケットを受信するたびに作動するのではなく、メインゲームループにおけるダウンロード中に任意のタイミングで更新が行われます。また、現時点でこの機能を利用できるのは通常のWindowsターゲットプラットフォームのみとなるためご注意ください。
HTTP.htm+html.body.div.div.div.div:115-9,"Back: <a href=""../Async_Events.htm"">Async Events</a>","戻る: <a href=""../Async_Events.htm"">Asyncイベント</a>"
HTTP.htm+html.body.div.div.div.div:116-9,"Next: <a href=""IAP.htm"">In App Purchase</a>","次へ: <a href=""IAP.htm"">In App Purchase</a>"
HTTP.htm+html.body.p:129-1,{SEARCH_RESULT} Page detailing the HTTP async event.,{SEARCH_RESULT} Async HTTPイベントの詳細ページ
HTTP.htm+html.body.p:129-60,{INDEX_KEYWORD} Objects - Async HTTP Event,{INDEX_KEYWORD} オブジェクト - Async HTTPイベント
