Rooms.htm+html.head.title:55-3,Rooms,ルーム
Rooms.htm+html.body.div.p:100-5,"The rulers along the edge of the canvas show you the position of the things that are placed within it, and are marked from (0, 0) which is the center of the canvas and the origin for the room. You can click and drag on the rulers to pull a horizontal or vertical guide into the room, and this guide can then be used to accurately position the different assets that are being used, as moving an asset close to one will ""snap"" it to the guide. While positioning assets within the room, smart guides will also be temporarily shown indicating the distance between assets, as well as the distance from the room boundary or center point.","キャンバスの端にあるものは定規で、アセットが置かれている位置を示しています。この定規はキャンバスの中央であり、ルームの原点となる (0, 0) を開始点としています。また、定規を引っぱるようにドラッグするとガイドを追加できます。アセットをガイドのそばまで動かすと「スナップ」するため、ガイドを追加すれば複数のアセットを正確に配置できるようになります。アセットの配置中はスマートガイドも表示され、アセット同士の距離や、ルームの境界線、中心点からの距離を示してくれます。"
Rooms.htm+html.body.div.p.img[alt]:103-25,{IMG_TXT} Guides and Smart Guides in the Sequences Editor,{IMG_TXT} シーケンスエディタのガイドとスマートガイド
Rooms.htm+html.body.div.p:103-5,"The distance that assets ""snap"" to guides, as well as other properties, can be set in the <a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Room_Editor_Preferences.htm"">Room Editor Preferences</a>.","<a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Room_Editor_Preferences.htm"">ルームエディタの環境設定</a>では他の設定に加えて、アセットがガイドにスナップするまでの距離を設定できます。"
Rooms.htm+html.body.p:107-3,"<span data-open-text=""true"">Layer Editor</span><span data-close-text=""true"">Layer Editor</span>","<span data-open-text=""true"">レイヤーエディタ</span><span data-close-text=""true"">レイヤーエディタ</span>"
Rooms.htm+html.body.div.p:109-5,"The room editor places things onto layers within the room. Each layer is at a discrete ""depth"", where those that appear at the bottom of the list in the layer window will be drawn under those that appear near the top.",ルームエディタでは、ルーム内のレイヤーにアセットが配置されます。レイヤーにはそれぞれ個別の「深度」があり、レイヤーウィンドウの下側に並んでいるレイヤーは、上側のレイヤーより奥に描画されます。
Rooms.htm+html.body.div.p:110-5,<strong>IMPORTANT!</strong> There is a minimum and maximum layer depth of -16000 to 16000. Anything placed on a layer outside that range will not be drawn although all events will still run as normal.,<strong>重要！</strong>レイヤーの深度には-16000から16000までの上限値があり、上限外のレイヤーに置かれたインスタンスは描画されません。ただしイベントはすべて通常どおりに実行されます。
Rooms.htm+html.body.div.p:111-5,"Layers are created by clicking the appropriate button for the type of layer you want to create, which are:",レイヤーを作成するには各ボタンをクリックします。作成されるレイヤーはボタンと以下のように対応しています。
Rooms.htm+html.body.div.table.tbody.tr.td.img[alt]:115-29,{IMG_TXT} Instance Layer Icon,{IMG_TXT} インスタンスレイヤーのアイコン
Rooms.htm+html.body.div.table.tbody.tr.td:116-11,Instances,インスタンス
Rooms.htm+html.body.div.table.tbody.tr.td:117-11,"This layer is for all the <a href=""../Quick_Start_Guide/Objects_And_Instances.htm"">instances</a> that your game will use.","ゲーム内で利用する<a href=""../Quick_Start_Guide/Objects_And_Instances.htm"">インスタンス</a>を置くレイヤーです。"
Rooms.htm+html.body.div.table.tbody.tr.td.img[alt]:120-29,{IMG_TXT} Tile map Layer Icon,{IMG_TXT} タイルマップレイヤーのアイコン
Rooms.htm+html.body.div.table.tbody.tr.td:121-11,Tile Maps,タイルマップ
Rooms.htm+html.body.div.table.tbody.tr.td:122-11,"This layer is for placing tiles from <a href=""../Quick_Start_Guide/Creating_Tile_Sets.htm"">tile sets</a> as <a class=""tooltip"" title=""TITLE_KEY::tile_map"">tile map</a><span class=""glossextra""></span>.","<a href=""../Quick_Start_Guide/Creating_Tile_Sets.htm"">タイルセット</a>の<a class=""tooltip"" title=""TITLE_KEY::tile_map"">タイルマップ</a><span class=""glossextra""></span>を使ってタイルを置くレイヤーです。"
Rooms.htm+html.body.div.table.tbody.tr.td.img[alt]:125-29,{IMG_TXT} Path Layer Icon,{IMG_TXT} パスレイヤーのアイコン
Rooms.htm+html.body.div.table.tbody.tr.td:126-11,Paths,パス
Rooms.htm+html.body.div.table.tbody.tr.td:127-11,"This layer is for showing and adding <a href=""Paths.htm"">paths</a> in a room.","ルームに追加した<a href=""Paths.htm"">パス</a>が表示されるレイヤーです。"
Rooms.htm+html.body.div.table.tbody.tr.td.img[alt]:130-29,{IMG_TXT} Asset Layer Icon,{IMG_TXT} アセットレイヤーのアイコン
Rooms.htm+html.body.div.table.tbody.tr.td:131-11,Assets,アセット
Rooms.htm+html.body.div.table.tbody.tr.td:132-11,"This layer is for visual assets to be added to the room, like <a href=""../Quick_Start_Guide/Creating_Sprites.htm"">sprites</a> and <a href=""../Quick_Start_Guide/Sequences.htm"">sequences</a>.","<a href=""../Quick_Start_Guide/Creating_Sprites.htm"">スプライト</a>や<a href=""../Quick_Start_Guide/Sequences.htm"">シーケンス</a>といった視覚的アセットを追加するレイヤーです。"
Rooms.htm+html.body.div.table.tbody.tr.td.img[alt]:135-29,{IMG_TXT} Background Layer Icon,{IMG_TXT} 背景レイヤーのアイコン
Rooms.htm+html.body.div.table.tbody.tr.td:136-11,Background,背景
Rooms.htm+html.body.div.table.tbody.tr.td:137-11,"This type of layer defines a background, which is essentially a single colour or sprite image that is drawn over the whole room.",背景を定義するレイヤーです。基本的には単一色、またはスプライト画像となり、背景はルーム全体に描画されます。
Rooms.htm+html.body.div.p:141-5,"You can also create a layer folder using the folder button <img_tag=Folder_Icon:0> where you can group selected layers together, as well as delete the selected layers with the delete button <img_tag=Delete_Layer_Icon:0>. Each of these layer types are discussed <a href=""Room_Properties/Layer_Properties.htm"">here</a> in more detail.","なお、フォルダボタン<img_tag=Folder_Icon:0>をクリックするとレイヤーフォルダを作成し、選択したレイヤーをまとめることができます。削除ボタン<img_tag=Delete_Layer_Icon:0>をクリックした場合、選択したレイヤーをすべて削除します。レイヤーの種類については<a href=""Room_Properties/Layer_Properties.htm"">こちら</a>で詳しく取り上げられています。"
Rooms.htm+html.body.div.p:145-5,"Note that you can toggle <a href=""Room_Properties/Room_Inheritance.htm"">inheritance</a> for the layer editor which will affect layer order and visibility. The visibility itself can be set by clicking the eye icon <img_tag=Eye_Icon:0> beside each of the layers, or you can click the one at the very top to enable/disable all layers at once. You also have the possibility to ""lock"" a layer (or all of them) so that they cannot be changed by clicking the padlock icon <img_tag=Padlock_Icon:0>. Note that layers which are flagged as invisible will <strong>not</strong> be shown when the game is run.","レイヤーエディタでは<a href=""Room_Properties/Room_Inheritance.htm"">継承</a>の切り替えもでき、この設定はレイヤーの順番、表示に影響します。表示については横にある目アイコン<img_tag=Eye_Icon:0>をクリックして直接変更できるほか、一番上のアイコンから全レイヤーをまとめて変更可能です。南京錠アイコン<img_tag=Padlock_Icon:0>をクリックした場合はレイヤーを「ロック」し、編集を禁止できます。なお、非表示フラグが付けられたレイヤーはゲーム実行時に<strong>表示されなくなります</strong>。"
Rooms.htm+html.body.p:149-3,"<span data-open-text=""true"">Layer Properties</span><span data-close-text=""true"">Layer Properties</span>","<span data-open-text=""true"">レイヤープロパティ</span><span data-close-text=""true"">レイヤープロパティ</span>"
Rooms.htm+html.body.div.p:151-5,The room layer properties window will change depending on the currently selected layer in the layer editor.,ルームのレイヤープロパティウィンドウは、レイヤーエディタの選択レイヤーに合わせて内容が変化します。
Rooms.htm+html.body.div.p.img[alt]:152-25,{IMG_TXT} Room Layer Properties In Full,{IMG_TXT} ルームのレイヤープロパティ全体
Rooms.htm+html.body.div.p:152-5,"Each window will have the different properties and lists associated with the currently selected layer type, and you will be able to edit fundamental details for how the layer is displayed and what is actually on the layer. Please see <a href=""Room_Properties/Layer_Properties.htm"">here</a> for more detail.","各ウィンドウのプロパティ、リストは選択しているレイヤーの種類と結びついており、ここではレイヤーの表示方法や、配置されているアセットに関する基本データを編集できます。詳しくは<a href=""Room_Properties/Layer_Properties.htm"">こちら</a>を参照してください。"
Rooms.htm+html.body.p:156-3,"<span data-open-text=""true"">Room Properties</span><span data-close-text=""true"">Room Properties</span>","<span data-open-text=""true"">ルームプロパティ</span><span data-close-text=""true"">ルームプロパティ</span>"
Rooms.htm+html.body.div.p:158-5,"This section of the room editor is where you can define all the base properties for the room, like it's size, whether it uses physics, or any cameras and viewports it requires. This section is dicussed in more detail <a href=""Room_Properties/Room_Properties.htm"">here</a>.","この部分では、ルームのサイズ、物理の使用、カメラおよびビューポートの利用といったルームの基礎的なプロパティを設定できます。詳しい内容については<a href=""Room_Properties/Room_Properties.htm"">こちら</a>で取り上げられています。"
Rooms.htm+html.body.p:161-3,"<span data-open-text=""true"">Layer Toolbox</span><span data-close-text=""true"">Layer Toolbox</span>","<span data-open-text=""true"">レイヤーツールボックス</span><span data-close-text=""true"">レイヤーツールボックス</span>"
Rooms.htm+html.body.div.p:163-5,"Certain layer types will have additional tools added to the top of the IDE in the <strong>Layer Toolbox</strong> (for example, tile layers or path layers). The exact tools will change based on the layer type currently being edited, and so are explained on the page explaining each layer, <a href=""Room_Properties/Layer_Properties.htm"">here</a>.","一部のレイヤーでは、IDE上部の<strong>レイヤーツールボックス</strong>に専用のツールが追加されます（タイルレイヤーやパスレイヤーなどの場合）。追加されるツールは編集しているレイヤーの種類によって変わり、<a href=""Room_Properties/Layer_Properties.htm"">こちら</a>のレイヤー解説ページで紹介されています。"
Rooms.htm+html.body.p:167-3,"<span data-open-text=""true"">Room Toolbox</span><span data-close-text=""true"">Room Toolbox</span>","<span data-open-text=""true"">ルームツールボックス</span><span data-close-text=""true"">ルームツールボックス</span>"
Rooms.htm+html.body.div.p:169-5,At the top of the main Room Editor canvas you have a few controls to deal with how things are displayed. They are:,ルームエディタのメインキャンバス上部にはこれらのボタンがあり、キャンバスの表示内容を設定できます。
Rooms.htm+html.body.div.ul.li.img[alt]:171-28,{IMG_TXT} Canvas Grid Icon,{IMG_TXT} キャンバスグリッドアイコン
Rooms.htm+html.body.div.ul.li:171-7,"<strong>Toggle Canvas Grid</strong>: This will toggle on/off the Room Editor canvas grid. This is a grid that GameMaker Studio 2 draws over the main canvas to divide it into sections, and by default is set to 32x32px in size. However if you click the Grid Menu icon <img_tag=Icon_Grid_Menu:0> you will open the grid options:<img_tag=Room_Grid_Options:0>These options permit you to set the grid colour and alpha, as well as the cell values for the grid along the X and Y axis. You also have an option to enable or disable grid snapping here (enabled by default). You can use the keyboard shortcuts ""G"" and <img_tag=Shift_Icon:0> + ""G"" to toggle the grid visibility and grid snapping respectively.","<strong>キャンバスのグリッド表示切替</strong>: ルームエディタのキャンバスに表示されるグリッドをオン/オフにします。このグリッドはプレビューキャンバスを分割するためにGameMaker Studio 2側で描画されるものであり、デフォルトのサイズは32 x 32ピクセルとなっています。グリッドのメニューアイコン<img_tag=Icon_Grid_Menu:0>をクリックすると次のオプションが開きます。<img_tag=Room_Grid_Options:0>オプションを設定することで、グリッドの色や透明度、X軸とY軸のセル幅を変更できます。また、グリッドのスナップを有効/無効にするオプションもあります（デフォルトでは無効）。グリッドの表示はキーボードショートカット ""G"" で、グリッドのスナップは<img_tag=Shift_Icon:0> + ""G""で切り替えることも可能です。"
Rooms.htm+html.body.div.ul.li.img[alt]:175-28,{IMG_TXT} Canvas Zoom Controls Icons,{IMG_TXT} キャンバスのズーム操作部アイコン
Rooms.htm+html.body.div.ul.li:175-7,"<strong>Canvas Zoom Controls</strong>: These buttons control the current canvas zoom level. You can zoom in or out and clicking the <img_tag=Zoom_Reset_Icon:0> button will reset the canvas to be 1:1 with the room being edited. You can also click the Window Fit button <img_tag=Canvas_Fit_Icon:0> to make the entire room canvas fit within the current editor workspace (this will zoom in/out as appropriate to make it fit). Note that you can also zoom in and out using the <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and the Mouse Wheel <img_tag=MMB_Icon:0>, and pressing <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Enter_Icon:0> will set the room canvas to be 1:1 with the room settings.",<strong>キャンバスのズーム操作部</strong>: 左のボタンからキャンバスのズーム倍率を変更できます。ズームイン、ズームアウトのほかに、<img_tag=Zoom_Reset_Icon:0>ボタンをクリックすれば編集中のアセットが等倍になるようキャンバスをリセットできます。また、ウィンドウにフィットボタン<img_tag=Canvas_Fit_Icon:0>をクリックすると、キャンバス全体をエディタのワークスペース内に収めることができます（フィットするようズームイン/ズームアウトされます）。ズーム倍率は<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらマウスホイール<img_tag=MMB_Icon:0>でも変更可能です。また、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Enter_Icon:0>でルームのキャンバスを等倍表示にできます。
Rooms.htm+html.body.div.ul.li:177-7,<strong><img_tag=Canvas_View_Icon:0> Show Views</strong>: Clicking this will enable or disable the view rectangle. When enabled you will see a highlighted area that signifies the different views that are enabled for the room.,<strong><img_tag=Canvas_View_Icon:0>ビューを表示</strong>: クリックするとビューボックスの表示/非表示を切り替えます。表示にした場合、有効となっているルームの各ビュー領域がハイライト表示されます。
Rooms.htm+html.body.div.ul.li:179-7,"<strong><img_tag=Play_Room_Icon:0> Play Animations</strong>: When adding sprites, sequences or animated tiles, you may want to get an idea of how these will look within the room itself without having to compile the whole project, and so you can click this to start all the different animations playing. Clicking it again will stop the animation.",<strong><img_tag=Play_Room_Icon:0>アニメーションを再生</strong>: スプライトやシーケンス、アニメーションタイルを追加していると、プロジェクトをコンパイルせずに実際の見た目を確かめたくなるかもしれません。このボタンをクリックするとすべてのアニメーションが再生され、もう一度クリックするとアニメーションが停止します。
Rooms.htm+html.body.div.ul.li:181-7,"<strong><img_tag=Canvas_Layer_Select_Icon:0> Canvas Select From Any Layer</strong>: By default when you click on an element in the room canvas you will only be able to select those assets that are on the layer currently being edited, however if you enable this option you can then click on any element and it will be selected, changing the target layer to the one that the element is on. You can use the keyboard shortcut "" <span class=""inline"">P</span>"" to temporarily enable this (hold ""<span class=""inline"">P</span>"" to enable and release to disable)","<strong><img_tag=Canvas_Layer_Select_Icon:0>すべてのレイヤーから選択</strong>: キャンバスに置かれたアセットをクリックしても、デフォルトでは編集中のレイヤーにあるものしか選択できません。このオプションを有効にした場合、すべてのアセットをクリックして選択できるようになり、レイヤーも選択したアセットのものに切り替わります。なお、キーボードショートカット""<span class=""inline"">P</span>""からも一時的に有効にできます（""<span class=""inline"">P</span>""を押している間は有効に、離すと無効になります）。"
Rooms.htm+html.body.p:188-3,"<span data-open-text=""true"">Room Canvas</span><span data-close-text=""true"">Room Canvas</span>","<span data-open-text=""true"">ルームキャンバス</span><span data-close-text=""true"">ルームキャンバス</span>"
Rooms.htm+html.body.div.p:190-5,"The center of the room editor window is taken up with the area where all the actual editing takes place. Here is where you'll be placing your instances and assets, drawing your tiles, or positioning your paths. You can zoom in and out using the mouse wheel or the room controls at the top, and you can pan around by holding the middle mouse button <img_tag=MMB_Icon:0> down and moving the mouse around or using <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:0> while moving.",ルームエディタのウィンドウ中央は、実際に編集を行うことになる領域です。ここではインスタンスやアセットを配置したり、タイルのペイントや、パスの位置調整ができます。また、マウスホイールおよび上のルーム操作部からズーム倍率を変更できるほか、中央ボタン<img_tag=MMB_Icon:0>を押したままマウスを動かすか、動かしながら<img_tag=Space_Icon:0> + <img_tag=LMB_Icon:0>で画面をスクロールできます。
Rooms.htm+html.body.div.p:192-5,"When creating asset layers or instance layers, you can place the asset or instance by simply dragging it from the Asset Browser and then dropping it where you want it to be positioned. Alternatively you can select an asset or instance from the Asset Browser and then press and hold <img_tag=Alt_Icon:0> to preview the resource ""in-situ"", and if you additionally click the left mouse button <img_tag=LMB_Icon:0> you can add the instance and even ""paint"" it into the room layer by maintaining the button pressed and dragging the mouse. Note that by default instances and sprites that are added to a room in this way will be snapped to the defined room grid settings, but you can hold down <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> to have the instance follow the mouse precisely and not snap (releasing <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> will permit snapping again).",アセットレイヤーおよびインスタンスレイヤーを作成した場合、アセットブラウザから置きたい場所までドラッグすることでアセット、インスタンスを配置できます。またはアセットブラウザからアセットを選択後、<img_tag=Alt_Icon:0>を押し続けるとリソースがその場にプレビュー表示され、さらに左クリック<img_tag=LMB_Icon:0>するとアセットまたはインスタンスを追加、ドラッグすると「描く」ように連続して追加できます。なおデフォルトでは、ルームにインスタンスやスプライトを配置するとルームのグリッド設定に応じてスナップします。ただし<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押したまま配置するとスナップしなくなり、マウスの位置にぴったり重なるようになります（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を離すとまたスナップします）。
Rooms.htm+html.body.div.p:195-5,"For paths you can create a new path layer and path resource right from within the Room Editor- or create a new path resource and then drag it into the main editor window as you would for an instance - and then edit the path and its connections in the editor window too. For tile sets, you can ""paint"" them in from the tile set editor.",パスの場合、ルームエディタではパスレイヤーと新しいパスリソースを作成できます。またはアセットブラウザで作成したパスリソースを、インスタンスと同じようにエディタのメインウィンドウまでドラッグして使うこともできます。さらにルームエディタでは、ウィンドウに表示されているパスとその接続点を編集することも可能です。タイルセットの場合、タイルセットエディタからタイルを「描く」ように配置します。
Rooms.htm+html.body.div.p:197-5,"Note that you can select and move or delete multiple assets from the same layer by holding down <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> on the ones you want, and most resources in the room editor will permit you to rotate and scale them (singly or as a group) by clicking and holding <img_tag=LMB_Icon:0> along the outside edges or corners and dragging the mouse. You can also double click <img_tag=LMB_Icon:0> on any single asset (tiles, instances, sprites) to have the editor pan to it and open up the properties window for the asset selected.",なお、同じレイヤーにあるアセットは<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>すると複数選択が可能で、まとめて移動したり削除できます。また、ルームエディタで利用できるリソースの多くは上下左右の端、あるいは角をドラッグ<img_tag=LMB_Icon:0>すると回転したり拡大縮小できます（まとめて操作も可能）。最後にタイル、インスタンス、スプライトといったアセットをダブルクリック<img_tag=LMB_Icon:0>するとその位置まで画面がスクロールし、選択したアセットのプロパティウィンドウを開くことができます。
Rooms.htm+html.body.p:201-3,"<span data-open-text=""true"">Status Bar</span><span data-close-text=""true"">Status Bar</span>","<span data-open-text=""true"">ステータスバー</span><span data-close-text=""true"">ステータスバー</span>"
Rooms.htm+html.body.div.p:203-5,"The status bar is used to show you context specific information. The status bar will always show you where in the room the mouse cursor is, but it will also show additional information based on the layer being edited, the tool being used and the state of that tool.",ステータスバーには場面によって異なる情報が表示されます。マウスの位置は常に表示されますが、そのほかの情報については編集中のレイヤー、使用しているツールとその状態によって変化します。
Rooms.htm+html.body.p:208-3,You can get more information about some of the above mentioned sections from the following pages:,上記の節のうち一部に関しては、以下のページでより詳しく掘り下げられています。
Rooms.htm+html.body.ul.li:210-5,Layer Types And Properties,レイヤーの種類とプロパティ
Rooms.htm+html.body.ul.li:211-5,Room Properties,ルームプロパティ
Rooms.htm+html.body.ul.li:212-5,Room Inheritance,ルーム継承関係
Rooms.htm+html.body.p:214-3,"Apart from the in-editor tools, you will also see a new drop down menu has been added to the top of the IDE.",エディタ内のツールだけでなく、IDEの上部にはこのようなドロップダウンメニューが追加されます。
Rooms.htm+html.body.p.img[alt]:215-6,{IMG_TXT} Room Editor Menus,{IMG_TXT} ルームエディタのメニュー
Rooms.htm+html.body.p:215-3,These menus are explained below:,以下はそれぞれの項目の説明です。
Rooms.htm+html.body.ul.li:217-5,<strong>Layer View</strong>: This will re-open the Layer Editor window should you have closed it at any time.,<strong>レイヤービュー</strong>: レイヤーエディタのウィンドウを閉じた場合、開き直すことができます。
Rooms.htm+html.body.ul.li:218-5,<strong>Room Properties</strong>: This will re-open the Room Properties window should you have closed it at any time.,<strong>ルームプロパティ</strong>: ルームプロパティのウィンドウを閉じた場合、開き直すことができます。
Rooms.htm+html.body.ul.li:219-5,"<strong>Layer Properties</strong>: This will re-open the <a href=""Room_Properties/Layer_Properties.htm"">Layer Properties Window</a> should you have closed it at any time.","<strong>レイヤープロパティ</strong>: <a href=""Room_Properties/Layer_Properties.htm"">レイヤープロパティ</a>のウィンドウを閉じた場合、開き直すことができます。"
Rooms.htm+html.body.ul.li:220-5,"<strong>Instance Creation Order</strong>: This will open the <strong>Instance Creation Order Window </strong>(which can also be opened by using the button in the <a href=""Room_Properties/Room_Properties.htm"">Room Properties</a><strong> </strong>window):<br /> <img_tag=Room_Creation_Order_Window:0>This window lists all the instances in the room in the order that they will be created (from top to bottom). Should you require a specific instance to be created before any other, you can simply click <img_tag=LMB_Icon:0> and drag it to the position your require.","<strong>インスタンス生成順序</strong>: 選択すると、<strong>インスタンス生成順序</strong>のウィンドウが開きます（<a href=""Room_Properties/Room_Properties.htm"">ルームプロパティ</a><strong></strong>ウィンドウのボタンからも開けます）。<br /><img_tag=Room_Creation_Order_Window:0>このウィンドウには、ルーム内のインスタンスが生成順どおりにリストアップされます（上から下の順番）。特定のインスタンスを他のインスタンスより先に生成したい場合、そのインスタンスを目当ての位置にドラッグ<img_tag=LMB_Icon:0>するといいでしょう。"
Rooms.htm+html.body.ul.li:223-5,<strong>Reset Windows On Current Desktop</strong>: This will reset the room editor window layout to its default values for the desktop workspace currently focused.,<strong>表示中のウィンドウをリセット</strong>: ルームエディタのウィンドウレイアウトをリセットします（フォーカスしているデスクトップワークスペースのデフォルト値となります）。
Rooms.htm+html.body.ul.li:227-5,"<strong>Tile Editing</strong>: When working with a tile layer, this option will be highlighted in the drop down menu. It has the following sub-menu:<br /> <img_tag=Room_Tile_Menu:0>When editing the tile layer you can select multiple tiles by clicking, holding down and dragging the left mouse button <img_tag=LMB_Icon:0>, or you can select and group individual tiles using <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0>, or remove individual tiles from the selection using <img_tag=Alt_Icon:0> + <img_tag=LMB_Icon:0>. From this menu you can then clear the selection or invert it as well as cut, copy or paste the selection to another layer (or even the same layer but in another position). The final option will re-open the tile set editor docked window should you have closed it.",<strong>タイル編集</strong>: タイルレイヤーの編集中に表示される項目で、以下のサブメニューがあります。<br /><img_tag=Room_Tile_Menu:0>タイルレイヤーでは、ドラッグ<img_tag=LMB_Icon:0>でタイルの複数選択、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>で個別選択、<img_tag=Alt_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>で選択解除ができます。このメニューからは、選択範囲の一括解除、反転、および切り取り、コピー、別レイヤーへの貼り付けができます（同じレイヤーでも異なる位置に貼り付けられます）。最後にある項目を選ぶと、タイルセットエディタを閉じている場合に開き直すことができます。
