Other_Events.htm+html.head.title:55-3,Other Events
Other_Events.htm+html.body.div.p:147-5,"This event is designed only for use with the <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Skeletal_Animation/Skeletal_Animation.htm"">Skeletal Animation Functions</a>. It is a special event that is triggered every step in an instance that uses a skeletal animation sprite, and is designed to ""intercept"" the bone data after the orientation of the bones has been calculated for the current animation state but before this data is committed to use for drawing. This allows you to make modifications to the bone data using the appropriate functions."
Other_Events.htm+html.body.p:152-3,"<span data-open-text=""true"">Animation Event</span><span data-close-text=""true"">Animation Event</span>"
Other_Events.htm+html.body.div.p:154-5,"This event is designed only for use with the <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Skeletal_Animation/Skeletal_Animation.htm"">Skeletal Animation Functions</a>. This event is triggered in an object which has a skeletal animation sprite assigned to it, and where the object is using the default draw for the assigned sprite, or the sprite is being drawn via draw_self(). It currently won't trigger on skeleton animation sprites drawn any other way. The event is designed to capture and transmit data that has been assigned to particular events in the sprite animation as defined in the editor used to make them."
Other_Events.htm+html.body.div.p:157-5,"When the Animation Event is triggered, a special <a href=""../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> will be created called the event_data map (much the same as we have the async_load map for an async event). This map will have all of the following key/value pairs that you can parse to get information about the event:"
Other_Events.htm+html.body.div.ul.li:160-7,"""<span class=""inline"">name</span>"": the name of the event (as defined in the animation program)"
Other_Events.htm+html.body.div.ul.li:161-7,"""<span class=""inline"">track</span>"": the index of the track the animation is playing on (default is 0)"
Other_Events.htm+html.body.div.ul.li:162-7,"""<span class=""inline"">integer</span>"": an integer value associated with the event (as defined in the animation program, default is 0)"
Other_Events.htm+html.body.div.ul.li:163-7,"""<span class=""inline"">float</span>"": a float value associated with the event (as defined in the animation program, default is 0.0)"
Other_Events.htm+html.body.div.ul.li:164-7,"""<span class=""inline"">string</span>"": a string value associated with the event (as defined in the animation program, default is an empty string """")"
Other_Events.htm+html.body.p:169-3,"<span data-open-text=""true"">Path Ended</span><span data-close-text=""true"">Path Ended</span>"
Other_Events.htm+html.body.div.p:171-5,"<a href=""../Paths.htm"">Paths</a> can be an important part of making any game, whether it is for a tower defence type game, or a shoot-em-up or whatever, and it's often really important that an instance does some particular action when it reaches the end of its path. This event detects this and is triggered when it happens allowing you to add in code or actions to deal with the circumstances, for example in a tower defence game you would use this to destroy the instance and remove a health point from the goal object."
Other_Events.htm+html.body.p:176-3,"<span data-open-text=""true"">User Events</span><span data-close-text=""true"">User Events</span>"
Other_Events.htm+html.body.div.p:178-5,"These are special events that are not triggered by GameMaker Studio 2 automatically, but have to be <em>implicitly </em>called by you using code or actions while the game is running. There are 12 user events in total and they can contain code or actions and they can be called at any time in the game loop, making them very useful for creating your own events that happen when <em>you </em>decide."
Other_Events.htm+html.body.p:182-3,"<span data-open-text=""true"">Broadcast Message</span><span data-close-text=""true"">Broadcast Message</span>"
Other_Events.htm+html.body.div.p:184-5,"This event is triggered whenever a sprite or a sequence generates a broadcast message string. For more information please see the page on <a href=""../Sequence_Properties/Broadcast_Messages.htm"">Broadcast Messages</a>."
Other_Events.htm+html.body.div.div.div.div:193-9,"Back: <a href=""Object_Events.htm"">Object Events</a>"
Other_Events.htm+html.body.div.div.div.div:194-9,"Next: <a href=""Draw_Events.htm"">Draw Events</a>"
Other_Events.htm+html.body.p:221-1,{SEARCH_RESULT} Page detailing the other events.
Other_Events.htm+html.body.p:221-56,{INDEX_KEYWORD} Objects - Other Events
