Animation_Curves.htm+html.head.title:55-3,Animation Curves,アニメーションカーブ
Animation_Curves.htm+html.body.div.p.img[alt]:119-25,{IMG_TXT} Animation Curve Editor Channel Range,{IMG_TXT} アニメーションカーブエディタのチャンネル範囲
Animation_Curves.htm+html.body.div.p:119-5,"Changing these values will change the way the data is represented in the Channel Editor section, permitting you to have higher/lower values along the channel curve than just -1 to 1. Note that this is purely visual and is not used to clamp the values for the channel.",数値を変更すると、それに合わせてチャンネルエディタのデータ表示も変化するため、-1 から 1 よりも低い / 高い数値にすることができます。なお、この上限値はあくまで視覚的なものであり、チャンネルの値を固定することはありません。
Animation_Curves.htm+html.body.p:123-3,"<span data-open-text=""true"">Channel Editor</span><span data-close-text=""true"">Channel Editor</span>","<span data-open-text=""true"">チャンネルエディタ</span><span data-close-text=""true"">チャンネルエディタ</span>"
Animation_Curves.htm+html.body.div.p:125-5,"The Channel Editor shows a visual representation of the different channels used in the animation curve. By default, all channels will be shown here, but you can only edit the channel currently selected from the Channel List, which will be highlighted in the editor. You can change the position of any of the points along the channel curve by clicking <img_tag=LMB_Icon:2> on them and dragging them around within the editor, but note that the first and last point can only be changed along the vertical axis and their horizontal value will always be 0 and 1 respectively.",チャンネルエディタにはパラメーターカーブの各チャンネルが視覚的に表示されます。デフォルトではすべてのチャンネルが表示されますが、チャンネルリストで選択中の、エディタに強調表示されているチャンネルのみ編集できます。チャンネルカーブ上のポイントはドラッグ<img_tag=LMB_Icon:2>して配置を変更できますが、始点・終点のポイントは縦方向にしか移動できず、横方向の値が0または1となるためご注意ください。
Animation_Curves.htm+html.body.div.p:128-5,"You can add points directly to the channel curve by moving the mouse close to the main channel line and then clicking <img_tag=LMB_Icon:3> when the cursor changes to the ""<strong>Add Point</strong>"" tool, and you can then edit these points by clicking <img_tag=LMB_Icon:4> and dragging or by changing their values in the expanded channel options in the Channel List:",メインチャンネルの線にマウスカーソルを合わせ、カーソルが「<strong>ポイント追加</strong>」ツールに変化しているときにクリック<img_tag=LMB_Icon:3>すると、チャンネルカーブに直接ポイントを追加できます。追加したポイントを編集するにはマウスでドラッグ<img_tag=LMB_Icon:4>するか、チャンネルリストでチャンネルを展開し、値を変更してください。
Animation_Curves.htm+html.body.div.p:130-5,You can edit multiple points at once by clicking <img_tag=LMB_Icon:5> and dragging within the editor to select all the points you want to edit or by using <img_tag=CTRL_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:6> to add points to the selection individually. Releasing the mouse button and then clicking again on any of the points in the selection and dragging will move them all together:,エディタ上をクリック<img_tag=LMB_Icon:5>してドラッグすると範囲選択、<img_tag=CTRL_Icon:0> / <img_tag=CMD_Icon:0>を押しながらポイントをクリック<img_tag=LMB_Icon:6>すると任意選択ができます。選択したポイントをドラッグすると、複数のポイントをまとめて動かすことができます。
Animation_Curves.htm+html.body.div.p.img[alt]:133-25,{IMG_TXT} Selecting and moving multiple points on a channel curve,{IMG_TXT} チャンネルカーブの複数ポイントを選択・移動
Animation_Curves.htm+html.body.p:136-3,"<span data-open-text=""true"">Zoom Controls</span><span data-close-text=""true"">Zoom Controls</span>","<span data-open-text=""true"">ズームコントロール</span><span data-close-text=""true"">ズームコントロール</span>"
Animation_Curves.htm+html.body.div.p:138-5,"The zoom controls permit you to expand <img_tag=Zoom_Out_Icon:0> or contract <img_tag=Zoom_In_Icon:0> the vertical scale of the channel curves in the Channel Editor. You can also click the ""Center Fit"" button <img_tag=Center_Fit_Icon:0> to have the Channel Editor view adjust it's scale to fit all the points on the channel curve within the editor, centered around the mid range of the values:",ズームコントロールでは、チャンネルエディタに表示されているチャンネルカーブの縦スケールを拡大<img_tag=Zoom_Out_Icon:0>・縮小<img_tag=Zoom_In_Icon:0>できます。また「中央にフィット」ボタン<img_tag=Center_Fit_Icon:0>をクリックした場合は、すべてのポイントが収まるようにチャンネルエディタのビューが拡大縮小され、ポイントの中央値がちょうど真ん中に位置します。
Animation_Curves.htm+html.body.div.p.img[alt]:141-25,{IMG_TXT} Using the Zoom controls,{IMG_TXT} ズームコントロールの使い方
Animation_Curves.htm+html.body.p:145-3,"For information on the different runtime functions that can be used along with animation curves, please see the following section of the manual:",アニメーションカーブと併用できる各ランタイム関数については、マニュアルの以下のセクションを参照してください。
Animation_Curves.htm+html.body.ul.li:147-5,Animation Curve Functions,アニメーションカーブ関数
Animation_Curves.htm+html.body.div.div.div.div:154-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Animation_Curves.htm+html.body.div.div.div.div:155-9,"Next: <a href=""Extensions.htm"">Extensions</a>","次へ: <a href=""Extensions.htm"">拡張機能</a>"
Animation_Curves.htm+html.body.p:168-1,{SEARCH_RESULT} Page detailing how the animation curve editor works,{SEARCH_RESULT} アニメーションカーブエディタの詳しい仕組みについてのページ
Animation_Curves.htm+html.body.p:168-75,{INDEX_KEYWORD} Animation Curve Editor,{INDEX_KEYWORD} アニメーションカーブエディタ
Animation_Curves.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Animation_Curves.htm.img_tag+CTRL_Icon:0,{IMG_TXT} CTRL Icon,{IMG_TXT} CTRLアイコン
Animation_Curves.htm.img_tag+Center_Fit_Icon:0,{IMG_TXT} Center Fit Icon,{IMG_TXT} 中央にフィットアイコン
Animation_Curves.htm.img_tag+Channel_Type_Icon:0,{IMG_TXT} Channel Type Icon,{IMG_TXT} チャンネルタイプアイコン
Animation_Curves.htm.img_tag+Delete_Channel_Icon:0,{IMG_TXT} Delete Channel Icon,{IMG_TXT} チャンネルを削除アイコン
Animation_Curves.htm.img_tag+Eye_Icon:0,{IMG_TXT} Eye Icon,{IMG_TXT} 目アイコン
Animation_Curves.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+LMB_Icon:1,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+LMB_Icon:2,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+LMB_Icon:3,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+LMB_Icon:4,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+LMB_Icon:5,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+LMB_Icon:6,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Animation_Curves.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Animation_Curves.htm.img_tag+Zoom_In_Icon:0,{IMG_TXT} Zoom In Icon,{IMG_TXT} ズームインアイコン
Animation_Curves.htm.img_tag+Zoom_Out_Icon:0,{IMG_TXT} Zoom Out Icon,{IMG_TXT} ズームアウトアイコン
