Tile_Sets.htm+html.head.title:55-3,Tile Sets,タイルセット
Tile_Sets.htm+html.body.div.p:136-5,"The final option in the tile set properties is <strong>Disable Source Sprite Export</strong>. This is checked by default, and what it does is flags the source sprite asset to be omitted when the texture page for your project is being generated. This works under the assumption that a sprite used as a tile set will not be getting used for anything else, and so only needs to be exported once. However if you are using the base sprite resource for anything other than tiles, then you would want to un-check this so that the base sprite <em>and </em>the tile set are both added into the texture page on compile.",一番下にあるのは、<strong>元スプライトのエクスポートを無効</strong>にするオプションです。最初からチェックされており、プロジェクトのテクスチャページが生成される際に元のスプライトアセットが除外されるようになります。これはスプライトがタイルセットとして扱われており、他の場所では使用されないという条件下でのみ有効となり、エクスポートを一度で済ませることができます。タイル以外にも使われている場合はチェックを外しておき、コンパイル時に元スプライト<em></em>、タイルセットの両方がテクスチャページに追加されるようにしましょう。
Tile_Sets.htm+html.body.p:141-3,"<span data-open-text=""true"">Editors</span><span data-close-text=""true"">Editors</span>","<span data-open-text=""true"">エディタ</span><span data-close-text=""true"">エディタ</span>"
Tile_Sets.htm+html.body.div.p:143-5,"Each of the buttons in the <strong>Editors </strong>section will open a different editor for specific tile set functionality. You can create tile set <em>brushes </em>based on multiple tiles together, <em>animated tiles</em>, using different tiles as individual frames, and you can also create <em>auto tiles</em> that will ""join"" together based on the tiles that surround them. Each of these editors is explained in detail in the sections linked at the end of this page.",<strong>エディタ</strong>の領域にあるボタンをクリックすると、タイルセット用のエディタを機能別に開くことができます。エディタからは、複数のタイルを組み合わせたタイルセット<em>ブラシ</em>、フレームごとにタイルが変化する<em>アニメーションタイル</em>、周囲のタイルに合わせて組み替えられる<em>オートタイル</em>を作成できます。各エディタの詳しい内容については、ページの一番下のリンク先を参照してください。
Tile_Sets.htm+html.body.p:147-3,"<span data-open-text=""true"">Preview Toolbox</span><span data-close-text=""true"">Preview Toolbox</span>","<span data-open-text=""true"">プレビューツールボックス</span><span data-close-text=""true"">プレビューツールボックス</span>"
Tile_Sets.htm+html.body.div.p:149-5,"These are the tools you can use to preview the sprite selected for the tile set. These buttons control the current preview zoom level and you can use them to zoom in or out and clicking the <img_tag=Zoom_Reset_Icon:0> button will reset the preview to be 1:1 with the tile set sprite being edited. You can also click the <strong>Window Fit</strong> button <img_tag=Canvas_Fit_Icon:0> to make the entire tile set fit within the current preview window (this will zoom in/out as appropriate to make it fit). Note that you can also zoom in and out using the <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and the Mouse Wheel <img_tag=MMB_Icon:0>, and pressing <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Enter_Icon:0> will set the canvas to be 1:1 with the tile set sprite.",タイルセットに指定したスプライトを確認するためのツールボックスです。それぞれのボタンをクリックしてズーム倍率を変更でき、<img_tag=Zoom_Reset_Icon:0>ボタンをクリックした場合はプレビューを等倍表示に、<strong>ウィンドウにフィット</strong>ボタン<img_tag=Canvas_Fit_Icon:0>をクリックした場合は、タイルセット全体が表示されるようエディタの画面を合わせることができます（必要に応じて拡大縮小されます）。ズーム倍率は<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらマウスホイール<img_tag=MMB_Icon:0>でも変更可能で、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=Enter_Icon:0>で等倍にリセットすれば実際のサイズを確認できます。
Tile_Sets.htm+html.body.div.p:151-5,"Another feature is that you can switch the grid view on or off by clicking the <img_tag=Grid_Icon:0> button, as well as set the colour for the grid to be used (clicking the <img_tag=Preview_Options_Button:0> button). When the grid is active it will show a coloured outline for each of the tiles in the grid, respecting the settings for separation, etc...",また、<img_tag=Grid_Icon:0>ボタンをクリックした場合はグリッドの表示が切り替わるほか、<img_tag=Preview_Options_Button:0>ボタンをクリックして色を変更できます。グリッドを有効にすると枠内のタイルに色つきの線が表示され、分割などの設定も反映されます。
Tile_Sets.htm+html.body.p:156-3,"<span data-open-text=""true"">Preview</span><span data-close-text=""true"">Preview</span>","<span data-open-text=""true"">プレビュー</span><span data-close-text=""true"">プレビュー</span>"
Tile_Sets.htm+html.body.div.p:158-5,"This section is the tile set Preview window. To navigate around the preview, you can use the same basic controls as for general Workspaces, ie: Use the middle mouse button <img_tag=MMB_Icon:1> and drag to pan the preview (or alternatively use the <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:0> combination), and you can scroll horizontally with the mouse wheel <img_tag=MMB_Icon:1> or zoom in and out using the <img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> key and the mouse wheel <img_tag=MMB_Icon:1>. You can also use the different buttons in the <strong>Preview Toolbox</strong> to change the zoom and enable/disable the grid cell overlay.",タイルセットのプレビューウィンドウです。通常のワークスペースと同じように基本的な操作でナビゲート可能で、中央マウスボタン<img_tag=MMB_Icon:1>（または<img_tag=Space_Icon:0> + <img_tag=LMB_Icon:0>）でドラッグするとキャンバスの移動、マウスホイール<img_tag=MMB_Icon:1>で垂直スクロール、<img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1>キーとマウスホイール<img_tag=MMB_Icon:1>でズームインとズームアウトができます。また、<strong>プレビューツールボックス</strong>のボタンをクリックするとズーム倍率を変更したり、セルの上に表示されるグリッドを切り替えることができます。
Tile_Sets.htm+html.body.p:161-3,"As mentioned in the section on <strong>Editors</strong> above, there are are further tools available to edit tile sets and generate special <em>brushes </em>(combinations of tiles that can be painted into a room), <em>animated </em>tiles, and <em>auto tile</em> tiles (which are special tiles that will connect up automatically when placed in a room). Each of these editors is explained in depth from the following pages:",<strong>エディタ</strong>の節に書かれているように、タイルセットを編集して専用の<em>ブラシ</em>（ルームに描くための複合タイル）、<em>アニメーション</em>タイル、<em>オートタイル</em>（ルームに置かれると自動でつなぎ合わされる特別なタイル）を生成するツールが用意されており、それぞれ以下のページで詳しく解説されています。
Tile_Sets.htm+html.body.ul.li:164-5,The Brush Builder,ブラシビルダー
Tile_Sets.htm+html.body.ul.li:165-5,Animated Tiles,アニメーションタイル
Tile_Sets.htm+html.body.ul.li:166-5,Auto Tiles,オートタイル
Tile_Sets.htm+html.body.div.div.div.div:174-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Tile_Sets.htm+html.body.div.div.div.div:175-9,"Next: <a href=""Timelines.htm"">Timelines</a>","次へ: <a href=""Timelines.htm"">タイムライン</a>"
Tile_Sets.htm+html.body.p:189-1,{SEARCH_RESULT} Page detailing how the tile set editor works,{SEARCH_RESULT} タイルセットエディタの詳しい仕組みについてのページ
Tile_Sets.htm+html.body.p:189-68,{INDEX_KEYWORD} Tile Set Editor,{INDEX_KEYWORD} タイルセットエディタ
Tile_Sets.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Tile_Sets.htm.img_tag+CMD_Icon:1,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Tile_Sets.htm.img_tag+Canvas_Fit_Icon:0,{IMG_TXT} Canvas Fit Icon,{IMG_TXT} キャンバスにフィットアイコン
Tile_Sets.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Tile_Sets.htm.img_tag+Control_Icon:1,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Tile_Sets.htm.img_tag+Edit_Image_Icon:0,{IMG_TXT} Edit Image Icon,{IMG_TXT} 画像編集アイコン
Tile_Sets.htm.img_tag+Edit_Sprite_Icon:0,{IMG_TXT} Edit Sprite Icon,{IMG_TXT} スプライト編集アイコン
Tile_Sets.htm.img_tag+Enter_Icon:0,{IMG_TXT} Enter Icon,{IMG_TXT} Enterアイコン
Tile_Sets.htm.img_tag+Grid_Icon:0,{IMG_TXT} Grid Icon,{IMG_TXT} グリッドアイコン
Tile_Sets.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Tile_Sets.htm.img_tag+MMB_Icon:0,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Tile_Sets.htm.img_tag+MMB_Icon:1,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Tile_Sets.htm.img_tag+New_Sprite_Icon:0,{IMG_TXT} New Sprite Icon,{IMG_TXT} 新規スプライトアイコン
Tile_Sets.htm.img_tag+Preview_Options_Button:0,{IMG_TXT} Preview Options Button,{IMG_TXT} プレビューオプションボタン
Tile_Sets.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
Tile_Sets.htm.img_tag+Zoom_Reset_Icon:0,{IMG_TXT} Zoom Reset Icon,{IMG_TXT} ズームリセットアイコン
