Shaders.htm+html.head.title:55-3,Shaders,シェーダー
Shaders.htm+html.body.p:113-3,"And there are a number of articles on the YoYo Games Tech blog that go into a lot more detail, which you can access from the following links:",また、次のリンクからアクセスできる YoYo Games Tech ブログの記事において、より詳しく掘り下げられています。
Shaders.htm+html.body.ul.li:116-5,Shaders Part 1,シェーダーその1（Shaders Part 1）
Shaders.htm+html.body.ul.li:117-5,Shaders Part 2,シェーダーその2（Shaders Part 2）
Shaders.htm+html.body.ul.li:118-5,Shaders Part 3,シェーダーその3（Shaders Part 3）
Shaders.htm+html.body.ul.li:119-5,Shaders Part 4,シェーダーその4（Shaders Part 4）
Shaders.htm+html.body.p:122-3,GameMaker Studio 2 supports the following shader languages:,GameMaker Studio 2でサポートされているシェーダー言語は以下のとおりです。
Shaders.htm+html.body.table.tbody.tr.th:127-9,Shader Language,シェーダー言語
Shaders.htm+html.body.table.tbody.tr.th:128-9,Target Platform,ターゲットプラットフォーム
Shaders.htm+html.body.table.tbody.tr.td:131-9,GLSL ES,GLSL ES
Shaders.htm+html.body.table.tbody.tr.td:132-9,All target platforms,すべてのターゲットプラットフォーム
Shaders.htm+html.body.table.tbody.tr.td:135-9,GLSL,GLSL
Shaders.htm+html.body.table.tbody.tr.td:136-9,Mac and Ubuntu (Linux),"Mac, Ubuntu (Linux)"
Shaders.htm+html.body.table.tbody.tr.td:139-9,HLSL 11,HLSL 11
Shaders.htm+html.body.table.tbody.tr.td:140-9,"Windows, UWP, XboxOne","Windows, UWP, XboxOne"
Shaders.htm+html.body.table.tbody.tr.td:143-9,PSSL,PSSL
Shaders.htm+html.body.table.tbody.tr.td:144-9,Playstation 4,Playstation 4
Shaders.htm+html.body.p:149-3,"To create a shader resource, simply right click <img_tag=RMB_Icon:0> on <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and select <em>Create Shader</em>. Once you have created the base shader, you can then use the right mouse <img_tag=RMB_Icon:1> menu on the new resource to select the shader type before continuing to edit the code:","シェーダーリソースを作成するには、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>を右クリック<img_tag=RMB_Icon:0>して「<em>シェーダーを作成</em>」を選んでください。作成できたらコードの編集を始める前にリソースを右クリック<img_tag=RMB_Icon:1>してメニューを開き、シェーダータイプを選択しましょう。"
Shaders.htm+html.body.p.img[alt]:151-6,{IMG_TXT} Shader Editor RMB Menu,{IMG_TXT} シェーダーエディタの右クリックメニュー
Shaders.htm+html.body.p:151-3,"The code editor itself is split into two the ""programs"" - Vertex and Fragment - when you create a new shader, with each one being available from tabs at the top of the editor. Both are created at once because you <em>cannot create a shader without both parts</em>. Even if you wish to only use the fragment shader you will have to have created a ""pass through"" vertex shader first, which is why by default any new shader being created will have a vertex and fragment pass through shader already coded for you (in the screen shot at the top of the page, you can see that we have used the code editor pane view to show the two side by side... useful when working on both the shader programs together).",シェーダーを作成すると頂点・フラグメントという 2 つのプログラムで分割されたコードエディタが開きますが、上部にあるタブ一覧から片方のプログラムに切り替えることができます。これらのプログラムは同時に作成され、<em>1つしかプログラムがないシェーダーは作成できません</em>。仮にフラグメントシェーダーだけを使う場合でも、まず通過点となる頂点シェーダーを作成しなくてはならず、そのためシェーダーを新規作成するとデフォルトでコードに頂点・フラグメントのパススルーシェーダーが組み込まれます（なお、ページ上部のスクリーンショットを見てわかるように、コードエディタのペインには 2 つのプログラムが並べて表示されます。同時に編集したい場合は便利でしょう…）。
Shaders.htm+html.body.p:155-3,"It is worth noting that you can use GLSL ES shaders on <em>all </em>target platforms, but for them to work on the <strong>HTML5 </strong>target platform you must have enabled WebGL in the <a href=""../Settings/Game_Options/HTML5.htm"">HTML5 Game Options</a> otherwise they will not work.","注意点として、GLSL ESシェーダーは<em>すべて</em>のターゲットプラットフォームで利用できますが、<strong>HTML5</strong> ターゲットプラットフォームで機能させるには <a href=""../Settings/Game_Options/HTML5.htm"">HTML5ゲーム設定</a>からWebGLを有効にしなくてはなりません。"
Shaders.htm+html.body.p:157-3,For further details relating to shader functions and how they can be used in GameMaker Studio 2 please see the following pages:,シェーダーと関わりのある関数および詳しい使い方については、次のページを参照してください。
Shaders.htm+html.body.ul.li:159-5,"<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Shaders/Shaders.htm"">Shader Functions</a> - The GML reference section for shaders.","<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Shaders/Shaders.htm"">シェーダー関数</a> - シェーダーのGMLリファレンスセクションです。"
Shaders.htm+html.body.ul.li:160-5,"<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Shaders/Shader_Constants.htm"">Shader Constants</a> - The constants built in to GameMaker Studio 2 that can be used when writing shaders.","<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Shaders/Shader_Constants.htm"">シェーダー定数</a> - シェーダーを書くときに利用できるGameMaker Studio 2の組み込み定数です。"
Shaders.htm+html.body.ul.li:161-5,"<a href=""http://www{-dot-}khronos{-dot-}org/registry/gles/specs/2.0/GLSL_ES_Specification_1.0.17.pdf"">GLSL ES Specifications</a> - PDF file of the Open GL ES Shader Language specifications that GameMaker Studio 2 uses.","<a href=""http://www{-dot-}khronos{-dot-}org/registry/gles/specs/2.0/GLSL_ES_Specification_1.0.17.pdf"">GLSL ESの仕様書</a> - GameMaker Studio 2でも使われている、Open GL ESシェーダー言語の仕様が記されたPDFファイルです。"
Shaders.htm+html.body.ul.li:162-5,"<a href=""https://docs{-dot-}microsoft{-dot-}com/en-us/windows/win32/direct3dhlsl/dx-graphics-hlsl-reference"">HLSL Language Reference</a> - The Microsoft refernce pages for using HLSL.","<a href=""https://docs{-dot-}microsoft{-dot-}com/en-us/windows/win32/direct3dhlsl/dx-graphics-hlsl-reference"">HLSL言語リファレンス</a> - HLSLの使い方に関するMicrosoftのリファレンスページです。"
Shaders.htm+html.body.ul.li:163-5,"<a href=""http://twvideo01{-dot-}ubm-us{-dot-}net/o1/vault/gdceurope2013/Presentations/825424RichardStenson.pdf"">PSSL Language Presentation</a> - Overview of the PSSL language in presentation format.","<a href=""https://ubm-twvideo01{-dot-}s3{-dot-}amazonaws{-dot-}com/o1/vault/gdceurope2013/Presentations/825424RichardStenson{-dot-}pdf"">PSSL言語プレゼンテーション</a> - プレゼンテーション形式で記されたPSSL言語の概要です。"
Shaders.htm+html.body.div.div.div.div:171-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Shaders.htm+html.body.div.div.div.div:172-9,"Next: <a href=""Sounds.htm"">Sounds</a>","次へ: <a href=""Sounds.htm"">サウンド</a>"
Shaders.htm+html.body.p:188-1,{SEARCH_RESULT} Page detailing how the shader editor works,{SEARCH_RESULT} シェーダーエディタの詳しい仕組みについてのページ
Shaders.htm+html.body.p:188-66,{INDEX_KEYWORD} Shader Editor,{INDEX_KEYWORD} シェーダーエディタ
Shaders.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Shaders.htm.img_tag+RMB_Icon:1,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
