Image_Editor.htm+html.head.title:55-3,Image Editor,イメージエディタ
Image_Editor.htm+html.body.div.p:102-5,"This part of the window shows the frames in the order that they will be animated in. You can click the <img_tag=Add_Frame_Icon:0> button to the left to add further frames - or use the <strong>Image Menu</strong> - and you can also click and drag any of the frames to change their position along the timeline. In the top left of the Frame View you can switch on <strong>Onion Skinning</strong> <img_tag=Onion_Skin_Icon:0>, which means that in a single frame of any sprite animation, you can choose to see any of the preceding or succeeding frames as a semi-transparent layer under the image frame you are currently editing. The great thing about this is that each frame is drawn slightly lighter than the last so you can see how the animation has been progressing from frame to frame while drawing the next one.",この領域にはアニメーションする順番でフレームが表示されます。左の<img_tag=Add_Frame_Icon:0>ボタンをクリックすると新しいフレームを追加でき、<strong>イメージ</strong>メニューを開いても同じように追加できます。フレームをドラッグした場合は、タイムライン上の位置を変更することができます。フレームビューの左上からは<strong>オニオンスキン</strong><img_tag=Onion_Skin_Icon:0>の切り替えが可能です。有効にすると現在のフレームの裏に、前後のフレームを半透明で重ねて表示させることができます。この機能の良いところは、遠くのフレームほど薄く表示されるためアニメーションの進み方を確認しながら描けるということです。
Image_Editor.htm+html.body.div.p:105-5,Enabling this will show some extra controls over the frames which you can click <img_tag=LMB_Icon:0> and drag to set the number of preceding frames to show as well as the number of following frames.,オニオンスキンを有効にするとフレームの追加操作が表示され、ドラッグ<img_tag=LMB_Icon:0>して前後のフレーム表示数を設定できるようになります。
Image_Editor.htm+html.body.div.p.img[alt]:107-25,{IMG_TXT} Image Editor Onion Skin,{IMG_TXT} イメージエディタのオニオンスキン
Image_Editor.htm+html.body.div.p:107-5,"You can set certain properties for onion-skinning from the <strong>View</strong> conext menu, which is explained further down this page.",ページの下側で説明されているように、<strong>ビュー</strong>のコンテキストメニューからはオニオンスキンの設定値を変更できます。
Image_Editor.htm+html.body.div.p:108-5,"Beneath the Onion Skin button, you have the <strong>Loop Control</strong> button <img_tag=Loop_Control_Icon:0> used to set whether the sprite loops (goes back to frame 1 when the last frame is reached) or ping-pongs (goes backwards through the frames when the last frame is reached). The Play button <img_tag=Play_Icon:1> at the bottom is for starting/stopping the preview of the animation.",オニオンスキンボタンの下にあるのは<strong>ループ制御</strong>ボタン<img_tag=Loop_Control_Icon:0>で、スプライトのループ再生（最後のフレームになったら1フレーム目に戻る）、ピンポン再生（最後のフレームになったら逆方向に進む）を切り替えることができます。すぐ下にある再生ボタン<img_tag=Play_Icon:1>を押した場合は、アニメーションのプレビューを開始 / 停止できます。
Image_Editor.htm+html.body.div.p:111-5,"You can click on any frame to select it for editing, and a selected frame will have a Delete button <img_tag=Delete_Frame_Icon:0> at the top corner which you can click to remove the frame from the sprite. You can also click <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:1> on multiple frames to select them together, in which case clicking the Delete button will delete all the selected frames. Finally, you can use the standard keyboard shortcuts for <em>Cut</em>, <em>Copy </em>and <em>Paste </em>to edit selected frames: <img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> + ""<span class=""inline"">X</span>"", <img_tag=Control_Icon:2> / <img_tag=CMD_Icon:2> + ""<span class=""inline"">C</span>"", and <img_tag=Control_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">V</span>"".","フレームをクリックすると編集するフレームを選択でき、フレームの角に表示される削除ボタン<img_tag=Delete_Frame_Icon:0>をクリックするとスプライトからそのフレームを削除できます。また、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:1>すれば複数選択となり、そのまま削除ボタンを押した場合はすべての選択フレームを削除できます。また、フレームは<img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> + ""<span class=""inline"">X</span>""で<em>切り取り</em>、<img_tag=Control_Icon:2> / <img_tag=CMD_Icon:2> + ""<span class=""inline"">C</span>""で<em>コピー</em>、<img_tag=Control_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">V</span>""で<em>貼り付け</em>といったように標準キーボードショートカットでも編集できます。"
Image_Editor.htm+html.body.p:116-3,"<span data-open-text=""true"">Frame Information</span><span data-close-text=""true"">Frame Information</span>","<span data-open-text=""true"">フレーム情報</span><span data-close-text=""true"">フレーム情報</span>"
Image_Editor.htm+html.body.div.p:118-5,"This bar contains the <strong>Frame Information</strong>. Here you can set the speed at which the animation frames should be played back using the input box on the left. The frame speed can either be based on ""<em>Frames per second</em>"", or ""<em>Frames per game frame</em>"". The total number of frames available are shown to the right along with the current frame that has been selected, and you can collapse this bar (hide it) by clicking on the <img_tag=Collapse_Icon:0> icon to the left. You can set this to always start open or always start closed from the <a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Image_Editor_Preferences.htm"">Image Editor Preferences</a>.","<strong>フレームの情報</strong>が表示されるバーで、左の入力欄からはフレームのアニメーション再生速度を設定できます。フレーム速度は「<em>フレーム / 秒</em>」または「<em>フレーム / ゲームフレーム</em>」のいずれかを基準として設定します。右に表示される数値は合計フレーム数、選択中のフレーム番号です。なお、このバーは左の<img_tag=Collapse_Icon:0>アイコンをクリックすれば閉じる（非表示にする）ことができます。<a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Image_Editor_Preferences.htm"">イメージエディタ設定</a>ではこのバーを最初から開くか、閉じるかどうかを設定できます。"
Image_Editor.htm+html.body.div.p:120-5,"Note that the value used here for the animation speed will also set the way the sprite is animated when used in a game, either as a sprite asset on a layer or as a sprite assigned to an instance, although you can modify this at runtime using the appropriate <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprites.htm"">functions</a> and <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/Sprite_Instance_Variables.htm"">variables</a>.","注意点として、バーに入力した速度はゲーム内におけるスプライトのアニメーションにも適用されます。レイヤー上のスプライトアセット、インスタンスに割り当てたスプライトのどちらにも適用されますが、対応する<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprites.htm"">関数</a>ないし<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/Sprite_Instance_Variables.htm"">変数</a>によって実行時のアニメーション速度を変化させることも可能です。"
Image_Editor.htm+html.body.p:124-3,"<span data-open-text=""true"">Canvas Controls</span><span data-close-text=""true"">Canvas Controls</span>","<span data-open-text=""true"">キャンバス操作部</span><span data-close-text=""true"">キャンバス操作部</span>"
Image_Editor.htm+html.body.div.p:126-5,The canvas controls deal with various aspects of how the main draw canvas and its contents are displayed. The options are:,ここでは描画キャンバスの表示をさまざまな形で変更できます。
Image_Editor.htm+html.body.div.ul.li:128-7,"Toggle Canvas Grid <img_tag=Canvas_Grid_Icon:0>: This will toggle on/off the canvas grid. This is a grid that GameMaker Studio 2 draws over the main canvas to divide it into sections, and by default is set to 1px in size. However if you click the Grid Menu icon <img_tag=Grid_Options_Icon:0> you will open the grid options:<br /> <img_tag=Image_Editor_Grid_Options:0>These options permit you to set the grid colour and alpha, as well as the cell values for the grid along the X and Y axis. You also have an option to enable or disable grid snapping here (disabled by default).",キャンバスのグリッド切替<img_tag=Canvas_Grid_Icon:0>: キャンバスのグリッドを有効 / 無効にします。これはキャンバスを区切るためにGameMaker Studio 2側で表示されるグリッドで、デフォルトのサイズは1pxとなります。グリッドメニューアイコン<img_tag=Grid_Options_Icon:0>をクリックした場合、次のようなグリッド設定が開きます。<br /><img_tag=Image_Editor_Grid_Options:0>ここではグリッドの色、透明度、さらにグリッドのセル値をX/Y軸ごとに設定できます。また、グリッドのスナップを切り替えることも可能です（デフォルトでは無効）。
Image_Editor.htm+html.body.div.ul.li:132-7,"Canvas Zoom Controls <img_tag=Canvas_Zoom_Icons:0>: These buttons control the current canvas zoom level. You can zoom in or out and clicking the <img_tag=Zoom_Reset_Icon:0> button will reset the canvas to be 1:1 with the image being edited. You can also click the Window Fit button <img_tag=Canvas_Fit_Icon:0> to make the entire image canvas fit within the current editor workspace (this will zoom in/out as appropriate to make it fit). Note that you can also zoom in and out using the <img_tag=Control_Icon:4> / <img_tag=CMD_Icon:4> and the Mouse Wheel <img_tag=MMB_Icon:0>, and pressing <img_tag=Control_Icon:5> / <img_tag=CMD_Icon:5> + <img_tag=Enter_Icon:0> will set the room canvas to be 1:1 with the image.",キャンバスのズーム操作<img_tag=Canvas_Zoom_Icons:0>: 各ボタンからキャンバスのズーム倍率を変更できます。拡大縮小のほかに、<img_tag=Zoom_Reset_Icon:0>ボタンをクリックすればキャンバスを等倍表示にリセットできます。ウィンドウにフィットボタン<img_tag=Canvas_Fit_Icon:0>をクリックした場合、キャンバス全体をエディタのワークスペース内に収めることができます（同時に拡大縮小されます）。なお、<img_tag=Control_Icon:4> / <img_tag=CMD_Icon:4>を押しながらマウスホイール<img_tag=MMB_Icon:0>でも拡大縮小、<img_tag=Control_Icon:5> / <img_tag=CMD_Icon:5> + <img_tag=Enter_Icon:0>でもキャンバスを等倍表示にリセットできます。
Image_Editor.htm+html.body.div.ul.li:133-7,"Split Canvas <img_tag=Split_Canvas_Icons:0>: Clicking this will cycle between splitting the canvas horizontally, vertically keeping it a single a single canvas. When in split canvas view, each canvas will have its own set of Canvas controls so you can zoom one in and the other out, for example, and you can edit either canvas with the changes being reflected in the other canvas. To change the canvas view toggle, you can click the Split Options <img_tag=Grid_Options_Icon:1> button and select the one you wish to use or simply click the Split Canvas button until it cycles to the one you want.",キャンバスの分割<img_tag=Split_Canvas_Icons:0>: クリックするとキャンバスの表示が水平分割、垂直分割、単独表示の順に切り替わります。分割するとキャンバスごとに操作パネルが表示されるため、片方をズームしてもう片方をズームアウトするといったことも可能です。なお、キャンバスで行った編集はもう片方のキャンバスにも反映されます。キャンバスを別の表示に切り替えたいなら、分割設定ボタン<img_tag=Grid_Options_Icon:1>をクリックして直接指定するか、表示したいモードになるまで分割ボタンを繰り返しクリックしましょう。
Image_Editor.htm+html.body.p:140-3,"<span data-open-text=""true"">Draw Canvas</span><span data-close-text=""true"">Draw Canvas</span>","<span data-open-text=""true"">描画キャンバス</span><span data-close-text=""true"">描画キャンバス</span>"
Image_Editor.htm+html.body.div.p:142-5,"This is the main editing window for your images. Here you can apply any of the tools on the right to paint on the currently selected layer. You can paint with either the left <img_tag=LMB_Icon:2> or the right <img_tag=RMB_Icon:0> mouse button (and assign a colour to each from the colour picker) and use any of the brushes defined from the top right of the editor. You can also use <img_tag=Control_Icon:6> / <img_tag=CMD_Icon:6> and the Mouse Wheel <img_tag=MMB_Icon:1> to zoom in or out, and pressing <img_tag=Control_Icon:7> / <img_tag=CMD_Icon:7> + <img_tag=Enter_Icon:1> will set the canvas to be 1:1 with the image (or you can use the Canvas Controls as explained above). Note too that you can pan around the canvas using the middle mouse button <img_tag=MMB_Icon:2> or <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:3>.",イメージの編集を行うメインウィンドウです。右側に並んでいるツールを使って選択中のレイヤーに絵を描いていきます。左クリック<img_tag=LMB_Icon:2>または右クリック<img_tag=RMB_Icon:0>で描くことができ（カラーピッカーから左右の色を指定できます）、エディタの右上部分でブラシを変えることができます。また、<img_tag=Control_Icon:6> / <img_tag=CMD_Icon:6>を押しながらマウスホイール<img_tag=MMB_Icon:1>でズーム操作、<img_tag=Control_Icon:7> / <img_tag=CMD_Icon:7> + <img_tag=Enter_Icon:1>でキャンバスを等倍表示にリセットでき（上記のキャンバス操作部からも実行できます）、中央ボタン<img_tag=MMB_Icon:2>でドラッグ、あるいは<img_tag=Space_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:3>で画面移動ができます。
Image_Editor.htm+html.body.p:148-3,"<span data-open-text=""true"">Canvas Values</span><span data-close-text=""true"">Canvas Values</span>","<span data-open-text=""true"">キャンバスの数値</span><span data-close-text=""true"">キャンバスの数値</span>"
Image_Editor.htm+html.body.div.p:150-5,This small bar at the bottom shows the different values for the mouse position and width and height of the selection tools in the editor.,下側に表示されているバーからは、マウスの位置、キャンバスのサイズ、選択範囲の幅といった数値を確認できます。
Image_Editor.htm+html.body.p:153-3,"<span data-open-text=""true"">Brushes</span><span data-close-text=""true"">Brushes</span>","<span data-open-text=""true"">ブラシ</span><span data-close-text=""true"">ブラシ</span>"
Image_Editor.htm+html.body.div.p:155-5,"Here you can select the <strong>brush </strong>to paint with. By default you have a selection of different sized square and round brushes to use, but you can easily create your own brush by painting on the image layer, and then selecting the part you wish to use for the new brush and using <img_tag=Control_Icon:8> / <img_tag=CMD_Icon:8> + ""<span class=""inline"">C</span>"" to copy it. The copied section will then be added to your brushes and you can paint with it as you would any other brush, and this includes using the different paint tools available like drawing a line.","ここでは描画用の<strong>ブラシ</strong>を選択できます。デフォルトでは四角ブラシ、丸ブラシを各サイズから選べますが、自分用のブラシを作ることもできます。レイヤーに描画し、ブラシとして使いたい部分を選択して<img_tag=Control_Icon:8> / <img_tag=CMD_Icon:8> + ""<span class=""inline"">C</span>""でコピーしてください。コピーした部分がそのまま新しいブラシとして追加されます。直線などのツールも利用可能で、他のブラシと同じように扱うことができます。"
Image_Editor.htm+html.body.div.p:157-5,"Note that the default blending colour for the new brush will be white, but if you change the colour with the colour picker and paint using the brush, it will be <em>blended </em>with this new colour. If you want to remove a brush from the list, simply click on it and press the <img_tag=Delete_Key_Icon:0> key and it will be removed.",なお、新しいブラシの色はデフォルトで白となりますが、カラーピッカーから別の色に変更した場合、その色を<em>ブレンド</em>して描くことができます。リストからブラシを削除したい場合は、ブラシをクリックして<img_tag=Delete_Key_Icon:0>キーを押してください。
Image_Editor.htm+html.body.p:161-3,"<span data-open-text=""true"">Colour Picker</span><span data-close-text=""true"">Colour Picker</span>","<span data-open-text=""true"">カラーピッカー</span><span data-close-text=""true"">カラーピッカー</span>"
Image_Editor.htm+html.body.div.p:163-5,"The top of this section has a number or predefined colour <a class=""tooltip"" title=""TITLE_KEY::swatches"">swatches</a> that you can choose from, and they can be assigned to the left <img_tag=LMB_Icon:4> and right <img_tag=RMB_Icon:1> mouse buttons respectively by clicking on them with either button (you can also swap the colours between each button by clicking the arrow icon in beside the swatches). The colours selected will be shown below as swatches beside the image of the mouse, and you can then click these to open the <strong>Colour Picker</strong> window:","カラーピッカーの上部に並んでいるのは既定の<a class=""tooltip"" title=""TITLE_KEY::swatches"">色見本</a>で、左クリック<img_tag=LMB_Icon:4>または右クリック<img_tag=RMB_Icon:1>で選択すると、左右のマウスボタンにその色を割り当てることができます（2つの色の横にある矢印アイコンをクリックすると色の入れ替えも可能です）。選択した色はマウス画像の隣に表示され、色をクリックすると<strong>カラーピッカー</strong>ウィンドウが開きます。"
Image_Editor.htm+html.body.div.p.img[alt]:165-25,{IMG_TXT} Image Editor Colour Picker,{IMG_TXT} イメージエディタのカラーピッカー
Image_Editor.htm+html.body.div.p:165-5,"From this window you can define the colour using any of the available sliders and gadgets, or you can input values directly for the <a class=""tooltip"" title=""TITLE_KEY::ARGB"">ARGB</a> values or <a class=""tooltip"" title=""TITLE_KEY::HSV"">HSV</a> values. Note that if you double click <img_tag=LMB_Icon:5> on any of the default colour swatches, you can also bring up the colour picker tool and edit the default palette for the sprite. Clicking ""Okay"" in the colour picker in this case will set the palette to the new colour and save it along with the sprite asset being edited. These colour palettes can then be swapped and applied to different sprites using the colour palette <strong>Options </strong>menu:","このウィンドウではスライダーなどを操作したり、<a class=""tooltip"" title=""TITLE_KEY::ARGB"">ARGB</a>値または<a class=""tooltip"" title=""TITLE_KEY::HSV"">HSV</a>値を入力して色を決めることができます。なお、エディタの色見本をダブルクリック<img_tag=LMB_Icon:5>すれば、カラーピッカーツールを開いてスプライトの既存パレットを編集できます。この場合は、「OK」をクリックしてカラーピッカーを閉じるとパレットに新しい色が設定され、編集中のスプライトアセットと一緒に保存されます。編集したカラーパレットは、カラーパレットの<strong>設定メニュー</strong>から別のスプライトに適用することも可能です。"
Image_Editor.htm+html.body.div.p.img[alt]:168-25,{IMG_TXT} Image Editor Colour Picker Options,{IMG_TXT} イメージエディタのカラーピッカー設定
Image_Editor.htm+html.body.div.p:168-5,"So, you can create a custom colour palette in a sprite image and then use that to set the palette for any other sprite in the Asset Browser, or you can open a sprite image and import the colour palette from any other sprite in the Asset Browser. This sprite pallette feature is covered in more detail in the following YoYo Games tech blog:",設定メニューを利用すれば、カスタマイズしたカラーパレットをアセットブラウザの他のスプライトに適用したり、他のスプライトのカラーパレットをインポートできます。こうしたスプライトのパレット機能については、YoYo Games tech blogでより詳しく紹介されています。
Image_Editor.htm+html.body.div.ul.li:171-7,GMS2 Features You Might Not Know About,GMS2のあまり知られていない機能
Image_Editor.htm+html.body.p:175-3,"<span data-open-text=""true"">Tools</span><span data-close-text=""true"">Tools</span>","<span data-open-text=""true"">ツール</span><span data-close-text=""true"">ツール</span>"
Image_Editor.htm+html.body.div.p:177-5,"Below we list the tools that are available by default with GameMaker Studio 2 - note that all tools can be used with the left <img_tag=LMB_Icon:6> and right <img_tag=RMB_Icon:2> mouse button, and most of them have keyboard shortcuts associated with them (the important ones are listed here along with the tool, but for a full list please see the page on <a href=""../IDE_Navigation/Keyboard_Shortcuts.htm"">Shortcuts</a>). Most tools will also have extra options that will be visible at the top of the image editor as shown below:","こちらはGameMaker Studio 2に最初から用意されているツールの一覧です。ツールは左クリック<img_tag=LMB_Icon:6>、右クリック<img_tag=RMB_Icon:2>の両方で扱うことができ、多くの場合はキーボードショートカットを利用できます（ここにはよく使うショートカットのみ記載しますが、<a href=""../IDE_Navigation/Keyboard_Shortcuts.htm"">ショートカット</a>のページですべてのショートカットを確認できます）。また、ほとんどのツールにはイメージエディタの上部分に、次のような詳細設定が表示されます。"
Image_Editor.htm+html.body.div.p.img[alt]:179-25,{IMG_TXT} Image Editor Top Bar,{IMG_TXT} イメージエディタの上段バー
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:183-29,{IMG_TXT} Pencil Icon,{IMG_TXT} 鉛筆アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:184-11,Pencil,鉛筆
Image_Editor.htm+html.body.div.table.tbody.tr.td:185-11,"This is the pencil tool. It uses the selected brush to paint in the selected colour for the mouse button, and you can set the size from the top bar of the image editor as well as enable/disable smoothing (interpolation). Note that you can also resize and scale any brush by holding down <img_tag=Shift_Icon:0> + ""<span class=""inline"">Z</span>"" then clicking <img_tag=LMB_Icon:7> and dragging the mouse to change the proportions of the brush, or alternatively select one of the predefined brushes from the top right.","鉛筆ツールを選ぶと、指定した色とブラシでクリックして描くことができます。イメージエディタ上部のバーではサイズを変更したり、スムース（補間）の切り替えが可能です。また、<img_tag=Shift_Icon:0>と""<span class=""inline"">Z</span>""を押しながらドラッグ<img_tag=LMB_Icon:7>をすると使用中のブラシのサイズ比を変更することができます。右上に並んでいる既存のブラシを選んだ場合も同じです。"
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:189-29,{IMG_TXT} Eraser Icon,{IMG_TXT} 消しゴムアイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:190-11,Eraser,消しゴム
Image_Editor.htm+html.body.div.table.tbody.tr.td:191-11,"This is the eraser tool. It uses the selected brush to erase an area on click from either mouse button. Selecting this will also add extra tools to the top bar of the editor to permit you to scale the brush or enable/disable smoothing (<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a>).","消しゴムツールを選ぶと、使用中のブラシでクリックした範囲を消すことができます。このツールに切り替えるとエディタ上部のバーに詳細設定が表示され、ブラシのサイズを変えたり、スムース（<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>）の切り替えができるようになります。"
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:194-29,{IMG_TXT} Paint Fill Icon,{IMG_TXT} 塗りつぶしアイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:195-11,Paint / Fill,ペンキ / 塗りつぶし
Image_Editor.htm+html.body.div.table.tbody.tr.td:196-11,"This is the paint bucket (or fill) tool. This will fill in an area of the image based on the chosen alpha tolerance setting, which you can change using the slider shown in the top bar of the editor.",ペンキ（塗りつぶし）ツールでは画像を塗りつぶすことができます。塗りつぶされる範囲は、エディタの上部バーから設定できるアルファ許容値によって変わります。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:199-29,{IMG_TXT} Colour Remove Icon,{IMG_TXT} 色除去アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:200-11,Colour Remove,色除去
Image_Editor.htm+html.body.div.table.tbody.tr.td:201-11,"This is the colour remove tool. When you select it, you can then click <img_tag=LMB_Icon:8> or <img_tag=RMB_Icon:3> on any pixel in the image and all pixels that are of the same colour will be removed (they are technically replaced with the colour black at an alpha of 0). The top bar has a tolerance slider where you can set the pixel colour tolerance - the lower this value the more exact a colour has to match the one that was clicked, while a higher value will expand this to include those colours that are similar to the one clicked. If you have previously made a selection using any of the selection tools, then only clicking on pixels within the selection will have an effect, and only the pixels within the selection will be removed.",色除去ツールを選んでから画像のピクセルを左<img_tag=LMB_Icon:8>または右クリック<img_tag=RMB_Icon:3>すると、同じ色のピクセルをすべて除去することができます（正しくは透明度0の黒色に置き換えられます）。上部バーのスライダーから色の許容値を変更でき、低くするほどクリックした色とぴったり一致する色が選ばれ、高くするほど類似色が選ばれるようになります。選択ツールによって範囲が選択されている場合はその中をクリックしなければならず、範囲内のピクセルだけが除去されます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:206-29,{IMG_TXT} Colour Replace Icon,{IMG_TXT} 色置換アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:207-11,Colour Replace,色置換
Image_Editor.htm+html.body.div.table.tbody.tr.td:208-11,"This is the colour replace tool. When you select it, you can then click <img_tag=LMB_Icon:9> or <img_tag=RMB_Icon:4> on any pixel in the image and all pixels that are of the same colour will be replaced by the colour assigned to the mouse button used. The top bar has a tolerance slider where you can set the pixel colour tolerance - the lower this value the more exact a colour has to match the one that was clicked, while a higher value will expand this to include those colours that are similar to the one clicked. If you have previously made a selection using any of the selection tools, then only clicking on pixels within the selection will have an effect, and only the pixels within the selection will be affected by the colour change.",色置換ツールを選んでから画像のピクセルを左<img_tag=LMB_Icon:9>または右クリック<img_tag=RMB_Icon:4>すると、同じ色のピクセルをマウスに割り当てた色で置き換えることができます。上部バーのスライダーから色の許容値を変更でき、低くするほどクリックした色とぴったり一致する色が選ばれ、高くするほど類似色が選ばれるようになります。選択ツールによって範囲が選択されている場合はその中をクリックしなければならず、範囲内のピクセルだけが色を変更されます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:213-29,{IMG_TXT} Line Icon,{IMG_TXT} 直線アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:214-11,Line,直線
Image_Editor.htm+html.body.div.table.tbody.tr.td:215-11,"This tool will draw a line between two points. Click once with either button to create the first point and then click again elsewhere to create another point and join them. The line will be drawn using the selected brush to create the outline, and you can edit some of the brush properties using the top bar of the editor (size, <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a>, etc...).","直線ツールでは2つの位置から線を引くことができます。最初にクリックした位置が開始点となり、マウスのボタンを離すとその位置までの線が引かれます。直線は選んだブラシで描くことができ、エディタの上部バーからブラシの設定値（サイズや<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>など）を変更できます。"
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:219-29,{IMG_TXT} Rectangle Icon,{IMG_TXT} 長方形アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:220-11,Rectangle,長方形
