Timelines.htm+html.head.title:55-3,Timelines,タイムライン
Timelines.htm+html.body.p:105-3,"<span data-open-text=""true"">Moment</span><span data-close-text=""true"">Moment</span>","<span data-open-text=""true"">モーメント</span><span data-close-text=""true"">モーメント</span>"
Timelines.htm+html.body.div.p:107-5,"You can set the <strong>moment </strong>value here. The moment value is calculated as the number of game steps after the timeline has started. So if you have a timeline with moments at positions 0 and 60, then moment 0 will be triggered when the timeline is <em>started </em>and moment 60 will happen 60 steps <em>later</em>. If your room speed is set to 60 too, then moment 60 will happen one second after the timeline is started. You can do a double click <img_tag=LMB_Icon:0> on the moment value or you can use the right button <img_tag=RMB_Icon:1> menu and select "" <em>change</em>"" (see the section on the button menu below) to change it. To add a new moment, simply click the <strong>Add </strong>button at the bottom of the editor. Adding new moments will open the <a href=""Scripts.htm"">code editor</a> (or action editor) where you can add the functions or DnD™ that you want to call in that moment.","ここでは<strong>モーメント</strong>値を設定できます。モーメント値は、タイムライン開始後のゲームステップ数として計算される値です。モーメントの位置が0と60のタイムラインであれば、モーメント0はタイムラインの<em>開始</em>時に作動し、モーメント60はそれより60ステップ<em>後</em>に発生します。さらにルーム速度が60であれば、モーメント60はタイムラインが始まってから1秒後に発生することになります。モーメント値はダブルクリック<img_tag=LMB_Icon:0>するか、右クリック<img_tag=RMB_Icon:1>メニューから「<em>変更</em>」（以下のメニューセクションを参照）を選ぶと別の値に変更できます。新しいモーメントを追加するには、エディタの下側にある<strong>追加</strong>ボタンをクリックしましょう。モーメントが追加されると<a href=""Scripts.htm"">コードエディタ</a>またはアクションエディタが開き、モーメントから呼び出す関数やDnD™アクションを追加できます。"
Timelines.htm+html.body.p:113-3,"<span data-open-text=""true"">Moment Name</span><span data-close-text=""true"">Moment Name</span>","<span data-open-text=""true"">モーメント名</span><span data-close-text=""true"">モーメント名</span>"
Timelines.htm+html.body.div.p:115-5,"To help you understand what your timeline is doing it is permitted that you give moments a name to identify them. This is simply a string and will not be used in the game code or anywhere else, as it's purely for organising and understanding what your timeline does. To add a name/description to your moment, you need to use the <span class=""inline"">/// @description</span> format on the first line of the code block, for example:","タイムラインの内容が分かりやすくなるよう、それぞれのモーメントは名前をつけて区別することができます。この名前はゲームコードやその他の場所とは関係しないただの文字列で、タイムラインを整理したり、動作を把握できるようにするための名前です。モーメントに名前/説明を追加するには、次のようにコードブロックの一行目を<span class=""inline"">/// @description</span>形式にする必要があります。"
Timelines.htm+html.body.div.p:118-5,{ANY_CODE} /// @description Hello World,{ANY_CODE} /// @description Hello World
Timelines.htm+html.body.div.p:119-5,Which would look like this:,このように表示されます。
Timelines.htm+html.body.div.p.img[alt]:121-7,{IMG_TXT} Timeline Editor Name/Description,{IMG_TXT} タイムラインエディタの名前/説明
Timelines.htm+html.body.p:125-3,"The timeline editor permits you to use <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:1> select all moments between the first click <img_tag=LMB_Icon:2> and the second click <img_tag=LMB_Icon:3>, or you can use <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:4> to click on single moments to select them independently. Timeline moments can be edited using the right mouse button <img_tag=RMB_Icon:2> menu on one of the selected elements:",タイムラインエディタでは、<img_tag=Space_Icon:0>を押しながらクリック<img_tag=LMB_Icon:1>することで、最初にクリック<img_tag=LMB_Icon:2>した位置とその次にクリック<img_tag=LMB_Icon:3>した位置の間にあるモーメントをまとめて選択できます。また、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:4>すれば個別選択も可能です。タイムラインのモーメントを右クリック<img_tag=RMB_Icon:2>すると、メニューから次の属性を編集できます。
Timelines.htm+html.body.p.img[alt]:127-6,{IMG_TXT} Timeline RMB Menu,{IMG_TXT} タイムラインの右クリックメニュー
Timelines.htm+html.body.ul.li:129-5,"<strong>Add</strong>: This option permits you to add a new moment to the timeline. It will be added directly after the last moment, so if the last moment in your timeline is 120, the next one you add will be 121. You can change the moment position by double clicking <img_tag=LMB_Icon:5> on the moment value in the editor or by right-clicking <img_tag=RMB_Icon:3> and choosing ""<em>Change</em>"".",<strong>追加</strong>: タイムラインに新しいモーメントを追加します。末尾のモーメントの直後に追加されるため、末尾のモーメントが120であれば、その次の位置となる121に追加されます。モーメントの位置はエディタに表示されているモーメント値をダブルクリック<img_tag=LMB_Icon:5>するか、右クリック<img_tag=RMB_Icon:3>して「<em>変更</em>」を選択すると変えることができます。
Timelines.htm+html.body.ul.li:131-5,<strong>Edit</strong>: This opens the current timeline moment for editing.,<strong>編集</strong>: 現在のモーメントを開いて編集します。
Timelines.htm+html.body.ul.li:132-5,<strong>Change Moment</strong>: Change the value for the selected timeline moment. This is the same as slow double clicking <img_tag=LMB_Icon:6> on the timeline value in the editor window.,<strong>モーメントの変更</strong>: 選択されているモーメントの値を変更します。エディタのウィンドウに表示されているタイムライン値をゆっくりダブルクリック<img_tag=LMB_Icon:6>しても同じように変更できます。
Timelines.htm+html.body.ul.li:134-5,<strong>Change Description</strong>: Change the descriptive name for the selected timeline moment. This is the same as slow double clicking <img_tag=LMB_Icon:7> on the timeline description in the editor window.,<strong>説明の変更</strong>: 選択されているモーメントの記述名を変更します。エディタのウィンドウに表示されているタイムラインの説明をゆっくりダブルクリック<img_tag=LMB_Icon:7>しても同じように変更できます。
Timelines.htm+html.body.ul.li:136-5,<strong>Duplicate</strong>: This will duplicate all the selected timeline moments and add them consecutively to the end of the current timeline.,<strong>複製</strong>: 選択されているモーメントを複製し、タイムラインの末尾に続けて追加します。
Timelines.htm+html.body.ul.li:137-5,<strong>Merge</strong>: If you select two or more moments from a timeline you can choose to merge them. This will create a single timeline moment at the position of the first moment selected with all the code and actions together concurrently.,<strong>結合</strong>: 2つ以上のモーメントが選択されている場合、それらを結合するか選択できます。実行すると選択されているモーメントの先頭位置に、すべてのコードとアクションを束ねた単一のモーメントが作成されます。
Timelines.htm+html.body.ul.li:138-5,<strong>Remove</strong>: This will remove the selected moment (or moments) from the timeline.,<strong>削除</strong>: 選択されているモーメントをすべて削除します。
Timelines.htm+html.body.ul.li:139-5,"<strong>Cut </strong>/ <strong>Copy </strong>/ <strong>Paste</strong>: These options permit you to cut, copy or paste one or more timeline moments. You can use the standard keyboard shortcuts here too: <img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> + ""<span class=""inline"">X</span>"", <img_tag=Control_Icon:2> / <img_tag=CMD_Icon:2> + ""<span class=""inline"">C</span>"", and <img_tag=Control_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">V</span>"".","<strong>切り取り </strong>/ <strong>コピー </strong>/ <strong>貼り付け</strong>: タイムラインのモーメントを切り取り・コピー・貼り付けします。<img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> + ""<span class=""inline"">X</span>""、<img_tag=Control_Icon:2> / <img_tag=CMD_Icon:2> + ""<span class=""inline"">C</span>""、<img_tag=Control_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">V</span>""という標準のキーボードショートカットでも同じことが可能です。"
Timelines.htm+html.body.ul.li:140-5,"<strong>Select All</strong>: With this option you can select all the moments in a timeline. Selected moments can then be removed, merged, duplicated, cut, or copied.",<strong>すべて選択</strong>: タイムラインのモーメントをすべて選択します。選択したモーメントはまとめて削除、結合、複製、切り取り、コピーできます。
Timelines.htm+html.body.ul.li:141-5,"<strong>Convert to Drag and Drop / Code</strong>: Timeline moments will be created using the method chosen when you created the project, either using code or using Drag and Drop™ actions. With this option you can convert from one to the other, regardless of the project type.",<strong>DnD™ / GMLに変換</strong>: タイムラインのモーメントはプロジェクト作成時に選択する、コードまたはDrag and Drop™アクションというメソッドのいずれかで作成されますが、この項目を選ぶとプロジェクトの形式を問わず、別のメソッドに変換することができます。
Timelines.htm+html.body.div.div.div.div:150-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Timelines.htm+html.body.div.div.div.div:151-9,"Next: <a href=""Image_Editor.htm"">Image Editor</a>","次へ: <a href=""Image_Editor.htm"">イメージエディタ</a>"
Timelines.htm+html.body.p:164-1,{SEARCH_RESULT} Page detailing how the timeline editor works,{SEARCH_RESULT} タイムラインエディタの詳しい仕組みについてのページ
Timelines.htm+html.body.p:164-68,{INDEX_KEYWORD} Timeline Editor,{INDEX_KEYWORD} タイムラインエディタ
Timelines.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Timelines.htm.img_tag+CMD_Icon:1,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Timelines.htm.img_tag+CMD_Icon:2,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Timelines.htm.img_tag+CMD_Icon:3,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Timelines.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Timelines.htm.img_tag+Control_Icon:1,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Timelines.htm.img_tag+Control_Icon:2,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Timelines.htm.img_tag+Control_Icon:3,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Timelines.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:1,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:2,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:3,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:4,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:5,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:6,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+LMB_Icon:7,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Timelines.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Timelines.htm.img_tag+RMB_Icon:1,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Timelines.htm.img_tag+RMB_Icon:2,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Timelines.htm.img_tag+RMB_Icon:3,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Timelines.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
