Brush_Builder.htm+html.head.title:55-3,Brush Builder,ブラシビルダー
Brush_Builder.htm+html.body.p:100-3,"At the top right you can see the currently selected tool, and you can also set the size of the brush that you want to paint with. The default size is 1, which is a single tile, but if you set it to higher values then you can paint (and erase) with a larger brush composed of the selected tile repeated, as shown in the image below:",右上には選択されているツールが表示され、ブラシのサイズを変更できます。デフォルトのサイズはタイル1つ分となる1ですが、サイズを上げると以下の画像のように、選択中のタイルを並べたより大きなブラシで描けます。
Brush_Builder.htm+html.body.p.img[alt]:102-6,{IMG_TXT} Tile Size Animation,{IMG_TXT} タイルサイズアニメーション
Brush_Builder.htm+html.body.p:102-3,"The toolbox is where you can select the tool to use for many different tasks in the Tile Set editor, some of which will depend on whether you have anything defined in your <a href=""Auto_Tiles.htm"">auto tile</a> library. A brief outline of each tool is given below (note that when you have selected a tile layer in the Room Editor, then this toolbox is displayed at the top of the room workspace, along with additional drawing tools):","ツールボックスからはタイルセットエディタのさまざまな作業に使えるツールを選択できますが、一部のツールは<a href=""Auto_Tiles.htm"">オートタイル</a>ライブラリにブラシが存在しないと利用できません。以下は各ツールの概要となります（なお、ルームエディタでタイルレイヤーを選択すると、ルームのワークスペース上部に同じツールボックスが描画用のツールとともに表示されます）。"
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:108-27,{IMG_TXT} Pencil Tool Icon,{IMG_TXT} 鉛筆ツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:109-9,Pencil,鉛筆
Brush_Builder.htm+html.body.table.tbody.tr.td:110-9,This is the pencil tool. It uses the selected tile to paint in the Brushes window with the left mouse button <img_tag=LMB_Icon:0> and you can erase with the right mouse button <img_tag=RMB_Icon:0>.,鉛筆ツールを使うと、左クリック<img_tag=LMB_Icon:0>で選択中のタイルをブラシウィンドウに描くことができます（右クリック<img_tag=RMB_Icon:0>でタイルを消せます）。
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:113-27,{IMG_TXT} Eraser Tool Icon,{IMG_TXT} 消しゴムツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:114-9,Eraser,消しゴム
Brush_Builder.htm+html.body.table.tbody.tr.td:115-9,"With the eraser tool you can use the left mouse button <img_tag=LMB_Icon:0> to erase a given tile in the Brushes window. Essentially, all this does is set the tile index to 0, which is the reserved ""empty"" tile.",消しゴムツールを使うと、ブラシウィンドウに置かれたタイルを左クリック<img_tag=LMB_Icon:0>で消すことができます。実際にはタイルのインデックス値を、「空のタイル」のインデックス値として予約されている0に置き換えています。
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:119-27,{IMG_TXT} Selection Tool Icon,{IMG_TXT} 選択ツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:120-9,Selection,選択
Brush_Builder.htm+html.body.table.tbody.tr.td:121-9,"This is the selection tool, which can be used to define an area of the Brushes window for working on. You can click the left mouse button <img_tag=LMB_Icon:0> and then drag the mouse to create a rectangular area, or you can press <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> to add multiple selections and <img_tag=Alt_Icon:0> + <img_tag=LMB_Icon:0> to clear a part of the selection. To clear the whole selection you can press <img_tag=Escape_Icon:0>. When you have an area of a Brushes window selected, the rest of the tools (Pencil, Flip, Rotate, etc...) will only work within the selected area. Note that you can also select tiles in the window then copy ( <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>+ ""<span class=""inline"">C</span>""), cut ( <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">X</span>"") and paste ( <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + "" <font face=""Lucida Console""><span style=""font-size: 16px;""><b>V</b></span></font>"") them, which will then switch the tool to the Pencil and permit you to ""paint"" with them.","選択ツールを使うと、ブラシウィンドウの編集範囲を決めることができます。左クリックをしてドラッグ<img_tag=LMB_Icon:0>すると長方形の範囲を選択でき、さらに<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:0>で選択範囲を追加、<img_tag=Alt_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:0>で削除できます。すべて解除したくなったら<img_tag=Escape_Icon:0>を押してください。ブラシウィンドウに選択範囲がある場合、ほかのツール（鉛筆、反転、回転など）はその範囲内でのみ扱うことができます。また、ウィンドウで選択したタイルはコピー（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>+ ""<span class=""inline"">C</span>""）、切り取り（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">X</span>""）、貼り付け（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + "" <font face=""Lucida Console""><span style=""font-size: 16px;""><b>V</b></span></font>""）も可能で、この場合は鉛筆ツールに切り替わり、選択したタイルで描き始めることができます。"
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:127-27,{IMG_TXT} Autotile Tool Icon,{IMG_TXT} オートタイルツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:128-9,AutoTile,オートタイル
Brush_Builder.htm+html.body.table.tbody.tr.td:129-9,"Clicking this tool enables the <strong>Auto tiling</strong> paint style. When this is active you can select any tile from the Autotile Libraries tab, and then paint it into the Brushes window and GameMaker Studio 2 will automatically change it to match the surrounding tiles, as long as you have correctly set up the <a href=""Auto_Tiles.htm"">Auto Tile Tab</a>. Note that selecting a tile from the tile set that is not part of the autotile libraries will reset the drawing tool to the standard Pencil tool.","クリックすると<strong>オートタイル</strong>が有効となります。有効にするとオートタイルライブラリのタイルが選択可能となり、ブラシウィンドウにタイルを描いたとき、外周部分のタイルを自動で補正してくれるようになります（ただし<a href=""Auto_Tiles.htm"">オートタイル</a>タブで正しく設定されている場合に限ります）。なお、タイルセットからタイルを選んでもオートタイルライブラリに加えることはできず、標準の鉛筆ツールに戻されます。"
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:134-27,{IMG_TXT} Flip Tool Icon,{IMG_TXT} 上下反転ツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:135-9,Flip,上下反転
Brush_Builder.htm+html.body.table.tbody.tr.td:136-9,"Clicking the Flip tool with the left mouse button <img_tag=LMB_Icon:0> (or using the keyboard shortcut ""<span class=""inline"">X</span>"" ) will flip the tile or tiles currently selected for drawing along the <em>horizontal </em>axis, without changing drawing tool (if you have a custom brush selected for drawing, the whole brush will flip). If you have no tile selected for drawing, but do have a group of tiles selected in the brush window, then the flip tool will Flip the selected tiles.","上下反転ツールを左クリック<img_tag=LMB_Icon:0>（またはキーボードショートカットの""<span class=""inline"">X</span>""を入力）すると描画ツールを変えることなく、タイルセットから選択したタイルを<em>縦</em>に反転できます（カスタムブラシを使っている場合はブラシ全体を反転します）。ブラシウィンドウ内のタイルを選択している場合、その範囲内のタイルをすべて上下反転します。"
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:141-27,{IMG_TXT} Mirror Tool Icon,{IMG_TXT} 左右反転ツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:142-9,Mirror,左右反転
Brush_Builder.htm+html.body.table.tbody.tr.td:143-9,"Clicking the Mirror tool with the left mouse button <img_tag=LMB_Icon:0> (or using the keyboard shortcut "" <span class=""inline"">Y</span>"" ) will mirror the tile(s) currently selected for drawing along the <em>vertical </em>axis, without changing drawing tool (if you have a custom brush selected for drawing, the whole brush will mirror). If you have no tile selected for drawing, but do have a group of tiles selected in the brush window, then the Mirror tool will mirror the selected tiles.","左右反転ツールを左クリック<img_tag=LMB_Icon:0>（またはキーボードショートカットの""<span class=""inline"">Y</span>""を入力）すると描画ツールを変えることなく、タイルセットから選択したタイルを<em>横</em>に反転できます（カスタムブラシを使っている場合はブラシ全体を反転します）。ブラシウィンドウ内のタイルを選択している場合、その範囲内のタイルをすべて上下反転します。"
Brush_Builder.htm+html.body.table.tbody.tr.td.img[alt]:148-27,{IMG_TXT} Rotate Tool Icon,{IMG_TXT} 回転ツールのアイコン
Brush_Builder.htm+html.body.table.tbody.tr.td:149-9,Rotate,回転
Brush_Builder.htm+html.body.table.tbody.tr.td:150-9,"Clicking the Rotate tool with the left mouse button <img_tag=LMB_Icon:0> (or using the keyboard shortcut "" <span class=""inline"">Z</span>"" ) will rotate the tile(s) currently selected for drawing 90° <em>clockwise</em>, without changing drawing tool (if you have a custom brush selected for drawing, the whole brush will rotate). If you have no tile selected for drawing, but do have a group of tiles selected in the brush window, then the Rotate tool will rotate the selected tiles.","回転ツールを左クリック<img_tag=LMB_Icon:0>（またはキーボードショートカットの""<span class=""inline"">Z</span>""を入力）すると描画ツールを変えることなく、タイルセットから選択したタイルを<em>時計回り</em>に90° 回転できます（カスタムブラシを使っている場合はブラシ全体を回転します）。ブラシウィンドウ内のタイルを選択している場合、その範囲内のタイルをすべて回転します。"
Brush_Builder.htm+html.body.p:156-3,"Below the tools, you can find two different sections for selecting any <a href=""Auto_Tiles.htm""><strong>auto tile</strong></a> or <a href=""Animated_Tiles.htm""><strong>animated</strong> tiles</a> that have been created using the current tile set image. A single sprite that is used for a tile set can have many, many, single cell images in it, and these can be combined in the Animation or Autotile editor to create custom brushes which will show up in these sections and can be used in conjunction with regular static tiles to create brushes (note that an animated tile will animate regardless of whether you have selected it from the library or from the base tile set).","ツールの下側には、現在のタイルセット画像から作られた<a href=""Auto_Tiles.htm""><strong>オートタイル</strong></a>および<a href=""Animated_Tiles.htm""><strong>アニメーション</strong>タイル</a>を選択できる領域があります。タイルセットに使用されている1枚のスプライトにはとても多くのセル画像を含めることができますが、それらを組み合わせることで上記の領域に表示されるカスタムブラシを作成でき、動かない普通のタイルと組み合わせたカスタムブラシを作ることも可能です（アニメーションタイルに関しては、ライブラリと元のタイルセットのどちらから選択しても必ずアニメーションするためご注意ください）。"
Brush_Builder.htm+html.body.p:159-3,"Once you have set up all the brushes you require, you can then use them to paint tiles onto any tile map layer within the <a href=""../Rooms.htm"">Room Editor</a>.","必要なブラシをすべて設定できたら、<a href=""../Rooms.htm"">ルームエディタ</a>のタイルマップレイヤーに作成したブラシで描けるようになります。"
Brush_Builder.htm+html.body.div.div.div.div:166-9,"Back: <a href=""../Tile_Sets.htm"">Tile Sets</a>","戻る: <a href=""../Tile_Sets.htm"">タイルセット</a>"
Brush_Builder.htm+html.body.div.div.div.div:167-9,"Next: <a href=""Animated_Tiles.htm"">Animated Tiles</a>","次へ: <a href=""Animated_Tiles.htm"">アニメーションタイル</a>"
Brush_Builder.htm+html.body.p:180-1,{SEARCH_RESULT} Page detailing how the tile set editor brush builder works,{SEARCH_RESULT} タイルセットエディタのブラシビルダーについての解説ページ
Brush_Builder.htm+html.body.p:180-82,{INDEX_KEYWORD} Tile Sets - Brush Builder,{INDEX_KEYWORD} タイルセット - ブラシビルダー
Brush_Builder.htm.img_tag+Alt_Icon:0,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Brush_Builder.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Brush_Builder.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Brush_Builder.htm.img_tag+Escape_Icon:0,{IMG_TXT} Escape Icon,{IMG_TXT} Escapeアイコン
Brush_Builder.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Brush_Builder.htm.img_tag+MMB_Icon:0,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Brush_Builder.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Brush_Builder.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
