JSDoc_Script_Comments.htm+html.head.title:55-3,JSDoc Script Comments,JSDocスクリプトコメント
JSDoc_Script_Comments.htm+html.body.p:122-3,"{ANY_CODE} /// @function {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}is_same_object(id, object)<br /> /// @description {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} Compare an instance object index with that of another.<br /> /// @param {real} _id {nbsp_x1} {nbsp_x1}The unique instance ID value of the instance to check.<br /> /// @param {real} _obj {nbsp_x1} The object index to be checked against.<br /> function is_same_object(_id, _obj)<br /> { <br /> if _id.object_index == _obj<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} return true;<br /> {nbsp_x1} {nbsp_x1} }<br /> else return false;<br /> }","{ANY_CODE} /// @function {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1}is_same_object(id, object)<br /> /// @description {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} Compare an instance object index with that of another.<br /> /// @param {real} _id {nbsp_x1} {nbsp_x1}The unique instance ID value of the instance to check.<br /> /// @param {real} _obj {nbsp_x1} The object index to be checked against.<br /> function is_same_object(_id, _obj)<br /> { <br /> if _id.object_index == _obj<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} return true;<br /> {nbsp_x1} {nbsp_x1} }<br /> else return false;<br /> }"
JSDoc_Script_Comments.htm+html.body.p:126-3,"Now, when calling this function in code anywhere, you will get auto-complete and argument help etc...",こうしてコードから関数を呼び出すと、自動補完されて引数と説明などが表示されるようになります。
JSDoc_Script_Comments.htm+html.body.p.img[alt]:127-6,{IMG_TXT} JSDoc Example,{IMG_TXT} JSDocの例
JSDoc_Script_Comments.htm+html.body.p:128-3,"In the image above, the top part shows the function in the auto-complete and the bottom part shows how the argument helper at the bottom works. Note that both the optional ""type"" and the obligatory ""description"" parts of <span class=""inline"">@param</span> are not displayed by default in the IDE code complete, and to see them you must activate the options in the <a href=""../../Setting_Up_And_Version_Information/IDE_Preferences/Text_Editor_Preferences.htm"">GML Preferences</a>.","画像の上側にあるのは関数の自動補完、下側にあるのは引数ヘルパーの動作です。なお、<span class=""inline"">@param</span>における任意の「型」と必須の「説明」の両方は、デフォルトではIDEによるコード補完で表示されず、確認するには<a href=""../../Setting_Up_And_Version_Information/IDE_Preferences/Text_Editor_Preferences.htm"">GML環境設定</a>のオプションを有効にしなくてはなりません。"
JSDoc_Script_Comments.htm+html.body.p:129-3,"Since scripts can have multiple functions in them, you should get used to defining the function like this before each one in the script, like this:",スクリプトには関数を複数追加できるため、各関数の前を以下のように定義できるよう覚えておくといいでしょう。
JSDoc_Script_Comments.htm+html.body.p.img[alt]:130-6,{IMG_TXT} Multiple Functions With JSDoc Comments Example,{IMG_TXT} JSDocコメントによる複数関数例
JSDoc_Script_Comments.htm+html.body.div.div.div.div:136-9,"Back: <a href=""../Scripts.htm"">The Script Editor</a>","戻る: <a href=""../Scripts.htm"">スクリプトエディタ</a>"
JSDoc_Script_Comments.htm+html.body.div.div.div.div:137-9,"Next: <a href=""Code_Snippets.htm"">Code Snippets</a>","次へ: <a href=""Code_Snippets.htm"">コードスニペット</a>"
JSDoc_Script_Comments.htm+html.body.p:149-1,{SEARCH_RESULT} Page that explains how JSDoc Script Comments work,{SEARCH_RESULT} JSDocスクリプトコメントの解説ページ
JSDoc_Script_Comments.htm+html.body.p:149-73,{INDEX_KEYWORD} Code Editor - JSDoc Comments,{INDEX_KEYWORD} コードエディタ - JSDocコメント
JSDoc_Script_Comments.htm+html.body.p:149-124,{INDEX_KEYWORD} JSDoc,{INDEX_KEYWORD} JSDoc
