Using_Animation_Curves.htm+html.head.title:55-3,Using Animation Curves,アニメーションカーブの使い方
Using_Animation_Curves.htm+html.body.p:122-3,"<strong>IMPORTANT</strong>: You can also edit animation curve assets that have been applied to parameter tracks in this way, however any changes you make <strong>will be applied to all tracks that use the animation curve</strong>, as you are editing the curve asset and not a single copy of it. To edit an animation curve asset that has been applied to a track <strong>only</strong> on that track, you must first use the right mouse menu <img_tag=RMB_Icon:0> on the parameter track and select <strong>Convert To Embedded Anim Curve</strong>. This will duplicate the animation curve asset and embed it in the pararmeter track as an independent curve only for that track. Conversely, you can convert an embedded animation curve into an Animation Curve asset using the right mouse button <img_tag=RMB_Icon:0> menu option <strong>Export Embedded Anim Curve</strong>. This will convert the embedded curve into a new asset which can then be edited as normal as well as applied to other parameter tracks if required.",<strong>重要</strong>: パラメータートラックに適用したアニメーションカーブアセットもこのように編集できますが、コピーではなくカーブアセットそのものを編集することになるため、<strong>同じアニメーションカーブアセットを使用している全トラック</strong>に変更が適用されます。アニメーションカーブを<strong>独自に編集</strong>したいなら、トラックを右クリック<img_tag=RMB_Icon:0>してメニューを開き、<strong>埋め込みアニメカーブに変換</strong>を選んでください。こうすることでアニメーションカーブアセットが複製され、パラメータートラックにそのトラック専用の独立カーブとして埋め込まれます。あるいはその逆に、トラックを右クリック<img_tag=RMB_Icon:0>してメニューから<strong>埋め込みアニメカーブをエクスポート</strong>することで、埋め込みカーブをアニメーションカーブアセットに変換することも可能です。この場合は埋め込みカーブが新しいアセットに変換され、普通のカーブと同じように編集したり、他のパラメータートラックへ適用できるようになります。
Using_Animation_Curves.htm+html.body.p.img[alt]:126-6,{IMG_TXT} The dope sheet curve editor,{IMG_TXT} ドープシートのカーブエディタ
Using_Animation_Curves.htm+html.body.p:127-3,"The image above shows how the embedded animation curve editor looks, and it's very similar that used by the Animation Curve Editor. Expand each section below for more information on the different sections.",この画像は埋め込みアニメーションカーブエディタの表示例で、アニメーションカーブエディタと非常によく似ています。以下のセクションは各部分についての詳細です。
Using_Animation_Curves.htm+html.body.p:129-3,"<span data-open-text=""true"">Curve Name</span><span data-close-text=""true"">Curve Name</span>","<span data-open-text=""true"">カーブ名</span><span data-close-text=""true"">カーブ名</span>"
Using_Animation_Curves.htm+html.body.div.p:131-5,"This will be the name of the external animation curve asset or the name of the parameter track for an embedded curve. You can edit this, but note that if it is an external animation curve asset, then it will change the name of the asset itself, and not the parameter track.",外部アニメーションカーブアセット、または埋め込みカーブのパラメータートラック名です。名前は変更可能ですが、外部アニメーションカーブアセットに行った場合はパラメータートラックではなく、アセットそのものの名前が変わります。
Using_Animation_Curves.htm+html.body.p:135-3,"<span data-open-text=""true"">Curve Type</span><span data-close-text=""true"">Curve Type</span>","<span data-open-text=""true"">カーブタイプ</span><span data-close-text=""true"">カーブタイプ</span>"
Using_Animation_Curves.htm+html.body.div.p:137-5,Clicking the curve type icon <img_tag=Channel_Type_Icon:0> will let you select one of the following options as the type of curve that will be used for the different channels:,カーブタイプアイコン<img_tag=Channel_Type_Icon:0>をクリックすると、チャンネルで使用するカーブのタイプを以下から選択できます。
Using_Animation_Curves.htm+html.body.div.ul.li:139-7,"<strong>Linear</strong>: This will use <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a> between points on the channel","<strong>リニア</strong>: チャンネルのポイント間を<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>します。"
Using_Animation_Curves.htm+html.body.div.ul.li:140-7,"<strong>Smooth</strong>: This will use <a class=""tooltip"" title=""TITLE_KEY::catmull-rom_interpolation"">catmull-rom interpolation</a> to create a smooth progression between points on the channel","<strong>スムース</strong>: <a class=""tooltip"" title=""TITLE_KEY::catmull-rom_interpolation"">キャットムル・ロム補間</a>によって、チャンネルのポイント間をなだらかに進行させます。"
Using_Animation_Curves.htm+html.body.div.ul.li:141-7,"<strong>Bezier</strong>: This will use <a class=""tooltip"" title=""TITLE_KEY::bezier_interpolation"">bezier interpolation</a> to create a smooth progression between points on the channel, where you can control how the curve looks by manipulating ""handles"" on the points.","<strong>ベジェ</strong>: <a class=""tooltip"" title=""TITLE_KEY::bezier_interpolation"">ベジェ補間</a>によって、チャンネルのポイント間をなだらかに進行させます。ポイントの「ハンドル」を操作することでカーブの形状を調整可能です。"
Using_Animation_Curves.htm+html.body.p:146-3,"<span data-open-text=""true"">Channel List</span><span data-close-text=""true"">Channel List</span>","<span data-open-text=""true"">チャンネルリスト</span><span data-close-text=""true"">チャンネルリスト</span>"
Using_Animation_Curves.htm+html.body.div.p:148-5,"The channel list is where you can edit the different channels that comprise your parameter curve. Each channel must have a unique name (using alpha numeric characters and the ""_"" under-bar symbol only), and you can also set the colour for the channel by double clicking <img_tag=LMB_Icon:0> on the colour swatch to the left, which will open the colour picker to let you choose a new colour. To rename the channel, you can do a slow double click <img_tag=LMB_Icon:0> and rename, and you can also use the right mouse button <img_tag=RMB_Icon:0> to open a menu where you can choose to rename, change the colour or copy the channel. Channels can be expanded by clicking the arrow beside the name to show each of the points on the channel curve, and these points can be edited manually by clicking the current value and typing in the new value. You can also toggle the channel visibility in the dope sheet by clicking on the ""eye"" icon <img_tag=Eye_Icon:0>.","チャンネルリストでは、パラメーターカーブの構成チャンネルを編集できます。それぞれのチャンネルには別々の名前が付けられ（英数字と ""_"" 記号のみ利用可）、左側の色見本をダブルクリック<img_tag=LMB_Icon:0>するとチャンネルの色も設定できます。名前については、チャンネルをゆっくりとダブルクリック<img_tag=LMB_Icon:0>すれば変更可能です。また、右クリック<img_tag=RMB_Icon:0>で開けるメニューからも名前変更、色の変更、チャンネルのコピーができます。名前の横にある矢印アイコンをクリックした場合は、チャンネルが展開されてカーブの各ポイントが表示されます。これらのポイントは、現在値をクリックして新しい値を入力することで直接編集ができます。ドープシートの「目」アイコン<img_tag=Eye_Icon:0>は、クリックするとチャンネルの表示を切り替えます。"
Using_Animation_Curves.htm+html.body.p:155-3,"<span data-open-text=""true"">Conversion Control</span><span data-close-text=""true"">Conversion Control</span>","<span data-open-text=""true"">変換操作</span><span data-close-text=""true"">変換操作</span>"
Using_Animation_Curves.htm+html.body.div.p:157-5,"Here keyframes can be converted into parameter curves (as explained fiurther up this page) but there is also a button to convert parameter curves into keyframes. However, you should be aware that when doing this there are a couple of caveats. Keyframes cannot be ""between"" frames, and so some curve values will need to be rounded to the nearest frame, which in turn will change the way the parameter track behaves. Also, if the parameter curve uses catmull-rom or bezier interpolation, <strong>this will be lost </strong>and the interpolation between keyframes will be set to linear interpolation.",ページの前半で説明したキーフレームをパラメーターカーブに変換するだけでなく、パラメーターカーブをキーフレームに変換するボタンもあります。変換を行う場合、2つの注意点を留めておいてください。まず、キーフレームはフレームの「中間」に配置できないため、カーブの値を隣接フレームに丸めなくてはならず、結果としてパラメータートラックの挙動が変化してしまう可能性があります。次に、パラメーターカーブにキャットムル・ロムまたはベジェ補間が使用されている場合、<strong>補間が打ち消され</strong>、キーフレームはリニア補間によって補間されます。
Using_Animation_Curves.htm+html.body.p:162-3,"<span data-open-text=""true"">Curve Menu</span><span data-close-text=""true"">Curve Menu</span>","<span data-open-text=""true"">カーブメニュー</span><span data-close-text=""true"">カーブメニュー</span>"
Using_Animation_Curves.htm+html.body.div.p:164-5,"This menu contains options available elsewhere in the editor, but all in one place. The options are:",このメニューには、エディタの別の箇所にある選択項目も含まれています。
Using_Animation_Curves.htm+html.body.div.ul.li:166-7,"<strong>Set Range</strong>: Set the vertical range of the parameter curve (see <em>Channel Range</em>, below).",<strong>範囲の設定</strong>: パラメーターカーブの縦の範囲を設定します（以下の<em>チャンネル範囲</em>を参照）。
Using_Animation_Curves.htm+html.body.div.ul.li:167-7,<strong>Convert To Curve</strong>: Convert the selected parameter track using keyframes into a parameter curve.,<strong>カーブに変換</strong>: 選択したパラメータートラックのキーフレームを、パラメーターカーブに変換します。
Using_Animation_Curves.htm+html.body.div.ul.li:168-7,<strong>Convert To Keys</strong>: Convert the selected parameter track using parameter curves into keyframes.,<strong>キーに変換</strong>: 選択したパラメータートラックのパラメーターカーブを、キーフレームに変換します。
Using_Animation_Curves.htm+html.body.div.ul.li:169-7,<strong>Embed Curve</strong>: Embed the Animaton Curve asset being used by the parameter track into the track.,<strong>カーブを埋め込み</strong>: パラメータートラックに使用されているアニメーションカーブアセットをトラックに埋め込みします。
Using_Animation_Curves.htm+html.body.div.ul.li:170-7,<strong>Set To External Anim Curve</strong>: Convert the embedded parameter curve into an Animation Curve asset.,<strong>外部アニメカーブを設定</strong>: 埋め込みパラメーターカーブをアニメーションカーブアセットに置き換えます。
Using_Animation_Curves.htm+html.body.p:174-3,"<span data-open-text=""true"">Channel Range</span><span data-close-text=""true"">Channel Range</span>","<span data-open-text=""true"">チャンネル範囲</span><span data-close-text=""true"">チャンネル範囲</span>"
Using_Animation_Curves.htm+html.body.div.p:176-5,"The Channel Range button is used for setting the visual vertical range for the Channel Editor. By default this will be set from -1 to 1, but clicking this button will open the following window:",チャンネル範囲ボタンをクリックすると、チャンネルエディタに表示される縦の範囲を設定できます。デフォルトでは-1から1となっており、次のウィンドウで設定を行います。
Using_Animation_Curves.htm+html.body.div.p.img[alt]:177-8,{IMG_TXT} Animation Curve Editor Channel Range,{IMG_TXT} アニメーションカーブエディタのチャンネル範囲
Using_Animation_Curves.htm+html.body.div.p:178-5,"Changing these values will change the way the data is represented in the Channel Editor section, permitting you to have higher/lower values along the channel curve than just -1 to 1.",数値が変更されると、チャンネルエディタのデータ表示が変化します。これらの数値は-1から1より低い/高い数値にできます。
Using_Animation_Curves.htm+html.body.p:181-3,"<span data-open-text=""true"">Channel Editor</span><span data-close-text=""true"">Channel Editor</span>","<span data-open-text=""true"">チャンネルエディタ</span><span data-close-text=""true"">チャンネルエディタ</span>"
Using_Animation_Curves.htm+html.body.div.p:183-5,"The Channel Editor shows a visual representation of the different channels used in the parameter curve. By default, all channels will be shown here, but you can only edit the channel currently selected from the Channel List, which will be highlighted in the editor. You can change the position of any of the points along the channel curve by clicking <img_tag=LMB_Icon:0> on them and dragging them around within the editor, but note that the first and last point can only be changed along the vertical axis and their horizontal value will always be 0 and 1 respectively.",チャンネルエディタにはパラメーターカーブの各チャンネルが視覚的に表示されます。デフォルトではすべてのチャンネルが表示されますが、チャンネルリストで選択中の、エディタに強調表示されているチャンネルのみ編集できます。チャンネルカーブ上のポイントはドラッグ<img_tag=LMB_Icon:0>して配置を変更できますが、始点・終点のポイントは縦方向にしか移動できず、横方向の値が0または1となるためご注意ください。
Using_Animation_Curves.htm+html.body.div.div.p:187-7,"You can add points directly to the channel curve by moving the mouse close to the main channel line and then clicking <img_tag=LMB_Icon:0> when the cursor changes to the ""<strong>Add Point</strong>"" tool, and you can then edit these points by clicking <img_tag=LMB_Icon:0> and dragging or by changing their values in the expanded channel options in the Channel List:",メインチャンネルの線にマウスカーソルを合わせ、カーソルが「<strong>ポイント追加</strong>」ツールに変化しているときにクリック<img_tag=LMB_Icon:0>すると、チャンネルカーブに直接ポイントを追加できます。追加したポイントを編集するにはマウスでドラッグ<img_tag=LMB_Icon:0>するか、チャンネルリストでチャンネルを展開し、値を変更してください。
Using_Animation_Curves.htm+html.body.div.div.p.img[alt]:189-27,{IMG_TXT} Add points to a parameter curve,{IMG_TXT} パラメーターカーブにポイントを追加
Using_Animation_Curves.htm+html.body.div.p:191-5,You can edit multiple points at once by clicking <img_tag=LMB_Icon:0> and dragging within the editor to select all the points you want to edit or by using <img_tag=CTRL_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> to add points to the selection individually. Releasing the mouse button and then clicking again on any of the points in the selection and dragging will move them all together:,エディタ上をクリック<img_tag=LMB_Icon:0>してドラッグすると範囲選択、<img_tag=CTRL_Icon:0> / <img_tag=CMD_Icon:0>を押しながらポイントをクリック<img_tag=LMB_Icon:0>すると任意選択ができます。選択したポイントをドラッグすると、複数のポイントをまとめて動かすことができます。
Using_Animation_Curves.htm+html.body.div.p.img[alt]:192-25,{IMG_TXT} Move multiple points on a curve,{IMG_TXT} カーブの複数ポイントを移動
Using_Animation_Curves.htm+html.body.div.p:192-5,"Once you are finished editing the parameter curves you can go back to the regular dope sheet view of the different tracks by clicking on the the <strong>Toggle Curve Mode</strong> <img src=""../../assets/Images/Icons/Icon_Seq_ToggleCurves.png"" style=""width: 100%; max-width: 20px;"" /> button.","パラメーターカーブの編集が終わったら、<strong>カーブモードに切り替え</strong><img src=""../../assets/Images/Icons/Icon_Seq_ToggleCurves.png"" style=""width: 100%; max-width: 20px;"" />ボタンをクリックすることでドープシートを通常表示に戻せます。"
Using_Animation_Curves.htm+html.body.div.div.div.div:202-9,"Back: <a href=""../Sequences.htm"">Sequences</a>","戻る: <a href=""../Sequences.htm"">シーケンス</a>"
Using_Animation_Curves.htm+html.body.div.div.div.div:203-9,"Next: <a href=""Broadcast_Messages.htm"">Broadcast Messages</a>","次へ: <a href=""Broadcast_Messages.htm"">ブロードキャストメッセージ</a>"
Using_Animation_Curves.htm+html.body.p:218-1,{SEARCH_RESULT} Page detailing how to use animation curves with sequences,{SEARCH_RESULT} アニメーションカーブとシーケンスの詳しい使い方についてのページ
Using_Animation_Curves.htm+html.body.p:219-5,{INDEX_KEYWORD} Sequences - Animation Curves,{INDEX_KEYWORD} シーケンス - アニメーションカーブ
Using_Animation_Curves.htm.img_tag+Alt_Icon:0,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Using_Animation_Curves.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Using_Animation_Curves.htm.img_tag+CTRL_Icon:0,{IMG_TXT} CTRL Icon,{IMG_TXT} CTRLアイコン
Using_Animation_Curves.htm.img_tag+Channel_Type_Icon:0,{IMG_TXT} Channel Type Icon,{IMG_TXT} チャンネルタイプアイコン
Using_Animation_Curves.htm.img_tag+Eye_Icon:0,{IMG_TXT} Eye Icon,{IMG_TXT} 目アイコン
Using_Animation_Curves.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Using_Animation_Curves.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
