Using_The_Dope_Sheet.htm+html.head.title:55-3,Using The Dope Sheet,ドープシートの使い方
Using_The_Dope_Sheet.htm+html.body.p:99-3,"When working with the dope sheet the usual keyboard shortcuts can be used too, ie: <img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> and the left mouse button <img_tag=LMB_Icon:3> to select one or more tracks in any order, <img_tag=Shift_Icon:0> and the left mouse button <img_tag=LMB_Icon:4> to select consecutive tracks, and you can also cut, copy and paste them using the <img_tag=CONTROL_Icon:1> / <img_tag=CMD_Icon:1> +""<span class=""inline"">X</span>"", <img_tag=CONTROL_Icon:2> / <img_tag=CMD_Icon:2> + ""<span class=""inline"">C</span>"" and <img_tag=CONTROL_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">V</span>"" key combinations.","ドープシートではキーボードショートカットを利用できます。<img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0>を押しながら左クリック<img_tag=LMB_Icon:3>で複数トラックの任意選択、<img_tag=Shift_Icon:0>を押しながら左クリック<img_tag=LMB_Icon:4>で連続選択ができ、<img_tag=CONTROL_Icon:1> / <img_tag=CMD_Icon:1> + ""<span class=""inline"">X</span>""で切り取り、<img_tag=CONTROL_Icon:2> / <img_tag=CMD_Icon:2> + ""<span class=""inline"">C</span>""でコピー、<img_tag=CONTROL_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">V</span>""で貼り付けができます。"
Using_The_Dope_Sheet.htm+html.body.p:101-3,"There are also different options for keys available from the right mouse button <img_tag=RMB_Icon:0> menu, which are detailed below. Note that when pasting keys into the dope sheet using these commands, the keys will be pasted at the <em>current </em>position of the playhead.",右クリックメニュー<img_tag=RMB_Icon:0>を開くと、下のほうで説明されている選択項目が表示されます。なお、コマンドを使用してドープシートにキーを貼り付けした場合、キーは再生ヘッドの<em>現在位置</em>に貼り付けされます。
Using_The_Dope_Sheet.htm+html.body.p:103-3,"That's the basics of using the dope sheet, but below we go into a bit more detail on what each of the different sections are for and how to use them:",ここまでがドープシートの基本的な使い方となります。それぞれの個所にある役割、そして扱い方を以下でもう少し詳しく説明しましょう。
Using_The_Dope_Sheet.htm+html.body.p:105-3,"<span data-open-text=""true"">Region Start / Region End</span><span data-close-text=""true"">Region Start / Region End</span>","<span data-open-text=""true"">領域の開始 / 領域の終了</span><span data-close-text=""true"">領域の開始 / 領域の終了</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:107-5,"These markers are the <strong>clip region</strong> start and end points. These can be used to set a specific section of the sequence to be shown in the room when the game is run, and will also be used as the loop points when previewing the sequence in the editor. These points cannot be greater or less than the total sequence length as set in the Sequence Editor <strong>Sequence Controls</strong>. To change the position of a clip region marker, simply click <img_tag=LMB_Icon:5> and drag them to the desired frame.",この 2 つのマーカーは<strong>クリップ領域</strong>の始点・終点です。ゲーム実行時、これらのマーカーによってルーム内に表示されるシーケンスの区間が設定されるほか、シーケンスをエディタでプレビュー再生したときのループ地点となります。これらのポイントは、シーケンスエディタの<strong>シーケンス制御</strong>から設定できるシーケンス長より大きく、また小さくすることはできません。クリップ領域のマーカーは、目的のフレームまでドラッグ<img_tag=LMB_Icon:5>することで位置を変更できます。
Using_The_Dope_Sheet.htm+html.body.p:111-3,"<span data-open-text=""true"">Zoom Controls</span><span data-close-text=""true"">Zoom Controls</span>","<span data-open-text=""true"">ズーム操作</span><span data-close-text=""true"">ズーム操作</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:113-5,This bar is used to show the current zoom of the dope sheet and it can also be used to change this zoom level. You can click <img_tag=LMB_Icon:6> on the end widgets and then drag to change the level of zoom:,ドープシートのズーム状態をチェックできるバーで、倍率の変更もできます。ズーム倍率を変更するには、ウィジェットの端をこのようにドラッグ<img_tag=LMB_Icon:6>してください。
Using_The_Dope_Sheet.htm+html.body.div.p.img[alt]:114-8,{IMG_TXT} Dope Sheet Zoom Controls,{IMG_TXT} ドープシートのズーム操作
Using_The_Dope_Sheet.htm+html.body.div.p:115-5,Note too that you can zoom the dope sheet in or out using the <img_tag=CONTROL_Icon:4> / <img_tag=CMD_Icon:4> key and the mouse wheel <img_tag=MMB_Icon:0>.,なお、ドープシートのズームイン・ズームアウトは<img_tag=CONTROL_Icon:4> / <img_tag=CMD_Icon:4>キーを押しながらマウスホイール<img_tag=MMB_Icon:0>でも可能です。
Using_The_Dope_Sheet.htm+html.body.p:118-3,"<span data-open-text=""true"">Asset Tracks</span><span data-close-text=""true"">Asset Tracks</span>","<span data-open-text=""true"">アセットトラック</span><span data-close-text=""true"">アセットトラック</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:120-5,"Asset tracks are represented on the dope sheet as ""keys"", which are coloured bars representing the position of the asset and the length of time it's active in the sequence. As mentioned above these can be moved around and lengthened and shortened as required. Note that an asset track key that is longer than the asset itself in duration - for example a sound might last 5 frames and you stretch its key to 15 frames - will be repeated for the entire duration of its key. Asset tracks and keys can be copied and pasted using the standard keyboard shortcuts or further modified using the right mouse button <img_tag=RMB_Icon:1> menu options (explained further down this page).",ドープシート内ではアセットトラックが「キー」として表示され、シーケンスのアセットの配置、時間の長さをカラーバーで表します。前述したように、キーは必要に応じて移動させたり、その長さを変えることが可能です。なお、キーをアセットそのものの時間より長くする、たとえば 5 フレーム持続するサウンドのキーを 15 フレームに伸ばした場合、キーの終わりまで再生が繰り返されます。アセットトラックおよびキーは、キーボードショートカットを使用してコピーと貼り付けができます。また、右クリック<img_tag=RMB_Icon:1>メニューを開くとさらなる変更が可能です（ページの下部で説明）。
Using_The_Dope_Sheet.htm+html.body.div.p:124-5,"If you delete an asset track key, this does not delete the track itself, nor does it delete any track parameters that have been added, it simply deletes the asset key from the dope sheet. If there are no further keys for this track, you can re-add them by dragging an asset from the Asset Browser into the dope sheet and it will be added as a new key, but note that you cannot add an asset that is distinct to the original asset (ie: if you delete a a key for a sprite, you cannot then add a sound asset into that key position).",アセットトラックのキーを削除した場合、トラックそのものや、トラックに追加されたパラメーターは削除されず、ドープシートからはアセットキーだけが削除されます。トラックにキーがない場合は、アセットブラウザからアセットを、ドープシートのキーにドラッグすることで新しく追加できますが、元のアセットとまったく別のアセットを追加することはできません（スプライトからキーを削除した場合、そのキーの位置にサウンドアセットを追加することは不可能です）
Using_The_Dope_Sheet.htm+html.body.p:129-3,"<span data-open-text=""true"">Parameter Tracks</span><span data-close-text=""true"">Parameter Tracks</span>","<span data-open-text=""true"">パラメータートラック</span><span data-close-text=""true"">パラメータートラック</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:131-5,"Parameter tracks are represented on the dope sheet as coloured bars underneath the main asset track they belong to. The bars of colour themselves cannot be edited and are purely a visual representation of the track that the parameter keys are being applied to, and it's the individial points on the parameter track that are edited (see <strong>Parameter Keys</strong>, below).",ドープシート内では、パラメータートラックはメインアセットトラックの下にカラーバーとして表示されます。このカラーバーは、パラメーターキーが適用されているトラックを視覚的に示すだけのもので編集できませんが、パラメータートラックの各ポイントは編集可能です（以下の<strong>パラメーターキー</strong>を参照してください）。
Using_The_Dope_Sheet.htm+html.body.p:135-3,"<span data-open-text=""true"">The Playhead</span><span data-close-text=""true"">The Playhead</span>","<span data-open-text=""true"">再生ヘッド</span><span data-close-text=""true"">再生ヘッド</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:137-5,"The playhead is the position in time at which the timeline is currently being previewed. This position is used when dropping assets into the <a href=""The_Sequence_Canvas.htm"">Sequence Canvas</a> to set the position where they have been added as well as a number of other things, like adding parameters, or splitting keys. When you press ""play"" on the sequence editor canvas, the playhead will move through the sequence, and you can also click <img_tag=LMB_Icon:7> on it and drag it to move to a specific frame within the sequence or to ""scrub"" over multiple frames and get a quick preview without playing the whole thing.","タイムラインのプレビュー再生位置です。<a href=""The_Sequence_Canvas.htm"">シーケンスキャンバス</a>にアセットをドラッグしたとき、アセットが追加される位置はこの再生ヘッドの位置から決められ、ほかにもパラメーターの追加、キーの分割など、さまざまな操作における位置の基準となります。キャンバスにある「再生」ボタンをクリックすることで再生ヘッドは前に進みます。ドラッグ<img_tag=LMB_Icon:7>して特定のフレームに移動させることもでき、そのまま左右に動かせば全体を再生しなくてもざっとプレビューができます。"
Using_The_Dope_Sheet.htm+html.body.p:142-3,"<span data-open-text=""true"">Parameter Keys</span><span data-close-text=""true"">Parameter Keys</span>","<span data-open-text=""true"">パラメーターキー</span><span data-close-text=""true"">パラメーターキー</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:144-5,"Parameter keys are the ""points"" shown on a parameter track wherever a change in that parameter has occurred. These points can be moved as required and expanded so that they last more than one frame (as explained further up this page), and you can edit their value either from the <a href=""The_Track_Panel.htm"">Track Panel</a>, or by changing the asset on the <a href=""The_Sequence_Canvas.htm"">canvas</a> (if it is a scale, position or rotation parameter). Note that all parameter track keys will also be reflected as a point on the <em>asset key </em>track that the parameter belongs to, but these points cannot be edited and are there as an informational aid when you have collapsed the different parameter tracks in the track panel.","パラメータートラックのパラメーター変更位置に表示される「ポイント」です。このポイントは移動させたり、冒頭で説明したように1フレームより長く引き伸ばすことができ、<a href=""The_Track_Panel.htm"">トラックパネル</a>から直接編集するか、<a href=""The_Sequence_Canvas.htm"">キャンバス</a>のアセットを編集することで値を変更できます（スケール/位置/回転パラメーターのみ）。パラメータトラックのキーは、<em>アセットキー</em>のトラックにもポイント（点）として表示されますが、こちらは編集ができないため、パラメータートラックが折りたたまれている間の目印として扱います。"
Using_The_Dope_Sheet.htm+html.body.p:149-3,"<span data-open-text=""true"">Parameter Curves</span><span data-close-text=""true"">Parameter Curves</span>","<span data-open-text=""true"">パラメーターカーブ</span><span data-close-text=""true"">パラメーターカーブ</span>"
Using_The_Dope_Sheet.htm+html.body.div.p:151-5,"The dope sheet also permits you to use <strong>paremeter </strong><strong>curves </strong>instead of keyframes in your parameter tracks to change the parameter values. These curves can either be <strong>embedded</strong> as part of the sequence asset, or can be external <a href=""../Animation_Curves.htm"">animation curve</a> assets that are applied to a parameter track. See the section on <strong>Using Animation Curves</strong> for more information.","ドープシートではキーフレームだけでなく、<strong>パラメーター</strong><strong>カーブ</strong>を使用してパラメータートラックのパラメーター値を変更できます。このカーブはシーケンスアセットの一部として<strong>埋め込み</strong>するか、外部<a href=""../Animation_Curves.htm"">アニメーションカーブ</a>としてパラメータートラックに適用できます。詳しい情報は<strong>アニメーションカーブの使い方</strong>のセクションを確認してください。"
Using_The_Dope_Sheet.htm+html.body.h1:157-3,RMB Menu,右クリックメニュー
Using_The_Dope_Sheet.htm+html.body.p:158-3,Clicking the right mouse button <img_tag=RMB_Icon:2> within the dope sheet on an <strong>asset track</strong> will bring up the following menu options (note some options may not be visible depending on whether the part of the track clicked has a key or not):,ドープシートの<strong>アセットトラック</strong>を右クリック<img_tag=RMB_Icon:2>すると、次のような選択項目が表示されます。なお、一部の項目はクリックした箇所にキーがなければ表示されません。
Using_The_Dope_Sheet.htm+html.body.p.img[alt]:160-6,{IMG_TXT} Dope Sheet Right Mouse Button Menu For Asset Tracks,{IMG_TXT} ドープシートのアセットトラック右クリックメニュー
Using_The_Dope_Sheet.htm+html.body.ul.li:162-5,"<strong>Cut</strong>, <strong>Copy</strong>, and <strong>Paste key(s)</strong>: These options permit you to cut/copy/paste asset. Note that any keys pasted into the dope sheet using these options will be pasted at the position of the playhead.",<strong>切り取り</strong>、<strong>コピー</strong>、<strong>貼り付け（キー）</strong>: アセットの切り取り / コピー / 貼り付けをします。右クリックメニューから貼り付けをした場合、ドープシートの再生ヘッド位置にキーが貼り付けされます。
Using_The_Dope_Sheet.htm+html.body.ul.li:163-5,"<strong>Add Key In Place</strong>: This will add a new asset key to the asset track at the frame position nearest where the mouse was clicked, and <em>not </em>at the playhead position.",<strong>キーをこの位置に追加</strong>: アセットキーを新しく追加します。<em>再生ヘッドの位置ではなく</em>、クリックした位置に近いフレームへ追加されます。
Using_The_Dope_Sheet.htm+html.body.ul.li:164-5,"<strong>Split Key In Place</strong>: When used, this will split the asset key under the mouse into two keys, with the split being created at the nearest frame to where the mouse was clicked, and <em>not</em> at the playhead position.",<strong>キーをこの位置で分割</strong>: 選択すると、マウスカーソルの位置でアセットキーを2つに分割します。分割されたキーは<em>再生ヘッドの位置ではなく</em>、クリックした位置に近いフレームに作成されます。
Using_The_Dope_Sheet.htm+html.body.ul.li:165-5,"<strong>Paste Key(s) In Place</strong>: When you use this option, the copied or cut key(s) will be pasted at the frame position nearest where the right mouse button was clicked, and <em>not </em>at the playhead position.",<strong>キーをこの位置に貼り付け</strong>: 選択すると、コピー/切り取りされたキーを貼り付けします。<em>再生ヘッドの位置ではなく</em>、右クリックをした位置に近いフレームに貼り付けされます。
Using_The_Dope_Sheet.htm+html.body.ul.li:166-5,<strong>Delete Key(s)</strong>: Selecting this will be delete the currently selected key or keys.,<strong>キーを削除</strong>: 選択中のキーをすべて削除します。
Using_The_Dope_Sheet.htm+html.body.ul.li:167-5,<strong>Copy To Start</strong>: This option will copy the selected key(s) to the very start of the sequence (<em>not </em>the start of the clip region).,<strong>最初にコピー</strong>: 選択されているキーをシーケンスの開始位置にコピーします。注意: <em>クリップ領域の開始位置</em>ではありません
Using_The_Dope_Sheet.htm+html.body.ul.li:168-5,<strong>Copy To End</strong>: This option will copy the selected key(s) to the very end of the sequence (<em>not </em>the end of the clip region).,<strong>最後にコピー</strong>: 選択されているキーをシーケンスの終了位置にコピーします。注意: <em>クリップ領域の終了位置</em>ではありません
Using_The_Dope_Sheet.htm+html.body.ul.li:169-5,"<strong>Stretch Asset Key</strong>: When you select this, the asset key selected will be stretched to the end of the sequence (not the end of the clip region), or stretched until the it meets the start of another asset key on the same track.",<strong>アセットキーを引き伸ばす</strong>: 選択中のアセットキーをシーケンスの終了位置（クリップ領域ではありません）、または同じトラック内にある別のキーの位置まで引き伸ばします。
Using_The_Dope_Sheet.htm+html.body.ul.li:170-5,"<strong>Delete Asset Key</strong>: When you use this, the asset key selected will be deleted and you can then add a new asset to the track by dragging it from the asset browser onto the dope sheet track that was deleted. This will create a new asset key which can then be edited, while maintaining any parameter tracks associated with the asset.",<strong>アセットキーを削除</strong>: 選択中のアセットキーを削除し、同じトラックに別のアセットを追加できるようにします。アセットブラウザからアセットをドラッグすることで追加でき、元のパラメーターを残したまま新しいアセットキーとして編集できます。
Using_The_Dope_Sheet.htm+html.body.p:173-3,Clicking the right mouse button <img_tag=RMB_Icon:3> within the dope sheet on a <strong>parameter track</strong> will bring up the following menu options (note some options may not be visible depending on whether the part of the track clicked has a key frame or not and whether the track is using keyframes or parameter curves):,ドープシートの<strong>パラメータートラック</strong>を右クリック<img_tag=RMB_Icon:3>した場合は、次のような選択項目となります（クリックした箇所にキーがない場合、あるいはキーフレームとパラメーターカーブのどちらを使用しているかによって項目の表示が切り替わります）。
Using_The_Dope_Sheet.htm+html.body.p.img[alt]:175-6,{IMG_TXT} Dope Sheet Right Mouse Button Menu For Parameter Tracks,{IMG_TXT} ドープシートのパラメータートラック右クリックメニュー
Using_The_Dope_Sheet.htm+html.body.ul.li:177-5,"<strong>Cut</strong>, <strong>Copy</strong>, and <strong>Paste key(s)</strong>: These options permit you to cut/copy/paste parameter keys. Note that any keys pasted into the dope sheet using these options will be pasted at the position of the playhead.",<strong>切り取り</strong>、<strong>コピー</strong>、<strong>貼り付け（キー）</strong>: パラメーターキーの切り取り / コピー / 貼り付けをします。右クリックメニューから貼り付けをした場合、ドープシートの再生ヘッド位置にキーが貼り付けされます。
Using_The_Dope_Sheet.htm+html.body.ul.li:178-5,"<strong>Add Key In Place</strong>: This will add a new parameter key to the parameter track at the frame position nearest where the mouse was clicked, and <em>not </em>at the playhead position.",<strong>キーをこの位置に追加</strong>: パラメーターキーを新しくパラメータートラックに追加します。<em>再生ヘッドの位置ではなく</em>、クリックした位置に近いフレームへ追加されます。
Using_The_Dope_Sheet.htm+html.body.ul.li:179-5,"<strong>Split Key In Place</strong>: When used, this will split the parameter key under the mouse into two keyframes, with the split being created at the nearest frame to where the mouse was clicked, and <em>not</em> at the playhead position.",<strong>キーをこの位置で分割</strong>: 選択すると、マウスカーソルの位置でパラメーターキーを2つに分割します。分割されたキーは<em>再生ヘッドの位置ではなく</em>、クリックした位置に近いフレームに作成されます。
Using_The_Dope_Sheet.htm+html.body.ul.li:180-5,"<strong>Paste Key(s) In Place</strong>: When you use this option, the copied or cut keyframe(s) will be pasted at the position where the right mouse button was clicked, and not at the playhead position.",<strong>キーをこの位置に貼り付け</strong>: コピー / 切り取りしたキーフレームを貼り付けします。再生ヘッドの位置ではなく、右クリックされた位置に貼り付けされます。
Using_The_Dope_Sheet.htm+html.body.ul.li:181-5,<strong>Delete Key(s)</strong>: Selecting this will be delete the currently selected keyframe or keyframes.,<strong>キーを削除</strong>: 選択中のキーフレームをすべて削除します。
Using_The_Dope_Sheet.htm+html.body.ul.li:182-5,"<strong>Convert To Embedded Anim Curve</strong>: This option will convert all the keyframes for the selected parameter track(s) into an embedded animation curve (see the section on <a href=""Using_Animation_Curves.htm"">Using Animation Curves</a> for more information). Alternatively, if used on a parameter curve that uses an Animation Curve asset, this will copy the curve asset into the track as an embedded parameter curve.","<strong>埋め込みアニメカーブに変換</strong>: 選択中のパラメータートラックのキーフレームを変換し、埋め込みアニメーションカーブにします（詳しくは<a href=""Using_Animation_Curves.htm"">アニメーションカーブの使い方</a>のセクションを参照）。アニメーションカーブアセットを使用しているパラメーターカーブを選択した場合、カーブアセットを埋め込みパラメーターカーブとして複製します。"
Using_The_Dope_Sheet.htm+html.body.ul.li:184-5,"<strong>Set To External Anim Curve</strong>: This option permits you to assign an Animation Curve asset to the parameter track (see the section on <a href=""Using_Animation_Curves.htm"">Using Animation Curves</a> for more information).","<strong>外部アニメカーブを設定</strong>: パラメータートラックにアニメーションカーブアセットを割り当てます。詳しい使い方は、<a href=""Using_Animation_Curves.htm"">アニメーションカーブの使い方</a>のセクションで確認してください。"
Using_The_Dope_Sheet.htm+html.body.ul.li:185-5,"<strong>Convert To Keys</strong>: With this option you can convert an animation curve to individual keyframes. Note that if the curve has used <a class=""tooltip"" title=""TITLE_KEY::catmull-rom_interpolation"">catmull-rom interpolation</a> this will be lost and the keyframes will use <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a> between the points on the curve instead, and also note that keys generated from an animation curve <em>must fall on a frame</em>. This means that any curve with points that are between frames will be placed at the nearest integer frame value when converted into keys, potentially changing the behaviour of the curve.","<strong>キーに変換</strong>: アニメーションカーブを個別のキーフレームに変換します。<a class=""tooltip"" title=""TITLE_KEY::catmull-rom_interpolation"">キャットムル・ロム補間</a>を使用しているカーブを変換すると補間が失われ、カーブのポイント間を<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>するキーフレームとなるためご注意ください。また、アニメーションカーブから生成されたキーは<em>必ずフレームの上に位置</em>します。そのため、フレームの中間にポイントがあるカーブをキーに変換すると、もっとも近い整数フレーム上に配置され、カーブの挙動が変わってしまうことがあります。"
Using_The_Dope_Sheet.htm+html.body.ul.li:188-5,"<strong>Export Embedded Anim Curve</strong>: This option lets you take an embedded animation curve and convert it into an <a href=""../Animation_Curves.htm"">Animation Curve asset</a>, which will be shown in the Asset Browser and can then be used elsewhere.","<strong>埋め込みアニメカーブをエクスポート</strong>: 埋め込みアニメーションカーブを<a href=""../Animation_Curves.htm"">アニメーションカーブアセット</a>に変換します。変換したカーブはアセットブラウザに表示され、他の場所でも使えるようになります。"
Using_The_Dope_Sheet.htm+html.body.ul.li:189-5,"<strong>Open Editor</strong>: This will open the dope sheet curve editor for editing embedded or external animation curves that have been applies to the paramter track. This is the same as using the <strong>Toggle Curve Mode</strong> <img src=""../../assets/Images/Icons/Icon_Seq_ToggleCurves.png"" style=""width: 100%; max-width: 20px;"" /> button on the dope sheet.","<strong>エディタで開く</strong>: ドープシート内でカーブエディタを開き、パラメータートラックに適用されている埋め込みカーブ、または外部アニメーションカーブを編集します。ドープシートの<strong>カーブモードに切り替え</strong><img src=""../../assets/Images/Icons/Icon_Seq_ToggleCurves.png"" style=""width: 100%; max-width: 20px;"" />ボタンと同じ機能です。"
Using_The_Dope_Sheet.htm+html.body.ul.li:190-5,<strong>Copy To Start</strong>: This option will copy the selected keyframe(s) to the very start of the sequence (<em>not </em>the start of the clip region).,<strong>最初にコピー</strong>: 選択されているキーフレームをシーケンスの開始位置にコピーします。注意: <em>クリップ領域の開始位置</em>ではありません
Using_The_Dope_Sheet.htm+html.body.ul.li:191-5,<strong>Copy To End</strong>: This option will copy the selected keyframe(s) to the very end of the sequence (<em>not </em>the end of the clip region).,<strong>最後にコピー</strong>: 選択されているキーフレームをシーケンスの終了位置にコピーします。注意: <em>クリップ領域の終了位置</em>ではありません
Using_The_Dope_Sheet.htm+html.body.ul.li:192-5,"<strong>Stretch Parameter Key</strong>: When you select this, the asset key selected will be stretched to the end of the sequence (not the end of the clip region) or until the next keyframe on the track. A stretched parameter key means that it will maintain it's value for as many frames as it's stretched over. If used on a parameter curve, the curve will be stretched to the end of the sequence, or until it meets another curve on the track.",<strong>パラメーターキーを引き伸ばす</strong>: 選択されているパラメーターキーを、シーケンスの終了位置（クリップ領域ではありません）、または同じトラック内にある別のキーフレームの位置まで引き伸ばします。パラメーターキーは引き伸ばされたフレーム数、同じ値を保ちます。カーブを選択した場合は、シーケンスの終了位置、または同じトラック内にある別のパラメーターカーブの位置まで引き伸ばします。
Using_The_Dope_Sheet.htm+html.body.ul.li:194-5,"<strong>Delete Parameter Key</strong>: When you use this, the parameter keyframe(s) selected will be deleted.",<strong>キーを削除</strong>: 実行すると、選択中のパラメーターキーをすべて削除します。
Using_The_Dope_Sheet.htm+html.body.div.div.div.div:202-9,"Back: <a href=""../Sequences.htm"">Sequences</a>","戻る: <a href=""../Sequences.htm"">シーケンス</a>"
Using_The_Dope_Sheet.htm+html.body.div.div.div.div:203-9,"Next: <a href=""Using_Animation_Curves.htm"">Using Animation Curves</a>","次へ: <a href=""Using_Animation_Curves.htm"">アニメーションカーブの使い方</a>"
Using_The_Dope_Sheet.htm+html.body.p:216-1,{SEARCH_RESULT} Page detailing the dope sheet,{SEARCH_RESULT} ドープシートの詳細ページ
Using_The_Dope_Sheet.htm+html.body.p:216-53,{INDEX_KEYWORD} Sequences - The Dope Sheet,{INDEX_KEYWORD} シーケンス - ドープシート
Using_The_Dope_Sheet.htm.img_tag+Alt_Icon:0,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Using_The_Dope_Sheet.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Using_The_Dope_Sheet.htm.img_tag+CMD_Icon:1,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Using_The_Dope_Sheet.htm.img_tag+CMD_Icon:2,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Using_The_Dope_Sheet.htm.img_tag+CMD_Icon:3,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Using_The_Dope_Sheet.htm.img_tag+CMD_Icon:4,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Using_The_Dope_Sheet.htm.img_tag+CONTROL_Icon:0,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTLRアイコン
