Sounds.htm+html.head.title:55-3,Sounds,サウンド
Sounds.htm+html.body.div.p:110-5,"It is important to note that when targeting the HTML5 platform. streamed audio will not play on iOS when the play request does not directly originate from a user interaction (i.e: a touch event, etc.). However, since GameMaker Studio 2 queues up click events and only handles them on the next frame, it is impossible to play streamed audio without the browser blocking it. To get around this, any HTML5 game run on an iOS browser will treat all streamed audio as unstreamed in the engine, with the exception of streamed audio not being preloaded.",HTML5プラットフォームをターゲットにしている場合、注意事項があります。iOSではユーザーのインタラクション（タッチイベントなど）によって再生リクエストが直接送られない限り、ストリーミング再生が行われません。しかしGameMaker Studio 2では、キューに入れられたクリックイベントを次のフレームまでしか処理できないため、ブラウザからブロックされずにストリーミング再生を行うことは不可能です。この問題を避けるために、iOSブラウザでHTML5ゲームが実行された場合、これらのオーディオはエンジン側では非ストリーミングオーディオとして扱われます（プリロードされた場合を除く）。
Sounds.htm+html.body.div.p:113-5,"What this means is that if your game is running on an iOS browser, and - for example - you have 10 music tracks that are all set as streamed <span class=""inline"">mp3 </span>files. All 10 will be initialised like unstreamed audio would, but they won't be decoded immediately before the game loads, unlike normal streamed audio which would get preloaded/decoded immediately during the load screen phase.","具体的に言うと、たとえばiOSブラウザでゲームを実行したとき、ストリーミング再生される<span class=""inline"">mp3</span>ファイルのBGMトラックが10あったとします。いずれのトラックも非ストリーミングオーディオのように初期化されますが、ゲームが読み込まれる直前にデコードされることはなく、通常のストリーミングオーディオと異なりロードスクリーンに入った瞬間にプリロード/デコードされることになります。"
Sounds.htm+html.body.div.p:115-5,"While this bypasses the iOS issue and prevents any huge increase in initial load times, it does mean that it may result in a state where your game has loaded, but certain streamed sounds may still be downloading or decoding. To deal with this you can use the GML function <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Audio/audio_sound_is_playable.htm""><span class=""inline"">audio_sound_is_playable()</span></a>, which checks to see if a given sound can actually be played. On HTML5 this will return <span class=""inline"">false </span>if the sound is not fully loaded or decoded yet, and <span class=""inline"">true </span>if it is and can be played (on all other platforms it will always return true).","こうすることでiOSの問題を回避でき、初期ロード時間が大幅に伸びることもなくなりますが、ゲームの読み込みが終わっているのにダウンロード中・デコード中となってしまい、サウンドをストリーミング再生できない場合もあります。この問題は<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Audio/audio_sound_is_playable.htm""><span class=""inline"">audio_sound_is_playable()</span></a>というGML関数を利用し、サウンドの再生状態をチェックすることで解決できます。HTML5でこの関数を使うと、サウンドの読み込みまたはデコードが完全に終わっていない場合は<span class=""inline"">false</span>が返され、再生可能になったら<span class=""inline"">true</span>が返されます（その他のプラットフォームでは常にtrueが返されます）。"
Sounds.htm+html.body.p:120-3,"<span data-open-text=""true"">Volume</span><span data-close-text=""true"">Volume</span>","<span data-open-text=""true"">音量</span><span data-close-text=""true"">音量</span>"
Sounds.htm+html.body.div.p:122-5,"Here you can set the playback volume for the given sound. This is value is simply the <em>default</em> value where if the slider is in the middle - for example - then volume for that sound when used in the game will be 0.5. However, this will be overridden by any change to the gain using the audio functions in your project. Beside the volume controls you also have the Playback controls where you can preview the sound, set it to loop or rewind. You can also click the <img_tag=Open_Mixer_Icon:0> Icon to open the sound in the <a href=""../IDE_Tools/Sound_Mixer.htm"">Sound Mixer</a>.","ここではサウンドの再生音量を設定できます。設定した値は音量の<em>デフォルト値</em>となり、たとえばスライダーをちょうど真ん中に動かした場合、ゲーム内でサウンドを再生したときの音量は0.5となります。ただしオーディオ関数によってゲインが変更された場合、そちらの値が優先されます。音量コントロールの横にある再生操作部からはプレビュー再生ができ、プレビューのループ切り替えや再生位置を最初に戻すことができます。また、<img_tag=Open_Mixer_Icon:0>アイコンをクリックすると<a href=""../IDE_Tools/Sound_Mixer.htm"">サウンドミキサー</a>が開きます。"
Sounds.htm+html.body.p:126-3,"<span data-open-text=""true"">Target Options</span><span data-close-text=""true"">Target Options</span>","<span data-open-text=""true"">ターゲット設定</span><span data-close-text=""true"">ターゲット設定</span>"
Sounds.htm+html.body.div.p:128-5,"The Target Options panel is where you set the conversion rates for your game. These settings will affect how the sound is exported for the target platform, and GameMaker Studio 2 will automatically convert your sound files for you - you simply control the final quality of those sounds when converted. Generally the default settings of 16 bit quality (or <a class=""tooltip"" title=""TITLE_KEY::bit_depth"">bit depth</a>), 44100kHz <a class=""tooltip"" title=""TITLE_KEY::sample_rate"">sample rate</a> and 192kbps <a class=""tooltip"" title=""TITLE_KEY::bit_rate"">bit rate</a> are perfectly adequate, but it may be that you wish sound effects (for example) to have a lower quality and music to have a higher quality, in which case these settings can be changed.","ターゲット設定パネルでは変換レートの設定が可能で、ターゲットプラットフォームにおけるサウンドのエクスポート方式を変化させられます。サウンドはGameMaker Studio 2側で自動的に変換されるため、設定する必要があるのは最終的な品質だけです。ほとんどの場合ではデフォルト設定の16bit品質（もとい<a class=""tooltip"" title=""TITLE_KEY::bit_depth"">ビット深度</a>）、<a class=""tooltip"" title=""TITLE_KEY::sample_rate"">サンプリングレート</a>44100kHz、<a class=""tooltip"" title=""TITLE_KEY::bit_rate"">ビットレート</a>192kbpsで十分ですが、たとえば効果音は低品質に、BGMは高品質にしておきたい場合などは変更するといいでしょう。"
Sounds.htm+html.body.div.p:132-5,"You can also choose whether the conversion should be <strong>mono</strong>, <strong>stereo</strong> or <strong>3D</strong>. If you plan on using the <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Emitters/Audio_Emitters.htm"">audio emitter functions</a> to create 3D sound effects, you should indicate this here, otherwise choose mono or stereo depending on the use that the sounds are going to be put to. If you choose to use the sound for 3D audio, <em>it will be exported as a mono sound</em>.","他には<strong>モノラル</strong>、<strong>ステレオ</strong>、<strong>3D</strong>のどちらに変換するかを指定できます。<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Emitters/Audio_Emitters.htm"">オーディオエミッタ関数</a>から3D効果音を生成するのであれば3Dを選ぶべきですが、そうでなければ用途に応じてモノラルかステレオのいずれかを選びましょう。なお3Dオーディオとして設定した場合、<em>モノラルサウンドとしてエクスポートされます</em>。"
Sounds.htm+html.body.div.p:134-5,"NOTE: The higher the quality of the sound, the larger the file, and this should be taken into account when deciding what bitrate and sample rate to choose.",注: サウンドの品質を上げるほどファイルの容量は大きくなります。よく考えてビットレートとサンプリングレートを選びましょう。
Sounds.htm+html.body.p:137-3,"<span data-open-text=""true"">Audio Group</span><span data-close-text=""true"">Audio Group</span>","<span data-open-text=""true"">オーディオグループ</span><span data-close-text=""true"">オーディオグループ</span>"
Sounds.htm+html.body.div.p:139-5,"You can assign your audio file to a specific <strong>Audio Group</strong>. These are created from the <a href=""../Settings/Audio_Groups.htm"">Audio Groups</a> window and are used to group audio assets together for easier memory management and volume control.","オーディオファイルには、<strong>オーディオグループ</strong>の割り当てが可能です。このグループは<a href=""../Settings/Audio_Groups.htm"">オーディオグループ</a>ウィンドウから作成でき、オーディオアセットをグループに割り当てることで、メモリの管理や音量のコントロールが簡単にできるようになります。"
Sounds.htm+html.body.div.p:142-5,"Once an audio file has been assigned to a group you can then use the specific audio group functions to change them and lo load/unload them from memory. See the reference section on <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Groups/Audio_Groups.htm"">Audio Functions</a> for further information.","グループに割り当てられたオーディオファイルは、オーディオグループ関数によって変更を加えたり、メモリへのロード/アンロードが可能となります。詳しくは<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Groups/Audio_Groups.htm"">オーディオ関数</a>のリファレンスセクションを参照してください。"
Sounds.htm+html.body.div.p:144-5,"If you have selected <em>streamed </em>audio then this option will be <strong>disabled</strong>, as streamed sounds are not packaged in the same way as other sounds and will be not be loaded into memory, but instead streamed directly from the storage medium.",オーディオを<em>ストリーミング</em>に指定している場合、このオプションは<strong>無効</strong>となります。これはストリーミングサウンドが他のサウンドと同じようにパッケージングされず、メモリに読み込まれずにストレージ媒体からストリーミング再生されるためです。
Sounds.htm+html.body.div.p:147-5,"Note that while the rest of the audio properties are configuration specific, the audio group setting is <em>not </em>and a sound will belong to the same group on <em>all configurations that you use</em>.",他のオーディオプロパティは構成固有のものですが、オーディオグループは<em>異なり</em>、<em>すべての構成において</em>同一のグループとなります。
Sounds.htm+html.body.div.div.div.div:156-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Sounds.htm+html.body.div.div.div.div:157-9,"Next: <a href=""Sprites.htm"">Sprites</a>","次へ: <a href=""Sprites.htm"">スプライト</a>"
Sounds.htm+html.body.p:175-1,{SEARCH_RESULT} Page detailing how the sound editor works,{SEARCH_RESULT} サウンドエディタの詳しい仕組みについてのページ
Sounds.htm+html.body.p:175-65,{INDEX_KEYWORD} Sound Editor,{INDEX_KEYWORD} サウンドエディタ
Sounds.htm.img_tag+Open_Mixer_Icon:0,{IMG_TXT} Open Mixer Icon,{IMG_TXT} ミキサーを開くアイコン
