The_Sequence_Canvas.htm+html.head.title:55-3,The Sequence Canvas,シーケンスキャンバス
The_Sequence_Canvas.htm+html.body.p:114-3,"As you can see in the image above, the new positions are automatically being recorded on the track as we have enabled ""<strong>Automatically Record Changes</strong>"" <img class=""icon"" src=""../../assets/Images/Icons/Icon_Seq_Record.png"" style=""width: 100%; max-width: 21px;"" /> in the Track Panel. You can also see that a dotted line has been added to the canvas view to indicate the movement through time of the asset. If you do not have the automatic recording enabled, you can still add points by moving the asset, then setting the playhead and then finally clicking the ""<strong>Record a new key</strong>"" <img class=""icon"" src=""../../assets/Images/Icons/Icon_Seq_Add.png"" style=""width: 100%; max-width: 21px;"" /> button.","上記の画像では、新しい位置がトラックに自動で記録されています。これはトラックパネルから""<strong>変更の自動記録</strong>"" <img class=""icon"" src=""../../assets/Images/Icons/Icon_Seq_Record.png"" style=""width: 100%; max-width: 21px;"" />を有効にしたためです。キャンバスビューに表示されている点線はアセットの時間による動きを示しています。自動記録を有効にしていない場合でも、再生ヘッドの位置を決めてからアセットを動かし、""<strong>キーを新しく記録</strong>"" <img class=""icon"" src=""../../assets/Images/Icons/Icon_Seq_Add.png"" style=""width: 100%; max-width: 21px;"" /> ボタンを押すことでポイントを追加できます。"
The_Sequence_Canvas.htm+html.body.p:117-3,"One final point worth mentioning is that the canvas permits you to use and add <strong>smart guides</strong>, which are guidelines that can be added to the canvas so that assets can be aligned against them. By default the canvas will show horizontal and vertical guides around the center point, as well as a rectangular guide around the ""edge"" of the sequence canvas, based on the size of the canvas. These guides will not be rendered in the final sequence when added to a room and are just there to help you get an idea of space and to help position things. You can also add your own guides by clicking <img_tag=LMB_Icon:1> on a ruler and then dragging into the canvas:",もう一つお伝えしておきたい点は、キャンバスから<strong>スマートガイド</strong>を追加できるということです。スマートガイドとはキャンバスに追加できる目安線のことで、アセットはこの線に沿って配置することができます。デフォルトのキャンバスでは、中心点に水平/垂直のガイドが表示されます。さらにシーケンスキャンバスの端には、キャンバスのサイズと同じ大きさの長方形ガイドが表示されます。これらはルームに追加した後のシーケンスではレンダリングされません。あくまで配置の参考としたり、位置を揃えるためのものです。また、以下のように定規をクリック<img_tag=LMB_Icon:1>してキャンバスまでドラッグすれば独自にガイドを追加できます。
The_Sequence_Canvas.htm+html.body.p.img[alt]:121-6,{IMG_TXT} Adding Guides To The Canvas,{IMG_TXT} キャンバスにガイドを追加
The_Sequence_Canvas.htm+html.body.p:121-3,"To remove a guide, simply click on it and then drag it back towards the rulers again. When you have guides added to a sequence, moving an asset around will then ""snap"" to the guide when the bounding box or origin is near enough, and extra smart guides will be shown to mark the distances between assets as well as to mark assets that are all on the same guide or at the same position (these are coloured differently):","ガイドは定規のところまでドラッグして戻すと削除できます。シーケンスにガイドが追加されていると、アセットを動かしてバウンディングボックスまたは原点を近づけるとガイドに""スナップ""させることができます。同時にスマートガイドが表示され、他のアセットとの距離関係や、同じガイドまたは同じ位置上にあるアセットを示してくれます（それぞれ別の色で）。"
The_Sequence_Canvas.htm+html.body.p.img[alt]:124-6,{IMG_TXT} Canvas Smart Guides,{IMG_TXT} キャンバスのスマートガイド
The_Sequence_Canvas.htm+html.body.h1:127-3,RMB Menu And Navigation,右クリックメニューとナビゲーション
The_Sequence_Canvas.htm+html.body.p:128-3,"To navigate around the canvas view, you can use the same basic controls as the for a regular Workspace, ie: Use the middle mouse button <img_tag=MMB_Icon:0> and drag to pan the canvas (or alternatively use the <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:2>), and you can scroll horizontally with the mouse wheel <img_tag=MMB_Icon:1> or zoom in and out using the <img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0> key and the mouse wheel <img_tag=MMB_Icon:2>.",キャンバスビューは通常のワークスペースと同じように基本的な操作でナビゲート可能です。たとえば中央マウスボタン<img_tag=MMB_Icon:0>（または<img_tag=Space_Icon:0> + <img_tag=LMB_Icon:2>）でドラッグするとキャンバスの移動、マウスホイール<img_tag=MMB_Icon:1>で垂直スクロール、<img_tag=CONTROL_Icon:0> / <img_tag=CMD_Icon:0>キーとマウスホイール<img_tag=MMB_Icon:2>でズームインとズームアウトができます。
The_Sequence_Canvas.htm+html.body.p:131-3,"To select an asset, simply click the left mouse button <img_tag=LMB_Icon:3> on it, or you can select multiple assets using <img_tag=CONTROL_Icon:1> / <img_tag=CMD_Icon:1> and <img_tag=LMB_Icon:4> to click on each asset. You can also select multiple assets using <img_tag=Shift_Icon:0> and then clicking <img_tag=LMB_Icon:5> and dragging. This will create a ""box"" in the canvas and any asset that touches the box area will be selected.",アセットの選択は左クリック<img_tag=LMB_Icon:3>で行い、<img_tag=CONTROL_Icon:1> / <img_tag=CMD_Icon:1>を押しながらクリック<img_tag=LMB_Icon:4>すれば複数のアセットを選択できます。また、複数選択は<img_tag=Shift_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:5>でも可能です。この操作をするとキャンバスに「ボックス」が表示され、その中に入れたアセットが選択されます。
The_Sequence_Canvas.htm+html.body.p:134-3,"When you have an asset or assets selected, you can cut, copy and paste them using the <img_tag=CONTROL_Icon:2> / <img_tag=CMD_Icon:2> +""<span class=""inline"">X</span>"", <img_tag=CONTROL_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">C</span>"" and <img_tag=CONTROL_Icon:4> / <img_tag=CMD_Icon:4> + ""<span class=""inline"">V</span>"" key combinations.","選択されたアセットは切り取り（<img_tag=CONTROL_Icon:2> / <img_tag=CMD_Icon:2> +""<span class=""inline"">X</span>""）、コピー（<img_tag=CONTROL_Icon:3> / <img_tag=CMD_Icon:3> + ""<span class=""inline"">C</span>""）、貼り付け（<img_tag=CONTROL_Icon:4> / <img_tag=CMD_Icon:4> + ""<span class=""inline"">V</span>""）ができます。"
The_Sequence_Canvas.htm+html.body.p:135-3,"Note that when multiple assets are selected in the canvas, there will be a <a class=""tooltip"" title=""TITLE_KEY::bounding_box"">bounding box</a> shown for each asset, and a larger bounding box shown for all of them combined. You can change how this bounding box behaves from the icons at the top left corner:","キャンバスで複数のアセットを選択すると、それぞれのアセットに<a class=""tooltip"" title=""TITLE_KEY::bounding_box"">バウンディングボックス</a>が表示されるほか、そのすべてを合体させた大きなバウンディングボックスが表示されます。画像の左上にあるアイコンからボックスの動作を変更できます。"
The_Sequence_Canvas.htm+html.body.p.img[alt]:137-6,{IMG_TXT} Combined Selection BBox Controls,{IMG_TXT} バウンディングボックス操作の複合選択
The_Sequence_Canvas.htm+html.body.p:137-3,"Clicking on the circle icon will change the transform control gizmo to the origin of the full bounding box for all assets selected, while clicking the box icon will show an individual control widget for each asset in the selection. You can move grouped assets around and copy/paste them etc... just as you would for a single asset.",丸いアイコンをクリックすると、選択アセットの全体バウンディングボックスの原点が変形操作ギズモに切り替わります。箱型のアイコンをクリックすると、それぞれのアセットごとに操作ウィジェットが表示されます。グループ化されたアセットは、単一のアセットと同じようにコピー/切り取りなどの操作が可能です。
The_Sequence_Canvas.htm+html.body.p:139-3,"If you have multiple assets that are overlapping and wish to select a specific one without disturbing the rest, then you can hover the mouse over them to bring up the <strong>Item Toolbox</strong> which will show a list of icons for each item under the mouse. You can then click on one of these items to select it and edit it:",複数のアセットが重なっていて、その中から1つのアセットをスムーズに選択したい場合があります。マウスカーソルをアセットの上に置いてみましょう。すると<strong>項目ツールボックス</strong>が開きます。カーソルの下にある項目がアイコン化されてリスト表示されますので、選択したい項目をクリックしましょう。
The_Sequence_Canvas.htm+html.body.p.img[alt]:141-6,{IMG_TXT} The Item Toolbox,{IMG_TXT} 項目ツールボックス
The_Sequence_Canvas.htm+html.body.p:141-3,You also have a number of additional options available to you from the right mouse button <img_tag=RMB_Icon:0> when you click it on any asset in the sequence:,シーケンスのアセットを右クリック<img_tag=RMB_Icon:0>すると、ほかにも多くの選択項目を選べます。
The_Sequence_Canvas.htm+html.body.p.img[alt]:142-6,{IMG_TXT} Canvas Asset RIght Mouse Button Menu,{IMG_TXT} キャンバスアセットの右クリックメニュー
The_Sequence_Canvas.htm+html.body.p:142-3,The options available here are:,メニューの選択項目:
The_Sequence_Canvas.htm+html.body.ul.li:144-5,"<strong>Record</strong>: this option permits you to record parameter keys for the asset(s), and if you hover over it you'll see options to record the <em>scale</em>, <em>rotation </em>or <em>position</em>.",<strong>記録</strong>: アセットのパラメーターキーを記録できます。カーソルを置くと、さらに<em>スケール</em>、<em>回転</em>、<em>位置</em>の記録が表示されます。
The_Sequence_Canvas.htm+html.body.ul.li:145-5,"<strong>Group</strong>: Selecting this will create a new group folder in the Track Panel, and move the selected asset(s) into it.",<strong>グループ</strong>: トラックパネルに新しいグループフォルダを作成し、選択されているアセットをそのフォルダに入れます。
The_Sequence_Canvas.htm+html.body.ul.li:146-5,"<strong>Rename</strong>: When you click this, the track will be highlighted in the Track Panel, and the name will be made editable, ready for you to change it.",<strong>名前変更</strong>: クリックすると、トラックパネルのトラックがハイライト表示されて名前の編集に入ります。
The_Sequence_Canvas.htm+html.body.ul.li:147-5,"<strong>Find In Sheet</strong>: When you click this, the selected asset will have its key highlighted in the Dope Sheet.",<strong>シートを探す</strong>: クリックすると、選択されているアセットのキーがドープシート上でハイライト表示されます。
The_Sequence_Canvas.htm+html.body.ul.li:148-5,"<strong>Find Other</strong>: When you click this, a list of all other assets of the same type will be shown for you to select one from.",<strong>他を探す</strong>: クリックすると、同じタイプのアセットをリストから個別に選択できます。
The_Sequence_Canvas.htm+html.body.ul.li:149-5,"<strong>Select</strong>: When you click this, a list of all assets that are overlapping at the clicked position will be shown, and you can select any of them for editing.",<strong>選択</strong>: クリックすると、クリックした位置で重なっているすべてのアセットがリスト表示されます。リストから編集したいアセットを個別に選択できます。
The_Sequence_Canvas.htm+html.body.ul.li:150-5,"<strong>Remove Key</strong>: When you select this, the asset track key will be removed from the dope sheet at the current playhead position. The track itself will still exist, as will any parameter tracks it contains, and you can re-add another asset to the track by dragging it from the Asset Browser into the dope sheet.",<strong>キーを削除</strong>: 選択した場合、ドープシートの現在位置からアセットトラックキーが削除されます。トラックそのものはパラメータートラックとともに残るため、アセットブラウザからドープシートにアセットをドラッグすることで、同じトラックに別のアセットを再追加できます。
The_Sequence_Canvas.htm+html.body.ul.li:152-5,"<strong>Remove Track</strong>: This will remove the asset track (and parameter tracks if any are assigned to it) from the Track Panel, as well as all the keys related to it in the Dope Sheet.",<strong>トラックを削除</strong>: アセットトラック（および割り当てられているパラメータートラック）をトラックパネルから削除します。ドープシートの関連キーもすべて削除されます。
The_Sequence_Canvas.htm+html.body.ul.li:153-5,<strong>Open Editor</strong>: This will open the asset for editing in the default editor for the type of asset.,<strong>エディタで開く</strong>: アセットをそれぞれのアセット用のエディタで開きます。
The_Sequence_Canvas.htm+html.body.div.div.div.div:161-9,"Back: <a href=""../Sequences.htm"">Sequences</a>","戻る: <a href=""../Sequences.htm"">シーケンス</a>"
The_Sequence_Canvas.htm+html.body.div.div.div.div:162-9,"Next: <a href=""The_Track_Panel.htm"">The Track Panel</a>","次へ: <a href=""The_Track_Panel.htm"">トラックパネル</a>"
The_Sequence_Canvas.htm+html.body.p:174-1,{SEARCH_RESULT} Page detailing the sequence canvas,{SEARCH_RESULT} シーケンスキャンバスの詳細ページ
The_Sequence_Canvas.htm+html.body.p:174-58,{INDEX_KEYWORD} Sequences - The Canvas,{INDEX_KEYWORD} シーケンス - キャンバス
The_Sequence_Canvas.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Sequence_Canvas.htm.img_tag+CMD_Icon:1,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Sequence_Canvas.htm.img_tag+CMD_Icon:2,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Sequence_Canvas.htm.img_tag+CMD_Icon:3,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Sequence_Canvas.htm.img_tag+CMD_Icon:4,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Sequence_Canvas.htm.img_tag+CONTROL_Icon:0,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTLRアイコン
The_Sequence_Canvas.htm.img_tag+CONTROL_Icon:1,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTLRアイコン
The_Sequence_Canvas.htm.img_tag+CONTROL_Icon:2,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTLRアイコン
The_Sequence_Canvas.htm.img_tag+CONTROL_Icon:3,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTLRアイコン
The_Sequence_Canvas.htm.img_tag+CONTROL_Icon:4,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTLRアイコン
The_Sequence_Canvas.htm.img_tag+Icon_Grid_Menu:0,{IMG_TXT} Icon Grid Menu,{IMG_TXT} グリッドメニューのアイコン
The_Sequence_Canvas.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Sequence_Canvas.htm.img_tag+LMB_Icon:1,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Sequence_Canvas.htm.img_tag+LMB_Icon:2,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Sequence_Canvas.htm.img_tag+LMB_Icon:3,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Sequence_Canvas.htm.img_tag+LMB_Icon:4,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Sequence_Canvas.htm.img_tag+LMB_Icon:5,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Sequence_Canvas.htm.img_tag+MMB_Icon:0,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
The_Sequence_Canvas.htm.img_tag+MMB_Icon:1,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
The_Sequence_Canvas.htm.img_tag+MMB_Icon:2,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
The_Sequence_Canvas.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
The_Sequence_Canvas.htm.img_tag+Shift_Icon:0,{IMG_TXT} Shift Icon,{IMG_TXT} Shiftアイコン
The_Sequence_Canvas.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
The_Sequence_Canvas.htm.img_tag+Toggle_Canvas_Frame_Icon:0,{IMG_TXT} Toggle Canvas Frame Icon,{IMG_TXT} キャンバスフレーム切替アイコン
