Networking.htm+html.head.title:55-3,Networking,Networking
Networking.htm+html.body.table.tbody.tr.td:117-9,network_type_data,network_type_data
Networking.htm+html.body.table.tbody.tr.td:118-9,The event was triggered by incoming data.,イベントがデータの受信によって作動
Networking.htm+html.body.table.tbody.tr.td:121-9,network_type_non_blocking_connect,network_type_non_blocking_connect
Networking.htm+html.body.table.tbody.tr.td:122-9,"The event was triggered by a connection configured as non-blocking (you can use the function <a href=""../../../GameMaker_Language/GML_Reference/Networking/network_set_config.htm""><span class=""inline"">network_set_config()</span></a> for this, or connect using <a href=""../../../GameMaker_Language/GML_Reference/Networking/network_connect_async.htm""><span class=""inline"">network_connect_async()</span></a> or <a href=""../../../GameMaker_Language/GML_Reference/Networking/network_connect_raw_async.htm""><span class=""inline"">network_connect_async_raw()</span></a>).","イベントが非ブロック設定の接続によって作動（<a href=""../../../GameMaker_Language/GML_Reference/Networking/network_set_config.htm""><span class=""inline"">network_set_config()</span></a>から設定が、<a href=""../../../GameMaker_Language/GML_Reference/Networking/network_connect_async.htm""><span class=""inline"">network_connect_async()</span></a>または<a href=""../../../GameMaker_Language/GML_Reference/Networking/network_connect_raw_async.htm""><span class=""inline"">network_connect_async_raw()</span></a>から接続ができます）"
Networking.htm+html.body.h2:128-3,Connecting / Disconnecting,接続 / 切断
Networking.htm+html.body.p:129-3,"When you have an event of the type <span class=""inline"">network_type_connect</span> or <span class=""inline"">network_type_disconnect</span>, the <span class=""inline"">async_load </span>map will have the following additional key:","タイプが<span class=""inline"">network_type_connect</span>または<span class=""inline"">network_type_disconnect</span>のイベントがある場合、<span class=""inline"">async_load</span>のDSマップには次のキーが含まれます。"
Networking.htm+html.body.ul.li:131-5,"""<strong>socket</strong>"": This key will hold the connecting/disconnecting socket id.","""<strong>socket</strong>"": 接続/切断されたソケットIDを保持するキーです。"
Networking.htm+html.body.p:133-3,"If the event is of the type <span class=""inline"">network_type_non_blocking_connect</span>, then additionally there will be the following key:","イベントのタイプが<span class=""inline"">network_type_non_blocking_connect</span>の場合、さらに次のキーが含まれます。"
Networking.htm+html.body.ul.li:135-5,"""<strong>succeeded</strong>"": This key will be either 0 or 1, where 0 means the connection timed out and 1 means it succeeded and the socket is ready to use.","""<strong>succeeded</strong>"": 0か1になり、0の場合は接続のタイムアウト、1の場合は接続に成功し、ソケットが利用可能であることを意味します。"
Networking.htm+html.body.p:137-3,"It is worth noting that the Networking Event does not get triggered in clients when the server disconnects, and that neither of the <span class=""inline"">network_type_*</span> events will be triggered in clients when the server they are connected to disconnects, even if the connection is TCP based.","Networkingイベントは、サーバー切断時にはクライアント側では作動しないためご注意ください。また、<span class=""inline"">network_type_*</span>のイベントであっても接続中のサーバーが切断された場合は作動しません（TCPによる接続時も同様です）。"
Networking.htm+html.body.h2:140-3,Receiving Data,データの受信
Networking.htm+html.body.p:141-3,"When you have a <span class=""inline"">network_type_data </span>type event, which signifies that your network has received data, the map created will have the following keys:","イベントのタイプが<span class=""inline"">network_type_data</span>の場合、ネットワークがデータを受信したことになり、マップには以下のキーが含まれます。"
Networking.htm+html.body.ul.li:143-5,"""<strong>buffer</strong>"": This is the unique ""buffer ID"" which is generated by the event. A ""grow"" type buffer, byte aligned to 1, is created to hold the ID should be stored in a variable and used for all further function calls to the buffer in this event. Just like the <span class=""inline"">async_load</span> map, the buffer created is automatically removed from memory at the end of this event. For more information on buffers, please see <a href=""../../../GameMaker_Language/GML_Reference/Buffers/Buffers.htm"">Reference - Buffers</a>.","""<strong>buffer</strong>"": イベントによって生成される固有の「バッファID」です。増幅（grow）タイプの1バイトアライメント式バッファが変数に格納されるバッファIDを保つために作られ、同イベントにおける以降のバッファに対する関数呼び出しで利用されます。<span class=""inline"">async_load</span>マップと同じように、生成されたバッファはイベントの終了後、メモリから自動で削除されます。バッファについての詳しい情報は、<a href=""../../../GameMaker_Language/GML_Reference/Buffers/Buffers.htm"">リファレンス - バッファ</a>を参照してください。"
Networking.htm+html.body.ul.li:145-5,"""<strong>size</strong>"": This is the size (in bytes) of the buffer data that is being received.","""<strong>size</strong>"": 受信中のバッファデータのサイズです（バイト単位）。"
Networking.htm+html.body.p:147-3,<strong>NOTE</strong>: The buffer created is only valid in these events and will be freed when the event is over.,<strong>注意</strong>: 生成されたバッファはイベント内でのみ有効となり、イベントが終了すると解放されます。
Networking.htm+html.body.div.div.div.div:154-9,"Back: <a href=""../Async_Events.htm"">Async Events</a>","戻る: <a href=""../Async_Events.htm"">Asyncイベント</a>"
Networking.htm+html.body.div.div.div.div:155-9,"Next: <a href=""Push_Notifications.htm"">Push Notifications</a>","次へ: <a href=""Push_Notifications.htm"">Push Notifications</a>"
Networking.htm+html.body.p:172-1,{SEARCH_RESULT} Page detailing the Networking async event.,{SEARCH_RESULT} Async Networkingイベントの詳細ページ
Networking.htm+html.body.p:172-66,{INDEX_KEYWORD} Objects - Async Networking Event,{INDEX_KEYWORD} オブジェクト - Async Networkingイベント
