The_Device_Manager.htm+html.head.title:55-3,The Device Manager
The_Device_Manager.htm+html.body.div.p:102-5,"Once you have a device (physical or virtual) added, you can then check the connection using the <em>Test Connection</em> button or remove it from the list again by clicking the <em> Remove Device</em> button."
The_Device_Manager.htm+html.body.p:110-3,"<span data-open-text=""true"">HTML5</span><span data-close-text=""true"">HTML5</span>"
The_Device_Manager.htm+html.body.div.p.img[alt]:113-7,{IMG_TXT} HTML5 Device Manager
The_Device_Manager.htm+html.body.div.p:112-5,"The HTML5 device manager is for adding different browsers to the device list for targeting when running. To start with, you should click the <em>Detect Browsers</em> button, which should create devices for each of the installed browsers on your machine. If your browser is not listed, you can also click the <em>Add New Browser</em> button and then give the device a name and point GameMaker Studio 2 to the path for the browser executable."
The_Device_Manager.htm+html.body.div.p:117-5,"The additional available fields can be set up to help control how the browser runs your projects, with the following options available:"
The_Device_Manager.htm+html.body.div.ul.li:119-7,<strong>Browser Command Line Arguments</strong>: Here you can add in any command line arguments to be appended to the browser path. You can find a list of these from the following links to the main popular browsers:
The_Device_Manager.htm+html.body.div.ul.li.ul.li:122-11,Chromium (Chrome)
The_Device_Manager.htm+html.body.div.ul.li.ul.li:124-11,Firefox
The_Device_Manager.htm+html.body.div.ul.li.ul.li:126-11,Internet Explorer
The_Device_Manager.htm+html.body.div.ul.li:130-7,"<strong>Web Server Address</strong>: The address of the web <a class=""tooltip"" title=""TITLE_KEY::server"">server</a> to target (default is 127.0.0.1). You may need to change this depending on the specifications of different APIs, for example, Facebook would require this to be set to <span class=""inline"">http://localhost</span> (and then have that whitelisted on their app console)."
The_Device_Manager.htm+html.body.div.ul.li:134-7,"<strong>Web Server Port</strong>: Set the <a class=""tooltip"" title=""TITLE_KEY::port_number"">port number</a> for the web server (default is 51264)."
The_Device_Manager.htm+html.body.div.ul.li:137-7,"<strong>Allowed Web Server IPs / CIDR IP Ranges</strong>: Set the allowed web server, hostnames and CIDR IP ranges as required."
The_Device_Manager.htm+html.body.p:142-3,"<span data-open-text=""true"">iOS</span><span data-close-text=""true"">iOS</span>"
The_Device_Manager.htm+html.body.div.p.img[alt]:145-7,{IMG_TXT} iOS Device Manager
The_Device_Manager.htm+html.body.div.p:144-5,"Before you can set up your iOS devices, you must have set up your Mac device and tested it's connection (see below for details). Once that is done you can select the Mac that you want to target from the drop down menu at the top of the window and then click the <em>Detect Device</em> button to have GameMaker Studio 2 automatically find any connected iOS devices, including simulators. Once connected, the device details will be shown in the list in this window, and you can edit the device name to make it more user friendly (this change only affects how the device is presented in the Target Manager and nothing else)."
The_Device_Manager.htm+html.body.p:152-3,"<span data-open-text=""true"">tvOS</span><span data-close-text=""true"">tvOS</span>"
The_Device_Manager.htm+html.body.div.p.img[alt]:155-7,{IMG_TXT} tvOS Device Manager
The_Device_Manager.htm+html.body.div.p:154-5,"Before you can set up your tvOS devices, you must have set up your Mac device and tested it's connection (see below for details). Once that is done you can select the Mac that you want to target from the drop down menu at the top of the window and then click the <em>Detect Device</em> button to have GameMaker Studio 2 automatically find any connected tvOS devices, including simulators. Once connected, the device details will be shown in the list in this window, and you can edit the device name to make it more user friendly (this change only affects how the device is presented in the Target Manager and nothing else)."
The_Device_Manager.htm+html.body.p:162-3,"<span data-open-text=""true"">macOS</span><span data-close-text=""true"">macOS</span>"
The_Device_Manager.htm+html.body.div.p.img[alt]:165-7,{IMG_TXT} Mac Device Manager
The_Device_Manager.htm+html.body.div.p:164-5,"To add a Mac device to the manager, you must first click on the button labelled <em>Add New device</em> which will add the device and create some blank fields which you will need to fill in to enable the connection."
The_Device_Manager.htm+html.body.div.p:169-5,"First you need to <strong>name </strong>the device so that you can identify it in the target list and then give the <strong>host name</strong> (or IP) of the Mac. You must then give the <strong>username </strong>of the user that you wish to link to, and the <strong>password </strong>that they used. If you wish, you can also change the <strong>Install Folder</strong> on the Mac to wherever you would prefer GameMaker Studio 2 to store the build files for your projects."
The_Device_Manager.htm+html.body.div.p:175-5,"When that is all done, you can click on the <em>Test Connection</em> button to make sure that GameMaker Studio 2 can communicate with the Mac."
The_Device_Manager.htm+html.body.div.p:177-5,<strong>NOTE</strong>: If you are developing for iOS then you must have done this first and have established a working connection to the Mac you wish to use for development.
The_Device_Manager.htm+html.body.div.p:180-5,<strong>NOTE</strong>: You <strong>must </strong>have enabled <strong>Remote Login</strong> on the target mac. This can be done by going to <strong>Preferences </strong>-&gt; <strong>Sharing</strong> and <strong>Enable Remote Login</strong> for the user you want to be able to login.
The_Device_Manager.htm+html.body.p:189-3,"<span data-open-text=""true"">Ubuntu (Linux)</span><span data-close-text=""true"">Ubuntu (Linux)</span>"
The_Device_Manager.htm+html.body.div.p.img[alt]:191-25,{IMG_TXT} Ubuntu (Linux) Device Manager
The_Device_Manager.htm+html.body.div.p:191-5,"To add an Ubuntu (Linux) device to the manager, you must first click on the button labelled <em>Add New Device </em>which will add the device and create some blank fields which you will need to fill in to enable the connection."
The_Device_Manager.htm+html.body.div.p:193-5,"First you need to <strong>name </strong>the device so that you can identify it in the target list and then give the <strong>host name</strong> (or IP) of the Ubuntu machine (or VM). You must then give the <strong>username </strong>of the user that you wish to link to, and the <strong>password </strong>that they used. You are also required to give an <strong>install folder </strong>on the Ubuntu machine that you want to use for installing your projects. When that is all done, you can click on the <em>Test Connection</em> button to make sure that GameMaker Studio 2 can communicate with the Ubuntu machine."
The_Device_Manager.htm+html.body.div.p:196-5,"Note that the final executable created by GameMaker <strong>will depend on the architecture of the device being targetted</strong>, which can be either <strong>x64</strong> or <strong>ARM</strong>. For example, if you connect a Raspberry Pi 3 or 4, the executable created will be a 32bit ARM executable, and if you connect a Linux PC it will be 64bit x64 executable."
The_Device_Manager.htm+html.body.p:200-3,"<span data-open-text=""true"">Windows UWP</span><span data-close-text=""true"">Windows UWP</span>"
The_Device_Manager.htm+html.body.div.p:202-5,"Before you can add a device for the Windows 10 UWP target, you need to have enabled <strong>Developer Mode</strong> and set up the <strong>Device Portal</strong> on the device. If you do not do this, GameMaker Studio 2 will not be able to communicate with the device nor properly create your UWP apps."
The_Device_Manager.htm+html.body.div.p:204-5,"The easiest way to enable Developer Mode is to simply type "" <em>Developer Mode</em>"" into Windows Search and then click the "" <em>Settings</em>"" entry that will be shown. This will open the following window:"
The_Device_Manager.htm+html.body.div.p.img[alt]:205-25,{IMG_TXT} Windows UWP Device Developer Mode
The_Device_Manager.htm+html.body.div.p:205-5,"You need to select the <strong>Developer Mode</strong> option (which may require that Windows downloads and installs some additional packages), and then select the option beneath that, <strong>Enable Device Portal</strong>. The device portal is what will permit GameMaker Studio 2 to communicate with the Windows 10 PC, and when enabled you will be required to give a <em>Username</em> and <em>Password</em>:"
The_Device_Manager.htm+html.body.div.p.img[alt]:208-25,{IMG_TXT} Windows UWP Device Settings
The_Device_Manager.htm+html.body.div.p:208-5,"Note that the username and password should be unique to the portal and must not be those used by your Microsoft Account or other Windows credentials. Once you have given this information, click the button labelled <em>Apply </em>and then close the settings manager and go back to GameMaker Studio 2."
The_Device_Manager.htm+html.body.div.p:210-5,"For more information on the Device Portal please see this Microsoft Article: <a href=""https://docs{-dot-}microsoft{-dot-}com/en-us/windows/uwp/debug-test-perf/device-portal-desktop"">Device Portal For Desktop</a>."
The_Device_Manager.htm+html.body.div.p:211-5,You can now open the <strong>Device Manager</strong> in GameMaker Studio 2 and set up a device (or devices) for use:
The_Device_Manager.htm+html.body.div.p.img[alt]:212-25,{IMG_TXT} Windows UWP Device Manager
The_Device_Manager.htm+html.body.div.p:212-5,"To add a Windows 10 UWP compliant device to the manager, you must first click on the button labelled <em>Add New Device</em> which will add the device and create some blank fields which you will need to fill in to enable the connection."
The_Device_Manager.htm+html.body.div.p:214-5,"First you need to <strong>name </strong>the device so that you can identify it in the target list and then give the <strong>host </strong>- this is the IP address of the Windows 10 device on the network that is to host the game and <strong>must be suffixed by</strong> "" <span class=""inline"">:50443</span>"" to set the port number. After that add the <strong>User Name</strong> and <strong>Password </strong>that you set up in the Device Portal (as mentioned previously). You can leave the PIN blank as it is not required for UWP Windows 10 Desktop."
The_Device_Manager.htm+html.body.div.p:216-5,"For more specific setup details that cover the different UWP outputs (Desktop, XboxOne) please see the YYG helpdesk: <a href=""https://help{-dot-}yoyogames{-dot-}com/hc/en-us/sections/115000309028-UWP"">Setting Up UWP</a>."
The_Device_Manager.htm+html.body.p:220-3,"All the different device windows have an option at the bottom to <strong>Clear Devices</strong> which, when clicked, will remove all the connected devices from the list."
The_Device_Manager.htm+html.body.p:221-3,"Once you have set up your devices, you can then connect to any one of them from the Target options at the top of the GameMaker Studio 2 IDE and testing/building your game will push the project to that device:"
The_Device_Manager.htm+html.body.p.img[alt]:222-6,{IMG_TXT} Device Manager Target List
The_Device_Manager.htm+html.body.div.div.div.div:228-9,"Back: <a href=""GMS2_Version_Information.htm"">GMS2 Setup And Versions</a>"
The_Device_Manager.htm+html.body.div.div.div.div:229-9,"Next: <a href=""Error_Reporting.htm"">Error Reporting</a>"
The_Device_Manager.htm+html.body.p:241-1,{SEARCH_RESULT} Section dedicated explaining the Device Manager
The_Device_Manager.htm+html.body.p:242-5,{INDEX_KEYWORD} Device Manager
