Action_Block_Functions.htm+html.head.title:55-3,Action Block Script Functions
Action_Block_Functions.htm+html.body.p:100-3,"When defining a new function, you give it a name and also define the name of any arguments it takes, if it takes any (functions can take no arguments or multiple arguments depending on what you require). If you give argument names, then these will be used in the actions that the function calls as <strong>local variables </strong>holding the function input values."
Action_Block_Functions.htm+html.body.p:102-3,"It is also good practice to add in a comment for the action that explains what it does, following the <a href=""../../The_Asset_Editors/Code_Editor_Properties/JSDoc_Script_Comments.htm"">JS Doc rules</a>. For example, consider this function <span class=""inline"">set_vec()</span>:"
Action_Block_Functions.htm+html.body.p.img[alt]:103-6,{IMG_TXT} D&D Function Example With Comments
Action_Block_Functions.htm+html.body.p:103-3,"To call the script above you would simply use the <strong>Call Function</strong> action, like this:"
Action_Block_Functions.htm+html.body.p.img[alt]:105-6,{IMG_TXT} Call A Function From A Script
Action_Block_Functions.htm+html.body.p:105-3,"Not only can you pass arguments into a function, but you can also ask a function to return a value too (using the <a href=""../Drag_And_Drop_Reference/Common/Return.htm"">Return</a> <img_tag=Return_Action_Icon:0> action), so you can use them to (for example) build calculating methods or give back an instance ID after a complex collision detection or any number of things. Please note, however, that using return <strong>ends the function</strong>, and so no actions placed after it has been used will be executed, and this means that a certain amount of thought has to go into how your functions are structured."
Action_Block_Functions.htm+html.body.p:109-3,Below is a Drag and Drop function that returns a value:
Action_Block_Functions.htm+html.body.p.img[alt]:110-6,{IMG_TXT} D&D Script Return Example
Action_Block_Functions.htm+html.body.p:111-3,"The function above simply checks all the instances in a room to see what their <span class=""inline"">object_index</span> is and if one of them is the player object the function will return <span class=""inline"">true</span> (ending the function call) or <span class=""inline"">false</span>. You would call this function like this:"
Action_Block_Functions.htm+html.body.p.img[alt]:113-6,{IMG_TXT} Call D&D Script With Return Value
Action_Block_Functions.htm+html.body.p:113-3,"So, we call the function and have it create a temporary (local) variable to store the returned value (which in this case is either <span class=""inline"">true</span> or <span class=""inline"">false</span>), and then this variable is checked and an action taken."
Action_Block_Functions.htm+html.body.p:115-3,"When making functions for your DnD™ scripts you can use all the same actions as you would when adding actions into an object event, and you can even call functions from within functions, and in this way create more ""modular"" action code. Building scripts with functions in this way can save you a lot of time creating the same action sequences and can also help make your action sequences easier to read and easier to debug."
Action_Block_Functions.htm+html.body.div.div.div.div:123-9,"Back: <a href=""../../Content.htm"">Index</a>"
Action_Block_Functions.htm+html.body.div.div.div.div:124-9,"Next: <a href=""Changing_DnD_To_Code.htm"">Changing DnD™ To Code</a>"
Action_Block_Functions.htm+html.body.p:137-1,{SEARCH_RESULT} Article explaining how to make action block script functions
Action_Block_Functions.htm+html.body.p:137-84,{INDEX_KEYWORD} DnD™ Overview - Action Block Script Functions
Action_Block_Functions.htm.img_tag+Function_Call_Icon:0,{IMG_TXT} Function Call Icon
Action_Block_Functions.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon
Action_Block_Functions.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon
Action_Block_Functions.htm.img_tag+Return_Action_Icon:0,{IMG_TXT} Return Action Icon
