Objects_And_Instances.htm+html.head.title:55-3,Objects And Instances
Objects_And_Instances.htm+html.body.table.tbody.tr.td:146-9,"This event is the very last event to be executed when an instance is destroyed. It is often overlooked when adding behaviours to objects, but it can be very useful - for example, for creating explosion or particle effects when an enemy is killed, or for re-spawning a new instance of the object in another part of the room, or even for adding points onto a score."
Objects_And_Instances.htm+html.body.p:154-3,"For further information on all the different events, please see <a href=""../The_Asset_Editors/Object_Properties/Object_Events.htm"">here</a>."
Objects_And_Instances.htm+html.body.p:155-3,"Adding an event will open either the code editor or the Drag and Drop™ editor, depending what type of project you are creating. In this window you can now add the GML or DnD™ actions that you wish to be performed each time that event is triggered within the game loop. A typical object with events and code will look like this:"
Objects_And_Instances.htm+html.body.p.img[alt]:157-6,{IMG_TXT} Object Editor Chained Windows
Objects_And_Instances.htm+html.body.p:158-3,You can find more information about using GML and DnD™ in your object events from the two pages given below:
Objects_And_Instances.htm+html.body.ul.li:160-5,Drag and Drop™ Overview
Objects_And_Instances.htm+html.body.ul.li:161-5,GameMaker Language Overview
Objects_And_Instances.htm+html.body.p:163-3,And you can find a full explanation of all the different parts of the Object Editor here:
Objects_And_Instances.htm+html.body.ul.li:165-5,Editors: The Object Editor
Objects_And_Instances.htm+html.body.p:167-3,"The next part of this guide will look at one more resource type, <strong>Sequences</strong>..."
Objects_And_Instances.htm+html.body.div.div.div.div:173-9,"Back: <a href=""../Content.htm"">Index</a>"
Objects_And_Instances.htm+html.body.div.div.div.div:174-9,"Next: <a href=""Sequences.htm"">Sequences</a>"
Objects_And_Instances.htm+html.body.p:187-1,{SEARCH_RESULT} Overview of what objects and instances are and the role they play in making a game.
Objects_And_Instances.htm+html.body.p:187-107,{INDEX_KEYWORD} Quick Start - Objects And Instances
Objects_And_Instances.htm.img_tag+Add_Sprite_Icon_:0,{IMG_TXT} Add Sprite Icon 
Objects_And_Instances.htm.img_tag+Edit_Image_Icon:0,{IMG_TXT} Edit Image Icon
Objects_And_Instances.htm.img_tag+Edit_Sprite_Icon:0,{IMG_TXT} Edit Sprite Icon
Objects_And_Instances.htm.img_tag+Icon_RMB:0,{IMG_TXT} Icon RMB
Objects_And_Instances.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon
Objects_And_Instances.htm.img_tag+New_Sprite_Icon:0,{IMG_TXT} New Sprite Icon
