Addressing_Variables_In_Other_Instances.htm+html.head.title:55-3,Addressing Variables In Other Instances
Addressing_Variables_In_Other_Instances.htm+html.body.p:109-3,"In the above code for Example 1, there is an <a href=""../GML_Reference/Asset_Management/Instances/instance_exists.htm""><tt>instance_exists()</tt></a> call in the code block. This is because using the point method to access or change another instances value will give an error and crash the game if the instance does not exist, and there is the possibility that this is the case in that example. We don't need the check however in Examples 2 and 3 because we <i>know</i> that the instance is there since in Example 2 we created it, and in Example 3, its the other instance in a collision event. However, if there is <i>any</i> possibility that the instance could be destroyed, deactivated, or otherwise removed from the room while using this method, you should <i>always</i> check beforehand using the <tt>instance_exists()</tt> function or the <a href=""../GML_Reference/Asset_Management/Instances/instance_number.htm""><tt>instance_number()</tt></a> function."
Addressing_Variables_In_Other_Instances.htm+html.body.p:113-3,"Note that you cannot use the special <a href=""Instance_Keywords.htm"">keyword</a> ""<tt>all</tt>"" with this method to target all instances(eg: <span class=""inline"">all.val = 10</span> would give an error), but you <i>can</i> use the keywords ""<tt>other</tt>"" and ""<tt>self</tt>"" without issues. For example, using <tt>other</tt> in a <a href=""../../The_Asset_Editors/Object_Properties/Object_Events.htm"">collision event</a>:"
Addressing_Variables_In_Other_Instances.htm+html.body.p:115-3,{ANY_CODE} // Example 3 other.hp -= 10;<br /> if other.hp &lt;= 0<br /> {nbsp_x4}{ <br /> {nbsp_x4}other.sprite_index = spr_E_Dead;<br /> {nbsp_x4}}
Addressing_Variables_In_Other_Instances.htm+html.body.p:118-3,"It is also important to note that you cannot use any function by itself as the left-hand side of an assignment. For example, the following code would give you an error:"
Addressing_Variables_In_Other_Instances.htm+html.body.p:119-3,"{ANY_CODE} instance_nearest(x, y, obj).speed = 0;"
Addressing_Variables_In_Other_Instances.htm+html.body.p:120-3,"The return value for the expression in that code example is an integer number (the unique ID value for the nearest instance) and so it must be enclosed in brackets <span class=""inline"">()</span> to be used in this way and properly address the instance required. The above code would be correctly written as:"
Addressing_Variables_In_Other_Instances.htm+html.body.p:122-3,"{ANY_CODE} (instance_nearest(x, y, obj)).speed = 0;<br /> <br /> //or <br /> <br /> var inst = instance_nearest(x, y, obj);<br /> inst.speed = 0;"
Addressing_Variables_In_Other_Instances.htm+html.body.p:126-3,"These are all perfectly valid ways of reading, changing and setting variables in other instances, and work because the point is actually an <i>operator</i>. It takes a value as the left <a class=""tooltip"" title=""TITLE_KEY::operand"">operand</a> and a variable as the right operand, and returns the address of this particular variable in the indicated object or instance. All the object names, constants, IDs etc... simply represent values and these can be dealt with like any other value."
Addressing_Variables_In_Other_Instances.htm+html.body.p:127-3,"The other way to reference variables in another instance is to use the GameMaker Language function <span class=""inline"">with()</span>, which is discussed in detail <a href=""Language_Features/with.htm"">here</a>:"
Addressing_Variables_In_Other_Instances.htm+html.body.p:128-3,"{ANY_CODE} // This will affect all instances of the object ""obj_Enemy""<br /> with (obj_Enemy)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} target = other.parent;<br /> {nbsp_x1} {nbsp_x1} }<br /> <br /> // This will affect one instance of the object ""obj_Enemy""<br /> var _enemy = instance_nearest(x, y, obj_Enemy);<br /> if instance_exists(_enemy)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} with (_enemy)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} target_x = mouse_x;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} target.y = mouse_y;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} }"
Addressing_Variables_In_Other_Instances.htm+html.body.div.div.div.div:136-9,"Back: <a href=""GML_Overview.htm"">GML Overview</a>"
Addressing_Variables_In_Other_Instances.htm+html.body.div.div.div.div:137-9,"Next: <a href=""Evaluation_Order.htm"">Evaluation Order</a>"
Addressing_Variables_In_Other_Instances.htm+html.body.p:150-1,{SEARCH_RESULT} Page outlining hoe to address variables in other instances
Addressing_Variables_In_Other_Instances.htm+html.body.p:150-82,{INDEX_KEYWORD} Addressing Variables In Other Instances
