switch.htm+html.head.title:55-3,switch
switch.htm+html.body.p:102-3,"{ANY_CODE} switch (global.state)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} case ""alert"":<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} if (instance_exists(obj_Player))<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} if (point_distance(x, y, obj_Player.x, obj_Player.y) &lt; 100)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} global.state = ""chase"";<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} break;<br /> {nbsp_x1} {nbsp_x1} case ""chase"":<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} var _lost = false;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} if (instance_exists(obj_Player))<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} move_towards_point(obj_Player.x, obj_Player.y, 2);<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} if (point_distance(x, y, obj_Player.x, obj_Player.y) &gt;{nbsp_x1}100)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} _lost = true;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} else _lost = true;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} if (_lost)<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} speed = 0;<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} global.state = ""alert"";<br /> {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} {nbsp_x1} }<br /> {nbsp_x1} {nbsp_x2}break;<br /> {nbsp_x1} {nbsp_x1} }"
switch.htm+html.body.p:105-3,"Here we have a global variable that holds a string value which is used to set the behaviour (state) of the instance. In this example the instance simply switches between two states, but it is extremely easy to expand this to include more states by adding further <span class=""inline"">case</span> statements for additional state strings, like ""fight"" or ""die"", etc..."
switch.htm+html.body.p:107-3,"Note that multiple <tt>case</tt> statements can be used to execute the same statement, as the <tt>break</tt> is not always required for each and every <span class=""inline"">case</span>. If there is no <span class=""inline"">break</span> statement for a particular <span class=""inline"">case</span>, the execution simply continues with the code for the next case, eg:"
switch.htm+html.body.p:109-3,"{ANY_CODE} switch (keyboard_key)<br /> {nbsp_x4}{ <br /> {nbsp_x4}case vk_left:<br /> {nbsp_x4}case ord(""A""):<br /> {nbsp_x8}x -= 4;<br /> {nbsp_x8}break; <br /> {nbsp_x4}case vk_right:<br /> {nbsp_x4}case ord(""D""):<br /> {nbsp_x8}x += 4;<br /> {nbsp_x8}break; <br /> {nbsp_x4}case vk_up:<br /> {nbsp_x4}case ord(""W""):<br /> {nbsp_x8}y -= 4;<br /> {nbsp_x8}break; <br /> {nbsp_x4}case vk_down:<br /> {nbsp_x4}case ord(""S""):<br /> {nbsp_x8}y += 4;<br /> {nbsp_x8}break; <br /> {nbsp_x4}}"
switch.htm+html.body.p:116-3,"The above code uses <tt>switch</tt> to check for a keyboard event and then compares that to each <span class=""inline"">case</span> listed. If it meets any of the required values then the corresponding code is executed. Note how in the code we have used the way that <tt>switch</tt> can check multiple <span class=""inline"">cases</span> and continue if no <span class=""inline"">break</span> is encountered to permit various keys to be used to get the same result. Note that each <span class=""inline"">case</span> can have it's own code, and so you can set up a sort of ""inheritance"" system where more than one <span class=""inline"">case</span> and it's code will run consecutively with the next until a break is reached depending on the value of the initial <span class=""inline"">switch</span> expression."
switch.htm+html.body.div.div.div.div:125-9,"Back: <a href=""../Language_Features.htm"">Language Features</a>"
switch.htm+html.body.div.div.div.div:126-9,"Next: <a href=""break.htm"">break</a>"
switch.htm+html.body.p:138-1,{SEARCH_RESULT} Page outlining the switch function
switch.htm+html.body.p:138-58,{INDEX_KEYWORD} switch
switch.htm+html.body.p:138-87,{INDEX_KEYWORD} case
