Arrays.htm+html.head.title:55-3,Arrays
Arrays.htm+html.body.div.p:135-5,"{ANY_CODE} var _a = [0, 1, 2, 3, 4];<br /> var _b = [];"
Arrays.htm+html.body.div.p:136-5,"The above will create two arrays as local variables, the first already populated with 5 elements and the second as an empty array ready to have values added."
Arrays.htm+html.body.div.p:137-5,"With that done how do we use an array for practical things? Exactly the same as we would use a normal variable, as shown by the following examples:"
Arrays.htm+html.body.div.p:138-5,"{ANY_CODE} // Add two array values together<br /> total = array[0] + array[5];<br /> <br /> // Check an array value<br /> if (array[9]) == 10<br /> {nbsp_x4}{ <br /> {nbsp_x4}//do something<br /> {nbsp_x4}} <br /> <br /> // draw an array value<br /> draw_text(32, 32, array[3]);"
Arrays.htm+html.body.div.p:143-5,"Since arrays are numbered consecutively, this means you can loop through them to perform extra actions too, just like we did to initialize it:"
Arrays.htm+html.body.div.p:144-5,"{ANY_CODE} var total = 0;<br /> for (var i = 0; i &lt; 10; ++i;)<br /> {nbsp_x4}{ <br /> {nbsp_x4}total += array[i];<br /> {nbsp_x4}draw_text(32, 32 + (i * 32), array[i]);<br /> {nbsp_x4}} <br /> draw_text(32, 32 + (i * 32), total);"
Arrays.htm+html.body.div.p:147-5,"The above code will add up all the values in our array, draw each of them and draw the total value at the end."
Arrays.htm+html.body.div.p:148-5,"The last thing to mention about arrays is that you can also delete an array simply by ""re-assigning"" the variable that defines it to a single value. This will free up the memory associated with all the positions and values for that array. For example:"
Arrays.htm+html.body.div.p:150-5,{ANY_CODE} //Create the array for (var i = 9; i &gt; -1; --i;)<br /> {nbsp_x4}{ <br /> {nbsp_x4}a[i] = i;<br /> {nbsp_x4}} <br /> //Delete the array<br /> a = -1;
Arrays.htm+html.body.div.p:153-5,"If the array has multiple dimensions (see below), they will all be cleaned up too, and note that when you create arrays in instances, these do not need to be cleaned up when the instance is removed from the game, as they will be removed automatically by the <a class=""tooltip"" title=""TITLE_KEY::garbage_collector"">garbage collector</a> on destroy or room end. However, if any of the array positions hold references to <em>dynamic</em> assets - like particle systems, buffers, or data structures - then these <em>will</em> need to be destroyed before the array is deleted or the instance is destroyed or the room ends."
Arrays.htm+html.body.p:158-3,"<span data-open-text=""true"">Multi-Dimension Arrays</span><span data-close-text=""true"">Multi-Dimension Arrays</span>"
Arrays.htm+html.body.div.p:160-5,"We know what a 1 dimension array is, but in GameMaker Studio 2 you can have arrays with multiple dimensions, which are essentially structured as an array inside an array inside an array... For example, the following is a <strong>2D</strong> (two dimension) array"
Arrays.htm+html.body.div.p:161-5,"{ANY_CODE} <span style=""text-align: justify;""></span>array[0][0] = 5;"
Arrays.htm+html.body.div.p:162-5,This is essentially telling GameMaker that the array is actually comprised of various 1D arrays. Here's an extended example:
Arrays.htm+html.body.div.p:163-5,"{ANY_CODE} array[1][2] = 1;<br /> array[1][1] = ""hello"";<br /> array[1][0] = 55.5;<br /> array[0][2] = sprite_index;<br /> array[0][1] = ""world"";<br /> array[0][0] = -67.89;"
Arrays.htm+html.body.div.p:164-5,"A multi-dimension array needs to be initialised before use, the same as a single 1D array, and can hold real numbers, strings, and any other <a href=""Data_Types.htm"">data type</a>, just like any variable, making them ideal candidates for any game that needs to store large amounts of data in an easily accessible way (remember, you can loop through an array easily). Here is one final example of how this may be used in an actual game... Say you want to spawn four different enemies at four different points in your game depending on a random value. Well, we can use an array with 2 dimensions to do this and save writing out a load of code."
Arrays.htm+html.body.div.p:167-5,"First we should initialize the array we are going to use in the create event of our ""controller"" object (note the use of comments to remind you what each array entry does):"
Arrays.htm+html.body.div.p:168-5,{ANY_CODE} enemy[3][2] = 448; {nbsp_x6}//y position<br /> enemy[3][1] = 32; {nbsp_x7}//x position<br /> enemy[3][0] = obj_Slime; //Object<br /> enemy[2][2] = 448;<br /> enemy[2][1] = 608;<br /> enemy[2][0] = obj_Skeleton;<br /> enemy[1][2] = 32;<br /> enemy[1][1] = 608;<br /> enemy[1][0] = obj_Knight;<br /> enemy[0][2] = 32;<br /> enemy[0][1] = 32;<br /> enemy[0][0] = obj_Ogre;
Arrays.htm+html.body.div.p:169-5,"We now have the objects to spawn instances of and their corresponding x and y spawn coordinates within the room all stored in our array. This can now be used as follows in another event of the controller object (an alarm for example, or a key press event):"
Arrays.htm+html.body.div.p:171-5,"{ANY_CODE} //get a random number from 0 to 3, inclusive<br /> var i = irandom(3);<br /> //Use the array to create the object<br /> instance_create_layer(enemy[i][1], enemy[i][2], ""Enemy_Layer"", enemy[i][0]);"
Arrays.htm+html.body.div.p:172-5,"That short code will now spawn a random enemy in the game room, and it uses far less code than an ""<tt>if / then / else</tt>"" structure or even a ""<tt>switch</tt>"", and as the array is initialized all together in the create event it is MUCH easier to edit and change any of those values as they are not <a class=""tooltip"" title=""TITLE_KEY::hard-coded"">hard-coded</a> into the rest of the project code."
Arrays.htm+html.body.div.p:174-5,"It should be noted too that the length of each dimension in the array can be different, so you can have the initial array dimension with a length of 3, but the second dimension entry can be a different length for each of the the initial array values it's assigned to, for example:"
Arrays.htm+html.body.div.p:176-5,"{ANY_CODE} array[2][2] = ""3"";<br /> array[2][1] = ""2"";<br /> array[2][0] = ""1"";<br /> array[1][3] = ""four"";<br /> array[1][2] = ""three"";<br /> array[1][1] = ""two"";<br /> array[1][0] = ""one"";<br /> array[0][1] = 2;<br /> array[0][0] = 1;"
Arrays.htm+html.body.div.p:177-5,"Finally, multi-dimension arrays are not limited to <em>just </em>two dimensions, and you can have 3, 4 or more dimensions to an array as required in your code, just by adding <span class=""inline"">[n]</span> further arguments, eg:"
Arrays.htm+html.body.div.p:178-5,{ANY_CODE} array[0][0][0] = 1;{nbsp_x1} {nbsp_x1} {nbsp_x1}// A three dimensional array<br /> array[0][0][0][0] = 1;{nbsp_x1} // A four dimensional array<br /> // etc...
Arrays.htm+html.body.p:181-3,"Just like normal variables, you can pass arrays through to <a href=""Script_Functions.htm"">script functions</a> and <a href=""Method_Variables.htm"">method variables</a> to be used and then returned to the instance that called the function. To do this, you simply have to specify the array variable (no need for each of the individual positions, nor the <span class=""inline"">[]</span> brackets) and the entire array will be <b>passed by reference</b> into the function. However, should you change any of the array values, the array will be copied into a <em>temporary </em>array just for that function. <strong>Note the use of the word <i>temporary</i> here!</strong> You are not actually passing the array itself into the function (as you would a variable), but instead you are requesting that the function create a <i>copy</i> of this array, which you will change. This means that you <b>must always return the array</b> from the function if you wish to change any array values (this behaviour is called ""<em>copy on write</em>"")."
Arrays.htm+html.body.p:186-3,"<b>NOTE: </b>Due to the way that this works internally, passing arrays to functions may affect performance, especially if the array is very large. So use this functionality with care!"
Arrays.htm+html.body.p:187-3,"As an example, consider the following code. First we create the array we want to use, and then we pass that array to the function:"
Arrays.htm+html.body.p:188-3,{ANY_CODE} for (var i = 9; i &gt; -1; --i;)<br /> {nbsp_x4}{ <br /> {nbsp_x4}a[i] = i;<br /> {nbsp_x4}} <br /> my_array_func(a);
Arrays.htm+html.body.p:192-3,The function itself is something simple like:
Arrays.htm+html.body.p:193-3,{ANY_CODE} my_array_func = function(array)<br /> {nbsp_x4}{ <br /> {nbsp_x4}for (var i = 9; i &gt; -1; --i;)<br /> {nbsp_x8}{ <br /> {nbsp_x8}array[i] = i * 100;<br /> {nbsp_x8}} <br /> {nbsp_x4}}
Arrays.htm+html.body.p:198-3,"Now you would expect the final array to hold the values 900, 800, 700, etc... BUT this will not be the case, since we did <i>not</i> return the array from the function, so all we changed was the temporary copy that was created when we passed the array as an argument into the function, and when the function has finished that basically disappears too. To rectify this we should have formatted the code as follows:"
Arrays.htm+html.body.p:200-3,{ANY_CODE} for (var i = 9; i &gt; -1; --i;)<br /> {nbsp_x4}{ <br /> {nbsp_x4}a[i] = i;<br /> {nbsp_x4}} <br /> a = my_array_func(a);
Arrays.htm+html.body.p:203-3,And the function should now look like this:
Arrays.htm+html.body.p:204-3,{ANY_CODE} my_array_func = function(array)<br /> {nbsp_x4}{ <br /> {nbsp_x4}for (var i = 9; i &gt; -1; --i;)<br /> {nbsp_x8}{ <br /> {nbsp_x8}array[i] = i * 100;<br /> {nbsp_x8}} <br /> {nbsp_x4}return array;<br /> {nbsp_x4}}
Arrays.htm+html.body.p:209-3,"<b>NOTE: </b>The above is <b>not</b> necessary if you are not changing any of the array values, but rather simply referencing them. Referencing an array will not copy it and will be faster to parse."
Arrays.htm+html.body.p:210-3,"It is also worth noting that you can use the accessor <tt>@</tt> to reference an array from a function and change its values directly, which saves the CPU overhead of having it copied into the function. You can find out more information on accessors and how they work, along with an example for arrays, from the following page:"
Arrays.htm+html.body.ul.li:213-5,Accessors
Arrays.htm+html.body.div.div.div.div:221-9,"Back: <a href=""GML_Overview.htm"">GML Overview</a>"
Arrays.htm+html.body.div.div.div.div:222-9,"Next: <a href=""Data_Types.htm"">Data Types</a>"
Arrays.htm+html.body.p:236-1,{SEARCH_RESULT} Page outlining Arrays
Arrays.htm+html.body.p:236-45,{INDEX_KEYWORD} Arrays
