External_Merge_Diff_Tools.htm+html.head.title:55-3,External Merge/Diff Tools
External_Merge_Diff_Tools.htm+html.body.p:107-3,"Note that if you don't have (or don't want to use) a merge tool, then you can open up the script in the IDE and attempt to fix it from there."
External_Merge_Diff_Tools.htm+html.body.p:108-3,"So, back to our example Conflict as stated in the section on <a href=""Conflicts.htm"">Conflicts</a>... We have done a pull from master and one of the files is conflicted. This opens the Source Control <strong>Conflicts </strong>window, where you can click on the conflicted script, and now click on <strong>Merge</strong>, since you have configured your merge tool. Clicking merge will now open the tool where you can deal with the conflict and then use the macro(s) supplied to make the required changes. Once you have finished and closed the merge tool, the GameMaker Studio 2 IDE will show the following confirmation window:"
External_Merge_Diff_Tools.htm+html.body.p.img[alt]:111-6,{IMG_TXT} Source Control Merge Confirm
External_Merge_Diff_Tools.htm+html.body.p:111-3,"Simply answer ""Yes"" to this prompt as you've just done it yourself using the merge tool, and then you need to commit this change to signify the end of the merge operation (<strong>Source Control </strong>&gt; <strong>Commit Changes</strong>). The Commit window will now show that a merge is in progress as well as show some unstaged files:"
External_Merge_Diff_Tools.htm+html.body.p.img[alt]:113-6,{IMG_TXT} Source Control Merge In Progress
External_Merge_Diff_Tools.htm+html.body.p:113-3,"These unstaged files are our script file with the addition of <span class=""inline"">.base</span>, <span class=""inline"">.ours</span> and <span class=""inline"">.theirs</span>. We can safely delete all these so click <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../../assets/Images/Icons/Icon_LMB.png"" style=""cursor: nwse-resize; width: 100%; max-width: 20px;"" /> on the top one and then <img alt=""{IMG_TXT} Shift Icon"" class=""icon"" src=""../../assets/Images/Icons/Icon_Shift.png"" style=""width: 100%; max-width: 55px;"" /> + <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../../assets/Images/Icons/Icon_LMB.png"" style=""cursor: nwse-resize; width: 100%; max-width: 20px;"" /> on the bottom one to select them all. Next, we right click on the selected files and choose <strong>Delete Path</strong> to remove them. There's also a commit message pre-filled for us as well, stating that this was a merge, and that there was a conflict (we can add to this or edit it as we wish)."
External_Merge_Diff_Tools.htm+html.body.p:116-3,We can click <strong>Commit </strong>now.
External_Merge_Diff_Tools.htm+html.body.p:117-3,"Due to the fact that you can have issues with other files, it means that your workflow when using remote or shared repositories should be as follows:"
External_Merge_Diff_Tools.htm+html.body.p:118-3,{ANY_CODE} Make Changes &gt; Save &gt; Commit &gt; Pull &gt; Merge &gt; Push
External_Merge_Diff_Tools.htm+html.body.p:119-3,"You should also set up a <strong>Diff Tool</strong> for use when doing commits to a repository. This is setup from the <a href=""../../Setting_Up_And_Version_Information/IDE_Preferences/Plugin_Preferences.htm"">Preferences</a>, same as for the Merge tool:"
External_Merge_Diff_Tools.htm+html.body.p.img[alt]:120-6,{IMG_TXT} Source Control Choose Diff Tool
External_Merge_Diff_Tools.htm+html.body.p:120-3,"The Diff tool is configured in much the same manner as the Merge tool, but only uses the <span class=""inline"">${scm_base}</span> and <span class=""inline"">${scm_theirs}</span> options - in this case, <span class=""inline"">${scm_base}</span> represents the unmodified file whereas <span class=""inline"">${scm_theirs}</span> represents the current state of the file. The Tool Options should be pre-populated with the default options for <strong>Meld</strong>, <strong>KDiff3 </strong>and <strong>TortoiseMerge</strong>, just as they were for the Merge tool. Note that GameMaker Studio 2 does <em>not </em>support the outputting of single file diff patches, therefore there is no default for <strong>Notepad++</strong>."
External_Merge_Diff_Tools.htm+html.body.p:124-3,"In order to view changes between current and previous revisions using the Diff tool, simply open up the Commit window and then double click on a file. If the tool has been setup correctly, it will be launched and you'll be able to see the changes between the files."
External_Merge_Diff_Tools.htm+html.body.div.div.div.div:132-9,"Back: <a href=""../Source_Control.htm"">Source Control</a>"
External_Merge_Diff_Tools.htm+html.body.div.div.div.div:133-9,"Next: <a href=""Setting_Up_Git_Plugin.htm"">Setting Up The GIT Plugin</a>"
External_Merge_Diff_Tools.htm+html.body.p:149-1,{SEARCH_RESULT} Section that covers Source Control merge and diff tools
External_Merge_Diff_Tools.htm+html.body.p:149-79,{INDEX_KEYWORD} Source Control - Esternal Merge/Dif Tools
